 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,O37,O38,C39,O40,O41,H42
N1,0.0,1.8293856671968924,1.958329138649106,2.9929260343046935,0.08457821138545774,0.19634712637623045,0.02470245356883005,0.005720915697302376,0.0319758059858892,0.005785922750646155,0.0007590379607131936,0.005051113964983034,0.0009329994711609474,2.9913188757224596e-05,0.001423271735923104,0.0005054580493181193,0.0001454941076908245,0.00032168792401277013,6.114226219633423e-05,0.00010471356210854654,7.117124231070804e-06,0.0001623957956781441,2.5329029371690126e-06,0.21610049883013518,0.061469997708386376,0.03438238233583828,0.0015591427190947416,0.006224673965826183,0.00042410819223415164,0.0008715165850325807,0.00023348392151256725,2.5539879328961845e-05,5.606945164378374e-05,3.49572479096949e-06,8.855831697074379e-06,8.664481539999436e-05,3.724665219914658e-05,0.00016010074049223333,0.001093118546582783,0.0002128381260958906,9.01449110775332e-05,8.087782545129762e-06
H2,0.0,0.0,0.02651580284541666,0.10104011796099854,0.007755080355216215,0.03191726370072179,0.001359696298349089,0.000509834540074694,0.004356446912401002,0.0003409985443829644,3.417631978885893e-05,0.001038260093873089,8.198418109883754e-05,1.294359806180978e-05,0.0002343037093001099,6.678194521891889e-05,2.7413081807869943e-05,5.839458820589005e-05,1.6841416968116363e-05,1.1555958313813619e-05,6.571459922888323e-07,9.610582213492869e-06,3.731346562840798e-07,0.00879983908394888,0.003083917992308449,0.0006218357918210682,3.701615228379751e-05,0.0001433574528517667,8.106520940520667e-06,7.675664398076876e-06,3.1734123062676645e-06,1.1430245017152174e-06,1.530622547152305e-06,2.3534091253551992e-07,2.6062747249255835e-07,2.1946704765740677e-06,2.1629270522405264e-06,6.192740551580478e-06,4.6365688091687396e-05,4.7895572556133637e-05,6.247090944322409e-06,1.2774037601026578e-06
H3,0.0,0.0,0.0,0.1038300174092841,0.03456620917279163,0.007957389478445154,0.0002730200678380257,0.0040632856877862444,0.0006594158652450943,0.0012146365804378556,0.00039092618163838466,0.00011683489990499396,0.0001318484984024204,1.1397764072773597e-05,3.892560010221313e-05,3.153438964242916e-05,9.812917635132479e-06,8.932201371547599e-06,7.800896095755405e-07,7.0556062786719664e-06,1.6000307789809654e-07,3.1342420135915816e-06,8.925464478615197e-07,0.024908998999467746,0.06994463504263049,0.004404545838662344,0.0004889895323609839,0.0004688494002121901,2.905602685498998e-05,7.481544649923233e-05,1.0002395571362399e-05,6.768515922850327e-06,1.280048392748867e-05,2.02039676167054e-06,2.118298348063874e-06,2.9979356495957177e-05,8.963505008008354e-06,6.246082106886597e-05,0.00017600035017728555,0.00013053336631441148,1.395435533968481e-05,6.473628435532675e-07
C4,0.0,0.0,0.0,0.0,1.9936377053653886,2.7001957940877874,0.09249781536894375,0.08131218951964736,0.1709847300373328,0.037582324186814786,0.006211254152819423,0.025326043562242606,0.00634943445416894,0.00014271081500893956,0.00579519928678518,0.0026655027879030624,0.000683823519443516,0.0010993535187844017,0.00016706091490292785,0.0007424757516833191,3.6587679110855476e-05,0.0007408094676841226,1.885753496555509e-05,2.464567474277921,0.2753243559050583,0.23009337469577523,0.010998780113492979,0.03786514351196121,0.002199220128949575,0.0036023495604927958,0.0013759048263028983,0.00013843238887067955,0.0002769028424375597,2.847851986631511e-05,2.790856284495824e-05,0.0003270814455731963,0.00015274551974063522,0.0009517938505940737,0.0064955199320953505,0.0014142028523615041,0.0009869635006573285,7.92244735869918e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07756419940676751,0.0036254620411018124,0.03405883573794943,0.008459402993405751,0.010855433607047216,0.009016212473815788,0.00069043749961617,0.0010359963694015484,8.652402611186716e-05,0.0006448450957174945,0.0004369646905613145,0.00020069311256221134,8.909590018713054e-05,1.6858166607125469e-06,6.208982846267475e-05,1.7817723259039298e-06,6.200974370584866e-05,5.702987963651651e-06,0.09045794732531243,0.02141592750927701,0.010563002284154077,0.005940582869448097,0.0014150508249537452,5.2679160043256346e-05,9.376592801146888e-05,9.569724376046196e-06,6.292676416608245e-06,2.81239183173021e-05,1.6851720965327388e-06,1.0291230340353508e-05,0.00017999080395614264,0.0001045097830744135,0.0005028024931799102,0.0004108824689332824,2.6936305366653812e-05,7.442591983075619e-05,2.216834597068562e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.700373258952723,2.0206717750966723,2.764523448102754,0.2489713672382574,0.005519673270357961,0.19227699207862362,0.04832592360145305,0.002101744524429683,0.03355697550970724,0.01570896013441994,0.0037004978573673686,0.0051542543081278674,0.0010224974214487759,0.004076883784150859,0.00013569540858515694,0.002734165954612039,7.403571116237906e-05,0.16987397063479437,0.03391202963442605,0.02832998685374974,0.0007222862062606916,0.0035791685548659524,0.0006090915970307087,0.0003739413941239722,7.436837442287292e-05,3.1141382363486514e-05,7.660642803476725e-05,6.508475614674936e-06,6.338438568675997e-06,0.0003211296205846148,0.00021543628442280416,0.0005412201522419086,0.0011024964225624656,0.00032973574789645077,0.00019423099583083803,3.1683875752697155e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02199746771972877,0.09279523336397122,0.04136200120320099,0.00013065721681737585,0.013977636495230428,0.00989030814088565,0.00012597603926778334,0.003027423468950685,0.0011512086080718298,5.042028919977071e-05,0.0004038374498824826,3.916573582785077e-06,0.001198025427475935,3.3828872259000775e-07,0.0008070874320291743,2.737460242929757e-07,0.028895602003223386,0.004819384627094636,0.0040571178044621625,0.00019579721655316185,0.000801999896579364,4.741803825236701e-05,7.857335083760741e-05,2.969503548033714e-05,6.088707979357011e-06,9.609995759718437e-06,1.448637044987322e-06,1.2642208213620165e-06,4.174439217541348e-05,1.861199314290296e-05,0.00013880936882637585,0.00021239085802648994,4.72528131957306e-05,4.0510286468564694e-05,3.2910289455845287e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10123617516031702,0.030414612474735758,0.0005501655136412875,0.011979652839715804,0.004628672460195604,0.0008206533943961869,0.001571690784505142,0.004922977302926457,0.004602746536116253,0.00037834139556403024,4.833152670968843e-05,0.0008502300679102959,5.2403558213454104e-05,0.0007976029354554992,3.064013668319099e-05,0.013046015343043171,0.010076782618533509,0.0016806134770499526,0.0001411824875194867,0.00015619228424945675,5.453339993133355e-06,2.8242174042847346e-05,8.950456563017184e-06,2.88289706062983e-06,6.760992344090333e-06,5.332466939123037e-07,1.6252433989727422e-06,5.030190946087032e-05,3.660587902110102e-05,5.5074227799600806e-05,3.457178114718573e-05,7.365256617386517e-05,5.508244587226763e-06,4.7374255096599427e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.183975363913798,0.12041265042599392,3.05353193172824,0.46751071026850777,0.025938486230253077,0.3479701837065122,0.23324537151051938,0.008087612980682612,0.0388044521949166,0.0036344741417499993,0.07030108771637178,0.0028470212588143085,0.030867563950945198,0.0003564510603686344,0.014488753100746682,0.0028553308770444263,0.006902110836165681,0.0021652099499049893,0.0006937466578141316,0.00021651277629941568,9.871477716240362e-05,8.576651774561128e-06,3.392450647310419e-05,0.0002994840817457378,3.786809995842688e-05,6.6857494391836525e-06,0.0018989938458477407,0.0016885629733803392,0.008124283052987846,0.0003396637536010605,0.0006595182464608218,8.848006308492806e-05,1.2697030887132144e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7381823148498599,0.40839440765614776,3.444078569297405,0.11726282489589568,0.4549031825636092,0.11836196861529341,0.0009650725877146105,0.08516599082008228,0.00080768680956389,0.032365846288025135,0.0009359048746064857,0.07732995042777885,0.000901829060783399,0.005794560637968543,0.0013838869817632826,0.012057673796647184,0.010690818588423356,0.0010636031118330114,0.00045203322693754266,0.0003143244032645792,1.0168295435653008e-05,0.00012020557906766705,0.0028704245745040102,0.00033052161187807627,0.00021394243213346265,0.018709773174156175,0.010133609848279823,0.05151139041629596,0.00018416184567671134,0.00030684559668840705,4.277139902950089e-05,7.571919910631664e-06
