,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22C,23H,24C,25H,26H,27C,28H,29H,30C,31H,32H,33C,34O,35O,36H
1N,0.0,1.0195692377307177,1.0211820035087122,1.4651874287018143,2.079773709026461,2.492530207050353,3.410872995323117,2.95829052962144,2.7109424064103855,3.083003787122502,3.058775162796365,4.035995613441242,3.486737531536831,2.7148023034990887,4.459405956808041,5.004966399223366,4.823091811518609,5.049737864136534,2.484685376162783,2.7983163061682244,3.6916875795568793,4.889370732759267,4.947554407812925,6.006618480509154,6.9698507125146065,6.196092855648059,5.811087164812524,6.193242749753837,6.547214141481563,4.366088500474813,4.270245864582013,4.384881210824562,5.474104281066146,5.502801882635317,6.4393627552364725,6.950115271578108
2H,0.0,0.0,1.6184206991762953,2.0401331093975688,2.2673609266315125,3.3584638002658656,4.170166963525451,3.956921912699597,3.716056428736905,3.9853712082097985,3.8251770807214345,4.8663488596034785,4.033737296961981,3.4380020723563423,5.46361535837722,5.9591802286535875,5.824073466009503,6.05511504865216,2.7999319648267593,3.095964013730246,3.8647975352070167,5.010695651556487,4.923940694281104,6.032694782686742,7.042086984667702,6.03926904077719,5.941129655538617,6.4852262284888385,6.587334469316826,4.498515666777048,4.58357469027473,4.291755378101925,5.828915757778331,6.0380197434381175,6.727040102489637,7.345159949424767
3H,0.0,0.0,0.0,2.016515629344923,2.8877352112072914,2.863769024998011,3.742719013559868,2.823166347271479,2.5026403890814874,2.6599062072181834,3.7031175134235985,4.555280285071265,4.29948470313501,3.3869669638827897,4.341389107554753,4.926082429937404,4.872624977697361,4.736960789372594,2.4972868693215275,2.3379587515890106,3.8443892460757296,4.8228822957147415,4.7537984525316075,6.119016530812217,7.000927106952166,6.3579683000448,6.125295183939061,6.449231547518475,6.9657176983324325,4.79935161175071,4.792075950137565,4.957026135072994,5.23298584425997,5.305744624728886,6.050407242334829,6.5076706994501405
4C,0.0,0.0,0.0,0.0,1.0970890912219184,1.5627557863370345,2.1611353824609574,2.5749211548482434,2.8881510327103097,2.6917461457605243,2.529434446270422,3.5011702846271495,2.78482174174908,2.7507511470539114,3.9472213776515344,4.199312452744732,4.3738779097783755,4.736320139817015,1.5395644060884748,2.4181257835788457,2.4986965558745147,3.844691439148648,4.176843602699975,4.833916349920685,5.790749526046,5.1579854316099745,4.45568423995483,4.771099843952081,5.213384658204402,3.014786543991727,2.8343813693942472,3.220180543503387,4.424481162896664,4.3559608624608455,5.558938367806848,6.068891672214151
5H,0.0,0.0,0.0,0.0,0.0,2.160991331251281,2.525279026209333,3.494190283788798,3.803883561361214,3.732388910878765,2.625516142368715,3.664088780208094,2.4262678369669057,2.900009945817765,4.7294239948370835,4.892460301866016,4.999680125292994,5.622232967766906,2.1654430796611983,3.239551329169631,2.6345762745858328,4.078969647531435,4.474615857753224,4.754935027847479,5.785998698666948,4.946023334713243,4.179612697402899,4.635830212018403,4.743973514157565,2.644268783070223,2.444943472594515,2.539219991364867,4.905112501184303,4.8878284394682225,6.094054172605324,6.68151410239988
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1009504404361639,1.54447137742028,2.1634421502256904,2.167183641830469,1.5363023040793702,2.1907919860471634,2.1875664699861606,2.169862549682253,2.5795450284493215,2.839645904605908,2.8805956155259884,3.5244265767930543,2.5426861549006814,3.2902780534610296,3.2756519382026874,4.527819267133416,5.092115859640068,5.467204776997188,6.292466458081386,6.030831968171832,4.828669696573946,4.803745236687884,5.613448472109802,3.55607824263489,2.9344570831216736,4.048431958171657,4.665570547056151,4.180369966617496,5.882517058228146,6.173607400558863
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.143930125525474,3.0475690292297917,2.54242255410451,2.156895216523971,2.537531040621821,2.4826229706228964,3.066628597809324,2.7100937793873134,2.521294036186277,3.0746022334058494,3.722415217010498,2.6486885546126415,3.5237259940103858,2.9283155136458845,4.078501132581797,4.836673509262261,4.840058560871584,5.582661938536894,5.528653385860849,4.051305271283087,3.8645853907176098,4.840982138148469,2.983358595433455,2.2264781267474203,3.6878897138581483,4.098850483456166,3.4707181887420377,5.3928147069750425,5.642595629615235
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098107345308286,1.0964424171992673,2.560343326294268,2.7891174694490495,3.5153282333098166,2.855601269452077,1.5341961258944101,2.1821383113712995,2.1987036518343097,2.177368419730705,3.124681967965473,3.322404846300442,4.0862123340683825,5.046884211518103,5.485963319932506,6.232754981099407,6.925231370078275,6.887493013863888,5.834005897139073,5.671183096405555,6.747918243580994,4.732865574436433,4.228859171861499,5.353369060808888,4.802783651413501,4.21841246789673,5.8271659003889615,5.936354738448207
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7601357688599275,2.7352122676150925,3.00840149142588,3.774715494053574,2.5914061928355463,2.1675873122390135,3.0847264823691454,2.540201316877958,2.5093767540327727,3.6670044132437414,3.7189852454210524,4.81371924704603,5.823289900678435,6.12152596174554,7.068751462970432,7.817135056265959,7.625998014729056,6.724446350232923,6.659419287772711,7.61140238997681,5.505809951500509,5.038557909150122,5.979954407849522,5.691250572383831,5.21796256544239,6.640246740774812,6.78028779984513
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48919091028693,3.8294646647969204,4.331043029815256,3.774670718786294,2.150329914864251,2.514903541248267,3.0820982495900857,2.4711844062099533,2.681097018175624,2.5475584244266005,3.677905611087075,4.396607034940773,4.726360347636324,5.725813112197423,6.348088670948991,6.392434893828898,5.58340775130601,5.441939590574669,6.584347359150757,4.6137356736135215,4.334345920852139,5.304590177085824,4.029811806717038,3.570847182082199,4.919754202230795,5.021928896090287
