 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,C22,H23,C24,H25,H26,C27,H28,H29,C30,H31,H32,C33,O34,O35,H36
N1,0.0,1.9701913853215687,1.9298439382772012,3.096922609297694,0.08781844734640132,0.17883477460379799,0.025786301008719592,0.02662267604139655,0.013211384238563051,0.0013325916581439223,0.029619108693023685,0.0016206687046655954,0.0005609666728407792,0.02489108709306631,0.004275028806519629,0.0008612321236007858,0.00011635282005872938,0.00034065187903586924,0.23019368399393292,0.05511288718122674,0.03250722488234371,0.006725784257555545,0.00020000723780755347,0.0015494721445922233,0.00031862451403863457,6.418982040123922e-06,0.0008125167409104711,1.4817758804186454e-05,4.620500319019172e-05,0.004921036450318564,0.0007313224802844021,0.0003737380250234956,0.0006328062135356194,0.0001356274857222256,6.715595374211236e-05,8.819247371838479e-06
H2,0.0,0.0,0.027943189679558555,0.11018195590224389,0.009675908937479383,0.030445281037164706,0.0012789569914024579,0.002757868316529022,0.0006036450931321546,6.557991136424413e-05,0.0011979278192008058,0.00010211843719720726,3.263700050837315e-05,0.00023223799055727135,0.0004242268095512314,0.00016741695061139872,4.240160139890037e-06,4.606242467564137e-05,0.006018719578618881,0.0022939176093612623,0.00034993773611402545,0.0001242455326366798,4.372866815316456e-06,1.9867898419234642e-05,4.102858056631575e-06,5.867417856020296e-07,3.200599224462142e-05,6.55707564245489e-07,1.0884834129587517e-06,0.00012501118690444457,2.6696472469778243e-05,2.6006590133853535e-05,2.8551729640668988e-05,1.7912769656902583e-05,4.259248735705157e-06,6.865893742435958e-07
H3,0.0,0.0,0.0,0.10682277588638489,0.0315984041577797,0.005092447553872059,0.00011497490271850097,0.007159314568449537,0.003952715434934584,0.0019107736312837797,0.0006727112504855137,5.7480277529053936e-05,0.00012049469142150215,0.00024527956321129807,0.0011165138820489195,0.0002815659874495502,0.00015435064427626877,7.957756424481488e-06,0.026151276101353926,0.06466172560097982,0.00392085692786337,0.0005385769056899248,5.198648403226258e-05,0.00010139687799082253,4.087873073155279e-06,3.9665949080891494e-07,0.0003974768413999019,1.5070186534238417e-06,1.3984068351957646e-05,0.0016590867200717563,0.00026475763205735525,0.00010935382569132734,6.985896918831891e-05,2.4652010980008576e-05,6.009012515351131e-06,8.246612657192287e-07
C4,0.0,0.0,0.0,0.0,2.1074649340808023,2.730635087320016,0.08676836583575209,0.14891915507044895,0.004812596574415684,0.011456244777001467,0.1737822195140747,0.029968715487943554,0.010135618194998752,0.010763179135054424,0.03211237071548062,0.0006080133526313869,0.0006068567037582628,0.0032276066458798436,2.7368732218486316,0.2710367598638094,0.20501189913311457,0.034646228654432065,0.002145821874670606,0.004972758439427488,0.0013907629804790211,3.6771501161547704e-05,0.00510034187128805,0.00010990052812087647,0.00033135116631144435,0.02897346103548354,0.006293331239033417,0.0028238774175455283,0.004315558627009691,0.0012570743601076767,0.0007625159709691715,7.491479688659375e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08057405505261839,0.0024747473704325174,0.025832678382205376,0.00017105365552350094,0.0012515814925504465,0.016909034299911085,0.0012485237840893504,0.006983420519249162,0.0003318359547364036,0.002740664071219978,6.663663630024352e-05,9.160590731571716e-05,0.0008388051696888166,0.09623644421129507,0.023536370983489374,0.007681830729610484,0.001414509879758885,7.944147602656493e-05,0.0005722656234388168,7.637357940271094e-05,3.2482836413993965e-06,0.0018464761368159888,0.00024120201929056506,4.036632557125053e-05,0.017969525016110266,0.003255268608155504,0.0044492696759541595,0.00038754582273825555,2.3127059227245894e-05,5.814353458755139e-05,8.520476774798169e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.060332406718028,2.819596100909479,0.08388535447764611,0.08827358501558424,2.843738634908336,0.08707714065678451,0.08459926938653073,0.08485314291530854,0.16199565759049372,0.00967627114626457,0.006225199634842138,0.029228339534622227,0.18698224684040515,0.036902187968576805,0.024188417175784946,0.0029375369685359365,0.0005599349021037092,0.0005606746946226066,0.00010188165954461148,1.3684439243988322e-05,0.0010377930219976905,0.00014524031663398773,9.468832202719213e-05,0.012563752208479662,0.011411340704399753,0.0010102874953870078,0.0014694894496697364,0.0013753929839029622,0.00033302763201534247,6.0025594801560445e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07988190373047788,0.03352139997186976,0.00259667317519674,0.08204110565283873,0.0037283221527388832,0.005107642038203464,0.033764886130735805,0.013098422562867862,0.005873187396457924,0.00012933992917396608,0.0007881266260005848,0.011325244335790297,0.0017110779225179007,0.0026948772564305834,0.00033604180729840394,8.524073778226615e-05,0.0002332147774137816,3.6694509509160866e-05,5.558035109043402e-06,0.0006381946297278063,7.26392083276739e-05,3.962631099208025e-05,0.008308249373831567,0.01476296203511307,0.00017869382577107018,0.0006041838335286709,0.0030107709421327566,0.00027452676527239817,2.3300593408270842e-05
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0594743001796356,1.9610957044938784,0.15941146778738752,0.007016698663520282,0.030567510445296486,0.007976340115174674,2.9163070650063756,0.08359824805094207,0.08311735086097771,0.0888655153030018,0.02076377438570623,0.016919175869082856,0.0025423102023988675,0.0003383794567170806,9.092962736989563e-05,8.884715132859156e-05,1.9245265607592543e-05,7.414633384383862e-06,0.00019173290649318608,3.818099667252106e-05,2.2839414019149018e-05,0.0017969957762511701,0.0013820830877819823,0.0002119970353609002,0.00033935248532798723,0.0006929178221822124,8.877751364855246e-05,4.864457433528813e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02418901733452783,0.011850327286187179,0.00019747995277885622,0.0007959925248908206,0.004648630374202156,0.08323859785330123,0.03375290034959044,0.004798600151105337,0.004180080917506546,0.0010159981628483639,0.0003287348235238019,0.0001942504996197414,1.4233251682371773e-05,2.3329666156701734e-06,2.104440960937204e-05,6.893483069037032e-06,1.064789285853962e-06,4.813347516741118e-05,8.138652933586954e-06,6.385927455720974e-07,0.0006097606739257078,0.0007896288157849263,1.4665937859703604e-05,1.3830505588341424e-05,2.5929399946500453e-05,4.4775054415246984e-06,1.5397475738865296e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028508498441049746,0.0009647585704128936,0.00195739913376336,0.00035054553236313346,0.08870078648216984,0.004722459082088681,0.032578421879864816,0.00523510782625336,0.015681227078538917,0.02897594402391912,0.0021848923656206942,0.00015507160192007596,4.05957092599607e-05,1.8642344999708627e-05,7.233374409665316e-06,6.429985881295508e-06,4.0891850245028394e-05,1.4767118372560617e-06,9.166781965719295e-06,0.00022416019192195158,4.144702211372753e-05,4.5997866315428126e-05,0.0004982106205049242,0.0011771097958728216,0.00012639660727897795,3.767515644348407e-06
