 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,C22,H23,C24,H25,H26,C27,H28,H29,C30,H31,H32,C33,O34,O35,H36
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1803742658376404,2.1200902691012278,2.0953182170872977,0.020914297827285877,0.0004225368709032118,0.009055879435542868,0.0021219845197413267,0.031658977449671916,0.007661989842086846,0.0044896141150027324,0.0006740894300023975,0.0001272224536686961,8.119364560549291e-05,1.0927968878693406e-05,6.67374538743104e-07,0.00016820935103616097,1.124709530164747e-05,1.52411455188739e-05,0.0013191742762870134,0.0010104633898798676,0.00012641074514241346,0.000371357182505222,0.00015879673575271147,8.511791663884383e-05,1.460902241301465e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023698996113808102,0.02450753384834692,0.010675058066986765,5.4336547227196164e-05,0.013030226293581748,0.000665176333239037,0.004715898938590257,0.0016838794324227635,0.0005841543322300247,8.653397969471399e-05,9.180213471626786e-06,6.747911274196383e-06,1.6158306384017607e-06,1.2237003188531048e-08,1.63669361925578e-05,2.79789337698233e-07,2.6402959858451425e-06,6.239822571618703e-05,4.8035950900082725e-05,2.072770048111572e-05,5.4702113057691903e-05,1.884137747998338e-05,8.44961966950386e-06,1.3041174766748043e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02383378201967501,0.0017263641301410448,3.8789380380599425e-05,0.0006144475957279294,4.184352961544846e-05,0.0009482211244205008,0.0005208531208316103,9.411477259990697e-05,1.5409863207693775e-05,4.677752908577304e-06,1.4020086907429175e-05,2.573724023235968e-06,5.30673098353418e-07,2.9139270697919883e-05,6.72801767942488e-06,7.182328725097165e-07,0.000220525437180763,0.0002471989381278572,1.9419874747628185e-05,7.101319347446733e-06,4.8436797104312035e-06,2.6188562474160904e-06,4.468800092194414e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043277441368716474,0.00018739750443019787,9.39585517134578e-05,6.2131754224648e-05,0.0021387791873017648,0.0002457004357678816,0.00034386598245372824,6.286798688281969e-05,7.471900187461245e-07,1.318011893136628e-05,5.813328449288946e-06,5.023811919802057e-07,1.0978013670559505e-05,5.135454741456158e-06,1.1056816773269418e-07,0.00020859346460033734,8.661824358946468e-05,1.5054137353587294e-05,1.718781759629806e-05,3.788888402722623e-05,3.2267038077016252e-06,1.0059673856144258e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0968060344755264,2.020091587567129,2.1610511946004918,0.0025107814940526496,0.001773697625098658,0.0005376863541025623,6.804070618945945e-05,2.199629188726071e-05,1.3851215319563015e-05,1.1661474568214203e-06,5.11857879526012e-07,2.5354169152849715e-05,2.6141377901245377e-06,4.261725776943948e-06,0.00015988772333049017,8.131256129084719e-05,6.699730146420002e-05,0.00012224800603508057,0.00031451457989534193,3.1763027776812724e-05,1.5005618095864648e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023106118924806962,0.023301610681452534,7.329941102884874e-05,5.655194736453595e-05,1.3396924968711588e-05,5.030470377587193e-06,2.311514108122026e-06,2.453561609661037e-06,5.16122069527114e-07,1.0765609537166654e-07,3.2353265364548633e-06,1.8446059626420208e-06,1.32208313852189e-07,3.0004781282677584e-05,1.5903522389670854e-05,1.709116260517618e-06,0.00011117191343790189,0.0006817201843254406,4.17316034102555e-05,1.0497734557191052e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02333439840884477,0.000536381440114253,0.0005404183772981241,2.0726256850789326e-05,6.506765893199429e-06,4.997075339296941e-06,1.2303949672443082e-06,2.328165664700066e-07,1.2103636826132913e-07,1.2624855496579102e-06,1.9149103636095788e-08,5.78792871186451e-07,6.67482726179891e-06,4.728355891714386e-06,4.1312572363061406e-07,2.583001313727351e-06,4.269258917277696e-06,1.612288047514454e-07,3.5062881487135655e-09
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017471345412523043,0.00014462757576461094,2.344285669142465e-05,4.954000827783744e-06,1.0848372149485641e-06,5.733275880714928e-07,5.910205724823925e-08,5.131639513322739e-08,3.856595077289526e-06,5.670051135275855e-07,9.940822232046287e-08,1.4424412035252132e-05,8.984883506091279e-06,9.46395238710096e-06,4.523907336739796e-06,9.75738674835469e-06,5.340995652414193e-07,1.0140534167923931e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.745501819671324,3.4914407988551543,0.2740271134052398,0.019323802410288637,0.02986741015848074,0.0033804924456084517,0.00023269189352959074,0.02755506502646951,0.00017428304616884382,0.002999608783293084,0.23953916065513886,0.015097972750300226,0.021560651519583196,0.04526794024205877,0.01058697609688547,0.0069325036455192,0.0008009538763268376
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5332794288841312,0.08577039919416632,0.027814013010038052,0.010484150271795487,0.0010419852738772217,0.0002758620641817311,0.007924739347736715,0.0001667892688951289,0.0021447058302438426,0.056085192442791726,0.005925087216683722,0.01091642089617162,0.03555019252293212,0.007044319415495819,0.003910686656776727,0.0005747413145241742
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8386377581294826,0.09114728730579225,0.2025553108405753,0.022140270380826887,0.0031826002673309706,0.2070503928142994,0.0031001940641477432,0.022784741971050737,2.7249857767372117,0.088409327942367,0.09597683679817459,0.18685550887122587,0.030777778234809886,0.02678152817834814,0.004662796714285489
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8517832120688353,2.5888751325835013,0.07924590573490731,0.08969733219597953,0.1975154293996407,0.004757716401164069,0.026071071981086824,0.22182467598540279,0.018591424132415213,0.00922060055029017,2.6034599355193047,0.2740972310584678,0.22041159102216748,0.05526858838354176
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07836554118286776,0.0016169523521081253,0.010116359153991228,0.02211317286456327,0.0005269577570363726,0.0005484672509159516,0.018854793187505936,0.0008794886821645864,0.00025844838219279964,0.1068600023890891,0.025479610204255154,0.013313407122887533,0.0009238958452881807
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872761684285563,2.0742108615381136,2.514757855290603,0.08583585814266126,0.07809375902936777,0.19813282232729515,0.022800675527865133,0.004314552381609493,0.18896961137431273,0.04109857840030327,0.023109446517558085,0.0018031899627906078
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026484963776279846,0.07823406962318002,0.0077574224972014605,0.0010575588871446495,0.02667723116504872,0.0006494571500634816,6.06898484241114e-05,0.016146542227427174,0.0023502156923133066,0.0045171694927498285,0.00013751000298434235
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08209811930480737,0.03121186173780921,0.007667266794945338,0.005638754151674252,0.0002979169040675522,0.0008825710932167663,0.024318348790044908,0.0059846230332891714,0.001828320024953034,0.0005808338446198213
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9667395276913167,2.0563683118306786,2.7402259573071683,0.08082056651284142,0.07754656907433377,0.014837254154690033,0.009302986371492974,0.0036880401174761296,0.00020899035362986762
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02608986609631514,0.08097461391186722,0.010347022594151989,0.02617578710984314,0.005158393285565888,0.010595210606651584,0.0009947311759190836,1.9560324840517396e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08211194542847222,0.0014254153232424738,0.007983407831882339,0.002046811659218273,0.000626700492769694,0.0006382836395321112,8.728094483156923e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0480924231546656,1.8575600195616822,0.016762770263741567,0.0037977563697594446,0.004512461061797993,0.0010122208502360008
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02411572081258373,0.0005275724635924739,0.0002875179913770509,0.0001586650448197613,4.248956089658584e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003136804987338593,0.0004508337983730737,0.0006618879474560302,8.942861987937256e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.323075223373534,3.4697547923000016,0.168061004166857
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5184245609190238,0.06687760158505762
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6467534929301826
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
