,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28O,29H,30C,31O,32O,33H
1N,0.0,1.0200886001694258,1.0219114280598163,1.4627741025450747,2.0827819267122893,2.4689121924683444,2.6788499382713846,3.409646825604071,3.0546068311544223,2.6373094925594485,4.364801169085509,5.02091863834265,5.041967414072739,4.419043712532513,3.8178654954047073,3.455351633456483,4.5877477027832265,4.516673516809599,2.4921502143898167,2.830061676980305,3.6676647248238874,3.9393349062218537,4.9250242686703025,4.916198297214221,5.976135971312264,6.89655920611985,5.76682192056418,6.39804986763069,7.022732432616413,5.704450013714567,5.557365160936376,6.948345688890632,7.4779269331166365
2H,0.0,0.0,1.6190406066947078,2.040112100686152,2.312090378354664,3.352763157464333,3.6409670931305245,4.183999719145895,3.9296426779676805,3.486569037372484,5.318272161802377,5.953656741427963,5.947798248633724,5.427296176692378,4.4442363280746315,3.8582278406131323,5.193422659812226,5.134475831542453,2.757856444751489,3.0521252782945836,3.7964547809404787,4.1038353892516914,5.016808606433577,4.947677021281461,5.878008776043738,6.800499575402979,5.486360748097177,6.358326549286501,7.086012721817179,6.026181706052424,6.059227000687564,7.212281563691116,7.845068210985059
3H,0.0,0.0,0.0,2.014745805859059,2.9034895269373786,2.762896545397848,2.5556307778298786,3.690337309419034,3.5451398784874155,3.128329546201693,4.622122335431808,5.278779490165893,5.372811005480692,4.4335735505213085,4.57154108568572,4.360445189643951,5.340842034178695,5.218082995703099,2.5503189585071966,2.431521436591942,3.890363154271165,4.3672708979141674,4.9541612361757466,4.751053545987995,6.1474800260459785,6.964100694051981,5.98923040174809,6.747396742282494,7.319836241674362,5.656886367721888,5.541499884739243,6.8219310045860455,7.325096929588407
4C,0.0,0.0,0.0,0.0,1.097723728662088,1.547008177447848,2.146011278196733,2.173181804514388,2.6029432935961005,2.754275480501305,3.9281434344715676,4.29161776929559,4.764003687224669,4.163967025285845,3.1810783117147086,2.895649839634069,4.172626301416847,3.568752990237788,1.5388709140945187,2.4215136738977368,2.465702304677185,2.586516816802025,3.816563722894412,4.061310157736223,4.883814495855235,5.8437464746855285,4.853413932934492,5.149201711137777,5.700481827369689,4.471872449384208,4.252762066033209,5.779708322923573,6.276162073022761
5H,0.0,0.0,0.0,0.0,0.0,2.1734145426877287,3.0572530296048677,2.5480985999314254,2.825504671878126,3.0421425118843977,4.27983675626966,4.575163591193745,4.987299089664272,4.753757884204642,2.82895252440885,2.236831920665226,3.8164700525057964,3.1668163165512047,2.160597392101849,3.2427377851871575,2.563040623534902,2.3266426049717324,4.005780474346877,4.443347779146293,4.775941840171239,5.82433683055542,4.654235405640422,4.804300156437543,5.432865290134283,4.772999513111577,4.5976543768633515,6.083067619680971,6.6221462173498615
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0994488307276278,1.0996604532068592,1.5410954161214792,2.1387267949010913,2.521081463188046,2.7967656788151163,3.486019648677162,2.761687766708023,2.5574882058076085,2.8486350190905037,3.509906324244944,2.818082436236912,2.498091184459379,3.221881478513419,3.236150165533065,3.181312569758589,4.415137971022369,4.7687226284613535,5.6339088493958425,6.529731380516931,5.862557921304887,5.733211697786396,6.068705458823815,4.552677388282266,3.933864106839062,5.882348079006478,6.148154472160841
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7554625868823883,2.168513797786173,2.5167076360334417,2.6671234875329395,3.0102342222226914,3.6899179565274793,2.4476424921054676,3.4957145963844085,3.870115908758895,4.327432489111805,3.783733011470831,2.7174629775520023,3.02072857201709,3.675499722954331,3.869425770812481,4.647349399705019,4.79650617346729,6.030863543699719,6.818213828007435,6.304240547327238,6.3227198612018025,6.601659076459112,4.655782787611968,4.027004178595119,5.898803126098413,6.100980706933185
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177348548738922,3.0568543702470046,2.814944356735332,2.6447189653218617,3.8207250553232677,3.1752831058252187,2.783935124563795,3.164776455344434,3.7883274281263084,2.5953929632781,2.6462765780225284,3.4892177056600864,2.935477851501969,2.7150702731264147,3.9554116336242413,4.495664409100275,5.129131477404885,5.986641772108245,5.531857190800535,5.076684434741238,5.279696188706617,3.8311961299498654,3.061315997879555,5.155052471616376,5.338750682617809
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972626739396805,1.5368573005032637,2.1879280598623687,2.186321778457433,2.1898125227739538,1.536690673574849,2.1985988848554494,2.182055360283654,2.1870331778127197,3.9136865938454313,4.6567165234013155,4.588857031224091,4.3247612164837825,5.85062436595951,6.2704316598395256,6.948467636905812,7.900436314220763,7.123560400243295,6.857420234470259,7.196737749028078,5.9639001255226285,5.235090690508646,7.300629421500141,7.50546674975484
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1536333077089806,3.0775563527732315,2.5096462923433265,2.5028448686323377,2.148678827456333,2.4914812028134805,2.512927540949701,3.07334381856282,4.1895795772547295,4.784668106060736,5.07756106184627,4.933967758402305,6.391301507151972,6.677413127672412,7.498914380923085,8.46481025768834,7.54332215915753,7.5280093640148875,7.960071694964039,6.677025526749391,6.05684797506673,8.01241141929218,8.284784243242283
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985546642213435,1.0969999450321475,1.0969532029082851,2.5253634223392827,3.4940047572075175,2.743962400014738,2.8143225846862006,5.0125175141004545,5.608017524081608,5.649253228111522,5.399500805855137,6.738575133537332,7.156472534110639,7.931485373817535,8.800308166210081,8.260202602591226,7.804278779090632,7.985126115150494,6.5280361637854405,5.594136070733643,7.787881188572247,7.805995615882627
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716741765281923,1.7717813692875128,2.803217754569806,3.8306984398947583,3.1116684681274904,2.6459869687148116,5.16873437364919,5.832723777848454,5.576381412422231,5.238789591876753,6.535004835949343,7.059897976565565,7.682385719638657,8.50191324832624,8.137121046911558,7.440128920593475,7.4997365417817194,6.116022829211729,5.072636517808037,7.319125532307438,7.23670610481529
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726685515477156,2.7636365630499067,3.7619118561009466,2.5266276798801273,3.1562474632356188,5.977869998934114,6.599902597656367,6.610767089174785,6.291443998571853,7.756282304172936,8.197979613855985,8.891869369214524,9.793405839583643,9.180557358259158,8.686758221704638,8.88255311349856,7.577482273049833,6.633279375209529,8.843745817170412,8.852013706184914
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4898990797179934,4.352571733178518,3.7544094920197786,3.8271992941936097,5.097129484800066,5.45941908706088,5.898813491942694,5.8278257775586155,6.888969045035916,7.159939055519988,8.209802726802637,9.011806266412396,8.554468370794767,8.250512846156516,8.415265076745369,6.626533266434824,5.708670258037167,7.82902642779366,7.813984578601009
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096208510585411,1.0968198408254968,1.0990960940655419,4.507404083506338,5.497371463001155,4.83092073816018,4.271819820706747,6.1518351465077625,6.7645037488440245,6.971222522288174,7.992361086690064,7.099527353229658,6.600641344741636,6.96729041680551,6.3450608266704585,5.656023031980743,7.685448230908899,7.9263092751858135
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764587545357324,1.7755787096005504,4.245859412267915,5.297091800878556,4.519267828398275,3.9422898962592465,5.912658107532861,6.513160253919858,6.583302644172371,7.650435545782205,6.559519393907083,6.2257441127124284,6.723465889355645,6.3579717617885,5.856056572664869,7.6977442969432515,8.064061904898383
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7709839974351111,5.562522130038852,6.510371177527199,5.923224619196779,5.347864176595803,7.247741886023122,7.856753598180692,8.041207223700484,9.068323165934746,8.14889901847294,7.613832211727277,7.967803847954731,7.411994060347432,6.674603807030245,8.74499008197816,8.947831467257265
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.636105884288791,5.701446758261893,4.681643732699753,3.982960581145205,5.876629423934697,6.6211138348645955,6.614869528333101,7.5996346867978,6.874215741455122,6.0803357039224935,6.33101396629908,5.8912153452983285,5.126365380329689,7.185239550896404,7.354237505345405
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2269449962966437,1.3715949325824695,2.0637425941752414,2.4571123681221967,2.538267882073072,3.6770562203542263,4.525482930333759,3.7189064468404744,4.263195329434631,4.79072853466063,3.2797348408816975,3.3860759874130744,4.4856591595931175,5.088390686915055
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279258927254944,3.167242135313911,2.8045971547853457,2.3826165236172656,4.124516189826584,4.7636990794905945,4.142969479245729,5.007184872266044,5.4850629965375015,3.566849173716446,3.8110735720861646,4.564905231286647,5.16822515886536
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0122356613117838,1.4429180228297245,2.0543061524323307,2.4523492559569084,3.3959948828359434,2.657498002965037,2.896089427809749,3.4355176883754206,2.446255833233039,2.775154577513181,3.639802039988786,4.323517227664843
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0940105759755507,2.9509747811013605,2.7018067961669003,3.731713430716802,2.954454508990567,2.611915749636217,3.1437513626273548,2.79421585977687,2.885267594303107,4.019109616491784,4.6117103278887885
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0961056160893052,1.5391703652789799,2.175525119867004,2.1493937620609893,2.4498008406118754,2.7840036824972882,1.5336512575092933,2.447776791850185,2.3878056030664054,3.2223130778146722
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1690018814974223,2.48827852709149,2.4876652946668005,3.384535238536621,3.733710391565872,2.134838193889148,3.08418146705029,2.6762721442595185,3.5341778558215378
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096737707477394,1.0934205562926285,1.4237835708054725,1.9570363725223014,2.5377645078729842,3.535514670800108,2.8623966840738757,3.765541904805318
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7796223245403278,2.0965965613630293,2.2498625351066437,2.7973404471389194,3.933735777014315,2.573271433841154,3.4861925187368223
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0224959363186192,2.8119152580679763,3.469878612234776,4.4245123286657195,3.8682459495583,4.802508225871416
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701413918590845,2.9920991923063696,3.6611562425398496,3.4222624859318898,4.120417034264328
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8160903852260804,3.4143006397624687,3.011679332490846,3.555182069003475
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208382353537609,1.3580642026093845,1.8821392547371445
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2544159954288694,2.288369231378473
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767623041957308
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
