 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,O28,H29,C30,O31,O32,H33
N1,0.0,1.8220679505467074,1.7167604977191757,2.922698535886078,0.08766390771410426,0.18495300156640454,0.009266900208145024,0.02763278318132012,0.03142525736907635,0.03324110374531808,0.00403319191587069,0.0008979824076114085,0.00031358318054353074,0.00013374047555070323,0.003118421428217555,0.0006092505214609911,0.0002336116672816413,0.0002982549581431737,0.2306359375576807,0.04962877697019046,0.03484988234318499,0.00257382625679492,0.00696578218001781,0.0004379376555170289,0.0016009968144100467,0.00035719603015693657,5.6568565183656716e-05,0.0001213934316557641,2.834911560722908e-06,0.00036609288589511957,0.0001570605948139417,9.245384053617467e-05,2.4853403425284526e-05
H2,0.0,0.0,0.027307584792116035,0.10710480048339366,0.007672189880655322,0.03248350180513371,0.000992519842404338,0.0021663340275419607,0.0015302102981802346,0.00030942524169397245,0.000252691623870982,0.00010421247924474741,4.4652297471747815e-05,6.473907965043324e-06,0.00014198020916356136,4.0094481011276883e-05,3.3650048831823653e-06,2.649182473724032e-05,0.00711496597446315,0.002976748168405763,0.00048803635746952345,3.278073594126241e-05,0.0001647318632114203,3.0587791304270695e-06,1.2130541026222907e-05,3.2869919668332415e-06,9.169496044680869e-07,3.8789261258553864e-06,7.548650016175884e-08,2.70965142830093e-05,1.8742372011715247e-05,7.725262130553467e-06,1.5905855088593768e-06
H3,0.0,0.0,0.0,0.10706198261036504,0.03576909330356992,0.008463959238704577,0.005136016575038038,0.00021485340070293013,0.0005982003741488162,0.0002347337053405507,0.00010146521870268987,2.8055138136640068e-05,6.355499095889172e-07,1.3159987028776854e-05,0.0003950715424055895,0.00011779074819218138,3.460629847595875e-05,3.351606462032031e-05,0.02045233930214818,0.05155329684434473,0.0036501838311955304,0.0007731914049069477,0.0005529940126390853,8.643419484677395e-05,8.332399824961811e-05,8.272623820637648e-06,1.4435926665168353e-06,3.552002313644831e-05,3.5403720706206343e-06,2.0467817885228e-05,7.757901643867804e-06,4.729563461314257e-06,1.4655495417237319e-07
C4,0.0,0.0,0.0,0.0,1.9090828702951055,2.6016430536994286,0.08647421560936208,0.08859348967508218,0.14864892809012814,0.010232237486789142,0.031878183999829085,0.0007325136507576602,0.004518308874262411,0.0009889540285485943,0.02062857601408452,0.008876818113299878,0.0021783543504538816,0.000569530477665614,2.735291374815228,0.27168644144657694,0.22496320029561004,0.01577788127394464,0.034958493874980096,0.005856889452186986,0.004608145093491528,0.0013705129112813186,0.0001599962840299618,0.0004655258910243598,3.140178666694027e-05,0.002650892882169714,0.000818421378257217,0.0007304175157006876,0.0001619798780666537
H5,0.0,0.0,0.0,0.0,0.0,0.0777420125452053,0.035074167842757076,0.0030862933314426133,0.007990573672323809,0.00012450643196326716,0.0012158121567777957,4.436592753465085e-05,7.410465620782958e-05,0.00019840450575170365,0.012541428065095062,0.014191492113380555,0.0009132717209257013,3.213060938977996e-05,0.09568330019378912,0.023650112462441975,0.012085857012755774,0.007865864008392176,0.0019908209914536457,0.00021394799780161122,6.575816329323914e-05,2.281334824161263e-06,1.4951623566572536e-05,5.24471934456594e-05,1.984644935726365e-06,0.0003289201915595008,2.735571293110972e-05,9.268967122288974e-05,2.3628010404674882e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.917303477416893,1.8341768004789427,2.846870176737742,0.08443539013481471,0.18004388701938118,0.009306549151347099,0.030525177056338615,0.010560111228235192,0.1598055977905793,0.005749324535278211,0.030797093876774095,0.010070621358168275,0.206410913775574,0.039322352959148724,0.02983272724548927,0.002219688705985323,0.003425728911823689,0.0004256677435042766,0.0005110969717570246,6.538798338628915e-05,4.6331277502309476e-05,5.537128767071908e-05,2.9916585495559644e-06,0.0019972153324911146,0.003826597793511438,0.0006395177487016068,0.00013637411506717267
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023151199734079198,0.08349554495158973,0.003335592360024897,0.014526735265808943,0.00024158400855056605,0.0010359214514965576,0.006307805141042122,0.02958223403090532,0.0005462258153119404,0.001632421926971661,0.0004904926358393347,0.010349988517975861,0.004839608177831689,0.001201867465255857,3.706973654593604e-05,0.00011932282403726013,7.95078404536298e-06,2.8302349383446668e-05,6.603493672319161e-06,1.770776047127498e-06,3.014154460245777e-06,1.070936053171323e-07,2.5737766698119557e-05,5.963731434799335e-05,5.891170078098362e-06,5.036429879812232e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07912370652455203,0.03443238701098661,0.007250613254530913,0.0036487632532116177,0.00032557300767432906,0.00015527045924823568,0.010584837306008454,0.00014143567535462864,0.0005865184618176755,0.00514085363775818,0.012570920821873388,0.0021779268489213743,0.00593790349947021,0.0019471896420493184,0.0006299351953347188,0.00011128325770215497,0.00019163051344417426,2.695141649189381e-05,4.339027509958626e-06,3.807508664688264e-05,1.0574425886034078e-06,0.0018119611941165292,0.011113382991122855,0.0008371852295735449,5.52725553797373e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.788044709623902,2.633757593226534,0.08296596877720885,0.08479772821895559,0.08286704270482681,2.64432060664602,0.08352900500356975,0.08579255077243886,0.08099241454554273,0.030938120240811495,0.008379502653022869,0.004629718004464101,0.0005712330572338331,0.0007235580100635741,0.00012467803741111894,5.946601936043794e-05,5.956941360629742e-06,8.76618361433934e-06,8.28179695194775e-06,3.139935565998897e-07,0.00037043364746286445,0.0003758874620208852,0.0001229470541164318,3.535050411851426e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0840269669303837,0.03484738420156708,0.004530889289215745,0.004506786504243188,0.0829163878808934,0.004949185248162902,0.0039290440986761155,0.03468584782500561,0.002064743941382563,0.00021407045083032816,0.0004342922789335457,0.00023555283434295582,7.816154372597417e-05,9.230789992376032e-07,1.5485578324980764e-05,4.427238143867029e-06,7.823550616237185e-07,9.747727687248187e-07,1.7912777083850528e-07,3.272188592662317e-05,0.00011541414634586022,9.21981329382593e-06,2.903297259937432e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8442135130592967,2.1980823074547824,1.8846633377852031,0.1727268532206352,0.03115184020907269,0.011071549745423459,0.008643658154454004,0.005887412339819598,0.0017054943497861533,0.0010046638180399303,3.284566067573991e-05,0.0001836083021004853,2.0416087680441564e-05,1.010088451541824e-05,8.042905086380614e-07,1.9890680157397256e-06,1.8628643843193737e-06,8.57001560827797e-08,7.444313553245374e-05,2.5828555416607113e-05,2.0513342299896542e-05,5.971063466669868e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022597187094433924,0.02275136787080423,0.009234229498682911,0.0005103615941515205,0.00017899561033307698,0.004196467730716247,9.890163154557818e-05,1.961316165433047e-05,3.7239142176792583e-05,5.316827746737474e-06,5.388172505949029e-06,6.50682936864655e-07,4.290673536466727e-07,5.74103475869947e-08,1.074009763346595e-07,4.220699856283261e-08,5.376922906918935e-09,4.76507649493918e-06,1.0505497352486515e-05,1.8119435174490661e-06,6.040963900222351e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02395253654971463,0.009743215184678355,0.000650777573500072,0.00472403199773086,0.00016526429625329797,0.0013940475413902753,0.0004111105075876864,0.00026398044307818225,6.98896907236346e-06,5.1815231524754424e-05,5.7820075356485034e-06,2.7810849931864112e-06,9.34754598169718e-08,7.245864575011751e-07,4.5377431545645663e-07,3.4737226428660506e-09,2.3469421070565488e-05,1.3582298833414441e-06,6.399614647767393e-06,2.3134838011973358e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031839161925179216,0.0028354335112954487,0.0008227552914716885,0.0004652005234957457,8.850347842837003e-05,5.248860918605214e-05,3.4210821500124666e-05,4.114625151707685e-07,4.274034703488638e-06,2.822362661358824e-07,5.404312743984008e-07,5.345677700496765e-08,6.263636542769291e-08,5.445346840105003e-08,3.3199447635468005e-09,2.1299506123284573e-06,6.464101498515618e-07,4.53594172888927e-07,1.6893944976281716e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9001206793244712,2.1945723687957193,1.8807756457922533,0.0031914063528841463,0.0015975626920219227,0.0003368452180183973,0.0001756779005168685,5.16039542833302e-05,1.9245786732513537e-05,7.377024948462818e-06,1.0107193171293716e-06,5.308332466924526e-07,2.5740074757751863e-06,1.309189883169637e-07,2.161572794331934e-05,2.034370755121806e-05,7.0404945339275216e-06,1.7313456743828226e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02400611197233493,0.02308015805528041,0.0008678835642248472,0.0008922786042677711,0.00011028659106560035,1.3048430321349613e-05,1.2061707712174297e-05,9.583615419472835e-06,2.268780743053256e-06,1.5936685260342642e-07,1.8244684518720078e-07,1.1545353706399197e-06,1.4628737443622697e-07,3.4683319205530694e-06,1.33778867517087e-06,5.93067624343746e-07,1.7062890278474185e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02277604227362451,0.0004320622147371278,0.00027164122783651656,5.0767930349859824e-05,2.342915654662825e-05,9.226984597932031e-06,1.1685300171926372e-06,7.426441255287131e-07,3.842459306291346e-08,2.1325595200849534e-07,6.800122707151246e-07,2.2364734508784068e-08,5.627208191860689e-06,2.310879911981978e-06,1.459602371411961e-06,5.400730640481299e-07
