,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18H,19C,20O,21O,22H
1N,0.0,1.023094160915706,1.0225294470825819,1.4743395543146853,2.0931426078166826,2.4716799548250883,2.4966952122850965,2.893435244205628,3.888175294798921,4.720380172038652,4.396545198569163,2.488923942444464,2.7430930580786703,3.7043905734427627,3.941149431141481,4.906820708108343,5.680913095136921,4.896624452895267,5.72834617687997,5.642898597104747,6.97668566893088,7.5168573724473395
2H,0.0,0.0,1.6023372718096558,2.013710108715933,2.518474921955952,3.30099008999594,3.4882045698159745,3.608732635378835,4.659731490976214,5.602481241586752,4.968263740349797,2.4297136280706617,2.257023851899058,3.7507473836732963,4.223432402219267,4.75769457652733,5.656659308529599,4.605820663864696,5.429548567113865,5.303542730735224,6.632272038301053,7.115711583482423
3H,0.0,0.0,0.0,2.0231932453072026,2.9096326223531337,2.5241446170488833,2.4650267239618,2.574822453419786,4.082584279703656,4.798875446662184,4.751478640126,2.8220779385223596,2.9276289611725805,4.029804629413698,4.303824879409396,5.149930071862347,5.828269031684336,5.001233832210817,6.164894859351854,6.255760022981748,7.327262581068703,7.958098836594519
4C,0.0,0.0,0.0,0.0,1.099691771211076,1.546324260400314,2.1458495566964553,2.1743963840942224,2.683125645197453,3.7279584576028317,2.9761591953812663,1.5485265319578427,2.4396598240261183,2.4386233257302163,2.4946601602250573,3.7903405002557435,4.469813237070527,4.038399749246618,4.66172894132695,4.636270645788061,5.9419555891306866,6.515451758116724
5H,0.0,0.0,0.0,0.0,0.0,2.1546278215459767,2.6155176975238983,3.047737142092838,2.768525956012304,3.807716340662869,2.819239036433686,2.137045056625722,3.0806292031672897,2.702282027858938,2.5511792244119857,4.060606528702759,4.767667567902873,4.508614735938564,4.628964525492218,4.346211377980922,5.9808596934941205,6.424854970731336
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0953690877104543,1.1025087958043018,1.570273772500332,2.381604578400888,2.438695207607148,2.5929331510057403,3.5821902821010743,2.994823872956697,2.6302584014571218,4.341962013029201,4.686874089053065,4.6829076458668775,5.456621927473593,5.614670269955745,6.6452779501118435,7.323627785271512
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586223131142176,2.1557852854701394,2.483203640415909,3.2492971143655582,3.478616823928698,4.332167510254216,4.048338648003006,3.6775976756255617,5.411811480588587,5.781306294812786,5.703029904662077,6.485670516386006,6.557081438246075,7.704243965453005,8.356854286059322
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177608162481499,2.8286025069188745,2.9804614061750696,2.7159685768839212,3.511518991508925,3.0933579233976007,2.9166772789588027,4.235897069724224,4.460505156679624,4.400606239772729,5.553816997853605,5.929079637985362,6.609450648154259,7.3869680090577
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2424068459170052,1.2781993470494275,3.4415058973717185,4.623227980353927,3.2177802457250113,2.3730491372965727,4.474817625239645,4.557579472240742,5.113947554109225,5.471495715643908,5.615381242346497,6.6033833463672655,7.248076973296172
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259370265214515,4.627155087079377,5.768742045338235,4.432682611656625,3.5658176529995718,5.634860835787139,5.597083486443701,6.260510261817064,6.656716661780048,6.8118674808012045,7.740355067426251,8.395332057972663
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2847853897170602,4.516095016653969,2.623579774355178,1.5791189250439026,3.7289659958923753,3.7562444518997244,4.5681017397395625,4.522689279755059,4.6359477442446595,5.62279635281872,6.20676699315916
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.239793865211963,1.3518789210168403,2.0544816532919934,2.418498100610695,3.2493128786161103,2.521222186805778,3.3577306162656733,3.558694322421593,4.555196104347609,5.186356506325823
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.289256975484544,3.201571339925571,2.7847857259614734,3.7228977152783367,2.396692395519376,3.583845154448586,3.8370160243990954,4.614016531123376,5.219141209505053
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672728599707773,1.4295003228218157,2.0913736121295776,2.0702027270141916,2.4837478735941874,2.887322350042724,3.65604482640684,4.344089924599708
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2037284817974,2.4778682167880017,3.028632435565175,3.1005786969307016,3.3661485659582895,4.250742059370866,4.892852539742555
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976757503222068,1.098297789396142,1.5241440759123708,2.4601207343039935,2.376839541216636,3.200028544554478
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729150117078298,2.1302290924864984,3.181046111147378,2.5239350279308064,3.4308777323029225
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1177987663737543,3.0693513244180592,2.659843661291583,3.5081973951950167
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2076964255886278,1.3702344765595127,1.8733729983154215
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25192118766562,2.2532939637492295
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754650005250028
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
