 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,O25,H26,C27,H28,H29,H30,C31,O32,O33,H34
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0352472844844973,0.6251272756792037,0.029654852793415953,3.31879895186852,0.10923248687759723,0.003642994190590665,0.0010182103313827184,0.0008367540514589017,0.00047078579738435433,0.0002641597139034779,0.0004136068693260109,4.649549963584021e-05,3.349177955525029e-06,7.3221520781041605e-06,4.95807305544993e-07,1.0368571690871908e-05,1.4343125176452531e-06,2.0438673098421845e-06,9.208629367929433e-07,3.7424096502924886e-05,2.5611788492529985e-05,4.907923922811697e-06,7.114992809365006e-07
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030516350205684217,0.0008654164188679481,0.09737528997506395,0.004563867714258318,0.00014593359365755454,8.425073310891484e-06,2.6538557921451655e-05,6.803292174062392e-07,2.1935745495138548e-05,2.4287597530037175e-05,4.695107664653975e-06,6.031930910310734e-08,3.5949434407100966e-07,5.226884924880437e-09,1.0968617749629317e-06,2.8386433537086475e-07,2.7947296921126963e-08,5.831520488719377e-08,3.651364288037584e-06,3.5539280296426057e-07,4.709326769658517e-07,9.711772652742923e-08
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070943916507619,3.4840654784836214,0.11751049054554374,0.0025274638000973293,0.0015108849376299915,0.0011079521448182778,0.00013636381252146723,0.000652924933353255,0.001153843519742015,7.39443300365461e-05,4.685360286416085e-06,7.83801225696934e-06,1.8396100154305373e-07,3.142748078749369e-05,5.857371653705812e-06,6.613747886463628e-06,1.0541813970643688e-06,8.344609449287277e-05,2.6187539110600344e-05,6.14954892404207e-06,3.45462383810613e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344623436732658,0.004688439633953045,7.918938156392663e-05,1.6186176251875573e-05,1.1778303786957878e-05,8.898946279645159e-06,1.5522287581726246e-05,1.521815466598575e-05,3.3001746380101338e-06,1.792171206993487e-07,4.272057489984604e-07,3.996496911184977e-09,1.637960713618547e-06,4.164241003135061e-07,7.320083361683771e-08,4.03334585730164e-08,2.7435817768761694e-06,1.3369998894674495e-06,3.0346158430560877e-07,1.5670081232599387e-08
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9016263241353286,0.0024990175807486914,0.0006186709282955533,0.00039527060408933723,0.0001346551761917114,0.00028362825587585627,0.0003713768475052115,3.370433568419817e-05,4.677821609511135e-06,3.705588712252239e-06,1.584882554084288e-07,9.97678457058393e-06,2.2271155462050274e-06,2.9112891624105686e-06,4.961342159326421e-07,3.311180783396872e-05,1.1281005949936862e-05,2.5299961361746615e-06,2.228346412946891e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1030381648841114e-05,1.1125213000173773e-05,3.063913066003732e-05,1.8011606981449546e-06,3.0964110162456926e-05,2.1255068160419555e-05,4.090221236152658e-06,4.499000150204324e-08,2.952785757015519e-07,9.307188131302269e-09,1.5038729435090659e-06,5.034038006446195e-07,3.943093427327682e-07,6.086764026136393e-08,4.440716225628805e-06,6.315957739033706e-07,1.4955210214662173e-07,1.3651046071316841e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.873735482533183,3.161976216447365,0.13281749192428183,0.2709573829458216,0.028813152266264908,0.028427011983057138,0.007631599454087867,0.004097888605198413,0.0004376349774559696,0.0034842094775036636,9.715131305987335e-05,0.0013577749307251974,0.0003338348906150035,0.028815159524479605,0.00684030091913207,0.005666492061170342,0.001125586877120277
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5164445446390887,0.026288090742144554,0.06771966896558784,0.0286467901259988,0.022375612438092843,0.02562431671770693,0.0027494822201949848,0.0003497712153389676,0.0030217446300784545,0.00010870636370374775,0.0010099166566130968,0.000463013476205143,0.008812587665691263,0.004192298715591659,0.0013612031851078371,0.00029169476175971987
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7722957090746174,2.900554987172677,0.10084954002712165,0.18009785521529112,0.007681409390268401,0.03539478759753366,0.0008820354153983301,0.0189308064673457,0.0013248727589825204,0.013371385693525806,0.0006450855660529164,0.19851698395402254,0.059657066681241405,0.027834332892015937,0.0051463347164673046
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09787981987889671,0.01287572780473889,0.011650501548360559,0.0003959929784427274,0.002487784537689719,0.00020654200734049333,0.0004316748077832777,7.16763633219486e-05,0.0004437309553000368,2.228383708891002e-06,0.038613787293861224,0.08700952716266597,0.006139361578600178,0.00020716317155611286
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.971907491995899,2.6332477196815596,0.09758529125603399,0.21360269479953747,0.010598695581565787,0.15554039573247283,0.03218927706372354,0.006245434285036655,0.008191602755064586,2.7303302867149535,0.2752842850277215,0.2152358948372685,0.05243892291207597
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08679289881889174,0.0057567923760253326,0.017207172929635695,0.0010814260061047243,0.02596148031251211,0.0012016334040010346,0.0015463213190975988,0.0003983037866697181,0.1253518582676858,0.03376429835622097,0.010072486581472306,0.00041257852387710514
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8787812091861362,3.073424183173269,0.11148477666896184,2.829662993535908,0.09533914245738706,0.09602735417364383,0.08825004513804524,0.1878390381753353,0.044384766672013076,0.022508706991714228,0.0018200871592192192
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256122846489713,0.03451425905172867,0.08745819797624799,0.00590010788272477,0.0032350070309628,0.03487250089874072,0.02585518185836988,0.004195582224134076,0.002411179640519956,0.001042781770510981
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7257663161202266,0.2086452808903567,0.009223753995595496,0.032412103801761516,0.00894795260884007,0.01653604199161815,0.005468543644193774,0.04408003643369868,0.004425116799034345
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012704250292779551,0.00017331715074564435,0.0007103860887167635,0.006046727024362486,0.012116188427560792,0.004166298993983353,0.11497387828588213,0.0021479571820852694
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010989655919383,2.0841814456961014,1.8841220796478113,0.029264469195832088,0.005009588680177812,0.0067972387425679626,0.00039843931316418946
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025084073357520387,0.02373541834996251,0.002646356495806579,0.0002179757116859138,0.0002121016317050417,2.4657405002681543e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024568223419252355,0.0007106091870152653,0.0001627643647200694,0.00036704530358599996,3.372822541214404e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011911493335113432,0.0009958799781123462,0.00517005954125338,0.00028254827119944537
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.919906791033934,3.522579310900887,0.17415753375893805
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4991457174065131,0.06928017030843847
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.717217019246403
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
