 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,O25,H26,C27,H28,H29,H30,C31,O32,O33,H34
N1,0.0,1.886294048181103,1.9770351677096745,2.7546050803387883,0.09042541230186452,0.18993509703327885,0.026342982788565394,0.017198069447289188,0.01979367364771309,0.002784820920774686,0.01248044780235845,0.0013245293513984846,0.002631075654206852,1.4305756661281421e-05,0.0018840059919218999,3.1887544362896314e-05,0.22516737315584087,0.048046780181790774,0.03397822230810693,0.0024535549744203466,0.007285774904542894,0.00039808767902171915,0.0006128444583113624,0.00013252717044631712,0.00023072119019343362,1.2869766133238869e-05,6.211983253331943e-05,2.4615561784457896e-06,1.7896576991915936e-05,7.458799559101337e-06,0.001108019348319944,0.00011584965456955948,0.0003728882442006892,0.00010933003484370207
H2,0.0,0.0,0.02721500995411774,0.11035686008059276,0.007240649468089666,0.034232465855492666,0.0021554913110186646,0.001090132882525685,0.0021596553462333024,0.0002669579323802962,0.0007540767907817658,9.675405578146723e-05,0.0002465224872042482,2.2655267750693042e-06,0.00014700341370843528,3.0139964570796707e-06,0.008509093160252612,0.008619204440068251,0.0008920780833392428,2.7326146884387725e-05,0.000252849338926997,1.3294638460781272e-05,9.059020149249086e-06,7.905339229896668e-07,1.1301370398397736e-06,3.0729153333020065e-07,1.748734716811029e-06,3.963081882663033e-07,1.1657854708246873e-06,1.558079434360593e-07,3.525472429100063e-05,8.819291867689927e-06,9.155233677726748e-06,2.901473478145178e-06
H3,0.0,0.0,0.0,0.10761695215785683,0.03742766653953766,0.0071617708966640325,0.0003054202708530074,0.0002064499104927897,0.014364666565330086,0.0006703833955735705,0.015854383996713017,0.0005881608863276266,0.00300605686534261,1.3377967744698793e-06,0.0009816438724113974,1.1932986348384134e-05,0.017966603475990328,0.040485893331000056,0.0029902794129881283,0.0004574668711836427,0.00033259763771298356,2.9070835845024234e-05,7.912945344434874e-05,3.6427887156520455e-05,1.1100782319362068e-05,4.798839961850376e-06,1.4807554270857004e-05,4.0282658986257047e-07,1.7292362040066678e-06,6.546681474262073e-06,4.9476137013448884e-05,2.54657849112494e-05,7.522720298469565e-06,1.4144192961307311e-06
C4,0.0,0.0,0.0,0.0,2.0042131496038693,2.6776529832909444,0.0851039263444342,0.08956221335109982,0.16826151316964028,0.022880638419039173,0.04935412430884473,0.0003147566010601732,0.007058249308727782,0.0001646569230855377,0.011116290111079757,0.0002733773474182799,2.597052115076011,0.28041669966109445,0.21542955876868528,0.012201203030813623,0.034282461136562525,0.003566091527985926,0.0037285188522258594,0.0014028410934958657,0.0009803079100916823,4.008077536565846e-05,0.0003243767913720802,2.901898484619636e-05,8.127032197435824e-05,1.653991317773773e-05,0.004098275542284674,0.0004849139912970202,0.0012099803254409791,0.00023141365308854134
H5,0.0,0.0,0.0,0.0,0.0,0.08838854435161192,0.006014515346690397,0.004486012600053435,0.024983139073339933,0.0021540115360761947,0.004644559459243469,5.0185197215890653e-05,0.0006701425246491421,1.8997967171419106e-05,0.0013361952094697038,6.42534243495696e-05,0.09965486136162482,0.02798231641371951,0.009636105722196864,0.0022841901310681756,0.0014646659427690611,0.0003454121695547485,0.0002084582070269736,9.56585962097467e-05,3.33881571804584e-05,4.578137322353015e-06,3.3674918024195755e-05,7.490362763373781e-07,1.816619418404386e-05,1.4241107051393698e-06,6.69162918187638e-05,2.822438439309405e-05,2.7212082713834462e-05,6.194594597719316e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7332982205834997,1.9994247581572122,2.789714383874292,0.1982440091547356,0.24544292597617678,0.004079462856357852,0.046429330220160214,0.002339483503110973,0.04472981564124416,0.0024658674244355527,0.17132778607667418,0.041555230778968805,0.031032408408715906,0.010267936463183358,0.0031350722541895193,0.00035911026713919547,0.001183090278281368,0.00014136079967930204,0.00022870944084874,4.070176203962994e-06,0.00010886294710768518,8.245478994473032e-06,2.66854795252236e-05,7.935921726431872e-06,0.0005228270524916534,0.000389995162203699,0.00015838423750443031,2.597151054783975e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026072210990100375,0.10612964862933705,0.01644183097875085,0.03255326419088589,0.00019844320106487956,0.003615423154991637,0.0001283088359589346,0.00534527409351826,0.0005903202477248737,0.0047837677835600445,0.0008776895135546026,0.007067286614808821,0.00993625406920251,0.0006134352035114254,1.0553591483830616e-05,0.0003539668601453272,4.996473241591914e-06,9.6038366002138e-05,3.7298603938751285e-07,1.503102841571291e-05,1.849325225844467e-06,4.289787637556941e-06,9.443963602251415e-07,0.00020051530379272542,0.000581035760279236,6.922891801008912e-05,5.60513174563404e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10682492586066594,0.02364046431233291,0.013086203653673856,0.0013504519317899533,0.0035948769600742114,0.0007987336967691938,0.002282337280890445,0.00011980927065380342,0.027951530253331747,0.004313325448802696,0.004777608732021266,0.0007383515223202686,0.0006085989808048975,5.818021691861297e-05,0.0001680122255167671,7.944297909068254e-06,2.097147452517767e-05,3.162852639793101e-07,2.0393724745715325e-05,2.21359638952201e-06,3.3139828843342656e-06,2.9964226415657436e-06,0.00014284539086584225,1.535784876305346e-05,4.025715662092644e-05,9.416448977450642e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6423889979880384,4.011679998689549,0.11671931502733623,0.5404726946024504,0.0367989462588354,0.4977654710266438,0.02934901353440944,0.024124277688162776,0.006030066109861898,0.003181380833731373,0.0008951361338568331,0.0008006344636150853,0.0005807422484382929,0.0001638999105082195,2.414432119857146e-05,2.6849037955911648e-05,1.8901332078380406e-06,3.6127889844347894e-05,5.6991325432242945e-06,8.578069850662118e-06,2.7810812683881636e-06,0.00010103619694273869,3.980314084818526e-05,1.4087587488886832e-05,2.0470709304332146e-06
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4126400950879281,0.025849863003510665,4.343744927385862,0.11296157692929887,0.5360764092997984,0.030079383183802766,0.019793580193497667,0.004944282602939651,0.005282370350688306,0.0010212236567270772,0.005409785011496554,0.007492459422273945,0.0005937878082180048,4.5902441854206444e-05,4.9458663395021696e-05,1.7620906618276422e-06,0.0001890119013143593,3.7704020318996e-05,3.564322534233e-05,1.0730124109681327e-05,0.0007941712331982764,0.00015871743942687255,6.531761471423314e-05,2.3467644367780593e-06
