,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25O,26H,27C,28H,29H,30H,31C,32O,33O,34H
1N,0.0,1.020159183647043,1.0213904773136306,1.4593683860130753,2.08139171575216,2.4667182305548896,3.405293159097298,2.615738483423252,3.071601090782872,4.078699218443856,3.4664341794453244,3.485671441166257,4.809809130228841,5.778684430296611,4.55800860312245,5.2962639093403405,2.4983149637567537,2.7774926114184177,3.7247629037963055,4.013874891226248,4.94381668029329,4.9677362930089535,5.6522102115287165,5.075218573593816,6.782919398731094,7.34040668742655,6.306882368971971,6.934587229267843,5.719327528664054,7.076614475255652,6.029893134697801,6.124618620888881,7.209132714942937,7.881634831440959
2H,0.0,0.0,1.6096755732356975,2.029040522169875,2.3283447575424425,3.350381066370394,4.1720550765078555,3.527460262952699,4.014972996273825,4.893289892776377,4.429865568339351,4.434827955645605,5.631414645209834,6.539321060313448,5.44011811360414,6.1456530567422165,2.717729980205228,2.8214774583232365,3.9181556450629222,4.321397721988153,5.096179792936509,5.209342732229686,5.527869846010086,4.822574222587406,6.685307266415059,7.331205148568372,6.0755587012373615,6.567883171399966,5.455539804333156,6.945256655055182,6.29839006229084,6.473164393386474,7.450779818145316,8.17298969642044
3H,0.0,0.0,0.0,2.010857867589824,2.906230166309286,2.753698823534078,3.7531680429931265,3.0636703803965792,2.8266816882474988,3.7030558249150016,2.98690058151864,3.073329907312152,4.21027954279801,5.126397456936834,3.8920903316556874,4.553226586523079,2.5777511626874494,2.4669961228658006,3.9170054949576985,4.361317889405279,4.926484107586247,4.7281896548298725,5.645799343402885,5.016003910841607,6.619892390620485,7.208549534645383,6.520125328244805,7.127631610576536,6.086324625693152,7.304219194814844,6.096511614832453,6.339801345840128,7.164945165592353,7.891786482956786
4C,0.0,0.0,0.0,0.0,1.09867958442535,1.5560887808603756,2.1859741385275147,2.143652272024805,2.5599876732366575,3.352933229020211,3.5011312656024733,3.8625558340821944,4.3951948693710925,5.3280854791062495,4.51453785267322,5.421957735292032,1.5452587586184823,2.425809989186788,2.471161075381617,2.5916789867616754,3.81146614965694,4.000672844413882,4.723298008319655,4.387218199050971,5.925837668162765,6.347746791175806,5.297781685974221,6.075050443796159,4.696693592660174,5.932771403279766,4.718618998594058,4.703186196693876,5.967519707302711,6.567910195679372
5H,0.0,0.0,0.0,0.0,0.0,2.1546036805333535,2.433493376554461,2.460312691827919,3.4692514818508515,4.249917896399459,4.452689286539247,4.724687920014164,5.382022902898493,6.304960724503902,5.532522917635539,6.451373185942963,2.1642013573842678,3.177508629797628,2.665484458860024,2.538889426537709,4.112684129718821,4.559563421699884,4.891605194411725,4.624711381331795,6.217894897347012,6.604709441141805,5.143189511331682,5.9042514446773575,4.3578002617591025,5.746693234243052,4.874421375305189,4.686064781077709,6.191780027016978,6.718278443277634
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.09653375552871,1.0948554814514286,1.5004428797832081,2.5149448690770266,2.594380667078951,3.0626454153035314,3.5831094703762103,4.586299786896116,3.66889859967628,4.61943886583639,2.5471256190142633,3.4261688934434242,3.0968557677106925,2.873309480562728,4.279950225060174,4.326260256248387,5.538599432581846,5.4196749953416585,6.619442984636198,6.867698511408759,6.186140028695656,7.098353948775877,5.660896100497299,6.616534382585869,4.814983868938198,4.583172499421528,6.042900126806869,6.494366715283806
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7695875165447261,2.1208191174006834,2.667087921170281,3.3763704227431828,3.963283209494132,3.8909201665786433,4.7771068191075265,4.258863281388017,5.244200629232417,2.8321891805778603,3.8894067138300756,2.8642076991294445,2.3227035985977653,3.973752455934457,4.174139530049037,5.337805401238423,5.4320019319216355,6.4186726158121195,6.524956631306234,5.846281181036326,6.840175493746202,5.325535972539179,6.111049714747291,4.181517899520171,3.7377489931750674,5.435485050465202,5.759936919026762
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1425172863023967,3.378696212444495,2.786249975856265,2.882075439051898,4.27427989833601,5.326416141605315,4.0613344371679005,4.909581371012889,3.4692378050009913,4.3084426797602315,4.073970349069286,3.7605890078333193,5.331503441141841,5.416656883911474,6.540586003067261,6.375655834441735,7.670462000881817,7.931319547437991,7.086842183246631,7.976478430605774,6.460560947564931,7.526435423252449,5.821553826496691,5.471070020313953,7.076112401205749,7.4775980606248735
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3849486548194478,1.3758908319552,2.2477378639480885,2.1522329383618763,3.207211457152728,2.194841102643271,3.175645661410502,3.007507542431775,3.4663164136918447,3.6665500395952573,3.679050630836742,4.477422964094153,4.151028898832608,5.813013182951965,5.67815282211233,6.646170164062345,6.884364749844465,6.760031330529073,7.660529334650426,6.447678024843419,7.177041079049485,5.047276348354512,5.028261356512174,6.0715423816040355,6.565339279628932
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260776559367753,3.322618219788858,1.3147882490914835,2.1379303687881053,2.2180306020282092,3.1857460530453143,3.159763618512642,3.46828878986458,3.488691048893369,3.5953327024696176,3.8533006042970848,3.3154991491452503,5.26877069689664,5.293396677828895,5.872388135192126,6.0015086570214775,6.363610906536228,7.285868221927284,6.26298148368586,6.666113129376032,4.27906075121746,4.427709043689803,5.096284009758712,5.585992408782319
