 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,H23,C24,O25,O26,H27
N1,0.0,1.8639808119728232,1.9526912254542963,3.0160319235529736,0.0923755097507094,0.18750461846837208,0.03899024879280366,0.004015957745105658,0.024155196888951874,0.0036280474950132896,0.0049918004593444976,2.6809122595894408e-05,0.0009008339649502206,3.8128096304990144e-05,0.001646773868043988,0.00011076794411613022,0.21552125992277135,0.049979295152600224,0.03210243530288845,0.0020192439590701605,0.007363977961126464,0.0003550737101440937,0.0009602248108804279,0.0003240141087520465,0.00011025672634769335,0.00013167996264885906,4.2180747392817075e-05
H2,0.0,0.0,0.02677764521702586,0.10900628804721768,0.007642009903165103,0.03419400030004438,0.0026747077056079593,0.00020257527205269632,0.0036502574030526924,0.0004121768460746411,0.0013421283901940972,7.351537681277165e-06,0.00018426735803100946,1.3167007812731057e-05,0.00030446700063824217,2.5523279749473105e-05,0.008570099185402302,0.011021209286486866,0.001094993876660011,9.210843734619445e-05,0.0002452713856549993,1.5513047641801947e-05,6.369682756579564e-06,3.3395741440456206e-05,1.9574063477523218e-05,1.0679215622588778e-05,1.4813413531378217e-06
H3,0.0,0.0,0.0,0.1087177858038001,0.03679095385621789,0.006435972033172921,0.0014698796870364905,0.0007693781791453524,0.00109454595341274,0.00038970392784865027,0.0001967779694266314,5.041005515460384e-06,0.00010304976425346002,6.957714734578957e-06,5.710712588635758e-05,3.8934521369160535e-06,0.018755357006252193,0.043195386507749456,0.0031571336359068614,0.00024238881899774078,0.000476081663663086,4.590323584108269e-05,5.6870354193661043e-05,2.7759761968226826e-05,6.661138940766698e-06,4.634147293125501e-06,1.399514278022096e-06
C4,0.0,0.0,0.0,0.0,1.9690086566936766,2.652045234326716,0.08607801950409866,0.07520301716098787,0.18033387556177422,0.02230779652358711,0.0410896557988846,0.0003452325094825959,0.005610637202695334,0.0001417282809752507,0.009605089900388886,0.0005934048671137893,2.5216365876779525,0.2765465152829321,0.20930558064835103,0.01261725497844668,0.037826954395350804,0.004109703116127905,0.001894136424517523,0.00299062790655652,0.001188341502241605,0.000861102954850354,0.000177238472290564
H5,0.0,0.0,0.0,0.0,0.0,0.07060718295707147,0.0019842136608407834,0.02247408797020367,0.023191567423856307,0.006024975604079219,0.002375761972657986,4.722384729904938e-05,0.0005376401964392041,4.466834873317893e-05,0.001341239921982651,7.320469556515441e-05,0.10021148897738108,0.02745061753724032,0.009280803045752295,0.002088615801418392,0.001414742721498996,3.4281312987660684e-05,5.4504313610648225e-05,0.0005770373677551621,8.995910887032998e-05,8.894182587404487e-05,2.0983517041717192e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7118022909625874,2.0259409634193366,2.5500206340701372,0.18749372341982934,0.24850414913535013,0.004438243894627769,0.04724566317845516,0.002455950343765334,0.0444330760503132,0.002403203417412514,0.18390224638755648,0.039002915343964474,0.028136433802000857,0.003337728163078424,0.003044879228978087,0.0006343925281908636,0.0002632436321480247,0.001947434383932134,0.005015395470854139,0.0006680417155104229,0.00011809103651716502
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027412719954282405,0.11400880378601697,0.02285582656632512,0.013530835548801634,0.0020345848864604665,0.003463929113093789,0.0008960401543576246,0.0018410873032422836,0.00015131174608717934,0.020009271419941355,0.002682842179749123,0.005128553848891992,0.00023617353571725452,0.0005533476834616025,0.0002161697010871766,3.0403710824522534e-05,0.0003322722068699324,0.0001432576091526805,9.749999953245769e-05,3.2665539368759156e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022432904726518,0.01204784136631254,0.04031154493781175,0.0001565448728495511,0.005099561179535694,5.1797351441784656e-05,0.007307028900217394,0.0002905208575545437,0.023066135381734743,0.0034332016816086552,0.0032603139974992645,0.0007554295077460971,0.0004992160375354437,6.584202166637354e-05,0.00011401639806485342,0.0024303412406410096,0.016322150968047455,0.0011079523670129987,6.312332192703884e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.444760029592369,3.944384889592904,0.119359602000354,0.5408613379458215,0.03571626704933184,0.49030612584981925,0.02870828058843955,0.010949967512279057,0.0038401861206139726,0.006332879141162914,0.021570070650299367,0.0009177227762696138,0.00013806555835871315,3.53301897964009e-05,0.0001429603338668206,0.0003536458368030432,4.3404016840498105e-05,6.275651630027745e-06
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40708388922193717,0.025661185883234294,3.806524314068136,0.1103488915142341,0.5318525047775617,0.02942859294188782,0.0075665425114826435,0.002542075604144489,0.08845117116044907,0.2690156946024531,0.007429748985765594,0.001706911546459744,0.0001581941861579228,0.0004341261148773923,0.00044583563076604216,0.00010444514819117623,1.816650426322841e-05
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8294730131049035,0.6137199774744619,0.029397002505799907,3.327947478366209,0.10876919375399252,0.0037302185384047726,0.0014090544474178734,0.0018388842032456554,0.0059664422228502545,0.00020783779047960083,3.152981236986818e-05,8.220308037265589e-06,7.361329521682336e-05,0.00014093169394280292,1.8630913729292264e-05,4.46066550374713e-06
