,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22H,23H,24C,25O,26N,27H,28H,29C,30O,31O,32H
1N,0.0,1.0238071759854244,1.0231631452035652,1.4753534634109537,2.0782613315893403,2.4737294188401906,2.496667505563623,2.8824661506780878,3.8662884865030627,4.506990926988297,4.579930896933156,2.4824446423735895,2.7612462475604804,3.6750918906195085,3.9435904582971824,4.913586432568331,5.076739009848748,6.100039574195874,6.194121993745264,7.021044414415302,6.336668821246742,6.893626248071325,5.486240111121637,7.41496726619201,8.596878191851216,7.141245805285657,6.229763152732989,7.993828451764238,5.454928726091662,6.423217652341293,5.191542102254846,5.890841683950333
2H,0.0,0.0,1.614323105267695,2.0059893530105386,2.4532741689205,3.31531165696471,3.491288390796407,3.645045015275857,4.622322503292628,5.336189575205658,5.1667141071597165,2.4210387956857815,2.2182549255636546,3.753492813210988,4.265876471318098,4.78166623462115,4.761471362000865,6.117063630091562,6.359186424161566,6.943357927635455,6.41289924700866,6.836413300737871,5.624295718699947,7.638154065117312,8.770294124464867,7.539811632044872,6.702492887146179,8.45010675343296,5.229411569412975,6.060184854221129,5.117965276344549,5.744198420380951
3H,0.0,0.0,0.0,2.027477353348157,2.909553122578307,2.5709171642328776,2.5625405826745387,2.5914825426510073,4.1130200733601505,4.835982728108014,4.779095776426814,2.7981694769498127,3.069951594421979,3.862137723290074,4.113978355289863,5.0752491324576345,5.390976204577828,6.274985539529781,6.235262376313807,7.166732951503965,6.716368362428477,7.355855218817332,5.95537164255965,7.744381326219335,8.915440059924306,7.4355452425284465,6.509070148547308,8.245067296131191,5.371277464103492,6.35504091353786,4.867844449961865,5.479979492387426
4C,0.0,0.0,0.0,0.0,1.101928401664269,1.5482085212397503,2.1332255589983746,2.171572281833621,2.6446572275518907,3.47024914121971,3.191451598308732,1.5538589705079624,2.4279483674305133,2.4673972872324015,2.5710477537965137,3.8264992729278,4.090276495437033,4.822281101686977,4.9079020989241835,5.811383238094403,4.937976917556889,5.563113625389842,4.061907553501299,5.9570553224468625,7.1504878045676605,5.672826570592086,4.776199770019165,6.5396772302972535,4.654640900049113,5.718757573152156,4.531514929342326,5.381936112612829
5H,0.0,0.0,0.0,0.0,0.0,2.1571078157679837,2.571262315007128,3.0515147369358213,2.733014260096828,3.298043168002413,3.333764928428148,2.1268054248813173,2.8779185162628838,2.9173263666328526,2.9483790310151536,4.169811748661082,4.237981572593213,5.030200851803807,5.254478292751313,6.027082641877726,4.8154428513616345,5.324517281730016,3.81752377537545,5.824642726004213,7.013119258314856,5.550406788814264,4.694571302509723,6.43381091049609,5.239772369443302,6.242720439681542,5.340264530553283,6.223964601170886
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.093733222556734,1.1004215566235278,1.5619603407781393,2.406100899070697,2.4092448692398323,2.643680198305403,3.737207886121524,2.934967051001382,2.4935409284719787,4.370619251546997,4.935688694289491,5.01308500517765,4.773143128454761,6.070336463821198,5.12366133415691,5.966524374408835,4.284903791679824,5.794180574120399,7.013362062533674,5.195532859298943,4.193287607550601,5.908332972913761,5.160241199514959,6.3409771953473575,4.76388869960445,5.636441837148289
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7784520218914108,2.1548044368890107,2.47849890970321,3.2787165748293527,3.514315075865485,4.469235826445201,3.995192862224851,3.580883170432581,5.43651062162455,5.947282310134314,6.1015132213356535,5.846327104186292,7.1623991947469845,6.140835681107684,6.963633068878813,5.2483548985838,6.749956764197279,7.975715722362286,6.046012752249001,5.018960759542597,6.68993006986766,6.182451023621789,7.351462061059212,5.713655936520406,6.536498754000485
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1866767847037814,3.1579320221197524,2.6437502180175843,2.793729048397285,3.8299123286029024,2.899661172173853,2.502174281047046,4.232714388113578,4.967300046834954,4.886846913557949,4.484481797058008,5.881925342787019,5.301502651053611,6.210602022675197,4.637430209666619,5.938441708013404,7.109643704051536,5.375669871541513,4.4143259896702585,6.04073565050529,4.735268550439918,5.93108484848068,4.08818385348153,4.894161165595188
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2348805406944778,1.2915416117257068,3.43077306974082,4.6469796672284085,3.199152512324117,2.3479223886201006,4.4838978682844255,5.08749432711965,4.648247125792287,4.336705444028497,5.738489316021824,4.409621594777903,5.323331113324152,3.55830566963334,4.7478239810663565,5.963040961560958,3.9259358132944557,2.894244016580676,4.552718775011649,5.538622635019953,6.716301569750238,5.319453773381852,6.25916265070111
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2601336922740205,4.493662304110381,5.663414763535499,4.37156449805995,3.5320320231195255,5.633108600528536,6.157794425791844,5.69669944157642,5.39700286590088,6.77941165565711,5.225183538757763,6.083098386123127,4.324463328708583,5.365034957433674,6.540738879131845,4.371946587254757,3.391186473418066,4.8424256391133484,6.753358683901472,7.919008480200093,6.553172884553479,7.489603728795863
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3873764685175227,4.608576019548332,2.658094696422382,1.6258591864760723,3.677231551560544,4.390642101441869,3.5292679923752512,3.139127067656983,4.597543170608914,3.3273963375351503,4.333645551930173,2.661180542953265,3.5664390819119114,4.767834084949576,2.8092102830053607,1.8035437511189087,3.506116088385874,4.775105227187417,5.917028640947362,4.675517393034735,5.625295328707404
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.238749825368786,1.3481058607341578,2.0611261064382003,2.4430766894018894,2.6537037954212446,3.701595640732659,3.967574797605815,4.567162734006274,4.111195790870752,4.634927797960575,3.4654772059981314,5.355066864024518,6.4495551763793575,5.401351615960324,4.67895299891445,6.343279533305337,3.20252679474453,4.203402322864391,3.3230367101099145,4.166821022827393
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2769485223546493,3.194724044428974,2.8051990258319246,2.651014451090662,4.284102914975476,4.724550034831707,4.9496616297289355,4.804766578121091,5.111712913662295,4.277822117277192,6.192855658586546,7.194701270686066,6.4260040904568045,5.790308639042052,7.394893959730975,3.2180197460176383,3.950251054385527,3.5045405900387654,4.157106302094264
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0507479384901626,1.4436370999080002,2.0926186698385316,2.4329634648648386,2.6236920691078467,3.3749987282744613,2.995217304231721,3.6779949505969367,2.5423103622454857,4.1651171495728185,5.2321112844331275,4.280767773381277,3.660259603603492,5.211358510749784,2.499523638705962,3.612526271975152,2.7374821343012448,3.6890581875271975
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1613650500285413,2.9206930547394303,2.521076317768589,2.3940502204622462,3.588756598267662,2.8225908171824123,3.7222885837654975,2.2693304795205327,3.6745952131350164,4.82872414026038,3.502714141715449,2.7562199669152836,4.38302269539816,3.24531369868158,4.395921714381774,3.2841755544948383,4.25936369927053
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975450012172738,1.548861549783506,2.15328374694091,2.175114787971621,2.5693527425255023,3.009855623294435,2.6342308152932157,3.8830562406635223,4.711366493204676,4.4262123536620335,4.120178069419914,5.345451677363525,1.5279631635513853,2.4265654506768026,2.41775176489591,3.2272490042985864
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1810815853693954,3.065831862845007,2.5522940859908454,2.7837534801985786,2.834001218890898,2.809134597540004,4.269622181191615,5.013270856731843,4.976853956127416,4.740697522550825,5.938736932287071,2.0914058738102814,2.5650536709655407,3.2218964742935126,3.902497610329664
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975720915926195,1.0948994680744963,1.5466409993434809,2.1775188625059307,2.1702267357343707,2.5419422017569677,3.2430495258576957,3.285847323976341,3.287317791763854,4.119153174664905,2.5071317738740797,3.171947363664387,3.2766280666354612,4.020871833348027
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667910464545389,2.177082892589054,3.052843900257754,2.6651579439477637,2.620751455338093,3.3602382600496625,3.0088679108555447,2.9366419847210348,3.7078254433944076,2.7896345315178377,3.6096803541030758,3.1104849745200958,3.8600580932672806
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18214314492893,2.3960251575091496,3.0526836895477127,2.9656899416371045,3.265490942510138,3.9610749063476876,4.172559983265296,4.676792948201704,2.6392682872654247,2.8833003143013123,3.583485607568759,4.117669500744584
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951210397024906,1.093445507802418,1.5309679193763817,2.4234828691005754,2.4218171419616046,2.5895184550310115,3.345874634145854,3.8918191705620373,4.525025545853248,4.679791010951635,5.494170722787198
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7787400155239046,2.140977649960649,2.6032078475770613,3.259447030390862,3.5627044025462067,4.104647061186072,4.269856653919681,4.659895676744194,5.277235012241075,6.017259355027318
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1566198111083636,3.251939249864222,2.5112168325328708,2.297550465920191,3.517037717528448,4.1228866352894915,4.922035916053317,4.784814710673491,5.687488838477126
