 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,H22,H23,C24,O25,N26,H27,H28,C29,O30,O31,H32
N1,0.0,1.7768980345580614,1.9246003072787206,2.9856441315459974,0.10186104234444249,0.18088205697336104,0.02607905879144712,0.005512379065621076,0.031102249894817996,0.0062525343235246,0.00617717792742889,0.21623897539176143,0.06571337157940497,0.03688358556966023,0.0018970433153232547,0.007318582806217042,0.0003693780031910343,0.0009224067374064837,3.433542799669009e-05,0.00022761049146546863,0.00010074133710905042,6.999845044930453e-06,5.731070665826454e-05,2.751144808710304e-05,8.213824167310757e-06,0.00016261479546836322,0.0002896067833381144,6.306679857570607e-06,0.0009406931269843877,0.00034520531163024365,0.00012035886190350786,6.05591518409998e-06
H2,0.0,0.0,0.027805932419717516,0.10482217753284773,0.003525979953959091,0.03122305376911738,0.0020553175911222077,0.0001556906843753758,0.004926286144377068,0.001227786595242808,0.0011071721570857784,0.0323534523716944,0.0947386846966719,0.00529354765330825,0.0002298429716613981,0.000615755334545387,4.307701818406784e-05,9.783883320169107e-05,2.004418757728388e-05,1.2229316406431323e-05,1.4731059883366093e-05,8.517881733283161e-07,7.330094791369035e-06,1.019098119925399e-05,2.5448366591795946e-06,5.317470125021373e-05,8.185343664113276e-05,2.3039506398259135e-06,7.056891905687923e-05,2.2667666859876867e-05,1.6488816763748915e-05,2.3419598149665433e-07
H3,0.0,0.0,0.0,0.10274012978342173,0.036469781476359264,0.019638227211729253,0.0026264741539665515,0.005094679533362401,0.002264178987339993,0.0009309193979050168,0.0007483283851328348,0.00663074681049447,0.0031819782065649616,0.000603453325811909,5.89543762710143e-05,0.00019242258077978303,2.111709230656622e-05,1.460712635414918e-05,1.8802625454394928e-06,4.162272495111807e-06,3.5350706805159504e-06,6.774668026565678e-08,5.699764219269099e-06,2.793260341027448e-06,1.4683978368790207e-06,2.3831769825677362e-05,3.702434544350375e-05,8.218237483870183e-07,2.6354024892483174e-05,5.486820947808724e-06,8.350649305377544e-06,2.765778797098051e-07
C4,0.0,0.0,0.0,0.0,2.042227140360448,2.7627302659660855,0.09899992389890366,0.08071149133935096,0.15325010708472558,0.03855383627752629,0.02462152748568759,2.6477652320043195,0.2770654611009684,0.2283300386846388,0.010393666015249159,0.03745666123422203,0.002267094926585278,0.003458668922261557,0.00018408261334590392,0.0013338712905062167,0.00028967194492728054,1.2542153415617818e-05,0.000193225746577097,6.30449543016498e-05,1.8113477837713998e-05,0.00020030803077043802,0.0004626524980839708,9.747733596854324e-06,0.004960682810078498,0.0014530962968272998,0.0007498571406005794,3.360858407330802e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07830915121571103,0.002314833579968534,0.03287179131286888,0.013539515516102885,0.004362795927668195,0.0010834085359138212,0.10492642360270943,0.023590471808406344,0.01873032745757741,0.00033395384469825373,0.001782947204752805,0.00027040161714797506,0.0002583749734543783,3.401093307164871e-05,2.6253306873780247e-05,7.648881344979319e-05,6.837349501465084e-06,3.813547918474214e-05,1.9176628657247008e-05,1.3629734724629472e-05,1.969638392684825e-05,4.965011637492189e-05,3.9388544736951303e-07,0.000716639800440122,8.919161594045377e-05,0.00016853126816618325,1.2375135638453827e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1286117036342147,2.06501341445862,2.675107833636322,0.30036149815667573,0.25822557657894885,0.15276818266151512,0.03515186050086641,0.022493030314666387,0.012078408414865183,0.0029310308202644547,0.0008602788758930169,0.00034188152855442466,4.2931166065685034e-05,4.7152253935478505e-05,0.00018919311589923882,1.0192517360563258e-05,0.0002712477138857583,0.0005950265922163023,0.0002129230686706146,0.005860527735121218,0.0141989486545685,0.00013634075574142646,0.00040177230591706414,9.955764383903776e-05,0.00012885801072985703,1.059441689654772e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025171730738849485,0.09084142542435747,0.02171394524286785,0.021005557491684534,0.026741564141988583,0.004124159619922185,0.0026499221775910797,0.0008287698473403715,0.0002835923866879586,0.0002306952624686609,3.1112435892377555e-05,3.458811951295715e-06,9.062874928300602e-06,2.77710196883163e-06,3.0600601830244045e-08,2.6913587263255323e-06,5.4052549164573804e-05,3.1068899364661284e-05,0.00047662239503565296,0.00042988925495102137,2.283282419313082e-05,0.00010275840622697707,2.8662440915927512e-05,1.7652140408164207e-05,1.2946257195167732e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807497699600237,0.029168204909425843,0.011931109804944828,0.01212722833087243,0.0017493011185878427,0.0060806568536839745,0.0024192574063035543,0.00046206449188201937,0.00023491250655371942,6.602085759266352e-05,1.602485105478557e-05,1.9047606910183035e-05,3.0050697984229657e-05,1.1628927027995672e-06,4.126138711590954e-05,1.3153697367540573e-05,5.136664445348771e-06,8.311708984010124e-05,7.419943977216015e-05,4.333243687648647e-06,0.00010588489227703057,2.6297100899075332e-05,0.00013833568853316436,5.459051777068069e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.744556777389647,4.196294483317413,0.0061541382953993196,0.002232494244945968,0.020507146893449263,0.04788504888590295,0.0028818396226181764,0.0002678200313990242,0.0008634712146172729,0.00044961087751271833,8.180938840673946e-05,0.0023710303343001393,0.0001999689818743544,0.002911345509408081,0.0017357968627547682,0.0006012665996688038,0.013579992107599609,0.028099786603043464,0.0005338475254230701,0.00039441304490678286,0.0001425653283790157,3.383744854451587e-05,7.4518003819745715e-06
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729206699522005,0.0032678802635019294,0.0012448246490312578,0.0075076352343073915,0.009491265993280318,0.0008993518151917262,7.570573606874298e-05,0.00048746881232281797,0.00035193464453553425,4.135993314802189e-05,0.0013904799048499797,0.00016941254335500755,0.0016167206163418824,0.00027104563624787137,8.661975933332844e-05,0.0017279480857479643,0.0035125467315502146,0.00011424443085672475,0.00018639985700971695,4.65683296012355e-05,1.2452805068195738e-05,6.7610903463632965e-06
