,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17C,18H,19C,20H,21H,22C,23H,24H,25C,26H,27H,28C,29O,30O,31H
1N,0.0,1.0210229151359385,1.4711167267130427,2.118085560406485,2.456107579840088,3.309569955120114,3.0722489798082475,2.4009877278075034,2.7983067924905822,3.3696040353845884,1.4719786950564973,2.1147391301894136,2.111364197117103,2.454554111956263,2.7362514108578955,3.6819766495078405,4.871758690575162,4.955577738071457,6.0109134883374065,6.961279553732076,6.228585365203517,5.811255076358116,6.168563366185301,6.564270307843261,4.375473115681924,4.253927974691136,4.435145457018168,5.396972274489051,5.378518205419035,6.3767402519756455,6.85967421995738
2H,0.0,0.0,2.0080154941245554,2.8256790910356147,2.9961025823029255,3.6222031675873625,3.823558901977415,2.7831040848973556,2.7782801313704795,3.8256475097714766,2.0447457593865455,2.2818407484775753,2.926894483667964,2.3311815699132206,2.1299276250358763,3.671619887793512,4.623457019139495,4.537316089915523,5.925413164533151,6.806333685486358,6.14855763453885,5.971981685095538,6.320332575251078,6.81467494847879,4.663181132368591,4.697637193695451,4.821499654652316,5.0552839510224645,5.154645932438388,5.871780403371489,6.345115247992245
3C,0.0,0.0,0.0,1.0976896946606198,1.576045466381945,2.2370028991563498,2.201830928666347,2.446152981378516,2.8986466857607383,3.4008666674266554,2.368423257389887,3.2922774515325903,2.851489453055376,1.53085627350435,2.4161302191665257,2.4768461437814664,3.8245549887758545,4.174530008696894,4.8069618468481785,5.764503140001036,5.131727437388459,4.421364203346061,4.740933465223093,5.176149910829494,2.9771054575201497,2.790049312411229,3.180888926089863,4.390897472168355,4.3004212226100975,5.539823624613939,6.042594134219483
4H,0.0,0.0,0.0,0.0,2.204396314172695,2.865910517385637,2.3324857260138434,3.2789287520581603,3.9075420118077355,4.081755482154101,3.0369875465235734,4.0180039817556095,3.1680805559930985,2.1609346112341514,3.2252206352051473,2.6324627489005685,4.07434028969897,4.467027562708303,4.750480791896935,5.786063724054974,4.9250992780014995,4.191279425952224,4.667104634954093,4.749432764796842,2.65447057175567,2.489123084110956,2.517066793533059,4.902070197804334,4.881831172403191,6.093760923911528,6.681169124671394
5C,0.0,0.0,0.0,0.0,0.0,1.0950092792094905,1.0967835285267198,1.5385731112528216,2.1749713150757963,2.207297842084324,2.3920781717812503,3.3752424770784395,2.7929583206135935,2.5492659810553753,3.309869634910989,3.25249975155886,4.496820762298566,5.086702896441503,5.413097629152309,6.2378288751099,5.9805326098283205,4.750843560830822,4.724872378999634,5.527329115585398,3.4783342762050995,2.827360088775484,3.9677363851299297,4.618023160579549,4.10334692111645,5.85028031913459,6.132815557904561
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7713126666381198,2.2073427571164337,2.4231276648874425,2.7489351610705977,3.3456018127949103,4.221079091923722,3.855922207520029,2.5833558249744537,3.2954920366131204,2.98515954965296,4.012993262610362,4.74318672077302,4.891767430438071,5.587130744675939,5.620930820708532,4.222442232051728,3.9921251578703845,5.080629460144395,3.2196165216316173,2.5480902914427728,3.9752692804297016,3.864393923007852,3.1688303132748787,5.116753310313497,5.304189237799833
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180362293560058,3.057956426706123,2.4294790134769957,2.859684958634531,3.9142345768110274,2.83689455550059,3.3757041064226754,4.293069925676977,3.8438177137008296,5.1729602759231295,5.846594666174452,5.852968569244113,6.705191035495937,6.37884783212803,4.94065470805923,4.912272857734637,5.5458463131949305,3.653580316884362,2.7947572811690833,3.9962712016700923,5.3988128570017295,4.834786547453933,6.693440028354265,6.987770966430584
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968724324119972,1.0960884242320725,1.5377608480557532,2.2207650165629516,2.176827220016258,3.3989551855302005,3.699677565088467,4.4363667532263,5.550260408137102,5.964422200591787,6.678086735410247,7.4609515125874255,7.239237347619969,6.187268645354538,6.125210193762917,7.0200931433826685,4.930873120191485,4.357040793856457,5.384855672153312,5.487938229345888,4.94976136888776,6.5601909255872615,6.7329875552971865
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7756262957644668,2.170641379958309,2.46715623981247,3.0671933132518934,3.3840519633506245,3.349874324891106,4.474152268241061,5.356225071906993,5.69330271178344,6.628206177221442,7.311617313603154,7.2527302701035445,6.335109472311378,6.206005118949144,7.271009723758676,5.222091020187458,4.773034363430461,5.80574302705729,5.068518154058929,4.531301903244652,5.99580172590783,6.075666823911594
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220378733994319,2.7396771667048925,2.4688900880674773,4.425816777575143,4.768844466897647,5.356398983940843,6.47489025578748,6.96830589766576,7.52208006780587,8.270775967748339,8.135234932744938,6.8886321129528465,6.7184649063897615,7.671421813236827,5.678658167934566,4.95196639418767,6.145476582809523,6.308908133189287,5.621259508772683,7.399417913799667,7.482348171873398
