 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,C17,H18,C19,H20,H21,C22,H23,H24,C25,H26,H27,C28,O29,O30,H31
N1,0.0,1.7079830945676129,2.60978848717335,0.09847552896675116,0.19540726437641576,0.013399820360702641,0.004986621801291058,0.2269009478146988,0.00487194251827372,0.028578171448147005,2.825662537666606,0.08373806836462139,0.09868866406843835,0.1894888015165998,0.06726541857048543,0.02364704655930025,0.00540955561293141,0.000261640834198551,0.001309658522860191,0.0002722462666107095,8.433961917075905e-06,0.0010453355337270015,2.0602605600106294e-05,5.9807835910641316e-05,0.0056538280479499214,0.0008435405457907219,0.0006750565040509748,0.0005592330174286897,0.00012760318044659213,6.790741100899667e-05,6.863295932468816e-06
H2,0.0,0.0,0.10456079392323414,0.01900604593038735,0.009485630223298402,0.00012126639946541395,0.0001488471667918656,0.006499747988267024,0.0011562479136491,0.00022094164164254693,0.0968899611018943,0.010495572643276052,0.026196397060130883,0.04753909354830643,0.11078760428701118,0.007199243513590026,0.0007409853739600569,6.922115718621669e-05,0.00013216552935568782,4.774739702062547e-06,5.555194131368069e-07,0.00037662362286994266,1.7022057374749267e-06,1.913702406941553e-05,0.001498184730139407,0.00018980200127027835,0.00010377144309825503,0.00010036537067803497,7.811740957042179e-05,9.8998625863711e-06,1.6100214312864125e-06
C3,0.0,0.0,0.0,2.0529647828153683,2.5867096627012858,0.07046042503181948,0.08023579061291586,0.18964305091748884,0.0033185818786949373,0.02649567009427467,0.24982402792334357,0.027554916895144332,0.005506028058167356,2.5179886379658916,0.2759900653456606,0.20783409234175312,0.03466324884491401,0.0020860187706142064,0.005141499657770443,0.0014417727838658134,3.7172491368364646e-05,0.0052865336762479564,0.00012521970701051544,0.00039892230328297806,0.03203086324125942,0.00729836228022962,0.003088918766521731,0.004329005461826491,0.0013769461097493246,0.0007565820481592461,7.436375619951363e-05
H4,0.0,0.0,0.0,0.0,0.07294683967963245,0.005101217449291262,0.01233903808508785,0.014107091157161689,0.0004403693202794656,0.00012126641349508027,0.009523089320494393,0.00011670870205682249,0.0009220567793779555,0.10057504643708204,0.025232013744361126,0.008342798516460359,0.0013992005525589324,7.31612017312866e-05,0.0004927194862308637,6.9848026017727e-05,3.6195373178671275e-06,0.0018207940136766299,0.000260908266567883,3.149998583062974e-05,0.018095002304734153,0.002720751981412972,0.005082746897981716,0.0004670554813872574,4.365230625535954e-05,6.21110692939908e-05,8.574338030920003e-06
C5,0.0,0.0,0.0,0.0,0.0,2.0607844818749212,1.8624199760596958,2.769261846225678,0.0828029824188461,0.0803027025875449,0.21457004605192148,0.02789947688375527,0.00728278973356411,0.19447354444169326,0.04258161680137863,0.025423319585141838,0.0029091791729029537,0.0004956178334664108,0.0005960571651892344,9.155037954555745e-05,1.1894000636503144e-05,0.00103707745400132,0.00013164609844285025,0.00011684146416213181,0.010006074450151364,0.01029624093969883,0.0011247417799009618,0.0018491150137078805,0.0028087891207420335,0.0004813632839280185,7.247088685591319e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.026084191613794605,0.08070571770754498,0.009684904295252261,0.0013321043675735833,0.02584813509932604,0.001225420298384572,0.00047459977514363594,0.021354405170393997,0.0032019460416194967,0.0027929855728210384,0.0005041640715903739,7.746804465447177e-05,0.0001400209616214676,6.210737816481071e-06,5.642950569484384e-06,0.00019443594556267652,2.7235695527538795e-05,1.4543397166999483e-05,0.002769447409006087,0.0032803994936008163,5.266828971617343e-05,0.00165994995799279,0.009529186234403797,0.000793694897394448,4.098262168761302e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08217366258135761,0.028776887146678254,0.008848552601120385,0.0050641702691474055,0.00017276695419754518,0.0014081143532795881,0.015339157443716278,0.004488230382815317,0.001190706194633906,0.00026375903147468627,2.540232041114976e-05,4.666198617209183e-05,9.206023378283135e-06,9.981052391250245e-07,9.210295968364868e-05,1.3734115583030615e-05,2.875938165392e-06,0.0009369881439413863,0.0012551265543636614,0.0001106549153961911,0.0001425228941307477,5.3270856529841204e-05,3.509694215098058e-05,5.283634576969121e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8504110586229892,2.034298583696949,2.8072593701699438,0.07676324838851456,0.08162933582341902,0.015043098868281951,0.004354377266314324,0.0034695906619941347,0.0005153515146752441,6.288112505503651e-05,0.00012557455386325023,2.504333775199541e-05,3.6521233655051333e-06,0.00021689158386108132,4.739543403264879e-05,3.255347611474946e-05,0.0024495839643162987,0.0019031253999608477,0.0001120737621560508,0.0002302139930882574,0.00018650563032429623,5.228964844393447e-05,1.1074803055621807e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025250496495738295,0.08364250983248,0.007871674334021916,0.03131331979172369,0.0011664320871596079,0.0025858390890619587,0.0003214085607972095,2.4172162017777055e-05,4.619239846848089e-06,4.6009469587549034e-06,4.534513622367342e-07,4.1226056524124033e-07,1.1052482462137192e-05,7.450983430246083e-07,1.4200917495266197e-06,4.218096885288958e-05,0.0001478610986969109,7.284614629732289e-06,1.5735183912291006e-05,2.6489104133164965e-05,4.084615561006366e-06,7.903789451813026e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07921554582637502,0.0012302624782531968,0.006331758049100467,0.0025472702519377943,0.000628347615921454,0.0007251613331071827,8.15749047817782e-05,1.6599613176682126e-05,5.759452755604855e-06,4.0213553686996306e-07,2.0493190633352754e-07,1.1207288005854465e-05,1.1303736755507998e-06,2.6784481230723856e-06,8.582806965073964e-05,0.0001380971893647498,2.459570646862197e-05,5.657720388474452e-05,8.049343417138033e-06,8.81687118736707e-06,1.9995537283712395e-06
