,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25H,26C,27O,28O,29H
1N,0.0,1.0200141373611205,1.0211096124030543,1.4663319676241517,2.08371646362753,2.475592354549335,2.5652812347539777,3.8447921694643,4.271644217698872,4.012262245424675,3.022946407873444,3.980473054274937,2.681725852023161,3.4831661523348005,5.0254812990333315,5.351461224281594,5.9299118475409225,5.060038831868463,2.4786244754726328,2.8025360620255904,3.658383700675787,3.9618007829399016,4.895519945300478,4.903214065029661,5.394299583016238,6.008672312068332,6.124495999212169,7.155886899277827,7.85324443243483
2H,0.0,0.0,1.6163956666467436,2.0402315442480443,2.274367594819735,3.344548547801253,3.410258554592167,4.562652986481154,4.938967863727263,4.53863443250102,4.01093936088887,4.988586970057986,3.6726181002987532,4.372408699294474,5.83524234131179,6.25317573211698,6.667035509314373,5.862949629606572,2.7764764839329366,3.083716343510595,3.794815374389724,4.131238802429606,4.988991534854129,5.073429683881933,5.284980490074829,6.221484725595895,6.426538323782145,7.333127279301694,8.082729129817853
3H,0.0,0.0,0.0,2.019436756129978,2.8936498469446406,2.851293307366914,3.135560302001927,4.27286530496717,4.529504432887108,4.637878256019051,2.880786170604057,3.8908762118068845,2.3302179129280463,3.1461947999952815,5.420538820514341,5.5597243803656715,6.363964712227059,5.559639814108135,2.4985180715756834,2.3512936088198497,3.836718456443054,4.346651629412506,4.8702885620146406,4.650711940230088,5.395241416401254,6.054922232012891,6.313488424224119,7.08957726190134,7.834381849705776
4C,0.0,0.0,0.0,0.0,1.098250266966161,1.5601349800959716,2.1062704162198327,2.5789205715591934,2.902116306718917,2.7051474935590782,2.5724089921351125,3.5235964578288423,2.802882527946175,2.8761050112908557,3.9547750525419714,4.390498043882977,4.738283988962859,4.201183744281783,1.5428664538470827,2.4226053326598604,2.479266580905571,2.6103119993183657,3.8328170795042418,4.021894554165085,4.474101325450283,4.746143894009145,4.726761651955947,5.976371071124811,6.591340260129291
5H,0.0,0.0,0.0,0.0,0.0,2.1545739900123078,2.4158430048464425,2.7136286134674443,3.150947396793125,2.3787874967960816,3.49079741939606,4.3158404533383745,3.795503494680589,3.8488774752418218,4.093839569211187,4.764034904125602,4.72166078261744,4.246216962970225,2.1619775841831776,3.2401856677776997,2.5765153396480427,2.3770124080863804,4.018736547110118,4.471159809330569,4.51659793867286,4.834175757106809,4.6853155132589634,6.124192390250689,6.688561461492167
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0989923369922507,1.5436750588233525,2.184970275836784,2.1626816065158825,1.5364800560642642,2.1804184596361833,2.1834187990178933,2.1937498005426184,2.583967761541478,2.9100147481788965,3.5259778766961456,2.818039353249203,2.58007362867759,3.317995280649973,3.3327869522886364,3.232252818424251,4.564701070153975,4.6874298777153935,5.427105955760483,5.09954374059733,4.8114876041804076,6.3427687607419605,6.794097752758261
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1483022104770972,3.068494764793151,2.499493279894626,2.14368906325042,2.499054040047165,2.4686955651296603,3.0738664938862432,2.7627066991955513,3.193751460731201,3.7453150405734075,2.5469161590324005,3.4642897971120354,4.193741391288291,4.236740740156837,4.036106485366816,5.554623693715842,5.727524500202222,6.349020511175426,6.102301405365225,5.737372160612811,7.377545601170184,7.808593032398876
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980798623420065,1.1012948798076476,2.5652120851464733,2.7980022287365647,3.5151559243087207,2.8723649717356063,1.5343709112837245,2.1939313659330555,2.178209065717454,2.184717095091358,3.1689518024659633,4.107399552300428,3.3001252215984644,2.8314920403820096,4.389135766541995,4.728834048841988,5.312928970416621,4.465065245590687,3.852797565259645,5.73509441995985,5.992487784882119
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586100673016267,2.819209750330537,3.1337323083054436,3.839403932509075,2.6886665850944755,2.1590328394498224,2.513327928425891,2.510914945310078,3.0803549077989425,2.917865587290845,3.768029913859609,2.7927970457793476,2.4149963693047987,3.6069683312922156,3.9161011346844763,4.607718935457502,3.506039045031906,2.9212949189292434,4.721331472723944,4.957502568790899
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4986456994520374,3.8171423788797827,4.327558853310694,3.8371219228422415,2.14829124910401,3.0770423018662445,2.450043234762147,2.5353896461894565,3.3892221224610593,4.510851224977621,3.256843935001084,2.5293209927782634,4.443372718320765,5.006466576129175,5.219622794826923,4.501813621219299,3.796807142992605,5.82939303941363,6.068064571568056
