 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,H9,H9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,H12,H12,H13,H13,H14,H14,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,H16,H16,H17,H17,H18,H18,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,N21,N21,N21,N21,N21,N21,N21,N21,N21,N21,N21,N21,N21,N21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,H24,H24,H25,H25,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,H29,H29
1N1S,N1,0.0,0.023552776949193444,0.0011272906953772033,0.0006307407766994455,0.0002664747505520815,6.0458090231030326e-05,0.0018421379592972187,0.0018750464708143788,0.0003711437827960129,4.384897844822433e-06,9.454460108321294e-05,7.37302814283608e-05,1.976020877519913e-05,1.1619555596170672e-06,0.007959917386086701,0.0013664004897137039,0.007809422897250062,0.0013490803348479297,0.001166985700304074,0.0020568808494090263,0.00026831718335240673,0.007847773896195953,0.000979916750392773,0.0006193315048996784,9.070043520664761e-05,0.0007056161512475345,4.92603398574154e-05,0.00023023139970723694,0.00021528694119543612,1.0344821856134168e-05,0.0005297118426843828,8.343347118319744e-05,0.00014298282963509656,2.9772729400967535e-05,3.732098259506822e-05,0.0002223963253591421,8.134216174404685e-05,0.0002463162371031391,6.640862173279416e-06,2.255311917220837e-07,1.3612737720825052e-05,0.0002747445609971866,5.483394791805374e-05,2.8107155683743112e-05,2.272265496780501e-05,3.040206667609402e-06,4.6772572974029814e-05,2.5727255794666393e-05,9.497274161529567e-05,5.498194638620113e-05,1.0675971530760275e-05,4.977136386630221e-05,1.744260278435661e-07,0.00011115144585116532,1.923954593174848e-05,1.486524023408542e-05,1.9463654976625833e-06,4.563568852145039e-06,1.1562239085494141e-05,6.522267309572172e-09,2.626053186349786e-06,2.2996926849205845e-06,3.324602257964715e-06,2.1361516722162577e-09,9.400457741115531e-07,4.393237329480826e-09,7.007828646710124e-06,2.1785487414049953e-08,7.300138790106159e-06,3.624521210543463e-05,1.6154790462685753e-05,9.731685368685739e-05,7.557059422680368e-10,5.595122342327841e-06,5.712223972054176e-06,1.6907081761274867e-06,9.563842355619911e-06,1.0685974372870444e-06,2.3426754493238722e-07,1.4909812096064456e-06,2.951170663262337e-07,2.6477427749471705e-06,4.117662378178011e-06,1.2616054090308637e-07,2.303508845913349e-05,7.847915461067778e-05,3.999020043998769e-07,1.3053587277767065e-07,9.567669138343948e-07,4.119230396559814e-06,6.929713460168685e-06,2.473484326470654e-06,3.625013985875114e-06,3.6981329709639965e-07,2.0588234805885008e-07,1.6277517287388577e-06,5.7577349332760264e-08,9.746460538639923e-07,1.2058117479785135e-06,6.185987111440028e-09,2.591168375698505e-07,1.6681368255333506e-06,3.466336526702918e-07,4.8956910103648e-07,4.344900055075485e-06,2.7790317915776797e-06,9.256835926674256e-07,4.8874740921078796e-08,4.6981844742388645e-07,5.660008630448132e-06,1.9310266246019836e-06,1.7984119196512438e-05,3.2941517291718014e-08,3.671619356304667e-05,5.776951961489196e-05,0.00015775617718716273,4.895043458130743e-06,5.066985444002192e-07,9.813837346911436e-06,1.715398045831762e-08,1.998947704512366e-05,5.340802141706735e-06,3.0476163132009404e-06,5.635775689016853e-06,2.876631618109471e-05,6.543439582440413e-05,2.3201113689141906e-05,6.442370099613015e-07,7.587056752855759e-06,1.6678888698828942e-05,9.901216797558732e-07,4.6118641711112573e-08,2.40279529779841e-07,3.047720900650752e-08,4.719328580149451e-07,7.217021864014406e-07,7.93241927421473e-08,3.527148087378862e-06,7.888527024713099e-06,6.904300839938315e-07,1.8204366905028024e-06,1.3187514031898218e-06,2.9857941794553255e-06,2.1742527327450745e-06,5.678888463922505e-07,4.366777387188048e-07,3.104570100997961e-09,2.998101002876785e-07,1.8527206063767565e-07,4.991937843368266e-07,1.399951558234136e-06,4.9241269950428546e-09,3.6511715872933337e-10,4.4662617049162634e-07,1.0311600782131336e-06,3.4667580983693824e-07,3.0590473487634995e-08,5.291212397118272e-07,4.6998228397931996e-07,2.170488727859521e-06,1.8111939925624654e-07,3.6305828537974705e-08,7.719356542867928e-10,2.0982540344105516e-08,7.669196666615363e-10,7.011586483640642e-08,3.413096205662214e-08,1.234343031786267e-06,1.342657187652918e-07,1.5441561684870209e-07,2.0943381473514933e-09,5.843017181206278e-10,9.668079670177576e-10,4.6741115422577195e-09,2.8064883750289482e-11,2.8138637309105263e-08,3.207084320333564e-08,6.12616086748119e-08,8.862895639616397e-09,2.8594069889642526e-09,1.859105175361364e-08,7.061243811889995e-10,5.892434873366881e-10,8.710223875496581e-09,6.114504597087844e-10,1.4025018257868282e-08,6.583804212922928e-08,1.8491388642516426e-08,3.930666236939828e-09,1.9316548360848174e-11,2.2152855549961714e-08,1.0332657973677328e-07,3.80215223749758e-08,6.591997780969194e-10,6.0034791166119206e-09,1.4396811520711594e-10,6.324096246679289e-10,1.1477538364168538e-10,4.236771627974534e-10,1.0942136086100618e-09,3.895738842629726e-09,1.9651975602386074e-09,1.1231771068764829e-10,1.5570615907734009e-09,2.2091934948065273e-09,3.7473757430461774e-10,3.4045855024089633e-10,9.169445758239192e-11,7.344490293714756e-11,1.2050827002951792e-10,2.833666634671772e-11,1.476255229171386e-11,7.408673674547117e-11,2.0344381734815897e-09
2N1S,N1,0.0,0.0,0.023931895770659573,0.00960526706654763,0.007259276281974092,0.26373340636952136,0.03753861589287366,0.02383050926120056,0.010068344910955762,0.0004940734912626255,0.0024593109627517595,0.003403664839402909,0.00011432516155429617,0.00019314204816023306,0.10479113919533489,0.15705189568551292,0.10501624849272506,0.1594463361733638,0.003428821014839434,0.005249905805119859,0.0028893628634252266,0.07807090998623467,0.01177908667652483,0.040798661673001835,0.014032651187227074,0.1910093141176885,0.022826656917811494,0.012697465710594491,0.011225733472944421,0.0003948413211329882,0.02834926922528913,0.005271145195858029,0.004654751016609726,0.00022134749328861503,0.0002132621814310287,0.0030852050639706974,0.0011856530761300554,0.008485176742795364,0.00025715385843660954,6.254885848111513e-05,0.0005994212676099231,0.0010215135377427131,0.0005059106087279552,0.0005358497678009666,5.368897789725935e-05,1.0032006811711014e-05,0.0008003160918501617,0.0005963334910454865,0.001984742431348163,0.00016038676844543076,6.292992845202683e-05,0.0010180661647360978,4.42921480354741e-05,0.0034527943095707947,0.000505945818783271,0.0005115549362484373,3.6432965309085574e-05,0.0006934420463466928,0.000337058959481773,8.188754432758572e-06,5.433844642888097e-05,8.823441306948787e-05,7.700045464242855e-05,2.7253993812870192e-05,6.559309817166792e-05,5.774709643802112e-08,0.0001790491682469586,7.563793023379617e-05,4.4825776654322524e-05,0.00038393061659425243,0.0003401275656829128,0.0017635053389750688,2.526304127670187e-06,0.00025260523330583595,7.477275303857667e-05,0.00034972080306872044,0.0001277698207520217,9.72330530002452e-06,4.631088902207203e-05,7.431749850939084e-05,1.1385835914090592e-06,9.159925440394012e-05,0.00013167335768438093,1.4645796004408851e-05,0.0004303869765851509,0.0002174684988336395,1.2929748669510133e-05,6.952183406738754e-08,7.951896818125803e-06,8.647063341049588e-05,0.00023479428113315493,0.00010757918005310785,0.00011864692647911568,1.210297649656411e-06,3.265407856645197e-05,3.3773469492182073e-06,6.460557430365554e-06,6.936975932236855e-05,4.38302860044093e-05,5.384124865948081e-07,1.639667492825403e-05,6.993832457546922e-05,2.8021986082649164e-06,8.282697805395145e-06,0.00015318611152359551,9.316670736225774e-05,1.5912751465840813e-05,1.2539226355023914e-06,4.049757195256909e-05,6.803468144411795e-07,2.6608618342027768e-05,0.0013815348586319054,8.352451890569768e-06,0.00012046730396475525,0.0009785053301225588,5.848195277513568e-05,0.0005718336496336462,2.169705735743932e-06,6.529072999583718e-06,4.797799857847451e-06,6.788472447949445e-06,7.757418971321428e-05,1.656593076293511e-05,3.5873635266359116e-05,0.0008354364584288732,0.0025213759448576845,0.00044304166239639287,0.00011106505463587268,0.0008702776735765028,0.003203946727307727,0.00019299268818384618,4.798863321386904e-06,2.4113780908052718e-05,6.955617336101838e-06,2.1873206519362753e-06,0.0001683336962758908,2.710750170775711e-06,1.0554423650610545e-05,0.000222413809813915,3.855245250061756e-05,9.829949659545534e-05,3.5967502160616505e-05,0.0002559796561159011,1.078313475755266e-05,3.596124503291165e-05,3.158985532558667e-05,4.966180148646693e-05,1.291125004576621e-05,1.8694689047915602e-06,3.126963604360711e-05,5.2764727729304184e-05,6.88222945832706e-05,3.2597635089004484e-06,1.3222519893663076e-05,7.357115454409424e-05,3.6316554361537356e-05,3.151390566280554e-07,1.305427213882382e-06,3.516337875986153e-06,1.0543116311545475e-05,2.369149491698863e-06,1.6542459151391853e-06,6.132786990020733e-06,5.37328598926301e-06,2.519351030016992e-07,1.3604043949788647e-05,1.3742393223381555e-06,2.506389595646752e-05,1.2697955885432322e-05,7.178203834445895e-06,6.35271979465557e-08,6.416004412201914e-07,1.080923084373353e-08,3.2631501469815305e-06,6.923283191184737e-08,1.0036201558705216e-06,1.3760827188846747e-06,1.3593910495046657e-06,6.735474844532519e-08,1.1350886208738586e-07,2.377255734931083e-06,3.2902378599430904e-09,4.6012912413573304e-07,1.2504617141750884e-07,3.822619998317123e-09,1.5566242517195406e-08,2.4321016232065062e-06,9.96077115900107e-07,6.012663780197158e-07,4.2655623033738266e-08,1.2708411922801588e-07,1.8400863623924124e-06,2.0690622202224063e-06,1.8488582487208305e-07,6.240505356913673e-07,1.3945283372507333e-08,5.564932958890267e-10,1.6230939170469583e-07,7.1066190709956345e-09,8.812682672498795e-08,1.7487894776735402e-07,7.71659256049162e-07,2.1665803284776075e-07,3.311959018148514e-08,3.5429425926380986e-07,2.3811376070881352e-07,7.816504554725157e-08,1.4508927392853366e-10,1.1543455080698095e-09,2.249173425283857e-08,9.156556735057109e-08,4.029151234874462e-09,9.262860345415902e-08,3.842606677295635e-09
3N1P+1,N1,0.0,0.0,0.0,0.012328807664035768,0.018246492699192984,0.023787634747638453,0.1935538143354174,0.017183458371177185,0.01912306401258279,0.021182731125313436,0.008202638015781583,0.0011813468601948873,0.00653789354649148,7.665910840204404e-05,0.2731193616641172,0.1517996873248868,0.018158711324723686,0.016921387903706453,0.000458296557645399,0.0023094943742663077,0.00014615990195121498,0.014530058946788937,0.0031254449941351403,1.7268981725049315e-05,0.031036509305019333,0.002089754873010108,0.0033491781677406074,0.0006505661532691942,0.04720202565268039,0.0020164289443129757,0.0005521164185300353,0.008641555260815226,0.0015492554483982346,0.0003541184784903173,0.00018257655345510493,0.009711661501759838,0.003950550012449483,0.004764130744856487,1.707003871587176e-09,0.0016956656240676438,0.00015565088780444825,0.0025819785110550164,0.0006607895815267106,1.915322644485684e-06,8.527474527375567e-05,7.505941748142675e-07,0.0008270184168679418,0.00013017753193844683,0.0011705784034314881,0.002054580775570969,1.5960692703043122e-06,0.00016664557921419743,9.966209211675903e-05,0.00037267836678056554,0.00011799547198121374,2.52787913450625e-05,3.458896361641095e-05,3.2031446890457005e-06,0.00011524748867852708,7.547092278259449e-05,9.208298163931872e-05,9.458440561616044e-05,0.00030948251879214794,2.0276150824782846e-05,4.105353040850801e-05,3.819896919710075e-05,5.852565861452774e-05,5.313893426928118e-05,2.3264063334194063e-05,0.000597334094237123,7.5590679702308705e-06,0.0022303372798728738,0.00020940309484673847,0.0003252655631684753,6.246623281258579e-05,1.659313176238797e-05,0.00027731514219420106,0.00015363484237496117,5.946266644407672e-06,0.00023081261511115336,5.954722036038973e-05,4.0050423198323415e-05,2.6140386295558926e-06,2.200480816938466e-05,0.00037552567520338087,0.0028851176383835053,5.463686328921469e-05,2.869695103768777e-06,7.488105129294098e-07,3.399080265786836e-05,8.080889262629398e-06,2.1145696882385323e-06,1.839700084005358e-05,4.094298438062083e-07,4.229815275369475e-06,3.58677994931611e-05,2.233907422599657e-06,3.4662730910017814e-05,4.392526836238808e-05,4.172869118246325e-06,4.414034476596385e-06,5.655100062673668e-05,2.265466141571082e-05,3.935718962733148e-06,5.0695051789340084e-05,2.5661246676467186e-05,1.8049524747265622e-05,2.212969358428296e-06,0.00021997496178349785,0.006268095705556309,0.002419470683099778,0.0036237868677844176,0.0044686694358202494,0.00039167905252934787,2.3689968987827825e-05,0.005537740809800962,0.0018689153078175202,2.2740170516177827e-05,0.0014880625883577636,0.0002593864798432488,0.0020435965192333594,0.00015967939885253024,1.0670277783120241e-05,0.0002603185067262537,0.001148767783905047,0.0020255737076966263,0.00036590375819667287,0.0002240230912371466,0.0007379025291207597,0.0002453190953266571,0.00030942885588780555,1.8554323913066995e-05,8.60624313274716e-05,0.00010396412029378688,0.00046767353832577463,5.621436085623266e-05,2.1092265809929955e-05,0.0010169782609192879,0.001126811550886675,7.708288669183716e-05,8.221123095708549e-05,4.593036601185929e-05,3.3346180230431344e-06,0.0008751256468824131,0.00027626776178735213,3.633844320893864e-05,0.0009952140113429486,0.00025659949675072014,0.0005157267262476672,0.00033757276775459033,0.00024082888844345618,6.0996534420709736e-05,7.08584390274325e-06,0.00027646909447520684,0.0002323453821828636,0.00019362823046842337,0.00016545491779274002,3.1697787371332e-05,1.0698020247446038e-10,2.6141451392458492e-05,5.507774320312464e-05,4.804393293245113e-05,0.00011439955827374781,2.9478868389887225e-05,5.398413298407512e-05,3.432522448498787e-07,5.372152915938955e-05,1.449103739226132e-07,7.647310384717443e-05,5.966782057198472e-05,3.6906757050481076e-07,6.530185830300184e-06,1.0261780088338668e-05,3.051496953343502e-06,3.4170263374377896e-07,2.004220345241947e-09,1.876475713746828e-05,1.3250805421805012e-05,2.3326463018946697e-06,4.987251513322022e-06,2.6082547534445055e-05,8.940662032941304e-08,9.20671073711965e-06,1.2407138028747156e-05,1.806054616970698e-08,3.181839383081808e-07,5.466731276548842e-07,3.094453582264123e-10,3.497432187860028e-06,5.6173957485583514e-08,2.235181781440332e-06,5.18186117570707e-07,3.995539494816569e-07,7.078404973270835e-07,1.8900894005469127e-07,4.493769267810421e-08,1.2457278564248497e-07,3.726194575115471e-08,4.6517440166482515e-07,1.388711342187321e-05,5.560799718473675e-07,8.80427398586292e-06,5.210596879745566e-06,2.42318378740336e-06,3.6890335231021254e-08,7.259678302951045e-07,1.3716574382982571e-06,3.4421451458044316e-06,3.719449415129361e-09,1.6766365562581598e-07,7.638790753050628e-06,6.1636669146381e-07,5.6138837902786065e-06,1.0175052229222104e-05
4N1P-1,N1,0.0,0.0,0.0,0.0,0.007901888155888326,0.015391895982200143,0.013386170593369329,0.28764526817819025,0.009667760552833915,0.01967564660717236,0.02708361752445332,0.00013176445516682733,0.010960856667069807,0.004321638817883722,0.14926976573999395,0.10355444925261459,0.0002771051439327543,0.002084434780545763,0.013980052273290466,0.0892245361379409,0.011762401400310818,0.28156233389335394,0.055591329934641553,0.03340743934289314,0.002622166208075871,0.08891534973923187,0.033900102342853344,0.009225971191225035,7.445170908226828e-06,0.0019601420682935355,0.006184435421446199,0.028371570388943113,0.0010553830329560476,3.1741812227092936e-05,7.434130571115638e-05,0.00043771083164934055,0.0010782823531547692,0.001712347308030271,0.0009462642147779476,1.5722985877264506e-05,0.00017299788462388221,0.0008243285280657986,1.9767958448380085e-05,0.00295215482673461,0.0026438577983143308,0.0001101259560709611,0.0012524290841007257,0.0022292906336551788,0.0013953909521862151,0.00240365770422013,8.124249605279132e-05,0.0019258026911108672,0.00012114333583967962,0.003346266706149237,0.0008749260315319418,0.00027844518405428786,0.00028250923621486734,9.316903409795074e-05,1.8688621299389752e-06,7.414539930583608e-05,0.00038215674251684817,0.00019903842895896418,7.757627500382114e-07,2.9919871180839053e-05,9.012802159347189e-05,3.097621842274023e-05,0.00018561072828049419,1.6323021601039045e-08,2.3323768074678952e-05,0.0001495148971013549,0.0005183735063734041,0.00012982140540263032,0.00024203765275654376,7.001994550837054e-06,1.9193755189661488e-06,1.142942916354528e-05,0.00019377954819255194,5.615641839762375e-06,8.59110196738122e-06,3.4017371496775084e-05,1.4083283803589808e-06,0.00014274499537658691,9.590143524151884e-05,3.0825270842527175e-05,1.8295879645968682e-05,0.0001445171665874767,1.4906900224431752e-05,1.8292238395112292e-05,8.379812664882635e-06,0.00023961300195107782,0.000554524885194585,0.00012953294562878526,0.00013746674749048893,1.8611050429662157e-05,0.00011115171609965557,2.7967091855707338e-06,3.383404152401681e-06,5.298859479041518e-05,4.320900973087127e-05,5.238026858034317e-06,1.5952191556811712e-05,7.869323025966324e-05,1.9721780271098055e-06,1.8951473679251762e-06,0.00010967194812305792,7.412330739864359e-05,4.455147061044329e-06,1.1262252908039727e-07,0.0003775617893926331,0.007068163461707133,0.008942936220992959,0.0026072610321365985,0.004725263357508336,0.00042278399143080847,0.0002583458899767521,0.0102963811277208,0.0017437993310331912,0.00011498908836471422,0.007528676398109946,0.0009912731664638574,0.007061249624753296,0.0008895315074985977,2.4390569471899326e-05,0.0004141066398730686,8.195158844204187e-05,0.0032795845821191882,0.0015481825751182399,0.00022583554502686454,0.00026618237561137903,0.0009059240035598215,0.000638407433053878,1.3294806144870108e-08,0.0005579643788622413,0.00032555198492456583,0.0003861400350280153,8.327813118569338e-05,7.398046333895181e-05,0.0026490349056902396,0.00470645302097239,0.00039059734625590536,6.390464238936744e-05,0.00039252545500101377,0.00023130138443550052,0.000740128666157247,0.0004052633929747529,0.00021146465420107674,0.0015465315625649012,0.0003998389477912756,0.0005275731792901972,0.0007283076937529831,0.0007017279821095457,1.5462784043407396e-05,1.822966050535335e-05,0.0005759580800108743,0.0005794606215321352,0.0005804422063717674,0.0003547131869021669,2.6106662456726326e-05,1.7940316880959983e-06,2.2458995750263e-05,8.759308417571887e-05,0.00019054689620845444,0.0001847697466099696,5.186403564905184e-05,8.986659608178904e-05,1.295929744471458e-05,0.00011201218545142666,3.040671688658847e-06,0.00024176376471185534,0.00016793150057159423,6.640298386706434e-07,9.47835271514208e-06,1.7888942545507547e-05,1.1586090508775015e-05,3.8500216037462565e-07,4.85566300945095e-07,3.5535211497794705e-05,8.214915932835964e-06,3.195623431651029e-06,9.228918731007951e-06,5.148776794783316e-05,4.736505161417881e-07,9.745756220258528e-06,2.0226823824742723e-05,1.8724807482328742e-08,1.9069508372382415e-07,2.4522943675719944e-09,8.953342778283968e-08,5.62301631212847e-06,1.2069809773862517e-07,2.172306313052985e-06,3.169209916720206e-07,2.919383472743675e-06,4.4132832455190396e-07,5.3410075917526e-08,2.2866470961169227e-07,5.910748557269585e-07,5.204657593793627e-09,7.384871900661949e-07,2.1593895689786535e-05,1.8541429822604982e-06,2.088791540488799e-05,7.956726799207559e-06,3.688170850946193e-06,2.467424349283931e-07,6.095970905839465e-07,1.6884718219145611e-06,6.004696163186551e-06,1.06072373329269e-07,1.8359220033126178e-07,1.3350750672547207e-05,7.578346934433711e-07,1.0946304482839508e-05,1.5348929340408546e-05
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.006148857486111492,0.019377027328852492,0.011976326841740548,0.2516316377167551,0.007895506231012428,0.000215913949563884,0.0004303979676214542,0.04271704185961345,0.0023864120936818445,0.013600829618869437,0.007744069765324824,0.3050377048266206,0.19274995085701718,0.0011943790230406481,0.007955716538572855,0.002419472329806549,0.05189763974237316,0.0009334444514896845,0.005087856553950942,0.0029043174369571823,0.037932110431813104,0.009434210185504277,0.0006550402333769245,0.006726452158862584,0.0015817302149980783,0.023505865763380207,0.019953569424593365,0.007505665410080908,0.0005144394643274985,6.037896213184624e-05,0.0016769775826266375,0.00044717898870683115,0.0030568961363011127,0.00042033571032717987,2.0465561282989597e-05,7.391630528141846e-05,0.0008389217128423887,0.0011967369813752349,0.0009437800728964163,0.000222021414377771,5.334432804571243e-05,0.0010295786868630419,0.000722373510584573,0.001811105450680195,0.0004018745359224418,2.9298001032795895e-05,0.0010170639251616542,1.0879523802298507e-05,0.001624448494691677,0.0001289480522026487,0.00021593517140017227,7.642017148867808e-05,1.6317441150270895e-05,0.00010270595280958972,2.749456582407106e-07,8.053264918772562e-05,5.612139353461387e-05,0.000287357357155793,1.9762257077449163e-06,4.338789333857562e-05,1.3119877316558615e-05,0.0002587682902843724,7.203473124439697e-05,1.1782761796697017e-05,4.9574679397590415e-05,8.167843590811685e-06,0.00037277704506522014,0.0001846819645918707,3.4957385830480803e-07,8.011249031980583e-05,4.468765268494934e-06,3.6440743387267105e-06,5.015063708202483e-05,0.00022243624674844753,1.6951522521235773e-05,1.1437312832374147e-05,0.00013200210873209883,0.00019976100113883177,0.00011932673153047801,0.0007316562484107614,5.162234951061606e-06,1.6588152997876193e-06,4.269117427124769e-06,1.050424249582349e-06,3.34369175258864e-05,0.00014976092621088455,1.5507934647551735e-05,1.569976519810723e-05,8.966005049515502e-08,2.1614989115903427e-05,6.633407161338312e-06,1.463407430790653e-05,1.1663819526219754e-05,7.104782319977687e-05,4.6058943370397287e-07,1.023696298130261e-05,2.871045952179685e-05,3.4005851126117648e-06,3.388785696500918e-08,2.777400942122199e-05,2.1553113183081507e-05,1.243451946564278e-05,1.4603788975442455e-05,5.122934764401066e-05,0.003629069094112758,0.001975192797170955,0.0018784423566811093,0.0014060790259295963,0.0005349924329345335,1.9405884682743846e-05,0.001627832448439559,0.0011567277446746793,4.591748381566063e-05,7.463575173582981e-05,0.00046926292323989927,7.872012235954351e-05,0.0006084259464687047,8.79928673169772e-05,0.0015966184144757811,0.0020464232920915926,0.0074682830666286115,1.2135401380231059e-05,0.000603395311444821,0.00024446193418459217,0.0005549966780127313,7.28680928929748e-08,8.718962705156486e-07,0.0006961538614300711,6.561522402370734e-05,0.0006900081051393059,7.285728478301223e-07,3.940904382160326e-06,4.099018421976908e-05,2.572585504667657e-05,2.7430837690189946e-07,4.7561087285430403e-05,4.548092307476992e-05,6.252721846333742e-05,1.4579786401291983e-05,8.502947381749948e-07,8.515511991435964e-05,7.178295284648861e-05,2.737197665547697e-05,0.00020850446827358482,6.833799849137456e-05,2.4485374316540742e-05,0.0003042449375332268,1.5804185182766162e-06,6.829028487542743e-05,1.7258866988889565e-05,2.009432185445803e-05,2.632925273138298e-05,3.0939235169391566e-06,1.754208450099881e-05,2.5898174996985546e-05,6.989524492517774e-07,8.24229335893989e-08,2.2418511335109415e-05,3.3606157932020153e-06,3.0362753244528307e-05,7.637971805696253e-06,2.636616932560898e-05,6.485785737631033e-05,3.5369129847140357e-09,3.0364810776895013e-06,3.7518282502979616e-07,1.0239559800062636e-05,5.513595995765286e-06,1.3919365815073803e-05,2.1649663484168968e-07,2.8730612942062805e-06,1.0151699254556945e-05,2.3209202288931863e-06,1.9019193633340592e-06,1.5255144432124723e-06,7.796861014597312e-06,1.1904611407764776e-06,2.5260022185058517e-07,1.0680353534908704e-07,6.084525638883065e-08,1.3874125563972939e-06,1.1866468465626667e-06,7.403176593534511e-06,2.0964719444904745e-06,1.5870992964295283e-08,3.435085535130611e-06,1.0669204248969777e-06,1.8653240108079672e-06,1.0863779564829201e-07,7.12903915900398e-08,6.099891503019705e-08,2.637588527587553e-07,9.775453446714266e-08,6.194244295265605e-08,1.9174036376412573e-06,1.061715559913523e-07,9.667663505297241e-07,4.201605150022658e-06,2.3077537969484752e-07,1.55919848587871e-07,1.0277131590186173e-08,6.188047483313142e-07,5.164727725492924e-07,2.6332226621406107e-08,2.6842972289387035e-12,1.1463730631433577e-06,9.67523953399052e-07,4.498890495696628e-07,2.944320689923785e-06
