 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,H25,C26,O27,O28,H29
N1,0.0,1.897765387641811,1.62615982175177,2.83960745338282,0.08910835097913705,0.19519354585204457,0.020660766528893038,0.03195984555572287,0.0006671492214490593,0.0016405636940968193,0.02346572274995226,0.002115885490845404,0.01257636631763015,0.0006165109629925336,0.005323305200158744,0.00016387993814026558,0.0009815402264897743,0.00012176510707584409,0.2316701429346408,0.056542642354278534,0.03593970672275361,0.0023685550609321426,0.007094246469866242,0.0006156866790004711,0.0008899644287304609,0.0006092863035102314,0.00011523419539716251,0.00023212670977257321,7.150062811445146e-05
H2,0.0,0.0,0.02779265921433227,0.1070912236183138,0.009400058522432975,0.029323842368904063,0.0006771853253784155,0.0034232088755773438,5.685455553106067e-05,4.731396055701609e-05,0.0027729086818383264,3.032093155752591e-05,0.0008189187380376328,8.280883190514565e-05,0.0011211096815061383,3.4168597578210225e-05,0.00022998845723609662,2.95967014276588e-05,0.006405283088893654,0.0022341704756667635,0.0004046610302931297,3.0663004141784356e-05,0.0001496060699227586,9.101062503180657e-06,1.042559461095216e-05,1.6730533184627916e-05,2.4354334682286094e-06,4.985309915217506e-06,1.3031837537980095e-06
H3,0.0,0.0,0.0,0.10497430079059811,0.03231378422249076,0.0049286020868033464,0.00014382407686963639,0.0008612348082915888,5.186582695460018e-05,0.00039661133929280723,0.008133243920830924,0.0005153991719071271,0.008171535125795382,4.804446041450916e-05,0.0002458554166717697,1.831131731133695e-05,1.3872636839717956e-05,1.2975932159653425e-05,0.025391825584651806,0.061509297982274,0.004261222804889053,0.00048663245320956783,0.0006591953104060355,9.84109875437067e-05,3.391703733268692e-05,6.665140319406238e-05,3.585152626095489e-05,9.54018150434166e-06,1.6652894962998488e-06
C4,0.0,0.0,0.0,0.0,1.888429680116774,2.588420899515084,0.09765509085111823,0.16530027894076865,0.004648058510694275,0.014818313501898217,0.15070111431441802,0.03111917329982883,0.007091683762647127,0.007490103359478972,0.032029339563308584,0.0009047378586357624,0.0029986335419991406,0.0006521039107170168,2.7257246923326113,0.2713520174538898,0.22157050260855093,0.013907358173714357,0.03648537776330635,0.006477274592875837,0.0019073002663942962,0.003539293420262102,0.0004321826181881705,0.001145246076303258,0.00026722001458057143
H5,0.0,0.0,0.0,0.0,0.0,0.08304385536633352,0.004928811791206744,0.012779681721352132,0.00019899033136683286,0.008800575454378512,0.027611424862942435,0.0010471513857464032,0.0007306726508797823,0.00043722514330313267,0.0012716902787701656,0.000312781071886592,5.6106049008963765e-05,3.646657146272325e-05,0.09725157982626231,0.02480363832201926,0.012016662428725233,0.006622399083220598,0.0018430815241969878,0.00031782525380141813,5.263366088725796e-05,0.00018461173375894369,5.714309312598864e-05,5.770242936276038e-05,1.657305823687949e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1061003448634246,2.686622998108233,0.0827550672920565,0.08596125266539545,2.7623770100441556,0.09002289558092835,0.0878482064766295,0.08270307013273914,0.16179731236989656,0.005413224106656234,0.028268321490948045,0.01060398279222352,0.16853642333971583,0.03402745513510591,0.024738493204623152,0.0014010862721776096,0.0031200246047317637,0.0002572351298383291,0.0005533042506555841,0.0010536373829397039,0.0005764867862368545,0.0002685928323361564,7.315076919744978e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08545601650088286,0.035739172031522104,0.003465704915524892,0.08368039732883381,0.004484606438116545,0.005136046142621753,0.03525338779402132,0.01157785222854224,0.0001023627880454292,0.0005202369185237643,0.0057741471536780775,0.029314561482483903,0.004181359113927585,0.003277632094563332,5.264327653842216e-05,0.0006768536131647185,0.00013254686955566086,2.8632930975769355e-05,0.0002493045928551041,0.00018537103391136345,5.632377330977434e-05,1.0448314395672398e-05
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127631828556777,2.018108705814763,0.1567048945697904,0.007160895499667808,0.030689745816586456,0.007988744002185744,2.8215695191247616,0.08160776253948576,0.09124913057615358,0.08178283418571941,0.01344168752136965,0.0033062081957857398,0.017732784768727528,0.014015167825478958,0.00160757277901466,8.079524768711543e-05,0.0006147367848792218,0.001623527129068103,0.005305879409972944,0.0005160301970669606,5.857535456188501e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021672913302508423,0.009293593617872853,0.00013507387504785306,0.00040720537091032405,0.003952874953578656,0.08334959520558705,0.005460604545537651,0.003714292149658238,0.033318467990884226,0.005060792865924535,0.0006362100367112156,0.01423761096115439,0.005559177512976632,0.0009938508861133677,6.285785961801515e-05,0.000718931379001253,0.0033949753887176914,0.014766712354380873,0.0012385631879285874,3.530061204859436e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03012204902118465,0.0008880880005357472,0.001811709284095464,0.0003529135197404276,0.08439147106817657,0.033012508550756214,0.0058332513607368686,0.003998777339341286,0.0012042014251996136,0.0003011866618650716,0.001894271415977089,0.006337749056911646,0.000314207184787918,4.762860585394435e-05,2.5683273415788577e-05,9.18425146667623e-05,0.00020454212960485663,2.142127781334935e-05,2.52912751119716e-06
