,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20H,21C,22O,23O,24H
1N,0.0,1.0180701479176095,1.0216350695463094,1.4625292091811501,2.095821739395397,2.4667071551860666,2.5832155537415393,3.7317576493744684,3.971069597477533,3.086748294630111,3.5680426761109296,4.0279727879630345,2.7519558699985733,2.4904474987620486,2.743919958455824,3.7217517357943497,4.012753023443427,4.92491426237291,5.1815501008722755,5.108201880043632,6.138366654156746,6.326205827089011,7.264031693910734,8.003324043066819
2H,0.0,0.0,1.6104466842088125,2.0389676215991526,2.214201026610255,3.279667264152568,3.299757917934642,4.399411390963529,4.46741863433426,4.077989202941156,4.515919835163272,5.008674128989517,3.76648128418428,2.926799101615558,3.0533101810382615,4.138598165855388,4.496801900631805,5.292100909432294,5.67520887754399,5.292573158977684,6.499309399358503,6.705118070110809,7.590726455654501,8.33415042680624
3H,0.0,0.0,0.0,2.013957511526262,2.847941019267746,2.9909242503210733,3.3151437695344455,4.255879754028768,4.663962177807641,3.173524482043444,3.436607564327066,4.192918139598562,2.653900631526939,2.4221657377303507,2.237587999695188,3.759567638202735,4.2441188765250555,4.749512706992427,4.828403402269785,4.865714773215235,6.1036523661752335,6.470532277364856,7.112759667173926,7.925957824547311
4C,0.0,0.0,0.0,0.0,1.0996711571800681,1.5543082787481144,2.1348839788780447,2.4709741088821637,2.73959057976709,2.575432651228468,2.8723515324761024,3.5161581533620265,2.7948040746888925,1.5496524429663194,2.428688271695577,2.467447969675909,2.5918891855202055,3.824739616544834,4.229885218538286,4.185174886131978,4.864412941140976,4.926913070058256,6.077822069875424,6.739950117576712
5H,0.0,0.0,0.0,0.0,0.0,2.1399894825948054,2.4570043581574477,2.6164947046386287,2.490772300270442,3.4780082869678806,3.8039082112809224,4.286094172153111,3.801291184538483,2.1510725217572486,3.0944907807515523,2.730513759262848,2.7034207404949533,4.110333031677523,4.749594790915474,4.376991737962126,4.9500053696180375,4.858492049657245,6.199376214013355,6.779549374156131
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0981880444120387,1.4402589224417353,1.9702589348582258,1.5221847585525872,2.171704416951193,2.158336010920522,2.1563072305930118,2.5873253989368896,3.564683808042852,3.022643209262846,2.687685460399473,4.3740318371917075,4.6249732389045874,5.042351899719237,5.154022161660104,4.9803529869209635,6.431677324359849,6.9751485964355835
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0856593741223106,2.2327332721657807,2.146278075247335,3.0675469040110417,2.469121834003776,2.4859881814577367,3.4935758993643895,4.3940186169277515,4.0357361185523475,3.6631291636627648,5.426714723599489,5.713440241219072,6.038946670825156,6.176337886687102,5.914772446635241,7.476729964857164,7.990183230615426
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9706851631127974,2.3879338236385825,2.646788284483096,2.640258173789473,3.3443106456460434,3.067482166772221,4.237593966682816,2.8378545996962647,2.0622996847463866,4.1016141459762805,4.49103030380053,4.92356710292092,4.460860152422332,3.9985012646933162,5.785054139131955,6.159827324314619
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2128486819611886,3.5844693961696352,3.4247657151029287,4.067860846144745,3.536219192819162,4.744824880993941,3.29814760699967,2.485221846012091,4.60339959069386,5.1603100471145655,5.327037320091525,4.8425843079903315,4.237422669006459,6.189993366024042,6.495548546462531
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958568820727763,1.0944414280253505,1.0944650812896066,3.069944787167616,3.7278379782780786,3.5277591097623318,3.3472854305517616,4.589001001713275,4.470931994541999,5.349707539338894,5.456659721420805,5.450229094352334,6.599312871058481,7.190863006304744
