 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,H9,H9,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,H11,H11,H12,H12,H13,H13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,H19,H19,H20,H20,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,O22,O22,O22,O22,O22,O22,O22,O22,O22,O22,O22,O22,O22,O22,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,H24,H24
1N1S,N1,0.0,0.023767266333494463,0.00022010535564409572,0.000882529481876615,0.0008223911843012743,6.91458825299307e-05,0.0002519802614073807,0.0022733263006586846,0.0014339514488501681,7.33259860660751e-06,2.6301647470805545e-06,4.520309781558263e-05,8.618584387887207e-06,0.00013375191409284448,0.008028673976190781,0.0014192472458686156,0.007812280943496841,0.0013999947556313508,0.0011919254306597127,0.0020891264860141145,0.002221865068973594,0.006595838244652041,0.0004986328335743195,0.0006175964185266558,9.920884829961452e-05,0.0005878223015427508,0.00010996833938770045,0.00011600921967558353,0.00022651700288547905,7.770710668478231e-05,0.00039931351338506893,0.0001960628343666837,8.512163176366272e-05,5.554496241488849e-05,6.135691185013559e-05,0.00029800670170399,8.217373130525729e-05,8.123850162800039e-05,0.00010532438834687241,8.65524988791222e-07,0.0002407433228146516,0.00032479425700726594,5.034908172607544e-07,2.1473312722675164e-06,9.19297506160599e-05,1.792234330943998e-07,3.324792499059814e-05,3.1903253150944444e-06,7.540917272419456e-05,6.214037099505632e-05,5.202873106041617e-06,2.5770200358543605e-05,9.270921866866288e-05,0.00010794000469105391,1.1611342453310414e-05,1.3817412190197942e-05,1.9673363200078953e-05,8.852030970452063e-06,3.0688531715838963e-09,6.430548234737099e-07,4.9966712692139925e-06,4.2684943159232436e-07,3.6588442513529884e-06,4.7440515520136284e-07,1.6332938939100927e-06,1.5636854338030304e-06,3.4498893689838273e-06,2.254318575034553e-05,3.2105782773461655e-05,6.912302335182474e-05,3.978593890785476e-06,4.175411516538219e-06,1.9820854915142405e-06,2.6291959296376177e-06,1.4749040107675526e-05,2.338897016090913e-06,2.1030482488804125e-07,7.244316091448155e-09,1.8801412433044895e-06,6.559626467700364e-07,2.2839992417367228e-06,4.6699225619839524e-07,3.981539819619684e-06,2.0026225633351658e-07,2.7999257405930678e-05,7.306778694649019e-05,8.005479029682405e-09,1.3132419529826578e-05,4.516402736243208e-07,2.32744877868285e-05,7.571917568283126e-06,3.241517273755434e-05,1.1086087503553443e-07,0.00021224108192408053,1.0425906672772989e-05,1.8634560691066504e-05,1.1037755170417718e-06,2.056519269877377e-07,1.0609468722139193e-05,4.4647537636444135e-06,4.322210719942543e-06,1.0040769157892981e-05,2.4245721295335088e-05,0.00011711665084734868,2.2134970075526894e-05,6.95135589090512e-07,2.2054349528843886e-06,1.369571915943446e-05,5.776786867972561e-06,3.4539939250399776e-07,2.3756808392727535e-07,1.6577679931573108e-07,9.30125116628544e-07,5.198071894377265e-07,1.889468049520726e-07,3.5355193257480266e-06,1.2504675457325476e-06,8.086622161229684e-06,4.339029453515053e-07,1.8818342040205494e-06,4.1439708997614844e-08,2.8949576624803797e-07,1.8381472122186437e-08,1.3678909721592802e-07,4.4030340784484423e-07,6.772245250696862e-09,5.9093572535307e-09,1.299810170052318e-07,2.081844724610704e-06,2.0172305376098265e-06,1.430732499141385e-08,3.445323408790557e-07,3.220742472720417e-08,1.2262160975495817e-06,1.3896559458714819e-09,8.20789774591546e-07,2.3768760293307878e-09,3.6946160937301187e-06,4.3639987157284565e-07,1.5112456966392962e-08,2.2423899614931742e-07,1.0308133457925805e-08,1.1737276317536072e-08,6.042409156359341e-09,1.7868081458871643e-08,3.14786162580738e-07,3.553953420443179e-08,7.191360842373484e-07,1.3979817498066538e-08,9.657111932348528e-08,5.126319724269024e-08,1.56329408307343e-07,1.9617989899245458e-08,1.2075946675960125e-07,8.35214546412999e-08,5.356680765622457e-09,1.027469331837949e-09,1.0184471044283328e-09,1.2318408626477151e-08,3.828105665792947e-09,2.912594082582487e-09,2.133811738413982e-10,2.106133725754411e-09,2.449280778193952e-10,4.384671736801238e-09,7.960865122669247e-08,2.283800260016733e-08,4.180175539048037e-09,2.877528393341322e-08,9.239408127470483e-08,2.1938556971079493e-08,1.6536581548542983e-09,5.525064322720041e-09,7.428775650186736e-10,5.774405884007017e-10,1.0263345034955407e-10,1.9580684990083697e-09,8.234193327183448e-09,2.5926016888888626e-09,3.236101098202937e-08,6.653780859622316e-09,1.0918095316725385e-09,4.65934624216402e-10,8.934266659821333e-10,2.90878432451791e-14,3.5659402097820703e-09,1.0128975436174414e-10,7.630007736736388e-14,1.597607490744224e-09,8.057083611401339e-10,2.613629090930658e-09,2.9494854336675758e-09
2N1S,N1,0.0,0.0,0.00662809229429806,0.014598113819493719,0.017529925523739998,0.26461204377493486,0.008934555161435043,0.03130589099514758,0.029234901948297143,0.00011686792218257303,0.0004277009478315108,0.0020026423246934932,9.227812069356744e-06,0.00372735353840814,0.1073113530387011,0.15961538004857578,0.10596636457583086,0.161006201717536,0.0035223310719025847,0.005289199577744874,0.024378318022975964,0.06402130462243605,0.005565727663646491,0.0412642549947555,0.05095008920066624,0.16753287225941804,0.020438344032082778,0.006506773069328897,0.013415872103012427,0.0034851113799272415,0.022104815066726236,0.012278717548152684,0.0028327627294508773,0.0006577845321618092,0.000296779821639781,0.004428934787155114,0.0023258698126142896,0.003583133795383109,0.0018219562781824905,0.0002623705072553051,0.003140142090860998,0.0023838348536018295,1.7986789288215732e-05,4.1287138041745663e-07,0.001294998460727781,7.838731433307267e-05,0.0005387150996876144,4.1433916303068585e-05,0.0013388776368401523,0.0002709678301457963,7.248775352852732e-06,0.00022889950434645812,0.0023762242005687106,0.0025415872531078243,0.0005236074107308752,0.00011584439585599071,0.0012751532939305754,0.0007107471084033534,0.00029736019778292544,1.8570453871991077e-05,6.100499346528565e-05,1.074247663779282e-05,0.00010878297411420768,1.0371132270314831e-05,3.757974663320951e-05,2.630607645492944e-06,1.9389362876598426e-05,0.00014938650513673934,0.0006879036145330808,0.0011600914037708243,3.302302607322005e-05,0.00013354482989269556,0.00027017266427709075,8.479276567197047e-05,3.86952396791429e-06,9.525179611036272e-05,7.291287171806715e-07,3.34640105958961e-06,4.483213770911654e-05,5.1474982403654224e-05,6.795331762976531e-05,1.1190573013575289e-05,0.00012150123820786618,1.1208827057629378e-05,0.0005267044247840857,0.00025078177958981485,4.21331169515593e-05,1.4462524543290556e-05,1.8750314282556246e-05,0.0010269010105923293,0.0003259895393474821,0.00011073248157389415,0.00063541676406631,0.0006243266658909619,1.3003115095777673e-05,2.4225254395604523e-05,0.00010151728219098821,1.4278966127712067e-05,1.6255034178902505e-05,1.3282528861235932e-06,2.6825651449957633e-05,9.527830148226002e-05,0.0004205655145077536,0.00398509357644361,0.0006282595012709891,0.00019003223792735113,0.00011768927132305151,0.004325275780828086,0.0005504528763120575,1.6175074528668176e-06,0.00012565249746021578,2.7840188191241566e-05,1.789752909542308e-05,9.427933815864264e-07,3.6078562588581775e-06,5.4638413700125454e-06,8.545268531534589e-05,0.0002927222619417691,1.978041209937942e-06,4.753527375189748e-05,0.00010207523591532208,0.0003490467324498425,9.295251679475314e-08,7.896579143906735e-07,2.920886364088382e-05,1.4137640813594032e-07,4.907646226204321e-05,5.2351976176368e-07,6.703080147207885e-05,0.00018021609383156445,4.201096518663405e-06,1.1507438918645363e-05,2.705039205963544e-06,9.905135593868408e-05,5.781584024866504e-07,3.5274951040165092e-06,2.102351251309642e-06,1.1429347753999508e-05,3.992041568423588e-06,9.751918161882145e-09,3.1186943478145324e-05,3.1363592716271427e-06,1.394322912684487e-06,4.650679845674688e-07,2.705243069556218e-07,7.634067499484587e-06,9.753874041784627e-07,1.2170339141359676e-05,3.764944405126869e-07,4.668364436355432e-06,3.6249533788001997e-06,1.3114539906933231e-05,1.7986227889288386e-06,5.076229985689906e-06,1.0265879457627136e-06,1.2432063551948147e-06,2.74429309499169e-07,2.893266850545473e-07,2.550841104120849e-06,6.744354272836262e-07,1.937164824106219e-07,4.926271524041681e-08,2.9085865493883034e-08,3.5099670725458054e-07,1.834235696662745e-07,3.7926718983172236e-06,1.1495058007682246e-06,3.1957014812178386e-10,8.146823988752772e-07,2.170237022980359e-06,7.571682036910943e-07,6.387287099229866e-08,1.0819793596628102e-06,1.2445287111972902e-07,8.659997852156209e-08,3.598872866383829e-08,4.570895284494725e-08,8.960948765235344e-07,1.4907407708264486e-07,2.916536756991661e-06,6.458484196336656e-07,2.8287452380482137e-08,1.9074049451006658e-08,2.6843542633159245e-07,1.4212964716264764e-07,4.842418748207677e-07,3.631262468495322e-08,4.098644534877849e-09,2.23381592778793e-07,1.403357801077476e-07,5.695324576393546e-07,7.44614042869074e-07
3N1P+1,N1,0.0,0.0,0.0,0.01749850227730576,0.014201557634554884,0.005426567593945553,0.25511419582105876,0.022917287979780987,0.015757808003738383,0.0247113037587694,0.01949293368108007,0.0004149412885221526,0.005696947361089055,0.0034948707351354358,0.01318144900136975,0.00565082650873272,0.29394069132030376,0.1656275177709512,0.0033394777174791113,0.01995977165178564,0.016091704542735563,0.0976056088452979,0.00670847290019827,0.011533468960916338,0.0008429034452928086,0.0637658890070325,0.005918049040133155,0.025403854677437998,0.0045703495175202224,0.0002110258348975158,0.021057934184793625,0.009737932831284324,0.002974884037878489,4.714179810516583e-06,0.000312149027404951,0.0086923805249417,0.0010846721118906721,0.0028406861982972487,0.004342758616420195,0.0009459840394581143,0.00521316346511691,0.005028403955008365,0.0003521943855648857,8.579959524213088e-05,0.004762992660649612,2.1489880917879844e-05,0.0017220185177857505,7.692877891374295e-05,0.002787295698354786,0.00046268770587998276,2.4337774449989524e-05,0.0010542264337178864,0.0025080295515387263,0.0033541324578125753,0.0003259710696408291,0.0001370104379740944,0.00033244314958302823,0.0002453274409832673,3.328008855163489e-07,2.807349664579739e-05,0.0005388834721764546,0.00011033367845803,0.0002982691412740657,6.212788074888564e-05,0.00010048091895731304,0.0004987155648628061,1.2735723053936e-07,4.490160967840495e-05,6.928955952201221e-05,0.00022591158825902014,9.899253169187716e-06,8.558042443995717e-05,7.997564225092901e-06,2.9664257272798977e-07,4.5045031926704837e-07,7.203908488628841e-05,1.7406974084588356e-05,6.985523759217571e-06,0.00011511668397967689,9.690738960643763e-05,4.436596736878684e-05,1.8046490077416877e-05,1.154112001078289e-06,2.814015145702342e-05,1.4003481947355567e-06,0.00023665638589909221,3.025872290485232e-05,0.0029687537325227,0.0010446515631210573,0.00262192717622467,0.0003827999631513812,0.0006002720481497192,0.001305567861991097,0.000277829685515929,9.373378888177797e-06,0.0004762362954806587,0.0011982177035392283,0.0001648695271616596,2.2162560142646726e-07,5.718304860069523e-06,0.00010298561480182045,0.0019272449221703347,6.904006788310824e-05,0.00946859413536627,0.0010823812080280604,0.0006640185519275477,3.188625079042495e-05,0.0005942369806311021,0.0001266862655904255,0.0005329885934566292,8.338014435782526e-06,6.9380505085536726e-06,0.0007981682317328431,0.00035288778990127945,1.099385384817353e-05,0.00012690798352466004,6.242161943781355e-06,0.0002113273313342212,8.70267510677536e-06,0.00010247111769023931,1.2925118527462587e-05,0.00023451734227819543,2.1711146525049685e-07,0.00026512608755080436,9.005695012409554e-05,2.1409735349031678e-06,2.3104972183940475e-05,2.1948041809771723e-05,2.500691545881395e-05,4.9263286564737996e-05,4.175382581905751e-07,3.9980902338587754e-05,1.0731426561605417e-05,2.7260948742835467e-06,2.5766655209480405e-07,3.0770859531514816e-06,4.1002271625956155e-05,7.273139397323547e-05,9.024725482031926e-06,5.040651211984937e-07,1.689328253551281e-05,2.4570707690685367e-09,2.4501964931644693e-05,1.5740899637961547e-05,2.429480965027153e-05,1.869916848029618e-07,1.5951777222245056e-05,1.3287939434114548e-05,2.6303032596430853e-07,1.050628004062304e-05,8.044038975363321e-06,7.448128988229996e-06,7.860799504655347e-07,1.0666736923958808e-05,1.4126741065823012e-06,4.245995244289702e-08,3.9697793141613147e-07,7.104254642342767e-07,6.942172932067336e-07,1.9669477668848856e-07,2.9721888035183497e-06,5.22436236272128e-07,3.8920712652767975e-08,1.3553118907161377e-06,5.045011768345375e-07,7.485213393110257e-06,2.6742708212346145e-06,7.158259096584629e-08,1.5542693798664686e-08,1.9366979531199036e-07,2.300011443523431e-07,1.580032993331315e-09,1.0167301245367355e-06,9.341595386125334e-08,1.959701290132898e-10,1.5630460081794695e-07,3.585553254303875e-08,1.042122298677839e-06,1.2099743571525323e-06,3.97116185268942e-07,3.496710210271203e-08,4.6414871945898994e-11,1.3996420600292936e-07,2.0800391231645676e-07,2.2021851009412785e-10,1.5138431976868816e-06,6.811683839202942e-08,1.0219550761192409e-08,1.2884266542556588e-06,5.538513354608199e-07,2.9242911692151097e-07,3.916929823155613e-06
4N1P-1,N1,0.0,0.0,0.0,0.0,0.014454233312835907,0.020572089549970585,0.01998446849587765,0.2745518954608843,0.016113610282378676,0.001039335375434547,0.001887198907422949,0.004438802279807419,0.02200978083026106,0.02424811565173557,0.1398043195328711,0.09611560776475914,0.03386205268698683,0.0032840136004219644,0.012328542300864553,0.07639590000953245,0.1023801141886227,0.21909949117395966,0.016635298868198145,0.026088796276813486,0.05791649044465741,0.043175691002548255,0.004825832366437854,0.004741537655039929,0.037897649719188964,0.002120439904745419,0.0004909253430689375,0.00019519446531801599,0.0008663490259186446,0.00016117179375996216,3.251139164306416e-05,2.000740599861217e-07,0.0007443376974536342,0.00013884095623728498,0.00013370477097529587,6.971989480719643e-05,0.0003027607844336977,0.00040014559134782246,0.00014131527885652417,0.0005178533250789208,0.0022905500239553955,0.00012477479464867436,0.000696055399522999,0.0005747805327767086,0.00013443274057500787,0.002214418318434941,1.719720487303178e-05,0.0004032817073547079,0.002067667212747537,0.0008057340790230683,0.0005335572761699936,8.258609622702195e-05,0.00038384816229175556,0.00012931890445555538,0.000130645809062635,0.00016380971428775482,3.858589150218528e-05,1.1170944880900535e-05,1.8478297022284096e-05,2.4602964896924817e-05,2.1032369179607713e-07,0.0001718101138954431,6.7080052781332e-06,2.526372644418018e-06,6.239228458326807e-07,4.6733117831543325e-05,0.0002738359765221965,3.818298950353238e-06,2.213022454711222e-05,5.375565611487332e-05,0.0001653914317403249,4.494663171716873e-05,2.471299358486334e-07,3.1134748823546943e-07,1.2472765575921585e-06,1.1071656002004104e-05,1.3953479158779203e-06,1.6679834102806268e-05,5.508632524131585e-05,5.234610616078328e-06,5.210629320107074e-05,0.0007454554139512126,0.0004655559335839943,0.009678295249378355,0.005916220135346428,0.012818581418027719,0.001452050656312931,0.0006580773110753668,0.00482697141448396,0.009154886482575009,0.00040549011201074237,0.006627787577659916,1.2938363768144612e-05,2.9682568885025518e-06,0.007156073162324139,0.001748499445817453,6.453872517520054e-05,0.0011919441286338817,0.0015192497878242506,0.003665355507662227,0.0003071909068146361,0.0004781054423226294,0.00045309025087680865,0.00022775921369433405,3.49329686923916e-05,0.0005491281324276898,0.0003328955546364476,4.86013550062836e-05,0.0009370991349462177,0.00028423624211249,8.910412309370841e-05,0.003037742924761222,2.584947238482016e-05,0.004085123452434392,0.0001440153251333065,0.0004823581993056436,0.00021713978269577439,0.00022736616844509783,2.6216698459258225e-05,0.0011966489018713222,0.0011259983164519927,2.0784742692514513e-05,0.0014463040890841938,0.00039126985762893973,0.0008335936049688186,2.7447011356152018e-05,2.624571029086198e-05,0.0006997185070298784,0.0005068588964753928,0.001336226618656955,5.620409818574146e-05,2.6296614222598436e-05,0.00018988639124106754,5.694173665471425e-06,2.7443734573751044e-07,0.00015142804737799942,2.4639639451651263e-05,7.529272401773923e-06,0.00025469149958334825,5.7161046700171525e-05,3.368019850569226e-06,1.4528214274722728e-05,2.6313765026930724e-05,8.344278431327012e-06,5.243825198952834e-06,0.00011802688924067439,8.330483088414553e-05,0.00011081366552812,1.9484171690731245e-05,3.054714731565156e-05,5.070026875264588e-05,3.425484082120178e-05,8.533158357693083e-08,2.9275468732326004e-05,3.206766447338971e-05,7.512274989629475e-06,8.853902124017488e-05,2.587406611431753e-05,2.0439383963122282e-08,3.6148569027005806e-08,6.442698419206749e-07,6.639836058752735e-08,1.3975264909760199e-06,1.3911151373058317e-06,1.589066359830582e-06,2.4038032453432834e-07,1.090288739735712e-06,9.136674661291977e-08,5.660801195350729e-06,7.054566377728833e-07,3.832571516815264e-06,1.0082377941422749e-06,1.7365634232824334e-06,4.945705892867025e-05,2.2484042454529174e-06,5.3327185673524014e-05,8.866308196964212e-06,7.862131331748401e-06,1.4016665446092702e-06,3.003901842824064e-07,5.070442599119929e-08,1.8854369470577836e-05,1.6298439577955293e-06,2.6292799693017344e-07,3.0090770205104533e-05,1.8123731047925418e-05,2.8099087959976288e-05,4.161510964273418e-05
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.018809948295380963,0.01537923463371671,0.01815875024522029,0.2223039109363114,0.021721690441058872,0.005407081313335338,0.015800599921280245,0.0054746464995900634,0.004062283110949583,0.2782773961651892,0.1553001138454424,0.0773461197133436,0.053104289238446345,0.0007641911651241617,0.005183477573348139,0.010452307949161188,0.0210744881982059,4.470615794094357e-05,0.0003979122275756808,0.008519707133674892,0.004941922509056784,0.021594320723895333,0.0025437802609193927,0.011018644433441027,0.01415034726215536,0.002204332545925558,0.02901123108717063,0.007679428982403369,0.0016149318640144017,0.00014780439894623854,0.008310291296299788,0.002118988332421523,0.0013840105663556201,0.0026150300765706014,0.0017276799832952605,0.0006142116391605335,0.0029114132915131208,0.00030656073392654193,0.00016955263389029085,0.0005635386394222675,3.923608246170218e-05,7.232068214513276e-06,5.365175786531395e-06,0.0006431681891645447,0.0012773139116584176,2.4177880364462112e-08,3.423259800028333e-05,0.00011860229346538631,0.0003198966700281858,4.812113544261365e-05,1.4457945951562579e-10,2.4562741778311192e-06,3.6567244716678715e-06,4.8386656271937056e-05,7.722519835984265e-05,0.00025753434964292943,7.0863721612912656e-06,0.0002933008674765869,9.31941233717204e-06,5.540164011552662e-06,9.015604664819321e-05,2.4775346737504478e-05,0.0005472162365873778,0.0011393410968989492,0.0014088486783245813,2.7601266390231416e-05,0.00025970764976079863,0.0001208257625355813,2.334972937667601e-06,0.0003396437176332867,0.0001728355431038775,8.054498171761182e-06,3.0673209832299264e-05,0.000323199322420642,2.739272694007866e-06,6.929372931541167e-05,2.0336668790754686e-05,3.093249019903155e-05,4.648270213181149e-09,0.0005486187933745335,0.0028878787245218973,9.0512906543605e-05,0.0017461582342832571,0.001270802174516028,0.002876134353973381,0.0004877143152497432,0.00028688045850921995,0.0014385584177674104,0.0006916286967277863,0.00019747904291333995,0.0009581781922574084,0.00010702923870975489,3.651650262170847e-07,0.0013633057546280636,0.000297716845090612,1.2656274033240322e-06,4.908127630720571e-05,0.0001606843361079413,4.6342489406381304e-05,0.0007387041966042673,2.073539081637321e-05,0.00010446785116879909,6.819792113832435e-05,0.00015863145940420154,7.527633768922293e-05,5.40329493909919e-05,2.1250548194018393e-05,0.0002776232060011097,6.362430437167887e-05,2.3682730041274525e-05,0.0008156272960340161,7.376685146276429e-06,0.0009614067490795186,5.9045947867986115e-05,8.901434265018437e-05,5.254159744305653e-05,0.00011459336833485878,4.070414941104161e-06,0.00020826520899230871,0.00019561710089943674,1.931648107600381e-05,0.0005686359058301171,2.945574913315596e-06,8.131248780340883e-05,2.5452080709253977e-05,4.915960575280209e-06,0.00013802868035472926,0.00013890323254139858,0.00025300661589966467,3.4415115597763446e-05,1.236315835040358e-05,4.378942377858408e-05,5.1181573046399365e-06,1.711034970464098e-05,2.8537164236785983e-05,9.298245664535187e-07,2.1463868809412645e-05,7.42817000554119e-05,1.3851840141576588e-07,3.861794447779232e-06,1.3894316913454219e-05,1.2633478176926616e-05,9.51875935628621e-06,8.984925756738704e-07,1.7271088672998758e-05,1.3637074836925223e-05,1.329305113273449e-05,5.865174554919861e-06,3.141962873431936e-06,8.76172098518424e-06,8.37635279316018e-06,2.418766467116029e-07,8.988239846852153e-06,5.584058618390841e-06,1.34526339157226e-06,1.4931450826205506e-05,8.455138937213391e-06,2.3594459719333827e-11,1.5272104025854105e-08,3.0110606807909335e-07,2.9529230483049673e-07,1.9372452486621228e-07,2.6837682964853116e-07,8.60901407939707e-08,1.9765354597467422e-07,1.3835407930429255e-08,1.0950524931274686e-09,6.080313699197148e-07,2.4600040204880713e-07,3.656128833018357e-07,9.49893486756892e-07,3.9508140692312566e-07,1.1072796637812132e-05,2.272975017092449e-07,9.844919020896015e-06,2.7582705590667445e-06,1.8665080689928004e-06,3.223514655203985e-07,4.786666307765586e-08,2.502418849914534e-08,3.0475913233019014e-06,5.58898030966759e-07,4.270565745478905e-08,5.1068378623675414e-06,5.129501402301173e-06,6.4612667118879585e-06,9.002900660970425e-06
6N1S,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.00989422550728225,0.0287489188737875,0.027612577892889067,0.000144296332665661,0.0006503795816730218,0.0021512111073151985,1.608632150817968e-06,0.0035092375288949818,0.09678542143892388,0.15127322313706681,0.09513727818665307,0.15399599939378472,0.0002569404707586376,0.02171850331947711,0.011644171295219774,0.036192058834691565,0.0021837652467495694,0.06845751185442905,0.03440463561967411,0.13279844169990795,0.013776604452522268,0.005735459977215918,0.00863413122340817,0.003204840978981105,0.0175413966722886,0.011208336077378922,9.558966058209606e-05,0.00765468297402272,1.9060173028773164e-06,0.0016260398849223812,0.00035133120246877425,0.0010813876248993992,0.00018290018304112365,0.00034725082534725615,0.006418662024676447,0.003749036446920151,0.0018471691724593065,3.7045781642319753e-07,0.0009525684074052077,9.133194584309834e-05,0.0001518094913173229,1.9177776269252433e-06,0.0005445413541158572,0.001191142822982716,1.3251046021567348e-05,0.0004294266240769673,0.0009193651823418136,0.000475305933405501,0.00011586065421775871,0.00041484270186664673,0.0006709680301404397,9.910894530351655e-05,7.775550204325299e-05,2.8277505894624966e-06,2.8861757892295614e-05,1.572283025996768e-07,9.233518524109918e-05,1.0552474463132455e-06,1.5212990259971804e-05,3.566441173252777e-05,3.484268598974438e-06,0.00015911296797055385,0.0003637955486190947,0.0004077697963857929,6.674494839309375e-05,3.641831176759425e-05,0.00016867919508722906,2.0098091981779476e-05,0.00011385599245405942,4.798423366980664e-05,3.404900860815019e-06,4.965756671859722e-06,2.9525439172672918e-05,2.4625310345971485e-05,2.684831743149374e-06,3.232105041384159e-06,8.352337837802537e-05,2.4665539055224173e-05,0.00015744453514399126,0.0006709379048470687,5.5837221370369505e-05,0.0005264217378360136,0.000884064287484776,0.0002324588596973598,4.9065110844459525e-05,0.002120538567370378,0.003643195451995762,0.004473536522083599,0.00010032205537902072,5.657881015252997e-06,0.0003485577404092055,2.8028284248859947e-05,3.979884844573789e-06,1.6574356798138012e-07,3.0664451926565306e-06,6.9412149801273415e-06,0.0002040685236055495,0.0008297645317139057,0.00029986901294787316,6.083050441585414e-06,6.220131520962013e-09,0.0012962067234103536,0.0002703578144336305,1.0273452784481663e-05,8.066600447609318e-07,8.64895892815909e-06,5.242475524402934e-05,4.092049565196376e-06,1.8243769051018432e-07,3.332483178297707e-08,2.6575421431029866e-05,1.9917164415517163e-06,1.040462853207913e-06,0.00011450665395429382,5.564756841547336e-05,0.0003675928065982603,7.594491155948901e-07,2.1507938627651768e-05,1.747173151445125e-05,5.0583033355255935e-06,0.0001507936884428407,7.0870838073666675e-06,1.4212779009703524e-05,0.00031582172907329564,1.0208129623823226e-06,3.6084666179103664e-05,9.33700799121695e-06,1.3745721240354669e-05,4.415544943459082e-06,5.8659361095614315e-05,4.061675262789777e-06,7.568847019623348e-05,9.854751229276815e-06,2.868746422413082e-06,1.8159661436811803e-06,2.54103389440985e-08,4.82655885369887e-06,1.193608185179329e-06,3.2700874301738736e-06,1.6739409511412617e-05,2.32156623702906e-06,2.9092656571361175e-05,3.387478297867119e-09,1.3274699561804937e-07,4.337021639599925e-07,2.487008061713425e-07,1.1762994622799283e-07,2.067308341846541e-06,1.2359254464300307e-07,6.349760872215171e-06,3.7565867661015773e-07,1.631341834507083e-06,1.9326521361051618e-07,9.282696811219182e-08,2.035334732308769e-06,1.3861121275215993e-06,2.1008750739071047e-08,2.5757841060070064e-07,4.4165804791163055e-08,8.14471874255318e-06,1.6238368378829193e-06,9.561084546305665e-08,1.0111837003279334e-06,5.767460980354855e-06,1.141018326933363e-06,6.440873789870238e-08,7.2145838192483325e-09,3.568488615712795e-09,2.527214835179592e-07,8.614093083281205e-08,1.9268261430838152e-08,6.393866436305018e-07,6.390484319496181e-08,2.534701404321993e-07,2.699892487356692e-08,5.600477015477168e-07,3.770292256177754e-08,2.32323094095932e-09,7.087477271738862e-10,2.5177990004010553e-07,1.1589872173090043e-07,1.1257566656652784e-08,4.1565150166178455e-07,2.812313155686752e-07,4.135428506302219e-07,9.07793951121505e-08
