 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,C19,H20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
N1,0.0,1.7226067031954284,1.7054486588564113,2.6887035956149483,0.08500580555019244,0.21468509850677298,0.029890740927991266,0.008631552899483252,0.05849254361244725,0.0832750716678976,0.21871728980590702,0.049288042962174844,0.0377939291314178,0.0012469619884124539,0.0040859296648837334,0.0002767833155465915,0.0015353828253966,0.00025091074629557397,0.00017921115896457618,4.5027628629012995e-06,1.0046742609071124e-05,0.00013486039032627184,1.5496607271514584e-05,8.769900758054394e-05,6.035462877806985e-06,4.040093562619751e-05,8.952905966586044e-07,1.2788079018055676e-05,1.629196864527671e-06,0.0007918086935833901,8.898675435404374e-05,0.0002498651463152257,6.858357634520473e-05
H2,0.0,0.0,0.028732660637299734,0.10132884301630907,0.012045570850763632,0.02413926273709055,0.0008256234941677043,0.0001952591579161833,0.005600252911299064,0.002077728275298174,0.00485675596079127,0.001637925496065784,0.0006746866125290074,0.00014192786778188804,9.819911766395517e-05,3.5869248002917686e-06,5.1562302883056965e-05,6.59387240053988e-06,7.641239797018251e-06,8.012204626428598e-07,8.0401201718594e-07,9.010971243061938e-06,3.0619734969761225e-07,1.24013193414374e-05,4.2937141819798796e-07,1.633799160960514e-06,3.4057695774691865e-08,5.642522153959106e-07,1.3837201984223668e-07,1.8400664213658047e-05,2.001142241692122e-06,4.64908785791085e-06,1.3831139087372435e-06
H3,0.0,0.0,0.0,0.09340845551841648,0.02640390366635259,0.006106736887926623,0.0002739701785985371,0.00015723508132681197,0.007071130750571086,0.005092854372957145,0.023114287345395335,0.002051367747994748,0.021920240526374868,0.0015247673663001393,0.0014529573824291209,0.00011632482726353643,0.0010536226987031272,5.9534566062557914e-05,0.0001916006249956803,5.927484326262444e-06,4.684722224590487e-06,6.147571570924715e-05,3.550472664981541e-06,3.228305224656225e-05,9.026883804885699e-07,5.0283387799998636e-05,9.521968913350776e-07,1.4014936068784678e-05,1.0823722573771732e-06,0.00015893925626375704,0.00013753501940494406,3.216212997059209e-05,8.088003518258446e-06
C4,0.0,0.0,0.0,0.0,2.0410822348283206,2.526406066702842,0.08557345680967043,0.0978973706208488,0.20157830221322723,0.014451026262266464,2.6604481182513675,0.29240994233831596,0.2226378854744599,0.010856424054406233,0.036327179075871685,0.003546661731722356,0.0030840847481657108,0.0007852199220779177,0.0007488797503512057,1.973362458285166e-05,1.8303251387186137e-05,0.00031995142310467517,3.469609843609334e-05,0.00014092923093889098,1.1955337932523236e-05,0.00014873563775599785,2.5062771704664755e-06,3.0240905423362108e-05,3.493056120573712e-06,0.004364766325810343,0.0003611516057877434,0.0012706337930312867,0.000257661663331743
H5,0.0,0.0,0.0,0.0,0.0,0.09989117887414234,0.0017336303219090965,0.006544711245729307,0.02690631040764757,0.00043076195638702686,0.10623227241052136,0.020014469356893105,0.02044072285383347,0.001631553118012885,0.003077216025906493,0.00010874161243723535,0.0004192494541648273,7.031339832508365e-05,0.0001247761376533818,1.2084584537497278e-06,3.3085534283383566e-06,1.520419334921641e-05,2.365234909929015e-06,7.382031462999095e-06,1.6191255520769943e-06,4.082915081626837e-05,2.2919708997370947e-07,7.200027120735086e-06,4.0089490815908846e-07,0.0004885706479895724,3.7309389212314414e-05,0.00012378471224638865,3.653123556102145e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8389537599831458,1.8856259918577756,3.0855306782915557,0.10915636350531077,0.16678685257497422,0.03650306376679424,0.02895126700394271,0.013787481381744793,0.0031111639448054285,0.0011216016329100853,0.0006296102591195063,0.00015577416766832108,9.198462550041864e-05,4.788876372785467e-06,1.0345011031587248e-05,0.0003383887325314472,2.1944727046641077e-05,0.0004411331069864577,1.3699892914997847e-05,1.926577407476704e-05,1.5731100118099306e-06,4.7074681266412455e-06,6.565507209010946e-07,0.0004499852420102035,0.00023965214833816806,0.00011936166491076372,2.7116373855662346e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02727349183662664,0.09744459551917195,0.035462918969455526,0.010922471182295945,0.0012638703316045774,0.0037459321072899066,0.0005174054468655154,0.0003398145780186823,0.00011730720916980353,0.00019586951121297602,1.7488993532266406e-05,3.755423686047088e-05,5.209914054837839e-06,2.928140039992755e-06,0.00038162277733300165,4.399797997134414e-05,0.0006055281431776027,2.9878407838745957e-05,6.506645130022193e-06,1.812515595389641e-07,1.1820425391828593e-06,7.130647805553281e-08,4.928081275989982e-05,7.262909271110729e-06,1.6373067635133687e-05,4.121212501706495e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10158759334725276,0.010114542435484486,0.027351649073837025,0.004421048760912094,0.005255480678062696,0.004292442216465409,0.0005247297751636015,0.00018962129457822385,0.00023754619788696196,3.600845075024672e-05,4.7720108072857315e-05,1.153648609975022e-07,1.4502565675034162e-06,1.5390041435692225e-05,1.0667906091832435e-06,2.119802971156659e-06,1.1869676499465243e-06,1.266870036742418e-05,3.758662816544245e-07,3.451022502209966e-06,3.9156110065441396e-07,6.495136344009111e-05,9.128081379083941e-05,1.2368942310492237e-05,2.9179043661287096e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5882516934111717,0.013241691786896548,0.0038306157028744348,0.05446948980561368,0.14274417019359653,0.006372512245526138,0.0009940735555113989,0.00036063874864189494,3.739239419564555e-05,0.00018604522760941322,2.237925244674699e-06,3.318512310701571e-05,0.00025219494551873,8.541418083263252e-06,0.0002763789425517249,4.102843457642891e-06,4.2991219019419824e-05,8.19863766876594e-07,4.378349633293865e-06,1.588294975540805e-06,0.0007762225246591703,0.0008907056433102578,0.00013269637088000885,6.540164587010011e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017680491677157795,0.0005854268354916758,0.0012262646914417141,0.0016155566036071267,0.0002033481888031874,7.196468901748965e-05,3.73785907789026e-05,1.516054465744432e-06,1.2395500257667003e-05,1.8220966402360261e-07,1.5587816948325894e-06,9.8806328894252e-06,8.002381099991851e-07,8.374642090025475e-06,2.3368893975472815e-07,2.87448102131993e-06,7.344017660670943e-08,5.159620621864036e-07,7.754809128179829e-08,3.923765400515311e-05,3.9422911249031856e-05,1.2316423981917346e-05,2.358361604892778e-06
