,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19C,20H,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
1N,0.0,1.0175855738824195,1.0192062643338964,1.4831837173372049,2.1030174567739066,2.4412857152286316,3.4024440173402573,2.7599027918996364,2.7741354633715822,2.3584279597563222,2.5042132380021727,3.3171682969524494,3.1217316211266084,3.0654083124347213,4.428627881032872,4.549843539205815,5.568015279957013,5.341609246896241,6.857728176469692,7.343731268529496,6.756528863046609,6.066813020204592,6.89797867732063,5.410059125530934,6.600182085830233,7.9760090619120545,8.376498108883823,8.857262211384274,7.79019164405955,5.030318113705095,4.913298931381634,6.153625353059634,6.647099096616933
2H,0.0,0.0,1.623649689590052,2.0633229657946512,2.2416333117062286,3.2783888680153606,4.172116749623202,3.4657088843912223,3.7802342615678564,3.3521282487539215,2.911024927575659,3.381974812453985,3.756054425964218,3.8989669334784343,4.93063824948783,4.834270597768156,6.091919187929661,5.78417248702698,7.268505757602165,7.809999368760891,7.024162951016369,6.773359828900957,7.582908524108513,6.204793849195807,7.34397244013443,8.37432857360464,8.878300011957379,9.196739477691004,8.121834726144312,5.617472722308999,5.637363263805492,6.619881401390775,7.1596133630795125
3H,0.0,0.0,0.0,2.060538284280781,2.8947118939349044,2.9298237648508443,3.8201047486004818,3.4722913903231514,2.8368391008451335,2.3820099391741616,2.520405098075584,3.3891458742002962,2.7489490128559684,2.651921375380626,3.9096070565608514,4.028537017379347,5.227789607841412,5.1908333365915125,6.443655816989991,6.807019036931085,6.3260234086353755,5.756987609120781,6.687572164062048,5.184541740292462,6.151159070457795,7.69009635324941,8.104249415742316,8.525140509017046,7.635172566669976,4.280088876741897,4.121179805312549,5.35430356878581,5.77942049727225
4C,0.0,0.0,0.0,0.0,1.0938414009258384,1.5382700884850544,2.1884433226360818,2.158796949105513,2.44958046903761,2.585255580066067,1.5386800336276774,2.426098048469242,2.4463927808785804,2.561721079412635,3.820588241749749,4.056709912796641,4.624798900805151,4.210209323410096,5.994016898439398,6.617012441441109,5.998373574035775,5.08133752209089,5.7755197475186515,4.410347517003916,5.792932564897416,6.928360601131567,7.277317437369762,7.8713786172525335,6.635823324629609,4.757828158927427,4.807430333865377,5.936483739878712,6.5598813324839425
5H,0.0,0.0,0.0,0.0,0.0,2.155008344474834,2.594167004392128,2.386996629419363,3.3670267671102194,3.500068475662214,2.1162349747958635,2.5099108259503846,3.3105590362343587,3.5792381869753367,4.563745148526971,4.652058232101268,5.198003263427026,4.581511555270429,6.492303756049474,7.236540553591597,6.422381821883898,5.748462860797911,6.312470887951406,5.124766755572388,6.5695158614767735,7.276889704635377,7.676564561444531,8.201105674104138,6.827985315573425,5.666698924126206,5.830339257776997,6.776434901436392,7.469139707354668
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0946145806509044,1.0992011836095774,1.4262475334157088,1.9252642031619005,2.580956165501905,3.6266953352327915,2.9259625091073254,2.5690554592281964,4.336829508107959,4.9000173307634265,4.889865151939606,4.557049781916411,6.400627486308375,6.9455796111100145,6.656454738893238,4.868605134223653,5.477264651739536,3.9547062721039548,5.546830933950851,7.224150063825954,7.345996941049032,8.255755902651199,6.984259367202743,5.087846838223438,4.869892161223421,6.395465404614086,6.911581444491504
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7794162684284092,2.0304871731374567,2.8148967592862837,2.7471583710124095,3.6587484032356428,3.0022544465350443,2.7492016838464584,4.24356444660963,4.89550679931779,4.43645046708964,4.009322631986563,5.951991588447893,6.555870052072276,6.325912650734694,4.261769837812583,4.70185927242342,3.3341788275986253,5.0523795772616715,6.5881637674809035,6.6172755782852635,7.654357553817661,6.2969114274863465,5.1263706627517145,5.014352390449271,6.407011742161608,6.975893932761235
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0818199627267098,2.2815248599646245,3.494494801791,4.421661075600267,3.996541160501742,3.628428725194635,5.420414698222813,5.93086726500439,5.958462165792661,5.557111559223595,7.464870168887342,8.03557182984648,7.702181038299063,5.899748761190186,6.438728559930678,4.949440946158041,6.586703787601647,8.230452196143364,8.336164554240321,9.269284344981726,7.924042163134541,6.155748763633404,5.8756605663574195,7.4659769226875285,7.959084235274028
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9740652329589058,3.1500775091488307,4.360246149483686,2.887114226887607,2.092150146765775,4.205668415856534,4.937801309426432,4.92053417662711,4.9040782370132066,6.42628829111461,6.755426210149105,6.773291576140995,4.673225257342261,5.429408414693127,3.7062694638572253,5.0924438937574825,7.402237395196086,7.436893180941316,8.417635236193691,7.371355252823941,4.526141643891339,3.999935850952305,5.873494503095545,6.211799286884554
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4836245471076412,4.6746816265932205,3.319902016438241,2.562173675037383,4.652784831857995,5.265868439941202,5.586939118404066,5.601538936376409,7.04489510978276,7.33546031444741,7.290222040407302,5.471745287966177,6.296569742104006,4.562693838341164,5.818329880440604,8.12384764808366,8.22863961859663,9.103562256603777,8.109159876687167,4.845614640274379,4.244233033223307,6.1540775755727735,6.430208499448993
