 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,O9,O9,O9,O9,O9,O9,O9,O9,O9,O9,O9,O9,O9,O9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,H14,H14,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,H16,H16,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,H18,H18,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,H20,H20,H21,H21,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,H23,H23,H24,H24,H25,H25,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,H27,H27,H28,H28,H29,H29,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,O31,O31,O31,O31,O31,O31,O31,O31,O31,O31,O31,O31,O31,O31,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,H33,H33
1N1S,N1,0.0,0.023867787757824388,0.00041008602943692907,0.0008937641532231755,0.0004353850279639193,7.090512993235265e-05,0.0005269835280568014,0.0023170500187363885,0.0006754716356138779,1.2558318064737062e-05,3.02151495822911e-05,8.443374585349883e-05,4.304291807694094e-05,4.193260576153268e-05,0.008171177861153733,0.0014607884728257137,0.007902758200527993,0.001358595933036666,0.0011553946677018423,0.0018409333856139742,0.0005238929396975678,0.008300611526460555,0.0002123254741588365,0.0006133480160699367,6.102121839379748e-06,0.0008327722516570102,8.375517885683692e-06,0.00035058369568413683,8.207186791103771e-05,3.5543418985262143e-06,0.0007497790813034422,4.516224551165404e-06,0.00010480601332285566,4.2188734627801594e-05,2.253085997433457e-05,0.00022040356488917112,0.00028598384654321407,4.7756025849388095e-05,1.4250011277638919e-06,1.1246721535629334e-05,3.921204801349276e-05,0.00027993060077302623,3.854373459377669e-05,2.411518628342435e-06,0.00012721786671854307,7.564844733215503e-06,1.9074968386850744e-05,1.3334590643343525e-06,0.00011753548418247384,0.00010770577441454598,4.857539057678828e-05,1.7047252144575253e-05,1.4093665150954893e-05,6.316537717410142e-05,0.00019290275363337273,5.999716557703039e-05,4.2004895879355075e-06,3.475882882231218e-05,2.7900428178906367e-06,7.427182098673768e-06,3.374236268172126e-08,6.782267206600912e-07,8.028613616095637e-06,1.462392361095688e-06,1.6037250198108755e-06,1.2359596720107335e-06,4.945145562151865e-06,0.0005718879907723462,3.621884973048495e-07,1.1478543504583882e-05,3.5963738875821605e-08,3.7377308670372145e-05,1.6387616579294217e-06,3.1105709730638864e-05,2.0397365165791825e-06,0.0001607392241868011,4.8945187254956224e-05,1.4833360327815015e-06,6.484011882967877e-09,3.075686435760616e-06,3.106600519484082e-05,6.6944136990487735e-06,1.3420462505187025e-08,1.5856785056111988e-06,7.850686778221316e-06,4.522956007280143e-06,7.193048898734844e-06,4.008732701343831e-08,6.850705151828507e-06,2.182046400012183e-05,2.602758075731515e-08,2.248998226400678e-06,1.1483876071194388e-06,6.989156198233815e-10,1.120219468325745e-06,3.968811689847307e-07,1.595594587955329e-06,1.4258857354843002e-06,6.193149874711423e-06,4.977395973826404e-05,1.865223775432412e-08,1.7564498278055396e-07,6.122966413890651e-07,2.5338065788638175e-05,1.7435013286437595e-06,1.3277919214127465e-07,5.561344919025046e-07,2.3759625900066084e-07,2.1900515595474346e-08,2.022104493987209e-06,2.043005711716006e-06,6.519774299329484e-07,2.411659184298198e-07,1.3117388242278594e-07,9.687106206079932e-08,1.683813772856979e-06,7.209928785112396e-07,3.3966809143137766e-08,8.585433253216479e-09,2.1995632648597052e-08,2.772458049804527e-07,1.2777775088013144e-08,9.514562460122278e-08,1.1853303374942392e-07,7.300759969630644e-07,8.66071080685149e-08,2.962966287878288e-07,1.5329943026110016e-07,1.614227786161937e-07,5.375680460772969e-07,2.1815670558922307e-07,1.715021269887984e-06,2.676989574457167e-07,7.227855625124846e-08,1.6842491845636687e-09,1.1965220525489428e-07,7.685187131123428e-08,5.313835482745333e-11,6.363961857491773e-10,8.325873046555188e-10,8.28590016044295e-09,6.574221050881235e-08,9.847981030652875e-08,1.5015562448983388e-07,1.7222469783639838e-08,5.3455183612882706e-08,2.679226951407543e-08,1.4260450331704533e-07,1.9173659460136605e-07,1.9908146242642033e-09,7.852144268127859e-09,3.7077165782051225e-09,7.803244939097453e-09,1.7095583421111726e-08,3.242035528927545e-10,8.445418586688902e-09,9.819074581196574e-09,2.1953332207669263e-09,3.740864951140566e-09,5.112612555535634e-10,1.6455678597537826e-08,1.3576662016845376e-09,7.904185667095831e-09,2.9359755515656616e-08,4.5012309213277035e-08,6.618904113686597e-08,2.3145453065254173e-07,4.226530769813053e-08,5.177491746444218e-08,1.17621576922744e-08,3.276650706318662e-08,2.3289529749170867e-09,1.845696732949431e-08,1.0824341423187889e-11,1.2891855361019111e-09,7.763408388372639e-10,8.66029004065183e-09,1.0947383000114996e-08,6.238282490578229e-08,7.046918104602895e-07,1.4746240228902252e-08,1.872413779580029e-09,1.0809052902738259e-08,1.5035490186221523e-08,1.0666374450352123e-09,8.205821822038217e-08,6.879499192535832e-10,3.6838794237326056e-09,1.3738588044986955e-10,1.7756587089579057e-08,5.275779813018744e-11,1.9201965018034173e-10,2.0323552285539392e-09,4.1117165228143904e-10,7.988671113512424e-10,8.339238216636957e-09,1.4219412314275814e-09,4.643196938047822e-11,2.5843125861513272e-08,1.067723842673729e-08,1.700665830384196e-09,2.050926095620298e-10,1.6847708894651703e-08,7.804626878105125e-08,8.482115254615508e-08,2.4025981204545133e-09,1.1868027094408262e-07,1.834632445962825e-11,2.12872697247235e-09,1.201697175101657e-08,3.5018941191289343e-08,6.860672030484238e-09,2.2436885682708407e-11,2.1271221839480603e-08,1.1850553316428147e-08,1.5191221058863391e-09,1.9326990008394773e-10,6.482325787260379e-10,1.1061371596454705e-08,6.199716962029811e-09,2.040185065332878e-08,8.747580659829168e-09,2.576893587402651e-09,3.066424270059542e-08,5.634146482691449e-10,1.3532173159802596e-09,2.2321282044934776e-09,1.3171940899114887e-09,1.0571696296146627e-10,4.091714717047168e-09,4.268446707200724e-12,9.064611283804425e-10,1.2351128120258181e-08,1.441029895410395e-08,8.076283197766543e-09,7.304283844433712e-10,1.4097611966690238e-11,1.9243586724115858e-09,2.541174159986781e-09,7.813741181861289e-10,7.57005569340663e-13,3.095848744028018e-09,1.3895647271722211e-09,2.6038163292163574e-10,6.68793465052886e-10,5.040188266747236e-10
2N1S,N1,0.0,0.0,0.010915382316101674,0.014304269418630167,0.01081507400131354,0.26398285659936116,0.01588280757626226,0.032007318541716234,0.01604196117537615,0.00013213037358794644,0.0016947647305929348,0.003610818777090241,0.00044133056917949887,0.0017283206427338715,0.11205474935345006,0.16369763001122406,0.1067293217984373,0.16046150139987114,0.003212190428026007,0.0039910805266645255,0.004027540940322094,0.08533477981791515,0.0025155281889031045,0.03817199775659441,0.007003051323939413,0.19976456261536946,0.0036624581600888106,0.015661598050932257,0.003605444269312752,5.744542214913828e-05,0.03489805842018234,0.00013264297690929183,0.0035219184184032137,0.00038316132702576056,0.00016134477129270408,0.0032040543116327314,0.006816958421509867,0.0031307866888381497,2.707346695718371e-05,2.0630514758313012e-05,0.0003470965990270969,0.0013346219225813805,0.0008172279719631526,1.1450994001904746e-06,0.0016998777027488199,5.697007394855902e-05,0.0006570276545136977,7.540304380881935e-06,0.003476459430938661,0.0033310283477914204,0.0009700386149527063,1.8890130556670215e-05,1.898872857020173e-05,0.0003791923505205297,0.0043486492706619195,0.0008977411089441389,1.3681346433536135e-06,0.00034955285396698343,0.002264654596761506,0.0003718700024841759,2.11069326567781e-05,0.0002299926606019742,9.32933414166115e-05,0.00010523025015496401,5.351261059871604e-05,3.329865237144958e-05,0.00014949017211485227,0.007577216688708699,7.401618767555185e-05,2.700699344915236e-05,0.00010301637504639416,0.0025473512920726193,8.221847047629183e-07,8.742878914835828e-05,0.0007171667726515452,6.229893388276508e-06,0.0016870735423295535,2.5474546249570906e-05,2.076096516923087e-08,6.684953455793341e-05,0.0001994256804391803,2.475494955023194e-06,6.29073270363989e-07,3.6838957002682804e-05,0.0003078898491026827,0.0001251997827509399,0.0003083758485269428,1.1173980339673761e-05,0.00028279871120817646,0.00041804029347547456,0.00014748269608100273,0.00015531594804740756,1.5052499520606943e-05,1.5807764510933353e-05,7.99067012426935e-05,1.6811309397901653e-06,4.374673595375356e-06,1.501297055561679e-07,0.00022507241668545674,0.001252632041669255,3.765000992084211e-05,1.011511805604215e-05,0.0002398773925222919,0.0017743925797502058,9.281999215904335e-06,9.206417547202861e-06,2.776859244946195e-05,1.8595405175902968e-05,1.6616051570883528e-05,0.00012469417953209216,1.7973306833507507e-05,3.981654693907544e-05,1.0588301506686548e-06,1.0007080613050334e-06,1.4726865126046818e-05,6.275597410576594e-05,9.648178767918125e-06,9.257332189704925e-08,1.8984220186979428e-06,1.3445687581103982e-06,1.1212016008954606e-06,2.744510477992179e-06,6.526762971637012e-06,1.4230731659070628e-05,4.981490400890465e-05,4.912354542252473e-06,2.273614389292078e-05,6.1882366648724485e-06,1.6734055388045732e-06,1.8613343478968147e-05,1.1817527380664217e-05,9.014799483209046e-05,1.4363273112660835e-05,6.354708160127842e-06,2.8050496689857596e-06,2.0602864237329044e-05,4.669910920185316e-07,3.55527120410315e-07,1.6259582102939873e-07,6.869250219754264e-07,1.414454223080952e-06,4.3202631747618625e-06,5.712284179448801e-06,8.043671471114067e-07,1.8144122626573278e-07,1.7086147274802954e-06,1.1337486371942873e-06,7.865034564513707e-06,1.1592719161956921e-05,1.2593887177558827e-07,2.0586410398593102e-07,5.727904897057101e-07,2.4169138090890385e-06,1.3774670124533372e-06,3.8597029128339955e-08,1.1247834197369855e-06,9.784281378433235e-07,1.924305026435036e-08,6.44448063802372e-07,2.918695418685502e-07,5.970029319790626e-07,4.0097145781459176e-07,7.113136746283999e-10,3.060308042535098e-07,4.069063844092113e-06,1.5358134137777313e-06,6.597980538813886e-06,8.288855779525761e-07,2.6218370030584026e-06,4.851358048618692e-07,9.531608045065809e-07,8.342851143261498e-08,2.3053997246780256e-06,4.071799120097808e-09,1.9490412395128942e-07,1.0696979679813978e-07,7.465804046091762e-07,6.81282176895337e-07,1.3692365974371512e-06,1.8360189112609504e-05,3.826069017165423e-07,4.0229178210893224e-08,5.419762905134462e-08,9.239192046983646e-07,7.119293909951807e-08,4.469853727151474e-06,1.0384670812157992e-07,2.490191022275212e-07,1.8459633821521493e-10,1.1582853756131328e-06,2.924323005970564e-09,2.08584760574837e-08,2.0053198457326005e-07,5.0914800153734063e-08,3.518411095804197e-08,1.0014082316711637e-06,1.0460744892526463e-07,1.503914592859701e-08,1.6484786780068816e-06,8.012192584949673e-07,1.5075371928574555e-07,1.3333734560916355e-08,4.76995307696626e-08,1.6527811133038028e-06,2.7334772871867585e-06,8.7210811905436e-08,3.1300599756534098e-06,9.410313417390626e-09,6.486461989752002e-08,2.303680632920191e-07,1.4604746532143054e-06,1.2181227757590563e-06,6.561334675581065e-08,1.2528872821437886e-06,4.961622923627118e-07,2.8780657856941616e-09,4.216367255338582e-09,2.7914006661688973e-08,6.390947344669939e-07,3.4701233708744894e-07,2.046062652638625e-07,2.4295382639039076e-07,7.376252986190934e-07,1.0088994359946923e-06,3.079089605506624e-08,6.169681587842035e-08,3.94196730812979e-08,3.03893634701069e-08,6.569766952679856e-11,2.1617353529457262e-07,6.2336666939444285e-09,1.4463729236524614e-07,6.638556069304968e-07,3.9575291888027664e-07,5.681764974063697e-07,2.78833547362467e-08,5.7800442654354356e-08,7.648757893718994e-08,2.888689287772195e-09,3.276406568275547e-08,7.289890913142472e-09,3.27046892234506e-07,1.8563841353014254e-07,1.254552017826427e-13,1.744984348128753e-07,1.0392402094439035e-07
3N1P+1,N1,0.0,0.0,0.0,0.016657355349931624,0.013763102666730198,0.00993414405848636,0.23861276481244476,0.024629815836259006,0.01525318755217242,0.04141664449221549,0.00025176286015238247,0.00022893371049570455,0.000240393111779591,0.0017006764473623814,0.3023498468890251,0.19173553041447322,0.00870931376805073,0.006139432529459921,0.0008898642781707267,0.005153801858346796,0.00033941140350846055,0.023617856968083384,0.0001332687097752583,0.004445128905533391,0.01788600490632053,0.02118794772934729,0.0001106773585277665,0.020653528608732374,0.022245779216192307,0.003216007892257844,0.007721692772100441,0.0004524442041020649,0.0017125424911501597,0.0003484132719786537,0.00018715634014787597,0.010275587307612799,0.011903015908273584,0.0007179291918983921,0.00016600273173006386,0.0006483449743619474,2.1135515826387063e-07,0.005465901575970822,0.00026806033432613674,0.0002626945888259957,0.003482603917105198,9.57299230393005e-05,0.0006086018949276184,1.3210695348986334e-05,0.0018134371370841507,0.0019226356871371308,0.0012318980806673707,0.00014760211270559154,6.160930607501669e-05,0.0015087129566078161,0.0030760344430262876,0.0031737946819729856,0.00011936600708173373,0.0012197757183809443,0.0005115206777071002,0.0005173536204465812,5.2282723789431884e-05,6.783104371743676e-05,0.0008187603678055932,0.00019947680485188357,4.968379430136949e-05,5.657738481534835e-05,5.3924894074075524e-05,0.01808557032672642,1.2303715604344845e-05,0.0008544822978016064,1.5853848869262777e-06,0.0001722648887660938,0.0010451727676246136,9.230357083378493e-05,0.0006008944402653427,0.0006475573471376173,0.0005850906365543196,9.946006058747514e-07,2.2913836674742782e-06,8.29549960013054e-06,6.49551379532376e-05,5.369360727147665e-07,4.5235730183890155e-07,1.0316729195380958e-06,0.00022012012395888902,0.0007546820848758351,2.3880442745038977e-05,5.185462331747104e-05,1.421200761297925e-05,0.0004971159838320638,1.0788929519556234e-05,4.2465790706103235e-07,5.3738495445765366e-05,0.00012143967462718841,5.655356301259573e-06,5.227603541335668e-05,3.653236902989576e-06,2.533408595617459e-05,2.300217272876992e-05,1.7206579056683324e-05,4.340387455714634e-05,7.632716858552158e-08,5.9165573584429865e-05,3.2924715931414994e-07,5.712869510787755e-07,5.159483173100554e-05,1.3540086667207518e-05,4.920384888418283e-06,2.369851087546948e-05,2.0339512560418882e-05,6.342243394197311e-05,2.107465722245294e-05,1.0952365065985958e-06,9.581815596515497e-06,5.744429616871827e-06,1.3009094144589284e-05,5.7990277759767395e-05,1.523447816786927e-07,9.508781437794767e-07,1.1400653314730391e-06,7.207073720483237e-06,1.2230925161560435e-09,1.153357405137001e-07,5.856041296325998e-08,2.36083996352221e-07,1.7543911079442864e-07,3.1966614688627715e-07,3.7203394294138548e-06,6.217997672308684e-09,4.5950036220432366e-08,8.966330700133085e-08,8.363866657035146e-07,1.8968376025441103e-07,2.2652089981534118e-08,1.519585755005437e-07,7.525462719648601e-07,4.2364449726051134e-09,3.210722256952181e-07,1.949540278101125e-07,1.201043355880671e-07,1.4777472556737337e-07,1.7347440686155124e-06,2.6192205293540383e-08,4.285413117699477e-06,1.4679307325238256e-08,2.2063266813532323e-07,8.533473483396392e-09,4.374880284707672e-07,2.790306359301553e-07,2.5020803651187862e-08,3.054794639467673e-09,9.77236260801817e-08,9.182689675313327e-08,5.025406579761693e-08,5.601197283766624e-10,6.4180554204540385e-09,3.4251823688435934e-07,3.4460501119326636e-10,3.173118923172069e-08,3.910801682494025e-08,6.745941139030265e-08,4.05901090516636e-09,2.038496105249976e-08,1.1585249950485377e-06,2.4177359669863563e-08,5.935332869633214e-07,1.5762379113049008e-06,1.149581873249872e-06,1.9680356988516223e-07,1.1728100357544236e-07,2.077820506762862e-07,6.900280347110765e-11,6.439001998259641e-09,1.5273273978877455e-08,1.0358427449119745e-09,1.9961809982760315e-13,6.237723670921014e-09,2.22735607735558e-09,6.878193898884888e-07,1.5932213004443696e-05,1.2821700101639522e-07,3.915671298315715e-08,4.638651907029612e-09,1.4419543958865688e-07,1.4690129113148487e-09,3.557042425050838e-07,6.334666124985233e-10,3.995844011228655e-08,5.823205029287237e-09,5.06067006078581e-08,1.4488469535223203e-08,6.1631486580893124e-09,3.025441897008818e-09,5.602022845607735e-09,2.4495721007156135e-09,2.2835222379669062e-08,4.093184902131952e-09,5.151016502225048e-09,4.0014882074501656e-08,2.9187786854123488e-08,5.594258389862716e-10,8.78645156632274e-09,3.809994386649862e-08,4.915835440932881e-07,7.843931029150042e-07,6.007697290755232e-07,3.771369110339151e-07,4.542417864072945e-08,9.79157366742811e-07,1.4793057401263354e-07,2.738840980676116e-07,2.8706800581090874e-07,5.130457916280307e-07,7.168865501228083e-11,2.924117373126478e-06,2.3604411758526567e-09,2.388760744764795e-09,1.294422689035457e-07,3.562391239775309e-07,1.4557728134079184e-07,5.468424890686663e-07,3.3135969967901246e-08,2.8268638407880076e-07,2.1873993727439256e-08,2.8289653730695363e-08,7.363557541495425e-09,1.2327679765888888e-08,3.006749671463638e-08,2.437628987550511e-09,4.821273447142005e-08,3.8039954963764444e-08,1.0070723179822494e-06,1.4062973008321933e-11,5.6129350056721705e-08,8.997007805433554e-07,1.721436357904338e-07,8.930061135004053e-10,2.8204105717577477e-12,7.584306516150718e-10,2.7119704459899197e-07,2.6926122886905546e-08,8.915490412597649e-08,3.1199527272818273e-07,2.0883315943187597e-07,5.677742649368156e-07,6.398378129546245e-07
4N1P-1,N1,0.0,0.0,0.0,0.0,0.015513244460330089,0.021013116559464695,0.020691097109920786,0.2780153448422804,0.01759794343404364,0.006811894130265506,0.0004347962582782472,0.0021771370956766845,0.029772246713597905,0.0004297121440715035,0.015454391282178737,0.01800763960784124,0.03362879193270052,0.03438854056626672,0.013815426421659227,0.0800598164552202,0.030338365344651397,0.29532401216462567,0.013328393034856667,0.03045466563851873,0.022533708575033895,0.10701443959541335,0.014575547537845512,0.0001654149792600368,0.02278459850727077,0.0011586533259473342,0.01314376161109121,0.01431945488371067,0.0044233112060934054,9.628023883356818e-05,4.322217993957267e-06,0.00019410563138455572,0.0004057186549082381,0.0005651884716768585,7.145569537003738e-05,0.000590284456679413,8.959559623544777e-06,2.1276825393989895e-05,0.00037781791187363467,1.5687670179787006e-05,0.00687927230943175,0.0004530640385840279,0.0003167519038635991,0.0006772107209362943,0.004377265016257681,0.0012974056409293944,0.0002551422386214419,0.0009890161216312698,1.463663010126126e-06,1.4077073728913092e-08,0.0003744310353623881,0.003352700254938945,2.2266398247428043e-05,6.862621006176184e-05,0.00031013826723302884,0.0005926122475172768,1.6460403078788488e-05,3.0365158530498704e-05,8.277430221870219e-05,2.0655121623303074e-05,2.2899933881381784e-05,8.501240070546423e-05,8.916133136693816e-06,0.007201867355534297,0.00045012688003898127,0.007896764195995942,0.0025383532576159773,0.002402907739716742,0.01329408174012725,0.0005688390841025459,0.0006092309742609103,0.01230113810305511,0.0004432524040147712,0.0003655965573015063,0.0001570301183941858,0.0032020737228311003,0.00964919426440436,0.001879365193559579,5.071367772391255e-06,0.0002605863348077442,0.00462729856319033,0.004293817832957458,0.0053979699870785325,1.1537866675848107e-05,0.0012847714679167233,0.005542171227925774,0.0017100971536558873,9.630993497844464e-05,0.00026947716866665417,0.0010078929225509903,1.08493653949715e-06,0.0003130637343498055,1.707946359230661e-06,9.412270860531535e-05,0.0007152484183037267,0.004216709762141502,0.0007832194686376859,6.486798417526529e-06,0.0008617072554653049,0.0022909209107417894,4.928577139517998e-05,0.0003198919430726921,0.00014843067815251132,5.8475180940043e-05,0.0007433969283345832,0.00015029498348817505,1.2750612366385639e-05,1.0047054695760949e-05,4.274434723949838e-07,2.241146135739669e-05,0.00015844281553345496,1.99547216483964e-06,0.00015446660835927162,3.1178715849122796e-06,8.177190470526341e-06,9.520299375154195e-05,1.4444439354832639e-05,4.9991342176980424e-09,2.6794707055133316e-05,3.8127810096710846e-05,0.000425575645546461,6.037346849163683e-05,6.864852364651952e-05,4.01571795514144e-05,3.064191094637181e-06,0.00010852129611516048,3.679598903305603e-05,0.0002231628551712106,2.4859265889354276e-05,2.4019621494897336e-05,4.945347785945131e-06,4.7642322029695094e-06,2.6455474637643306e-05,1.6639966582410182e-07,2.1305451185504864e-06,2.417192956460923e-06,8.536643315126824e-06,7.822740182295007e-07,7.914321535462676e-06,6.566283715869758e-05,4.942730957857577e-08,1.7518674551020297e-06,1.7548759916330425e-06,5.49319388776226e-06,1.159056142796544e-05,1.2432685507768326e-06,3.2293209883960117e-06,3.0705610583048326e-06,4.3011454842201147e-07,3.2889631891297455e-06,3.114661195624535e-09,1.7128408498212622e-06,1.344026274718857e-07,1.230254942807818e-06,1.5348094506428822e-06,4.4882108030108725e-07,1.2710035752760973e-06,2.771891502995061e-06,1.8096635301390052e-13,1.9113097904366327e-07,1.1374507422612368e-05,2.884342583886479e-06,1.2781431560693335e-05,1.675413700219508e-06,5.204446011486397e-06,1.5751299984323452e-06,1.082082234038495e-06,8.505920818802082e-07,9.28598937299796e-06,9.753136787082894e-08,1.678191206888613e-06,9.15911148258175e-07,3.4643121300526047e-06,4.030804846344438e-06,7.219297000204961e-07,2.2143703297228257e-05,1.6961806807991309e-06,5.110394067919799e-07,5.373685452170207e-08,6.825830847212444e-07,9.689098368070859e-08,3.1358361631816933e-06,1.3217377770047278e-07,1.890149281535969e-08,7.888623088092572e-11,7.710103298030901e-07,3.700751882718123e-08,7.740547314227797e-09,3.5693030087102784e-07,4.5839105178302475e-08,1.733480305965429e-07,1.5947192193443982e-06,2.4366511208739894e-07,1.3712453394987278e-10,1.9945913334318277e-06,1.1121570979710782e-06,2.804352186025483e-07,3.107948174374542e-07,1.445828323731746e-06,3.7459483001711646e-05,4.2386829668839e-05,5.4490707324106324e-06,3.3156273736345554e-05,3.493627223960516e-06,2.986808056615331e-05,7.1137976411783654e-06,2.8258905402811507e-05,1.4712659752946777e-05,6.302276497560655e-06,2.3147097749642853e-06,2.831990003437923e-05,2.7940652014279976e-09,5.367934585720491e-08,1.8457665911242316e-06,4.101262303546349e-06,4.0637471387938717e-07,8.437570028885233e-06,2.0406311072029837e-06,7.820126133317729e-07,7.714793248680962e-10,5.363946091740956e-07,1.3874901492183511e-06,6.0354108377680404e-09,9.553695123898365e-08,5.237666769186688e-07,1.6474540083244449e-06,5.284919182280134e-07,1.7405028491790375e-05,2.194957976708878e-06,1.6099059996221854e-07,1.940000254174734e-05,2.9551378610825907e-06,8.25968715645331e-09,7.517115623301152e-07,1.8966740977788277e-07,6.768450838912088e-06,3.3535485322033765e-07,4.594190056605996e-06,1.2009343812069417e-05,3.141205672019254e-06,1.13565902428725e-05,1.1524114235328398e-05
