,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21H,22C,23H,24H,25N,26H,27C,28N,29H,30H,31N,32H,33H,34C,35O,36O,37H
1N,0.0,1.0194773266960417,1.020609754146866,1.457899350182222,2.078557766522053,2.449038926287727,3.412356509557671,2.6565656927317898,2.729881903389112,2.500808708201776,2.8382181544389744,3.688762369568974,3.962932351503584,4.955426044430516,5.015333961513198,5.7171780931321905,5.953884216510016,6.717883544121069,5.349622435478142,5.3476511245508185,4.47233358046724,6.612053709600254,6.868152890719741,7.4876129432629375,6.718339989853329,6.139106208380405,7.788973447917326,8.808410504450368,8.933486249274965,9.578479123373334,8.056569118100995,7.444306981483894,9.025621221546054,6.009834579650759,6.046606837796354,7.178773373823163,7.845112869069292
2H,0.0,0.0,1.62468547901114,2.0434531867433483,2.3414245302971444,3.3425712301901793,4.201502042346454,3.5747186764630667,3.684174972117343,2.746958314823889,2.996418431918738,3.8314405609202833,4.174722772997637,5.068533948624758,5.234511238950791,5.564206911897481,5.707160478361385,6.608884307971968,5.031054671776246,5.150970615701059,4.04198933998526,6.138361882933462,6.309073074612244,7.09506918824978,6.141382680401437,5.606902433765208,7.117932598613265,8.12849011368605,8.31540028233611,8.842312782195101,7.332808693886769,6.726143959938353,8.280263721793458,6.2325554592546055,6.332128072157605,7.391958463381741,8.104509701835616
3H,0.0,0.0,0.0,2.0229430182870862,2.9159016379767895,2.717757770469971,3.715772606750186,3.068729269820757,2.576398502968161,2.6162345788391557,2.5204634836475477,3.959684404285138,4.415724986642799,5.0345108163159695,4.876450168730324,5.800377701889356,6.209900296784494,6.727554560371344,5.291676444643679,5.08638921334507,4.502761541190631,6.564795477414457,6.973747880308063,7.384330218170045,6.551338032688096,5.853613985802538,7.6402051275962615,8.744724637165577,8.9087819532956,9.5361239500219,7.834296783402567,7.159462768027514,8.799338264405815,6.186754071808958,6.377927918604178,7.243530926713875,7.965601583175171
4C,0.0,0.0,0.0,0.0,1.0984766930247662,1.54004308216803,2.197864988852153,2.161222708002333,2.177732923544999,1.5413770762790793,2.43060513801597,2.47042500347054,2.588132091821837,3.8215642641867507,4.004053550257311,4.802199099160283,5.00597719173734,5.773812106691102,4.80426771493119,4.8862611476888835,4.075312477752332,6.197421100207105,6.420661606254332,6.974869905353693,6.61877538466147,6.170085517713668,7.796953987446656,8.683348936450864,8.642353399629743,9.522752771980588,8.29749975587299,7.827273284750736,9.297165065120744,4.685943033205942,4.623753275068237,5.9097866817821965,6.5056608724463585
5H,0.0,0.0,0.0,0.0,0.0,2.1583320537855193,2.512320451900029,2.488159846279118,3.0719437135265295,2.1614501815163516,3.2399035100813136,2.58170187639818,2.3661862304005816,4.034608818352794,4.483582381623368,4.902344209592187,4.862097622442679,5.9189716926593166,5.055419257109484,5.359005219976432,4.2755857178817385,6.353880266367132,6.390715778553611,7.171749572592912,6.879464444928021,6.56614263962327,7.998731571600317,8.77414489610933,8.69403590484175,9.572839612235503,8.560221214195446,8.162320519682513,9.543711400737147,4.724952976571264,4.462466349229585,6.034001631670289,6.548626682039158
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0957580058639451,1.0932182989097925,1.0964111209797571,2.5074112344276442,3.26995215556884,3.212730076436068,3.1118352234863456,4.369727677356526,4.36909090254537,5.658356999047411,5.958828593551982,6.49108703459311,5.878737335118867,5.805842391316613,5.32623858464613,7.361274112208933,7.666790353743719,8.013401481862417,7.861459549984909,7.370596563385481,9.099024692139743,9.986185099942336,9.885523042088755,10.86803643297216,9.624169603783622,9.138829058494053,10.630973677474223,4.893884925680056,4.671161471952542,6.056063486476207,6.514257531832607
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7818285607106739,1.7753036784484215,2.76470300481853,3.6718747721981146,2.997787696075818,2.664548344743154,4.011625743835527,4.0939381381692455,5.426141875143131,5.6843795943458915,6.168164804340421,5.928235481381089,5.911083752587858,5.518283058319647,7.425063333478425,7.694892492565552,7.9807691891147465,8.112726181465861,7.718078334654449,9.382881712486295,10.165413979554447,9.95613282061099,11.074999459581333,10.038819669736615,9.644490710623275,11.04879429075281,4.20927884521071,3.828136918780283,5.3618430131678645,5.70009868135834
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7754052179490283,3.4577968832006074,4.21800340797157,4.159499020447764,3.9248081482077803,5.39645154721209,5.453810796272238,6.647399098918854,6.858910618512577,7.516112819750217,6.8401775354848695,6.812019704192027,6.1999875681913155,8.288548021599773,8.531984273756004,8.995357699877443,8.734223287214668,8.231925084219347,9.930205457973653,10.833442183135894,10.771983924243939,11.681008493200478,10.389906193782123,9.861098511355765,11.387652530147404,5.848957147970988,5.485138136835186,7.045538181747857,7.441848782418326
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.754062631347211,3.1213053564531976,3.648770268833663,3.780440316472009,4.578547880879839,4.3080386121125525,5.88748956361516,6.367769655820266,6.635921427922141,5.982615319270473,5.706740193879149,5.515885899324847,7.48368204524316,7.934367524883074,8.074139713932107,7.883506555114997,7.289938656156157,9.140632792499227,10.10410580794899,10.036319123198545,11.007806685729106,9.602915080749385,9.06525614332584,10.60432493701464,5.199495498881329,5.166200163766573,6.214784169389249,6.7266271281745365
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304315666642551,1.3717946520369035,2.062134816922181,2.4662540385776768,2.5720820363508934,3.3957315591493398,3.799104252940594,4.326590885795913,3.3876226846017974,3.4061071109919405,2.8371927655968356,4.857694708458945,5.208142407162691,5.544862618142329,5.389010912028021,4.976896640178604,6.645289438605262,7.497101998414248,7.385389604778202,8.397856217690387,7.274144611967062,6.8981994831198,8.284136899371612,3.619494010987382,3.915582201708671,4.717084352932524,5.447046548623
