 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,H21,C22,H23,H24,N25,H26,C27,N28,H29,H30,N31,H32,H33,C34,O35,O36,H37
N1,0.0,1.9893385606473648,1.7242426131659272,2.6796170915994497,0.0895065644838392,0.19501096405497492,0.030388243570282025,0.013504342802406533,0.007691071858207055,0.23743278041699897,0.04485969644523652,0.036294907499764675,0.00272629712576955,0.007176736954273261,0.00046212143053980803,0.0010635961205026495,3.464247646889351e-05,0.00024133334015119523,0.00021630537857211807,3.7263793125852374e-05,7.822876578389426e-05,4.84742261742388e-05,1.041381030741917e-06,5.452206832790019e-06,5.70541549248238e-06,1.4960624729054572e-06,9.299198211187854e-07,6.455601766347518e-07,4.5469246601204105e-07,4.7432682781511915e-08,2.9445520339371756e-07,2.5206978282454884e-08,8.62805660251098e-08,0.000799010708352671,0.00011040384186063179,0.000258284484402585,7.674150758163467e-05
H2,0.0,0.0,0.02714358449307097,0.10658278330823057,0.006751482709098422,0.03407372179728363,0.0029858729101515102,0.0008042818280380448,0.0007599149374615255,0.00791586572524483,0.0040352198986648435,0.0005645364338612291,3.0978323943609e-05,0.0002047265879225879,1.1830839497850576e-05,1.255623256946059e-05,1.3556669102854357e-06,5.427718426265216e-06,1.5416320826244778e-05,2.7091269159118525e-06,5.953557826821054e-05,3.909144238867235e-06,4.737141523492028e-08,7.328605746703687e-07,2.123934528253102e-07,2.1665781724244937e-07,4.271121234467046e-08,1.9696777542321797e-08,6.2814853318826636e-09,8.332630141438813e-10,2.6723819046559072e-08,5.824316584579492e-10,3.5805203246752626e-10,2.7110269760322048e-05,5.397180409594249e-06,7.587030187550248e-06,2.1177176612319215e-06
H3,0.0,0.0,0.0,0.1071236941272048,0.03739904692875107,0.00992347053114484,0.0003273713817883994,0.000170137897674838,0.00490960748483249,0.015644121489376106,0.03747705845638605,0.0027487647581927455,0.0007645105119518103,0.0003672654159365685,3.737701974415586e-05,1.893494372928739e-05,1.4189402570696785e-06,1.499343498467809e-06,8.318789773475999e-05,1.7950178000436523e-05,1.593984267356241e-05,2.1778116297999084e-05,1.5990997124237794e-06,1.4061067743487143e-06,1.4067629642289248e-06,1.4545928017639653e-06,8.846489019109782e-08,3.942319772853864e-07,3.8215942188557506e-07,7.151535208471671e-08,7.198075024916761e-09,2.1829476004597836e-09,3.492751643463521e-09,5.18939283956632e-05,3.155406743271527e-05,6.4504462370384985e-06,1.4273501169892455e-06
C4,0.0,0.0,0.0,0.0,1.7595002547516327,2.771838583416949,0.08747423207106353,0.09148754522352198,0.08561262608399356,2.6981385916797307,0.2733960652824662,0.22354683941398723,0.014829764307896065,0.03505969196143016,0.003857770142265071,0.0034831177188261453,0.00017146195880046733,0.0008300118505895071,0.0022301756810393925,0.0008981336200029055,0.0007219885133353809,0.00039366588843439687,8.391446324251817e-06,2.2682346861424563e-05,3.934362440385919e-05,7.637138498051144e-06,2.6510492840414734e-06,5.650774714607842e-06,5.975527244683754e-06,4.792538302877958e-07,7.067572943414424e-07,8.934011952455023e-08,1.725496889815048e-07,0.00332111326980164,0.0004449332501105241,0.001021116062361993,0.00020922545776513868
H5,0.0,0.0,0.0,0.0,0.0,0.08067874514521955,0.004258505049925088,0.005225842117739576,0.03470776684737986,0.09956544933792211,0.025205033419470224,0.011578781001988059,0.006307159866125955,0.0017814641713447266,0.00034938526990080376,9.267627798692502e-05,1.5409885041783866e-05,6.9488224079261585e-06,0.00022764467031977098,5.9600178959895445e-05,8.801599526364612e-05,5.3409431087780845e-05,2.006642849217144e-06,5.450939385420739e-06,4.498270276487304e-06,9.792228579108553e-07,1.8772049847903816e-07,1.1575983295264436e-06,1.2656406382927088e-06,1.9279554330786652e-07,3.535852377556381e-08,1.5448576640153533e-08,2.0447096238385143e-08,9.279560381370011e-05,7.792973020404048e-05,3.6435383555577516e-05,1.0624970268269252e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6885262629029205,2.0895241184988977,1.7947517578473606,0.19444682400897478,0.039458588446178555,0.03030935909755042,0.0032097125900549806,0.003192609008617911,0.000254270564429504,0.000906741769866562,3.681903920782492e-05,7.067643175551197e-05,0.00036649679390968193,3.6246819211993575e-05,0.0004058210716163524,5.044581616094057e-05,1.950916491022525e-06,1.1510084401589182e-05,6.83104738727347e-06,4.4851898817199753e-07,8.65210087505619e-07,4.296353515453877e-07,4.0963106939795324e-07,3.482485899652943e-08,2.569055436163481e-07,1.0167006569972159e-08,5.981910078389774e-08,0.0006327882641133376,0.0002646868327054047,0.00020125160326883718,5.230582456916544e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026138129305752544,0.023896754954207955,0.0077876169943675855,0.0014859309176100677,0.005259942785763583,0.002403643016559931,0.0003488534767814855,1.5869150582492608e-05,0.000244433509499542,4.151434792598607e-06,2.0272594785319953e-05,2.1463710508484724e-05,2.6104615331590253e-06,4.642735277338161e-06,5.03896074000032e-06,1.4070389497966573e-07,1.5911694419834532e-06,8.672695483991077e-07,3.414960825232072e-08,1.8066726181764636e-07,1.6406404790281215e-08,5.403571590179013e-09,4.648537110796269e-10,5.3502162478125115e-08,2.2236321672863824e-09,1.756092271598675e-08,0.00022064526171328147,0.0005803670007678008,7.610908058697241e-05,4.857534904312288e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025124760587068584,0.031656998038782636,0.006193968262491523,0.004366908160826188,0.00042396544392331315,0.0006683503840669847,3.123580929753622e-05,7.824388312616115e-05,4.5337908118892045e-06,1.0070104314863215e-06,3.300164381769832e-05,1.2505069608481634e-05,2.5265283626341173e-05,4.774030442522559e-06,7.201191929429029e-07,2.5935936278642657e-06,3.493123860165426e-07,3.12096879451218e-08,1.0438417197278227e-07,3.707421847298775e-08,3.9280827479615255e-09,1.5525660757020887e-09,2.488324457594615e-08,1.4161831707326655e-09,3.7127125818159357e-09,0.00015183113827355044,7.039539233755221e-06,4.960949427212924e-05,1.3823526726186586e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010673954079838177,0.0037880146319597685,0.0009773668324570828,3.337824937910128e-05,0.00010174325176426358,1.0132640319460151e-05,2.7381486641830932e-05,1.4665494236787424e-06,6.379224000818695e-06,2.7640485646074353e-05,6.5218600846517205e-06,6.915263464746246e-06,8.346552895721615e-06,1.2282977346345092e-07,1.1726308197790303e-06,4.944840426013286e-07,1.611919118182925e-07,4.799821740064658e-08,1.1034586822056269e-07,1.135915721484082e-07,1.5967680733197653e-08,1.0448126253059797e-08,1.3499252826676411e-09,3.3155069800727688e-09,5.71905256308014e-06,4.6492645446871705e-06,8.436894434193931e-07,1.5733439795440063e-07
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9967859247764785,3.5539185524942836,0.13643870633108557,0.2683802767310822,0.026932736588968886,0.028462353004692992,0.0009193117037462617,0.0031987445714534157,0.014536271753897823,0.002256497361960097,0.012467258547038229,0.0019235355341182536,5.2522683386069247e-05,0.0003893816025104524,0.00023711530826003857,4.258642754906283e-05,2.2155773130277945e-05,2.0335740214871834e-05,2.0530993914746887e-05,2.6553672060058986e-06,6.1518804990723375e-06,3.520596667527798e-07,1.7432893003599403e-06,0.028078359491778088,0.00684888352279267,0.00547455835708982,0.0011957113286734655
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5305607722976886,0.026479059518273673,0.06688464000308,0.035043804285797786,0.011257300020685312,0.0009713708347827144,0.001291397763050539,0.039973931462493784,0.015679103739544953,0.013746974305310578,0.006020979933761383,0.0001789522183767156,0.0002471172533449195,0.00039458954048297856,0.0001937756266814361,3.581380311337701e-05,7.581465723321967e-05,7.693440115663641e-05,8.633667979984772e-06,5.398841752768391e-06,7.835508398779112e-07,1.0382555428734008e-06,0.009570327349766011,0.0044752402839867145,0.0013739986131119097,0.0003314983919822101
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9077559270044078,2.9208035978512514,0.09693892070562582,0.1803895229630615,0.009409596004362752,0.025899259045692347,0.015261777079755512,0.0010237383753446405,0.0043891300211788,0.002509756007911701,9.089565419251322e-05,0.00047284287134963243,0.0004624031421632119,3.873308922108798e-05,8.799876045267885e-05,1.3646952386731082e-05,9.285698626460004e-06,5.727125791388232e-07,2.9289279286873193e-05,8.349195416146316e-07,5.342681647313441e-06,0.1907550930656083,0.0616578954683218,0.027786039628247466,0.005287462910893659
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09617592339588343,0.017589525363721048,0.008732003859414972,0.0007056629854695906,0.0002918748940063942,0.0006854564010280173,0.00014574052301430385,3.68791839293614e-05,0.00017385367632127835,2.6192258040236283e-06,4.126590382336204e-05,2.2515475616158298e-05,1.6425822593202355e-06,5.546184110860608e-06,1.0089916794298048e-06,2.814182951116351e-07,7.581587357918806e-08,1.344362448585379e-06,5.95760101251841e-08,4.193503910787655e-07,0.038936237648452665,0.08987829542654369,0.0060742437375537195,0.00019726049388446576
