 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,H21,C22,H23,H24,N25,H26,C27,N28,H29,H30,N31,H32,H33,C34,O35,O36,H37
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733928571665566,2.4574827777381465,0.08198410108455367,0.09235020823467144,0.17043393418651012,0.010907265671183497,0.005959204483495073,0.03219039339706334,0.000807495818181847,0.0006768083987869211,0.006097529221538667,0.00014440198371734603,0.0013107068233542407,0.00015046697934055497,6.740798913473789e-05,3.962954076230929e-06,0.0003464416267189713,1.0580277496785584e-05,6.404491228362286e-05,2.501547514547573,0.28465939179160826,0.21698062442134347,0.053347778452570216
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08262792908984584,0.032312660338007726,0.0036090761327494114,0.01171137992685567,0.005287728334572028,0.00019637578241016307,0.0008558394985891393,0.00032020387612652357,2.619532894487797e-05,0.0001285286294308019,2.2053380040798487e-05,3.298985750532779e-05,1.136826185577089e-05,6.681858191859291e-06,3.3896851658887783e-07,4.02540519983674e-06,3.776482275785753e-07,8.172663039651695e-07,0.10869028470016517,0.030427282120874977,0.01053758682808481,0.0005350479265140429
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7762973667122113,2.1448503602207794,2.6274928259872756,0.08257652193713705,0.08491698477088927,0.18323197736537752,0.007493182827963851,0.008846387857641913,0.03419106514234299,0.002336588119669525,0.006166242296038571,0.0005491150295149211,0.00020560820796222679,4.65929943729293e-05,0.0014345570483557113,5.14999126245419e-05,0.0002056898200472057,0.1889281552984202,0.04140761961652617,0.03483148103720843,0.002360398985301271
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02439894929983133,0.08383357959099835,0.03326118778245646,0.00551561489755481,0.00743817766547572,0.003311999907195773,0.00018206449885349585,0.0007991849785736749,0.0007997124981380388,0.0001964379923717896,8.362396625249957e-05,1.6974394730695508e-05,4.2413335394897445e-06,6.197146450004354e-05,1.6941460212471782e-06,5.670366653998116e-07,0.008392772775122737,0.0012688927901376434,0.0007943458298252937,0.00017464572418512958
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0838741647434762,0.003839537152509287,0.03295319743506808,0.011184847242346141,0.00021642641245978034,0.00479562393804045,0.0010968855285379275,0.00040007294950972216,0.0002666906262522861,7.368276684094344e-05,2.869328484766953e-05,5.40370287094305e-06,6.719818543210465e-05,1.8712018439170919e-06,1.070210196441046e-05,0.011651050378268524,0.0019170071068789207,0.01915295367831127,0.0004063123560391624
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.805024316442973,2.133470502936115,2.4719832471680214,0.08492577416982394,0.0847120680574951,0.191022867969677,0.026881756645211086,0.028120264193718325,0.0068946012050244004,0.0036373004292810096,0.00037173334259354984,0.004617140437699452,0.00014397266595733704,0.0005631469427476166,0.029074835931791387,0.0074371895151019995,0.005512817906374423,0.0004261368331419657
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023567835864540587,0.0915872207311561,0.03371783869584344,0.005291516583658895,0.010057263591469745,0.008646335082424628,0.0007989803815671159,0.0007734496788648348,0.0005806006811592823,9.179577932316718e-05,0.00018361011797940474,4.2065817156267116e-06,1.537635053572295e-05,0.0010472227269697765,0.00030514334346931626,0.00013673920704337927,8.127018916503914e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0911376995818487,0.005690028037657058,0.03411916152119199,0.008813468466627672,0.002744218932417608,0.0006334321012404498,0.0005310733090567732,0.0007118249305984037,5.1610674541402446e-05,0.000193911902581001,1.191033941738695e-05,2.680080814676522e-05,0.0006861984440675872,0.00016516766564778074,0.00045459251982493676,0.0001455880812668564
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8170541618673464,2.1710656490388764,2.6597827384065327,0.08699081375087792,0.267581842781801,0.03945890797793916,0.02303467811043769,0.002003252214302087,0.0448728143776769,0.001574999026446866,0.004255288317761674,0.0056097829391133225,0.001987403166222493,0.0005648473385500702,0.00010085767378464894
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022667833525559677,0.09538606742445632,0.01839018700474737,0.02010837110082142,0.014668736684252393,0.006335803002486928,0.0002925342828503652,0.004226991052779572,0.00017388533723394772,7.422960595260264e-05,7.893585681562065e-05,4.356182044940038e-05,1.3192064936218273e-05,2.9932564604706613e-07
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09568945287690211,0.006766443838860381,0.02381931886789812,0.009996435432187756,0.006453870868146083,0.00012478033804064204,0.006317912538205239,0.00033038353589520675,0.0005858615784342103,6.772851178737938e-05,3.476081429443223e-05,7.148727229755458e-05,6.440051811607006e-06
N25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9483189588612961,3.730857474845359,0.386547698815818,0.008849856715139826,0.028445271997477928,0.38279147672912556,0.01161988696001226,0.028675448494956512,0.0014875664317702542,0.0005843061909599212,0.00022845108314560603,2.495206733332811e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16227541342485396,0.02919885005594114,0.0014056913234126167,0.001984524022631051,0.013639101689236877,0.007209435481334792,0.0008823622998306302,5.212354729677848e-05,1.767138517849709e-05,1.6186963462505588e-05,1.1265022132889158e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7755985454872274,0.14821327594014444,0.14972717297380778,3.379706269502818,0.14765797288352356,0.1486075288441009,0.0003560694068462378,0.00014302280862363292,5.124300795564252e-05,6.290780233952908e-06
N28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6231198694015732,1.8998907475281854,0.3643599946489623,0.02954560253677796,0.01176899479333815,3.409948158045184e-05,1.3299319051682246e-05,6.863752997271488e-06,8.632779416872793e-07
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766477078709629,0.02857377709457032,0.002733857312453347,0.0008080359234090562,1.6771397907566765e-05,6.601467331446287e-06,2.2642015287122064e-06,8.307287495679105e-07
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012070642482643335,0.0008496194491514064,0.005572683725648231,2.964886081091578e-07,6.47800532105336e-08,3.0084088287196664e-07,6.54499070495973e-08
N31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9213462758870534,1.8048546588735477,8.72429680217196e-05,3.680697742321215e-05,1.3950211737195906e-05,1.525821551218165e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037011050679949475,3.41868377962129e-06,1.457629840162511e-06,4.394293281473338e-07,7.953901715040956e-08
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4389479355947365e-05,6.7720423304606925e-06,1.6683136480066807e-06,3.1314587145558903e-07
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.123347251968963,3.6240680932424394,0.16900074172327673
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512926938260499,0.05828815691461642
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.587617985298928
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
