 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,C10,H11,C12,H13,H14,C15,H16,H17,C18,H19,H20,C21,O22,O23,H24
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0782501002225684,0.001592156003202172,0.009982444156725334,0.022156850234454906,0.000516596365236266,0.0005328644891982037,0.018928515006068514,0.0008678042586145462,0.0002568415547110625,0.1051535835915185,0.024827137957540102,0.013560703303065247,0.0009704603601818906
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.949609682185377,2.060335012105721,2.745772189590265,0.0827007833669986,0.0789326864960731,0.19588444389343174,0.022464647052025777,0.004066922830615605,0.19428890373417798,0.041821894048830396,0.02412703742577943,0.0019441792070954422
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026510642870990697,0.07695716040241263,0.007840019589460345,0.0010678491346896024,0.026878894885389304,0.000630407725219273,5.173298539684623e-05,0.016361103825532908,0.002323135276611432,0.0038967040969948297,0.0001342057079043446
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08014625189460522,0.03101830729813493,0.00772099470008869,0.0053704238883016675,0.0002826164010751864,0.0007928391596689899,0.0242328751495422,0.006114004701644804,0.001899547703709814,0.0006033418549291625
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9766338056737622,1.9258966786655745,2.78937467673241,0.07944129303574299,0.07916406882504345,0.015518916198478339,0.010585745051479266,0.00383275996645481,0.00021435544606795975
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026187249982113414,0.08367163446759496,0.010500506705063417,0.02555332022490231,0.0053924302205363706,0.012285739163806375,0.0011034058103607247,2.253132852203521e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0856439739389181,0.001504132888202614,0.008078677797770384,0.0021025178633733432,0.0007365771895900819,0.0006655992278716827,1.1965967600335858e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0314035274374302,2.0871526103757767,0.01716707391992392,0.004182583139355628,0.004612415718508636,0.0009946643509249897
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02349283129959967,0.0005792307361638382,0.00047910658939920303,0.00016903040992932716,3.887704698235517e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003399865504828181,0.0004899209190396547,0.0007378232729660095,0.0001023058500455587
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.883164691208012,3.3967186465598007,0.16905711391911926
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5122687413473999,0.0653248797190813
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8248340625591566
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
