 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,C10,H11,C12,H13,H14,C15,H16,H17,C18,H19,H20,C21,O22,O23,H24
N1,0.0,1.610376040888519,1.9844562175808906,2.9264795624129234,0.09258267997680047,0.09703698956982909,0.22982323951713002,0.043466527111595266,0.0324410472765683,0.007047254050835464,0.00018023441571579646,0.001626374908741235,0.00035101028732087425,7.127363616188376e-06,0.0009138509009248008,2.8548437916109393e-05,4.771492574728864e-05,0.005572155605754289,0.0014532134668329144,0.0003495925328891314,0.0005061498311735579,0.00011008959560872278,0.00010101943824024351,1.826712118180307e-05
H2,0.0,0.0,0.026315059434603993,0.10778110834233723,0.005815967932496058,0.03604638144233241,0.010778491488283581,0.015628920864939277,0.0012749625804213682,0.00024556518481089196,2.3985945051707702e-05,3.885488441845997e-05,3.606297445557516e-06,1.5909895989540956e-06,0.00010332668903700881,8.473688418941805e-06,3.563553411467524e-06,0.0007357537299833572,0.0006112081024702842,1.6578081606155592e-05,4.863759821882585e-05,3.6209739031067834e-05,7.3392840691521855e-06,1.2013008205968845e-06
H3,0.0,0.0,0.0,0.10515782961952047,0.036416695557142775,0.005336450332241283,0.012916549513355857,0.02481946145832714,0.0017750147762906066,0.0003183214160309422,1.9074356934822845e-05,6.468888320843025e-05,1.0457125085849839e-05,7.047003220961301e-07,0.0002253026706988681,4.350839465816492e-06,9.411489678701201e-06,0.0010478534310059961,5.560429045603499e-05,0.00019885270655661813,3.155421671929837e-05,5.40347125221885e-06,4.240798119892197e-06,1.498649141007391e-06
C4,0.0,0.0,0.0,0.0,2.091595007463793,1.6521744510902363,2.6464611669347065,0.2881839808338042,0.20341310068127377,0.035670211944033775,0.0019552048510776965,0.005597493274414722,0.0015342321455756869,4.3718261482750265e-05,0.00495537960928176,0.00022330160257000298,0.00043271008026146696,0.031508996979872944,0.012143632071528687,0.002752315359839219,0.004953172613894913,0.0010961054313931573,0.0009099048582915104,7.63496333049396e-05
H5,0.0,0.0,0.0,0.0,0.0,0.024700338761874052,0.0979571202051992,0.029067409092594976,0.010568196701924437,0.0012885715205841475,0.00016741393084473977,0.00024628238424906357,2.7099136233443843e-05,4.571201883685205e-06,0.0009361796703716285,0.00021907918908770085,1.0476148092797288e-05,0.008547747891583413,0.001166727319711125,0.004106418436163883,0.0007165889194800101,6.501833373051547e-05,9.128519344747676e-05,1.2206970698924735e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.1048825597563543,0.02941846200172038,0.012190953736528565,0.0012636593935471119,0.0002679750468996822,0.0003802221868400846,5.383642903011854e-05,4.3108397336233395e-06,0.0007634440285561039,4.20985380142902e-05,6.0705428935436956e-05,0.007678017072198173,0.010372782653496948,0.000923449337653981,0.0006498851545972961,0.0002906058299292358,8.085716465633386e-05,1.5029015451251126e-05
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.068650940098918,3.350352286113323,0.2705996871239246,0.018997947191316644,0.030020689114127502,0.003482730218787422,0.000232013282461363,0.02867779444995855,0.00018654616878222008,0.0030896592394780154,0.23853912577076783,0.01643862910299121,0.020344011648241178,0.04475986041753799,0.010292421338444643,0.006770603561344152,0.0007762047248460746
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5351696653018138,0.08208507855929845,0.024036850716998237,0.010448326044834672,0.0011036433935976975,0.0002692291879650144,0.00826184327447442,0.00016161921876745033,0.0021280175746656305,0.05598843713859637,0.006035968257265489,0.010717535818801527,0.037855143655911805,0.007380253429638696,0.004180486104266606,0.000570309669643998
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7274876345430448,0.0928656906448263,0.2054017651415174,0.022345255066530623,0.0030704529958249793,0.20799863778573446,0.0030149242818935384,0.022239936128840343,2.851349584272203,0.09234705471882299,0.09722165467657384,0.18966568546394727,0.030117783030061754,0.02786829005431972,0.00458224348752112
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7425622393975728,2.3994810510176423,0.07889126997915263,0.0908836132547246,0.20015124453031702,0.00477608600510071,0.02597284044803505,0.21706994925754053,0.018580317469416352,0.009842351425785045,2.735182338997625,0.27257512932948336,0.23044605680144797,0.055437006025575775
