,1N,2H,3H,4C,5H,6H,7C,8O,9N,10C,11H,12C,13H,14H,15C,16H,17H,18C,19H,20H,21C,22O,23O,24H
1N,0.0,1.0201320857230214,1.020229447223865,1.45489378688544,2.0920714532117333,2.087576321083528,2.5145489666796688,2.7951658051314205,3.7510975357138925,4.953443486074467,5.090331354705352,6.097933145734309,7.030903375121352,6.3746486522550425,5.843207205477901,6.139033113397563,6.611930786780517,4.412812275129096,4.209126204589722,4.534348586543001,5.408796856640827,5.366397961001214,6.369965430311536,6.824174061345569
2H,0.0,0.0,1.6056655537742213,2.0215857165203173,2.3947222359064533,2.9275273171799054,2.6939882269033197,2.721575174322671,3.9535301332348305,5.024372891184536,4.9441350247623435,6.214386274555648,7.1590656114260875,6.352856399564978,6.171193419017961,6.592113881097556,6.9290475217478065,4.771911312995946,4.781670773296113,4.770826006329706,5.616690870761705,5.7784491875382615,6.43579883827582,6.969551887673351
3H,0.0,0.0,0.0,2.0168990677194203,2.9267352856102606,2.4024135405362714,2.6567008053441734,2.610766884794302,3.967167908342448,5.004730979274573,5.144978842585262,6.287502937293828,7.122684996144444,6.6907982808570186,6.110425616839209,6.263480568095966,6.982926076033315,4.800350733386232,4.560393684501007,5.122405726486922,5.177110804021795,5.038130371132911,6.058761717205779,6.392668567004348
4C,0.0,0.0,0.0,0.0,1.098495350492402,1.0991284816163773,1.5382408709837523,2.420032308541815,2.4808161926116905,3.8367334674749745,4.173401860039873,4.804766365051199,5.769830033158687,5.11643012424382,4.419092363483464,4.753873235064244,5.16370234137956,2.9655491178471114,2.78999599752225,3.143513671115216,4.444815522809594,4.414480868613162,5.558795813251169,6.083673310755773
5H,0.0,0.0,0.0,0.0,0.0,1.7537663973259967,2.1696719166102105,3.161969288690804,2.7222502277658593,4.130226523383603,4.429450190684419,4.8362111413302005,5.885126095900367,4.949818687816407,4.368578808525433,4.896278429947874,4.921294094744587,2.8404133308930883,2.7770797458948633,2.6242923130179836,5.029658082242829,5.116986270541709,6.1499066278093855,6.776730130275725
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.1575182719289634,3.0966495170722905,2.7819009729272643,4.145953024860817,4.714751155214892,4.974439323621417,5.874428464260978,5.44783827974781,4.301619770475102,4.427243165972442,5.024810399955257,2.915833470564274,2.348484825493608,3.2833463414043527,4.528753154558373,4.215750889260402,5.761337575868548,6.168223094631307
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2294288952227759,1.3665916617300533,2.4393272017038607,2.700689498236592,3.659632352578906,4.546150520301897,4.040936087034905,3.6860443970878842,4.038080681497281,4.602215061432567,2.5405476329385723,2.8038871418289224,2.9903438933609814,3.063448107721042,3.3048751474499616,4.08244983516533,4.683442348174687
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263462806918344,2.7289655099443033,2.6254323831328166,4.201423700612388,4.93371195858667,4.576608653281299,4.568481171704871,4.850014805524604,5.549208151667853,3.6464920426610754,3.9671162757719545,4.119175267468566,3.0384861582971037,3.428009593804903,3.7238809415762737,4.274801974389473
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591037912426996,2.1122152006063972,2.3543034304716475,3.29982360342316,2.8135586932567165,2.3611941621245287,2.8406237070215465,3.2971213151703815,1.4699269123529155,2.128360891578851,2.124920730909767,2.462156265042603,2.842524473580132,3.6017532256009774,4.300913653743518
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924650035007122,1.5471966162178112,2.2108798966627905,2.16765751926376,2.4174305955309094,2.8103091030487874,3.39046850503518,2.4450771603103716,3.2504084331271073,3.11750221179409,1.5295599199568137,2.440745519672133,2.3780878604596665,3.2130672658402815
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213128240445961,2.7614929420105563,2.398433263981813,3.3581578655990487,3.8676598643256415,4.217873461817109,3.2709246664887623,4.14338192482388,3.7040806533930377,2.1403102264326863,3.237004460455612,2.450911565957957,3.3945876124009158
