 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,H26,C27,O28,O29,H30
N1,0.0,1.963325583374293,1.9617676940278255,3.024109464455996,0.08835195634436266,0.19595259405771015,0.02311440130459974,0.005303315729226932,0.03253994395932579,0.0008995652191564618,0.0008586407996767909,0.007451021956336311,0.0003667747611315747,6.339451252723727e-06,7.219497471189218e-05,0.00016281718414212776,0.2361125565843809,0.05279430738369292,0.03537844357812478,0.0024821967904028464,0.006601402010565777,0.00030898400507528567,0.0015892886461278677,4.009659366477347e-05,4.03948427720735e-05,0.00032293640082470265,0.0007585815804184437,0.00014485428469494105,7.225963063779706e-05,8.583924389737874e-06
H2,0.0,0.0,0.026978162995728416,0.10697765180867747,0.00662018697721134,0.03245781955394733,0.0013899244374497854,0.00039236492629735054,0.004638075558778709,8.894516959068177e-05,1.4188923470603854e-05,0.00197014387277894,6.012777209596365e-05,8.871080410255416e-07,1.2402725976690121e-05,3.918297296801043e-05,0.008669900821990373,0.0025031794994260226,0.0006024432048022943,3.695285117655267e-05,0.00015434113465051524,2.0674580736290693e-06,1.596904674572297e-05,1.3822481421676969e-06,5.140038226159049e-07,4.40140141155787e-06,3.90264203489199e-05,1.80226750544632e-05,7.719926445770575e-06,2.6826295991266846e-06
H3,0.0,0.0,0.0,0.10628635084174232,0.036706423378014996,0.009071467174612269,0.00030184469303207173,0.004113924458839069,0.0011165359954006249,5.772642892676316e-05,0.0003898785023093154,0.0002523830203627897,4.149309301748616e-05,1.2966550675397315e-06,1.141384720870775e-05,1.6302342687790627e-05,0.01828812500392929,0.042947558625045734,0.003303485570757214,0.0007172522391711844,0.00044139174048951624,4.6678533872634986e-05,6.740449497333323e-05,1.0503456457922056e-06,1.3398343873927132e-05,7.436631484170064e-06,3.055517789052331e-05,9.47820378760511e-06,2.8188630618597443e-06,2.590079670738987e-07
C4,0.0,0.0,0.0,0.0,2.0142152223566394,2.7144951065883607,0.09368862156400026,0.08361829638012863,0.16059174934719994,0.007127471455940615,0.006946090176545683,0.04626580349887763,0.002072894336901901,4.350131752306474e-05,0.00038950299450424275,0.0010605098512421751,2.7421327421647317,0.2811378291352611,0.22594965993164196,0.01672622821241143,0.03490878724201002,0.003993249639019147,0.004406583479978826,0.00012526359758191496,0.00013401944826818557,0.0014383738622023579,0.0034249922664113253,0.000818708911572194,0.0007428977416949895,0.00013783937766398413
H5,0.0,0.0,0.0,0.0,0.0,0.077363859342928,0.003109850433871797,0.03428622748444221,0.011098090497032809,0.00018555540686948646,0.004308927520788819,0.0015568913201421397,0.0005701608160207927,8.408216724653528e-06,0.0001087033669684434,0.00022409420611846365,0.09367018086213119,0.022802355524907725,0.011914028856613523,0.010009182058541732,0.0019102672193633818,0.00018146459310641738,7.260309874124182e-05,1.013147155304317e-05,6.867255639919634e-06,6.580333478556355e-06,0.0002920857258454923,1.848015765781863e-05,7.865925711181276e-05,2.296376953925261e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.125884236484812,1.9894753584737919,2.8207389203597444,0.08358922804393987,0.0820102327838248,0.2011585681088141,0.01409471537142444,0.0008251114343240662,0.0015262737478975996,0.005124553194419734,0.1885675424800656,0.039319198254932824,0.02738353731382613,0.001252818598428962,0.0034322200513904055,0.00039173746692433564,0.0003497497891289114,3.465819300840778e-05,7.300640770147027e-06,5.497255418673852e-05,0.0014346763833438525,0.0013262305293905569,0.000313280900270288,7.830338418635119e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024535993381507915,0.08542625951971994,0.03201672768963437,0.00652536032028217,0.012946614511792798,0.0005731741979448923,0.00023672521030349003,5.4582720740770085e-05,0.0001801599556732203,0.02998278799941212,0.005702335400183278,0.0034902094743856082,0.00011045368255313548,0.0007071883594829131,5.540394412761884e-05,6.889561871437078e-05,3.518873825880675e-06,2.000764295795321e-06,2.5768663941549974e-05,0.00020259645558273753,0.000358476845010558,4.1223270732304584e-05,7.05503602138613e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07962593571107535,0.003805089421102359,0.03249775345935646,0.011996511157764456,0.0061016115317859,4.432747699567585e-05,0.0006456657306561642,0.0073608118640633435,0.015055812736571417,0.010531938672821428,0.0021045834679580544,0.00038059945544954843,0.00016205816104974957,2.3841334800600578e-05,3.455399240959167e-05,1.7658077973159436e-06,2.7357058109966914e-06,7.586269909376497e-06,3.044777486826966e-05,4.644944808762652e-05,7.09709053803298e-06,1.3605605093669482e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0862005931153025,1.9951099348280483,2.80729240085914,0.1162610508234469,0.010731659005853711,0.026985282699656832,0.005389919544211308,0.014113759997764125,0.0031786077381571604,0.010122424712773512,0.004715282274919463,0.0009476135808937636,0.00026198335308358356,0.0001686509013661408,2.2933844474604115e-05,1.553484364347213e-05,1.3425214022033671e-05,0.0032412853822479104,0.017960460941190526,0.0014509000736410427,0.00019549656819140004
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026255921496910695,0.08716684728496227,0.012872512910128031,0.0052552013074400605,0.0007166670382059426,0.0005522348232018803,0.006623672780527112,0.0003362812582290431,0.01080260689878454,0.003978285019118788,0.0009975706953240238,0.0003128748647083235,0.00018818118668040285,1.614867562582667e-05,1.1277700328271578e-05,4.543026886238977e-06,0.007247228076365353,0.053165050740864306,0.002879147416455008,0.00011509300874723571
