,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26H,27C,28O,29O,30H
1N,0.0,1.0206193551891163,1.0217277701089553,1.4657159562492945,2.0825530845576794,2.4520659422237574,2.5468385734712378,2.756364404543984,3.8298758972839275,4.213389303260409,4.11245321034739,5.280381517966153,5.709539780327204,5.884039191040465,6.727058666509965,5.20135352984258,2.483479972801443,2.861870993624169,3.612032832526731,3.8864180196600655,4.864514164471902,4.85634509421276,5.96333074690284,5.838499379373506,6.278250163500615,6.88433592481479,5.608051550686074,5.593014134047212,6.696935937867837,7.253073287654885
2H,0.0,0.0,1.6204603857242224,2.0432196347896503,2.34295999246776,3.344453141416652,3.491954395486416,3.689628333491592,4.5903008988537035,4.848108813736097,4.761771944047183,6.167258203096372,6.5947540059612555,6.66731269105517,7.638680057658407,6.113700289714809,2.709288850719746,3.0810659119161294,3.6400567880590837,3.9541146211034794,4.835204686799939,4.730053686036469,5.77511985959465,5.4717204232865475,6.172548164706197,6.6922339490796725,5.8184149195056,5.989287593698048,6.846727346925049,7.510478969613268
3H,0.0,0.0,0.0,2.0187959385656624,2.9122401901631356,2.709411162493752,2.91431760514387,2.588856201385586,4.1691449991361225,4.469414535489952,4.674845788245001,5.452640312427037,5.569786315845424,5.752235486522006,6.559526012757739,4.900391132486021,2.573268746890419,2.488647408015912,3.8826738726583856,4.360852119192063,4.942059574972704,4.763192693793727,6.195917869060913,6.14610027417911,6.627548970137894,7.016249881856426,5.558858100024947,5.5854504173540755,6.52393926017274,7.042139113710853
4C,0.0,0.0,0.0,0.0,1.0993191197498078,1.5463078593338706,2.1442077718621655,2.1541740312186164,2.5816192499608865,2.818757320593889,2.881939067107352,4.2466353615626415,4.738326339208952,4.765200467896738,5.803761024551671,4.450988923267003,1.5403801964045443,2.4164687428354608,2.4832837721541554,2.6039749443217275,3.834263014399845,4.1007835104578225,4.928132785032219,4.981071055484947,5.090786921257382,5.884975582460938,4.445083753459438,4.301335038426937,5.655586192970808,6.163628285558634
5H,0.0,0.0,0.0,0.0,0.0,2.1697790917746187,2.546082663728136,3.0580803440372724,2.748163673751354,3.00875178007305,2.61518963146496,4.514869299670151,5.318128830140631,5.3062083632508275,6.363003551620873,5.212772434654962,2.175756748903709,3.2759321816833915,2.5628682776191183,2.3016050821160103,4.012031316302413,4.450595792868748,4.80663402539395,4.748174512511781,4.8067686961242195,5.851195574481405,4.772356007381744,4.62824890793294,6.045185369046302,6.5946041573891
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0947443055017059,1.0974734134801072,1.5331845791036325,2.190829956418204,2.171638228412425,2.836422957257189,3.4334826243399954,3.7120331950683982,4.440668578673194,3.17984587062228,2.5253761876718555,3.148471855617888,3.4075259432806373,3.3937004387584455,4.60184209574531,4.987326153730436,5.796286282684869,6.078893249410442,5.804745189918619,6.691118668025006,4.724803781916432,4.198296259221961,5.95224746010287,6.231872844457986
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7643069803472564,2.1679294882108366,3.0881364079930873,2.4762510270105045,3.065127132100445,3.9669773630727767,4.468620891555919,4.84421655210353,3.682902490530608,3.4468169267647073,4.040415598087132,4.354701120861581,4.250399807516905,5.627875438663348,5.991593424497744,6.761899422028878,6.958778032701671,6.732293599455886,7.698253588756065,5.813873505823343,5.261466029179755,7.046803420293822,7.318315266950788
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171471756484722,2.581219954707639,3.0777911303321286,3.0004714020264966,3.0091849398514046,3.339549070163431,3.9998733239230164,2.4510324600212656,2.6689202522402544,2.849684964367136,3.7437179909764295,3.9763518518314256,4.715422955310834,4.9372397560032475,6.080228818700547,6.443624443975772,6.216908688391741,6.862557216720201,4.647677226028607,4.135110065594843,5.734593692431699,5.938181776382121
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094965436889429,1.097296359499021,1.8378001538504696,2.8080367162880475,2.928347107604272,3.7689477617390965,3.074671927162792,3.1535994864236834,3.949797567401652,3.484275188531835,3.1634786142948,4.521516085231331,5.188550347941364,5.53044944409558,5.993117941763697,5.279800241990626,6.395658250672076,4.350915625264959,3.5388781859803635,5.631901839138631,5.776151888265205
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7711798128815863,2.4036238425771166,2.823025318364477,2.520226770533079,3.8230628667779154,3.185997772126932,2.8258584285863972,3.5966472627627626,2.8530485998021455,2.582331276709371,3.6539579037176297,4.4053480987355735,4.647910526881766,5.240794875879323,4.390807196212613,5.440330380739337,3.3221856317119083,2.46884605410334,4.601627546856426,4.736734124110346
