,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26H,27C,28O,29O,30H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3710557173214752,3.735458549431141,3.8458947422463328,4.590668955243775,4.11013077934649,3.661240821853927,4.6530259595301215,3.7633437358916932,3.1716033585522116,4.90798810904407,5.676902001664147,5.6741175158772394,6.0359520423293755,5.272750903421413,6.616087017222808,4.921550754684668,4.164516605829353,6.2502544176133235,6.453062179516074
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8301858486812868,2.44013103732012,2.3885522369059125,2.4568247372102565,4.789057652906123,5.337636196618736,5.176190886770834,4.895068479770902,6.003451517106404,6.65526162243736,7.039467105186959,7.639384313514071,6.717821642461887,7.787405638427105,5.451401386459327,4.395581630850239,6.578311023101556,6.460862649411076
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943341618876121,1.093746571128255,1.0941571813235462,4.803703934778592,4.962399587648345,5.278638697058804,5.301517579618675,5.757893663724349,6.241836310520695,6.972290821547527,7.710142982637087,6.829772460626992,7.5282948677354815,4.8788072752368015,3.8290198872531245,5.747905408785873,5.459719811750593
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784099084799133,1.7887074917335986,4.51481683228303,4.667033216731967,4.767793004759769,4.824046793788493,5.022982767400126,5.552598992007725,6.176158440739714,7.000922110598349,6.028255713756076,6.6417715765499965,3.974258009758001,2.881957652351338,4.77287475691675,4.427753429278982
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7772652283310117,5.893516040733544,6.005113868333623,6.342516053625276,6.339035314004623,6.7494936828538314,7.235622309044054,7.924904382055074,8.710736180903147,7.737970935104098,8.422143495438254,5.7525585282182865,4.663984287515544,6.505745815137666,6.088128858902321
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.519610612313596,4.468001346140271,5.246628681005713,5.437035079581364,5.7621947387705585,6.069723751384813,7.1181532184534975,7.783106887837302,7.1339481584076525,7.678068050347314,5.005128206028144,4.131254889860081,5.8276981500725125,5.618501458552044
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226935234544161,1.3735820093048747,2.0534039434615052,2.4503615796216134,2.5905870622712466,3.734922126189688,3.902199975292774,4.117004905709973,4.5773397705166,3.1439567908189474,3.3086032016028812,4.2467031767592,4.847719891809629
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.274904321650851,3.151596505955502,2.7719739695401144,2.4648863588765884,4.21462532174045,4.423268611259967,4.806214662787844,4.847206568877514,3.269369753290143,3.588751902521278,4.081097901823741,4.659225458679735
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0120969223074527,1.4495147364103647,2.0571454721297133,2.4632709722983166,2.707318167273778,2.754080875504051,3.4063242442646793,2.461303278574892,2.813533856179435,3.6277681398298562,4.323687320991169
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1157135617153866,2.949337055625861,2.6570035177108946,2.8849379274640548,2.544398607421961,3.6969200868291052,2.9242424421429667,3.0076620477954163,4.178902165890027,4.789932346628087
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935156935837367,1.536458706853597,2.1672385979204596,2.185848415081813,2.174396371004782,1.533629954616911,2.449734426800948,2.3791677525205728,3.2180487233253876
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1678381034529104,2.501208857071987,3.0847627550054137,2.5088300537334858,2.125581585646504,3.1673442003066308,2.5235030442574096,3.436420729027789
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942140065689072,1.0971717500226355,1.0932803687598938,2.52311240750015,3.4063671330754346,3.0069012114868308,3.848161426562423
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778431035489623,1.779099129463653,3.4721739865476926,4.349316914502008,3.962771761561629,4.858535736187832
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773583209979481,2.7997277241695255,3.3532844185447566,3.457012564248974,4.121839322934075
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7518578119545207,3.769709822870694,2.714687113467236,3.540988878440003
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2114226988230585,1.3508184755133588,1.879845991382406
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2531702183574644,2.292394114265559
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765469977608708
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
