,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32H,33H,34C,35O,36O,37C,38O,39O,40H
1N,0.0,1.0199915218576732,1.0204159858116275,1.4608980747283142,2.072118075660654,2.473743645478682,3.409618992125582,2.638034809720156,3.107921500959497,2.81389627264724,3.454280712898388,4.528325857578782,5.192948126205123,5.0705555403553735,4.960901154290797,4.7130174188842195,4.772306111728866,6.42875854070876,7.068351620215929,6.859171830334077,6.81632965057668,2.499117286319233,2.775432893048271,3.7382571698465337,4.059296454579959,4.9362825324807975,5.046625437917914,6.2020498872358845,6.438638454807995,7.048239179717043,6.4966789986263285,7.592186206360755,6.2307331629762714,6.2435593614611955,5.761564585079263,7.0315758617460125,5.367322488774379,5.241751974032278,6.399633984216979,6.831473892017211
2H,0.0,0.0,1.6030455150921596,2.0265396597684022,2.3336641660505624,3.352161293282008,4.168247389530513,3.555375733730174,4.037718643187885,3.7512075610541413,4.226414866825536,5.5016171810933425,6.13398836720746,5.997812007666028,5.980158892573399,5.708555938611872,5.778508077965401,7.447742561015395,7.1480002436457175,7.8726892494837495,7.820291044938627,2.663560980278813,2.6690020664797407,3.9277025654250353,4.397742552309288,4.999393076552806,4.890231060581507,6.294694709871686,6.694476741107402,7.080455996071217,6.4745930198213975,7.5503807662641815,6.041748416247605,6.344546251571143,6.048899068854214,7.033097051955855,5.56093384962154,5.637005195985931,6.4542795421573755,6.96063529252331
3H,0.0,0.0,0.0,2.024701728502553,2.9119406693938776,2.7536714274982312,3.757646179219251,3.072930369810389,2.8460466750103506,2.3118390695289235,3.058824232921409,4.302387470985959,4.774043228056285,4.979812033013427,4.848693858264367,4.827330702827652,4.542243455324486,6.301158232870768,7.7811653094505235,6.587643142369211,6.769426090362908,2.638114344412473,2.6006450152431135,3.949733322899424,4.385403060554938,4.981255814825841,5.096207465499744,6.361987452245759,6.57600038530558,7.120197398144097,6.874529466177473,7.965174019638423,6.650489628412635,6.7724307250633045,6.2728352113164085,7.68017979698359,5.122621711835579,4.881404460656346,6.0880678045794,6.395516830525215
4C,0.0,0.0,0.0,0.0,1.0998994745914292,1.546343547726749,2.1745615666112936,2.1327478609307224,2.5968437879302586,2.859030775776125,2.805885990230411,3.9694712370750262,4.744596504533158,4.219024377884731,4.652883727993334,4.346492366266495,4.793604780098332,6.06463241421038,5.783709438292711,6.5405384389365855,6.243417959076463,1.5472799955543577,2.434952510507705,2.4787254192896673,2.633171090364166,3.829716102103253,4.145744011056286,4.9357837754004255,5.087768370143404,5.864030056509373,5.211610987209837,6.305645497513568,5.090351533805121,4.871250457177737,4.323393904511375,5.743482009358143,4.429126145521035,4.342296457099634,5.595576828978045,6.108202682794198
5H,0.0,0.0,0.0,0.0,0.0,2.14374554867219,2.4228888684866057,2.426038799459017,3.5061968600893225,3.8464138182209715,3.7772057821169662,4.713777777288593,5.598030941955729,4.808864219455547,5.247772000575161,4.73553025916312,5.473507464218474,6.6074528826025185,5.021730420705631,7.2005298369451385,6.696046875763674,2.141495029428943,3.1015688298531705,2.7115820218684967,2.6803720484874956,4.102711952301196,4.355374505122952,4.985743413217868,5.189589140081788,5.974976589421356,4.929471741314699,5.996652613341247,4.73556417140201,4.39265555313804,3.924734421659028,5.0603141067486535,5.009831377247854,5.08303199867671,6.152294273101801,6.777926702313881
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0995579363359216,1.09578076895076,1.5375044815038243,2.169238952234579,2.163601343106924,2.5738845447761327,3.5004087827276336,2.78086800750236,3.2121278948642247,2.915554442473611,3.553912023218667,4.572561934772506,5.996209696576896,5.091727418918456,4.701692097391262,2.572635336195546,3.5432990300289733,3.0469162112117227,2.7863500875705616,4.378640537547325,5.004673161086473,5.274021479637663,5.096102143253132,6.24561937093679,5.698484022503781,6.743695126146248,5.859012174619901,5.142939878284614,4.272732529603094,6.108031645166338,4.710243400409237,4.267349298687402,6.01527779306113,6.383122860546741
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7591517220471844,2.1613703557575557,3.069907694637035,2.5356355967056627,2.761637025297976,3.7219826979498896,2.5133346659311546,3.5100766886047587,3.1388290288961436,4.1288092146023,4.668780437706664,5.166201397879646,5.232371224500582,4.5553908104263545,2.83963331864005,3.977471100278741,2.7885177513334667,2.1890009133902653,4.079302262523206,4.855079537659899,4.680952508057185,4.359807197947397,5.701617773212132,5.037175499799136,6.0237772411218415,5.3586530148124485,4.333734585888599,3.3412568100374287,5.322843602936046,4.532463618071601,4.1336485594994805,5.8776329625005195,6.2954642464680175
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178760764396631,2.5039213657220856,3.0760304454819973,2.8593774109311605,3.876775500307372,3.1652650355476766,2.9301703665091012,2.3408738351413207,3.185715243126408,4.285496625337637,6.351068304164686,4.955058411545524,4.493187233415227,3.4850942602275086,4.40859320380129,4.025770640625715,3.6899220675278324,5.409012716759414,5.988681887677692,6.245477252133251,6.0505205805418205,7.2520144815230445,6.5180334177406785,7.551092980096955,6.644683551933453,5.788941308858792,4.87650266489091,6.602804363052837,5.804153828590912,5.3475949205290005,7.104728887587314,7.471085343605043
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0995084698793918,1.0971986251132517,1.5392919131788936,2.160015973179454,2.1680281966346255,2.597039460174146,2.867822131017735,2.811481998190864,3.921848893828935,7.222911929806671,4.161514091271713,4.201424399645793,3.1137345125082514,3.7405324491807077,3.6462329388903987,3.565396691150933,4.67778941964557,5.361258728424404,5.68946670291236,5.413298515343566,6.517677545552112,6.461235622002417,7.474703443483436,6.704246236078155,6.130598351725443,5.2481383453510295,7.2494990188022825,4.49347539959482,3.723237482911146,5.74035753705635,5.8754927495544305
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7648068111384352,2.1618668485881143,2.524681894672637,3.070049840060033,2.7981626898579055,3.154120431154762,2.5640634965034668,4.168621803521528,8.083371441967714,4.33105516229927,4.67834146270032,3.4964569656564417,3.852250521815972,4.336209158595672,4.422504314040244,5.34739174808069,5.878173791129268,6.517013495059018,6.349517193112826,7.301953467911563,7.285211426832357,8.329103688931035,7.4089890491203345,7.018986509879929,6.201952723729224,8.098158367596183,5.098379583068274,4.356031157158236,6.240705303601228,6.32169369629669
