 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,C34,O35,O36,C37,O38,O39,H40
N1,0.0,2.0332028065146783,1.9262158586084683,3.006090045086986,0.09202420259718724,0.18281993590062293,0.027707363225826676,0.014955429996818537,0.019674722866798777,0.007297417562572628,0.0006060730761405786,0.0035843670468917316,0.00019568554613336175,0.0007425010910249163,0.00019014980982864915,5.078185457896289e-05,4.620685503531341e-05,8.023222687861264e-05,5.147751492851071e-07,9.435174209038166e-06,8.112586404873667e-06,0.22549255943236143,0.04444229411136026,0.03385070038292566,0.002019962344482318,0.007357133427468465,0.00016888319733354695,0.0014539104117566037,2.7107358056444042e-05,0.00029892617561144696,8.927543740046284e-05,8.750127440282363e-06,5.417302581522954e-06,3.7028974455399766e-05,6.58060323752846e-05,6.88747086975694e-06,0.0004781734759216616,0.00011162358572591735,8.994605284089185e-05,2.096240194982002e-05
H2,0.0,0.0,0.027014719684695265,0.10944197202922423,0.00684038482842797,0.03385892551684688,0.002009111499794214,0.0007561139169081077,0.0020029382277751973,0.0007782469683472737,5.486522282560635e-05,0.00029541808047683915,4.1485824319176245e-05,0.0001431682169090731,2.567427503452624e-05,1.1489442255152582e-05,2.7130138513520308e-06,3.2245211794013073e-06,1.0863257382531799e-07,1.1747236652315252e-06,1.0844497855266866e-06,0.010592787169625528,0.017552489175102215,0.0016137019293968047,2.8806083391508253e-05,0.00025852998361375334,2.505299457755683e-05,2.4300686647049652e-05,1.939871439482488e-06,2.402166129567007e-06,5.039081665159095e-06,2.5865121162649274e-06,4.876940051801171e-07,7.0999391925674615e-06,1.0312595778438904e-05,8.919472334056877e-07,5.1720779678299245e-05,4.820142012273987e-05,7.445284602947133e-06,8.038160781431714e-07
H3,0.0,0.0,0.0,0.10433961799441294,0.036846005616983035,0.00711509466646576,0.00026660323480842685,0.0001458564291569875,0.010631511132759397,0.010550168347297495,8.855352414061102e-05,0.0017759883386138098,3.52214771510706e-05,0.0006363401765170362,6.573665153553065e-05,7.751194073035705e-06,1.3880459677872992e-05,6.571393333465458e-05,1.3228698914069525e-07,2.22946483097175e-06,5.8699576219733984e-06,0.013455583715888175,0.024413618361029954,0.0019940184432608588,0.00026580514191865134,0.0003386791229105235,1.987947668879997e-05,5.9964306747262164e-05,6.5995097942028735e-06,5.479557150689374e-06,5.7164257428743426e-06,7.966136716941463e-07,8.975839940195129e-07,4.047899007209033e-06,8.930877100521428e-06,7.630803771085937e-07,3.8745804744388934e-05,5.324073211077085e-06,4.292763826740931e-06,1.120228599216233e-06
C4,0.0,0.0,0.0,0.0,1.9458336390169861,2.8292339658981596,0.08952746830042635,0.09577542548080276,0.15222194528465896,0.005185478452053305,0.009028490901228814,0.03304528086952066,0.00315383356025678,0.0007711082235684064,0.002711559001650682,0.0011327844949022836,7.221542627733335e-05,0.000723585202124094,2.771865072137558e-06,0.00017715501665416244,1.609276312952712e-05,2.604720665403676,0.2757084006452258,0.2127247895928874,0.009409343629474987,0.03467677155797433,0.0021655725864020425,0.0040695964426591125,0.00012809471950903095,0.0014428728813651315,0.00029411057322376033,4.226988481548233e-05,1.0455427591704591e-05,0.00015126135096185656,0.00031250119380399344,2.689875547477738e-05,0.004756793186076025,0.0010768440441348281,0.0008041355121268662,9.165195272020643e-05
H5,0.0,0.0,0.0,0.0,0.0,0.09115954327699827,0.005943066001516728,0.004882161676303065,0.026288337433301834,0.0003995229882456375,0.0008162557914757063,0.0025062668921160824,0.0006846742832578023,4.891498233527969e-05,0.00013076628051633676,2.1643900217860335e-05,2.568975747907487e-06,0.00010506211213379135,1.4440713813623773e-06,3.234471191948529e-05,2.6215164707910077e-06,0.10916445634112026,0.02947861151871245,0.01081469317755035,0.0009336013367509111,0.001244260081630033,0.00011538568691116247,5.3635997597334395e-05,1.5780347695226737e-05,3.9660775286165517e-07,2.806794809173674e-05,8.717110417499896e-06,2.1064954498495325e-06,0.00010437503423954553,0.00022649313492784096,1.68855979094662e-05,0.000809698941311332,6.890232475276203e-05,0.00010273634916035945,2.148222265785371e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8636047560702438,1.9483753683767746,2.7323171364327563,0.08304530152998102,0.08563403518732393,0.16441667645674454,0.027785115435325247,0.011264648557442802,0.018190178086811976,0.008301888834159277,0.0005578061837874237,0.0030534541922369873,2.1715110071207633e-06,0.0010293145512784152,9.003653376815635e-05,0.176657189738195,0.03882029531763184,0.03017152376168221,0.015659677108442516,0.0034661274606998527,0.0011171326384926683,0.000319931455280531,2.7003423879401467e-05,4.683859401466428e-05,3.7366161729848746e-05,5.866239330742928e-06,4.3721641025396e-06,0.0003601396737804019,0.0011006147289025492,8.793720989802578e-05,0.0009489858496900816,0.0008744704322965063,0.00016122150539125968,2.6006479078466427e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024395896137378914,0.0814913471536185,0.03463346834623948,0.003934695542331834,0.011657432095070863,0.0005842224593448631,0.00616005144957521,0.0006293028630577346,3.162945760015745e-05,0.00023070773485622809,9.403784067507637e-05,3.334765736884293e-06,1.1209682222235173e-05,1.241834599841063e-05,0.004514779801367164,0.0007414993127459191,0.00768332888466583,0.015981960972222264,0.0009323411398227677,0.0003705681464174493,5.4104062997106794e-05,9.500856712696404e-06,6.292035562349696e-06,2.979696983440583e-05,8.144619423333666e-07,2.794007899264983e-06,0.00028657377958452024,0.0018552495608691322,9.787927625837245e-05,2.6775469421425058e-05,3.9012275425798215e-05,1.778678684827284e-05,2.1880428811016372e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0815552935721282,0.005712711024004724,0.033418845686221,0.0054473145583811,0.0005122233249927888,0.00012856927727256107,0.007376348529459564,0.010397544509263001,3.0483299699568533e-05,0.0011103443989606276,2.4543810916988207e-07,0.0004996541322679349,2.6681751865487158e-05,0.029290723253635464,0.004068029285451358,0.004140236538257569,0.0010286917770263582,0.00040555467710001736,0.00031576352651829787,4.936122217058525e-05,4.660014027546566e-06,1.4256527797851248e-05,3.3112947431801487e-06,3.870706846154093e-07,7.500226439915991e-08,1.0461916231552237e-05,3.969731977504498e-05,2.2450217405101114e-06,0.00020807172747772107,0.0002588887877164048,1.894216247200209e-05,2.708116994432075e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9110934461001716,1.9341025315105014,2.895154188774511,0.09072992511818856,0.08085744370342884,0.15974436202740533,0.0047148244210375445,0.008766946038694101,0.038866355351129867,4.1698424679825763e-07,0.0011204121596093408,0.0013171414303907447,0.023860309433160504,0.004757848990201624,0.004830133536791473,0.0007854521403618531,0.0005672500528889901,7.449542626947192e-05,0.00010459600852685824,8.103362183708995e-06,4.8649773201070445e-06,2.2874092397165424e-05,1.0697999583975104e-06,9.02668808810958e-07,4.308587164766897e-05,8.452724132018696e-05,7.750672865541874e-06,0.002309869794236502,0.009651231358418222,0.0009601021781149716,9.123504777297509e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02422879441731629,0.08109822924859533,0.003125689078020244,0.03475627901251732,0.010693068676211448,9.963096620779766e-05,0.005542798611748889,0.001037699425240346,2.9571927795402075e-08,3.450048195929867e-05,0.0005802295548853476,0.000676798471013873,1.520098313079199e-05,0.0004632415533407652,0.0004171200803888553,6.268486967164755e-05,1.223955766072038e-06,1.0413941499587409e-05,4.317923862906525e-08,4.053006879001231e-07,2.8610658391325927e-06,7.536876331926123e-07,2.9880020524508666e-07,2.1941579784856557e-05,3.943665563388432e-05,4.14056365471982e-06,8.416352056905829e-05,0.00024549629511172455,2.3614531518001414e-05,1.0412941748416671e-05
