,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31H,32C,33H,34H,35N,36H,37C,38N,39H,40H,41N,42H,43H,44C,45O,46O,47H
1N,0.0,1.018218692896387,1.0202071920157523,1.4584973456919441,2.0670965448757572,2.4534964217533504,2.4576039928221567,2.8401250067937474,3.812014462882518,4.356241343423841,3.9750695087834713,4.93016099025566,5.028917340386273,5.734440122779665,6.355948528730299,6.185978521156896,7.0663461928022455,6.527010259609807,7.594054167460956,2.4927694234506386,2.7712535842039547,3.702076202924042,3.9750071736995327,4.923951953426897,4.850421324553912,6.015185014135787,6.331208365626111,6.923109570366752,6.026200804587117,5.268258172077115,6.965920572683756,6.392268093225687,6.930646231304296,7.2040840342511325,5.400203484531615,4.387997794558857,5.900445298828708,7.226435644843608,7.813981914311028,7.781634431510144,5.311418902431223,4.326897760404477,5.880794192507441,5.749236895766658,5.748390899221897,6.836266775750715,7.439333458224129
2H,0.0,0.0,1.630342895988911,2.037451976753816,2.408905430830194,3.3440830641527683,3.4487989301396986,3.7111581937938327,4.600556639013474,5.040626380750896,4.584260453751278,5.70864079363342,5.812303820452795,6.379865827761773,6.931921726323446,6.92365545946182,7.802418762761354,7.214060600448578,8.258293373057832,2.580847122923219,2.3954429789322957,3.917109749977732,4.406873134672024,4.9737589553181785,4.725662998907191,5.9746255680493014,6.431246809577561,6.843974643487184,5.789390006901086,5.046732116915947,6.75249136943474,5.9328015000064,6.392765784508823,6.767128117781947,4.823833095353924,3.8688159738433803,5.188824712000791,6.481673034346516,7.105945481860989,6.999490848223633,4.546208372775503,3.597093017707806,5.041367180315953,5.976970944228292,6.172334323016461,6.9510611827054065,7.642442217502602
3H,0.0,0.0,0.0,2.044720228683454,2.9255524027613555,2.632722333170972,2.635690348652098,2.614681543014593,4.127192055577162,4.921817563175121,4.69499270025541,5.0556756362222455,4.940900035106118,6.291818610709478,7.0154618225071514,6.401634719243141,7.185950995019775,6.9313150156663115,8.01526659469755,2.7944177368314813,3.0195424588498256,3.898879345778034,4.1623206034010005,5.001634440322531,4.845483469239201,6.2747835686111895,6.634125596531196,7.092995999264345,6.478463234210505,5.845237563241579,7.472365948607005,6.790505378662478,7.435788245290322,7.493444249510019,5.723241045137998,4.725370644622533,6.10745255031729,7.437670679430263,8.099298090735005,7.908836256116071,5.373273488851567,4.357818676211737,5.904017908736082,5.614519623905966,5.551463412602346,6.639126002146698,7.160866185481264
4C,0.0,0.0,0.0,0.0,1.1003770266297581,1.5490850331372148,2.114633382566428,2.1787775170387635,2.604692960164455,3.1954236509281815,3.0363874244097904,3.7027319910972114,3.927825130297348,4.511914763064783,5.21037092600312,4.887933701148005,5.779399924595262,5.2203891831143165,6.276542428436712,1.5486669470914793,2.4201804214250187,2.4990102412693993,2.6284431979287466,3.8791488883916108,4.080311749356417,4.859531739888928,5.025920105958161,5.836044178585299,4.976641647315973,4.205668064703213,5.849734326648196,5.629034379013567,6.220469125207328,6.440640021479817,4.906593724059745,3.881114492170695,5.69648659857257,7.018267862052453,7.457945496424587,7.710435198156827,5.410303834034499,4.490288334504476,6.169406436374431,4.72428913397712,4.6821916193898065,5.921896144804837,6.530404864631455
5H,0.0,0.0,0.0,0.0,0.0,2.158703528129798,2.547011470828388,3.061097597816583,2.7164674274114664,2.787089885408476,2.3680946283502013,3.9707905683980305,4.454300550372562,4.0476913817556675,4.5639595126755905,4.940971108134722,5.924565103085921,4.975647915014871,5.975483244048312,2.112447690847288,2.8685748915783513,2.928103293742975,3.013520099183188,4.299566811753153,4.587120810821768,4.967253788388761,5.044189193794365,6.018608088776695,4.816523227068497,3.882062921406103,5.567092200921147,5.544074217582938,5.969994743697585,6.467519134543576,4.971877835645163,4.0043969177433505,5.863853123237052,7.128749305386046,7.468231549081022,7.892302935985279,5.742545803321502,4.9065060597612815,6.497018285171843,5.315593591118698,5.328971162903628,6.519358309463908,7.183182007821121
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0963485449056183,1.0979757703983286,1.5193677285997906,2.540042874975717,2.741396561154699,2.5446073934332234,2.748778223192964,3.826071817640577,4.690311732661732,3.8335178042723683,4.697650548873644,4.337277611079312,5.423730277148825,2.622904253259194,3.722833436576671,2.9630158690768935,2.552932543670542,4.358189787962392,4.797057231727755,5.403181468857907,5.320096548828772,6.346881347844364,5.844996807496625,5.154736979041146,6.628092300702311,6.728044251819419,7.40133304823336,7.446159790536236,6.1592498441376975,5.155637818437696,7.010537494284246,8.327921109878442,8.737048469034756,9.02251351219041,6.7342927597509314,5.802416548329356,7.520005269747975,4.757927157906673,4.321317693818608,6.057546201554995,6.4678868571888275
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757833088875852,2.1476203418021282,2.822265084016063,2.759183782510069,3.245829357335572,3.496972396281078,4.136062457028225,4.879941710850242,4.440942013543548,5.333254676228597,4.8007988773574635,5.863948436882496,3.4902201460573816,4.447494848982415,4.0212396612944215,3.6432898628389374,5.4253395104801205,5.7951957217743635,6.465923886082535,6.380930009930899,7.424607271052422,6.811021000387612,6.044433375160478,7.584710122534562,7.6417454935498315,8.25198009452216,8.409961064786923,6.991928377537823,5.96788234908522,7.769763932853554,9.101503713955681,9.555044153541203,9.761771655152264,7.38494033336326,6.415070110467201,8.089206952566268,5.824625505090427,5.342571320128413,7.110279210997936,7.493683357345624
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1563939637278926,3.4375816978775324,3.7975005091572838,2.6226191719057135,2.3680587375573405,4.588753953504586,5.546290590389038,4.019171720360944,4.6888319569686,4.824634121641557,5.891023335256887,2.810088955973685,3.837501370461202,2.9916688085763714,2.5976197252112887,4.193584447993482,4.569506922739113,5.443276882084683,5.4216803238040505,6.2660768298204275,6.1149072791372,5.587380749071056,6.957936143808719,6.931538935187003,7.723137648021865,7.522765801755416,6.304262649887506,5.322161625260566,7.065683666105014,8.38088191827444,8.845539701186192,9.009457469787945,6.700183330839107,5.761518539280263,7.478774310197344,4.2976322865291765,3.7479920131601667,5.5395582472048295,5.843169381666227
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4052229554001678,2.162725262987012,1.403233782600892,2.1597093185846132,2.434340362320713,3.415242886187361,2.436802678033334,3.415984490353641,2.8181091886921577,3.9046154190314493,3.339238835980318,4.571699861688468,3.1428727465204123,2.3523053850906415,4.457091069174411,5.185611458096434,5.178209648105088,4.792424385229716,6.143917727282357,5.686770195453908,5.010576410158399,6.266928297991323,6.846497378115679,7.478698380226653,7.547362891294999,6.596665607569589,5.678473444863242,7.638589653449028,8.888417436985927,9.14304739160741,9.680820535264349,7.605298901371239,6.761828653366967,8.4758824097318,4.750067229384329,4.178310969863269,6.096203179076748,6.448361898587268
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0883110743417703,2.412764564502964,3.4017014896155175,1.3941690109133817,2.151248435322494,2.7889094724947165,3.875494161229889,2.4214075414829823,3.405837019490071,4.050185654993026,5.19672948896423,3.950921449848458,3.265768467425081,5.258952050639029,6.014320001027846,5.6630792741424845,5.178058769631448,6.696805886083859,5.878261666554479,5.055477872195197,6.294085260954672,7.103088289881472,7.556273330334271,7.911411468815662,6.986844976205219,6.116936215503343,8.101482205050146,9.301837320509124,9.46626212888,10.155131677271036,8.185671526174751,7.390138882576332,9.042736533976141,5.772782641950772,5.321506846747438,7.098784047763281,7.522227650525977
