 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,N35,H36,C37,N38,H39,H40,N41,H42,H43,C44,O45,O46,H47
N1,0.0,1.891544603991367,1.988913402972406,2.9058088990847075,0.10422403387791568,0.18807141856614867,0.028155481227340018,0.004896341777247404,0.029990627759430802,0.0049179793448788645,0.0008095488863062439,0.005861278754300481,0.00020186313467929207,0.0008099442358939224,3.141637026604638e-05,0.0013889670626665435,0.00014890286181989953,0.0010727843061898307,1.0809546664325431e-05,0.24307529183445567,0.049803220943848425,0.03941739584070113,0.002057720826995846,0.008105615758952092,0.0002763262258546062,0.0006186524740923321,3.196067409383385e-05,0.00018070446295526121,0.00010593996036908915,4.131769756565706e-05,4.384647512956086e-06,6.3514224342337e-05,4.476471018644013e-06,1.4562158453412799e-05,0.0005529204953306222,0.000627368957615837,7.22322623317867e-05,2.3014687261999067e-05,8.204136171530152e-07,5.469185611728378e-06,3.7515596473768065e-05,7.600256790707416e-05,3.9058915068945765e-06,0.0012368971279506924,0.00010290295683729189,0.00036400657217602883,0.0001305861370380912
H2,0.0,0.0,0.027867205242664284,0.10934972868211756,0.004344097464081376,0.033848801167864595,0.002072876933082446,0.00015487606145092592,0.0046353548648060405,0.0003836508157080143,4.538725449632075e-05,0.001177946016893694,5.711805438357587e-05,5.934448885724919e-05,1.0639397152623076e-05,0.00025067114835042315,5.398002999945639e-05,0.00011826188309560504,1.0941795536290044e-06,0.01673482467799392,0.04821397691164886,0.0025908375875406398,0.00010293124116911301,0.00038992549580119107,3.064925183404732e-05,1.8331948963612454e-05,4.756851962772757e-06,1.8611868390916442e-06,1.2966685169035763e-05,1.555188054558343e-06,5.484673026856512e-07,2.244335242562734e-05,3.2820942112987694e-06,2.0488388770001364e-06,0.00017466852669334454,3.162223106945028e-05,3.463884804644213e-05,1.0251014733397845e-05,1.2864896969944084e-07,3.28566696139454e-06,4.7039314752916894e-05,0.00018254655416627408,2.094770150895542e-06,5.1821365906978833e-05,2.49150621450811e-05,8.853497065364202e-06,2.0631006443228017e-06
H3,0.0,0.0,0.0,0.10472404686916836,0.035951605150616794,0.014004416381481755,0.001434109144595963,0.0038428645546859652,0.0012082405136160101,0.000897931688459086,0.00018461652937329376,0.00018095233173121006,2.093920638635005e-05,0.0001891597614068763,2.492538474774264e-05,6.299314796820443e-05,7.337004884533371e-06,2.6841044101111322e-05,2.7260483344004882e-06,0.0073712214459723535,0.003311526611711746,0.0007286342566407145,4.530659179113883e-05,0.0001609175603192181,8.380785531336699e-06,5.153793248591221e-05,1.3005063901339042e-06,9.981111727119796e-06,6.0547964868540305e-06,3.894227466716416e-06,4.516379383812108e-07,9.400411166149425e-06,5.477257243313716e-07,2.3292296307264593e-06,8.282687610283723e-05,4.2132957967178086e-05,9.773924672717982e-06,3.1228770109859028e-06,1.1796305221523085e-07,9.775904168396465e-07,2.4141019425716337e-06,9.912852217963675e-06,6.442694089336953e-08,1.4361283929509305e-05,4.747194983112379e-06,2.080289143502334e-06,2.600418356202283e-07
C4,0.0,0.0,0.0,0.0,2.0282042177284163,2.6893179929037294,0.10239538564757455,0.08242771393079695,0.1669133094078884,0.03671659024465737,0.005129906487968405,0.03276756818921886,0.0008741629035913245,0.0046943458730804855,0.00011194424464489039,0.005439064587685005,0.00037251872134769215,0.010156023625931737,8.866353647674075e-05,2.580755338340702,0.2579966149798871,0.21571668694592355,0.00998190364064755,0.03511100066209613,0.003245021155825256,0.0035407633619922163,0.00012166945844405141,0.0009732808279099281,0.0004214801248445532,0.00014965802842303866,6.174065084296743e-06,0.0004809055505915205,4.783200698010859e-05,4.6576357630057075e-05,0.004295116086512368,0.007885325652603692,0.0005142336062718689,0.00014034510382517074,3.193464202300156e-06,4.306720903601846e-05,0.0005538171858889412,0.0011420800221477734,2.894146708010137e-05,0.003077228740993504,0.00030775778443521695,0.0008993655488507002,0.00020500741197360117
H5,0.0,0.0,0.0,0.0,0.0,0.07952933060999923,0.0029190232646723047,0.030906771268103927,0.013015208007929768,0.013546957182054786,0.009489057183495353,0.0013637642223963686,0.0002337275682580131,0.0014629009585365171,4.325856516596005e-05,0.0007485612159580102,5.28092201592667e-05,0.0007018081154278599,5.262684311913013e-05,0.11982171686734877,0.022275085723617805,0.020308126719143615,0.000215604977050754,0.0018375096571273675,0.0001547767537297684,0.0009974263725367472,7.524982916340406e-06,9.099031068005026e-05,0.00012723398614178372,4.917486747824107e-05,5.014386797119741e-06,5.141432935684698e-05,1.5285946541876427e-06,1.768625092202214e-05,0.00039114570539922067,0.00035820513649720276,4.516897619799565e-05,1.5058131924483575e-05,7.945857090074782e-07,4.6098979831210585e-06,1.0662096762259488e-05,3.361333592444282e-05,2.075910665588765e-07,0.0003457382906948414,5.340275875942435e-05,5.0294710778331364e-05,9.372409373487045e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0429425932142116,2.0424638904156733,2.7134129016069024,0.22716188832275078,0.01219641780862779,0.24351988017324844,0.01541966607711398,0.03701101492553835,0.002677479131091065,0.035083533203556005,0.0026620514771513726,0.02183118926936195,0.000528620089173204,0.15954178549503942,0.03414308449853325,0.023039545159068364,0.010693531580146187,0.0026334765929295623,0.0003570465644363585,0.0007423663875051612,9.889104032101415e-06,9.756903167223996e-05,7.002333889383205e-05,3.3982858432590746e-05,4.5685129436146e-06,7.383799912891176e-05,5.017487117786601e-06,3.793064694557202e-06,0.0003821937916847762,0.0005011089808725222,7.409224219079302e-05,2.1342328941659217e-05,8.974720411281112e-07,5.7278869346477634e-06,0.00014612353591253457,0.00020030226390510553,1.2188618618957925e-05,0.0003789140987930928,0.0004141431345046631,9.507482052395488e-05,1.953430668266698e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026059893574747806,0.09853505564796106,0.0191707499533178,0.0012704487638273143,0.03072484651995644,0.00021928490285749724,0.0021759616258582026,3.351412063534731e-05,0.00282358994707943,0.00027438360987375177,0.009250939791925816,7.073627899645274e-06,0.027780352812267317,0.0038209502153374597,0.0028351214734789743,0.0008492101231374338,0.000276970030345991,0.00013261498252892245,8.481251871528261e-05,1.3670023324419134e-06,4.172409296288038e-06,7.904059745156289e-06,8.579542296605069e-07,6.62523642613877e-07,1.649684225168979e-05,1.2411506808973627e-06,1.0012454523256054e-06,0.00012421567063036765,0.00015820985378112162,1.6880882943270947e-05,4.784423698001028e-06,1.6923657808476378e-07,2.0917517469243307e-06,3.4865175305043294e-05,6.857223947975832e-05,2.2294527621813387e-06,9.946546157513225e-05,4.481406484357908e-05,2.0655515766798693e-05,5.821102033287673e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09679955308303212,0.022526085677382568,0.0008919066374952767,0.019543019415749985,0.008947097239478286,0.002762874833184936,0.0008645836733771617,0.0016290343089762072,7.72966810238529e-05,0.0006893656856834518,5.6104062342354766e-05,0.010933136863745085,0.0013426299115780749,0.004158133413427523,0.001027071729641893,0.00027987635333159844,2.596963308754141e-05,0.0001685949780050322,1.483221137243973e-06,1.1897314017517147e-05,1.6670525208262177e-05,1.0635005504244788e-05,6.753115850965941e-07,8.626744522066687e-06,5.588475402440451e-07,9.958824447320325e-07,6.040763154868678e-05,6.430235069254664e-05,6.563629142863903e-06,2.1864226239509676e-06,7.993748618595475e-08,8.672562374911763e-07,2.188107164902142e-06,3.379177695439495e-07,1.5678722609102635e-07,0.0001759446483799998,0.0004884229903666659,5.439767209691748e-05,5.616488925053176e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.818259402426632,0.12408507148276571,3.60750304905279,0.1255045714046572,0.3345048678969149,0.026623940815255986,0.3240814735973288,0.025808731384807215,0.29678475649734515,0.004002559041340614,0.008755297675851398,0.002341568968776103,0.02453231562215402,0.06678211539190293,0.002953207873479635,0.0006972466151320411,0.00012388032476576272,4.106910635037764e-05,2.363599554255913e-05,2.370851662644724e-05,1.4540575176358317e-05,8.290214408290808e-07,7.846075450373968e-06,4.4021458589504903e-07,5.475661475351501e-07,3.764159347935392e-05,2.1149491906569118e-05,1.0069580565014169e-05,2.7976825537623373e-06,9.740224404808373e-08,3.845581811878773e-07,9.292037667571473e-06,1.5484028987877707e-05,6.153403090403131e-07,0.000781264879133492,0.0028481484905293203,0.0002786301183162754,2.193863765720394e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8606948259943126,0.32622677366158725,0.028484494871188648,3.855040133893176,0.1320212201943778,0.3178810649923136,0.003526269674215987,0.32894726343932756,0.026777450359318333,0.0025133686858899718,0.0009034612331867559,0.005297854979236669,0.004360368008045956,0.0009605733705695951,0.000234309629222329,7.145715896655913e-05,3.452202613607458e-05,7.664013121910784e-06,9.659892887217691e-06,2.2301209138486655e-05,3.56877075557982e-07,3.2936054267518333e-06,3.4526650471988773e-07,7.533104313672823e-07,2.028708949389224e-05,1.6606486349601823e-05,3.5227597739995176e-06,1.0372784168821703e-06,4.5509046198155545e-08,2.127248501793133e-07,4.4523506925464584e-06,7.248243498514384e-06,4.065841210376675e-07,0.00013424059610472883,0.0003267986147635349,3.7265375713524396e-05,9.720334642082662e-06
