,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32H,33H,34C,35H,36H,37C,38H,39H,40N,41H,42H,43H,44C,45O,46O,47H
1N,0.0,1.0187239414144729,1.0219804905431935,1.4619647683396322,2.08849762409747,2.4562302783568986,2.6881256604397405,3.406060929032598,2.950857866727831,3.423816197687063,2.4874787271320873,4.297185990686797,4.356450008213877,4.963176489190375,5.204016100810404,5.563679059583065,5.007796624402667,6.565011099419854,6.618078923435088,7.020480378076037,7.267766789134601,2.490425587899767,2.8366872128992147,3.6480759763742374,3.942260628625328,4.917787498103915,5.089158317400874,5.468971250744385,6.446278232914855,4.951521296743841,5.915927310982771,5.184902260909656,6.624555997891695,6.872993562362539,7.66561704460285,6.476918238658824,7.680735492165981,7.209604035973529,8.277365771467727,8.824065747944546,9.431218623216667,8.578648230702944,9.475601020141866,6.034917106010748,6.086457009043755,7.220537879191161,7.91209618644912
2H,0.0,0.0,1.6300874486541568,2.051139967438213,2.2949819282142396,3.3383717276013787,3.668479327830135,4.186547669684045,3.7744005541157417,4.045422502015638,3.2573321434411864,5.199564157502914,5.333651976131655,5.858185640862055,5.997486465853899,6.252386431156227,5.740524213675498,7.415778388061023,7.520370091756996,7.892481402418602,8.059947871843526,2.8375926770488102,3.2119980187019133,3.8110857695973532,4.088908786409228,5.076710676457814,5.4217390049872325,5.406102757543443,6.440869203546754,4.879782475622458,5.609758065201758,4.769115022449881,6.355681995122581,6.4491550319259385,7.332084506073022,6.0193914212243635,7.107853188314141,6.534490036846222,7.745787366625163,8.2055169212028,8.887169132538371,7.932121827626701,8.793917058830077,6.191787913906211,6.236529217224851,7.37753200451953,8.072864130760824
3H,0.0,0.0,0.0,2.0203641631484004,2.9032752334157648,2.803886396341412,2.6294084899445593,3.7455614438282705,3.5130362684651333,4.185797521301015,3.0610834483310945,4.650308880912641,4.468421224971023,5.317781971916013,5.65591510314446,6.168573803695821,5.432531318993321,6.8920051459236005,6.795731965821335,7.358451823169247,7.640729879374245,2.5128325973267907,2.383478197835084,3.8316673958743963,4.3482299473513075,4.89720217930796,4.903685379267666,5.320319679996654,6.217067727024629,4.644190622964344,5.946516544835558,5.343214362851413,6.753214585833018,6.783774453405369,7.498575311727224,6.275827620126033,7.727161220153756,7.3449058519622215,8.400569029636772,8.77358101909136,9.32002882031632,8.451061934867552,9.495644021414488,6.1752563614144185,6.413900307356293,7.251349192100744,8.022365674353013
4C,0.0,0.0,0.0,0.0,1.098238733697418,1.5496489795755166,2.1523007616176035,2.1817011291388266,2.558910032554843,2.865551548535729,2.680404212140943,3.9302663174041,4.156673984303635,4.294711882732155,5.071392983889223,5.314399235708544,5.185108814386939,6.4018363759008805,6.553162139275377,6.650372839035335,7.198231672347573,1.5432527501450843,2.412409652659454,2.4810383835539414,2.629279390067292,3.834775699296534,4.040115890962187,4.701739694434574,5.653643414158587,4.433197824262983,5.228930173962767,4.583534488282376,5.768538980832827,6.424706687983339,7.1422537624761535,6.241679245623669,7.288695087932889,6.930254109007253,7.72899475610139,8.577808078440256,9.108125319793452,8.491030758856382,9.251186120570956,4.772686393788654,4.731110399266108,6.007438808145638,6.6281923339884425
5H,0.0,0.0,0.0,0.0,0.0,2.170662887735263,3.0586111083609038,2.5269560124016186,2.7871089854158204,2.653448267974954,2.9720811608778344,4.262435805333138,4.731997633900207,4.550361514784009,5.2328583236335655,5.249349122651755,5.38896277168532,6.647040839098074,6.955806093027845,6.857369318557517,7.370836647431674,2.179826599639649,3.2688535539699854,2.583522390389588,2.3488718617464346,4.038992136252869,4.480441215858445,4.921418155991678,5.926437068524659,4.832735301175441,5.164466655464298,4.392074475264133,5.568838586587647,6.428770525290637,7.220419377209706,6.370570862753394,7.10070151739543,6.6526479256082744,7.444884456982863,8.46283107559982,9.052779676005933,8.461823103253522,9.043915076303888,4.717148285472685,4.436221956006285,6.031803056886745,6.543952826859919
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0986394672117759,1.0984724890084365,1.5353247783065607,2.169379446712641,2.142030114354818,2.557873276698245,2.773063733608192,2.816354081540387,3.899417542457975,4.2614316843050215,4.219206447384852,5.079088133625831,5.203053405119978,5.23645131535166,5.957961709504879,2.5043762961167095,3.1511020506459033,3.320031587043805,3.3364629649452633,4.477503429746113,4.389554729576418,5.625946794588666,6.431748977888876,5.423759587849853,6.37930918619909,5.873288728063773,6.810143899784058,7.658748583824573,8.258769226301935,7.525651112811628,8.620031181499527,8.347019868352568,8.989348479053177,9.935705200885181,10.39100890636459,9.88180043943522,10.645425714625015,5.22550513950796,5.105048486098126,6.399778569780121,6.936877699155256
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7643024571207253,2.1713068810570504,3.0758627290617495,2.548696090128239,2.7341936712082506,2.494676257318279,3.057241914892924,4.153660525511743,4.750787073383069,4.397626781561512,5.1366518608153235,5.041296005284194,5.3324093566542485,6.067056356742173,2.6987698454152804,2.901591769814927,3.7239312741467807,3.9900760505150585,4.665548670287999,4.343725859003573,5.725246031751621,6.436578100039842,5.380436039242382,6.675360364087492,6.279258357230257,7.200336457484282,7.855838069164983,8.377060592575681,7.623079405390998,8.948367719008337,8.747619074633322,9.390839818934106,10.181177206410855,10.580086020821081,10.055513504724667,10.957345484337992,5.583879437301286,5.670135748928808,6.631701907945125,7.249970564457663
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178603512330473,2.4816091101524123,3.0590027972953804,2.871859440786732,3.210295028951497,2.6921988150576714,4.269718951207053,4.500018959548611,4.818272958125653,5.311992013791752,5.51051911802143,5.255660804317056,6.229097974940481,2.699223440616153,3.4718782717134196,3.0923867117102333,2.9378018746295442,4.094323506865705,3.979556817071752,5.4400523028330605,6.1565468487257915,5.434674206668363,6.23209636120007,5.834570390249137,6.506631632435879,7.618033125193396,8.134887667054624,7.629693540942715,8.593080110353174,8.409199910951301,8.842613893208048,9.970098522068163,10.35941403911593,10.019983691052035,10.683186165874373,4.575900228029528,4.360398218498928,5.71990185598024,6.159769709665749
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0991260832964396,1.0958433731987216,1.5405630578257548,2.167859729273752,2.1795349179011567,2.5216244043971607,2.822916146118983,2.7984945917466484,3.888096142963573,4.174107236558468,4.190910119767686,4.654285178637502,3.8917216048442325,4.553951738560349,4.6649248081389185,4.490479410770232,5.920864210883955,5.903589606334639,7.058012096083983,7.911200440860259,6.851994247685265,7.667064647280552,7.037110882152362,8.066641851582744,8.943901403638165,9.622483777603486,8.795926335300177,9.77995600125376,9.38728241595535,10.140894387079857,11.108029220066344,11.640905056207702,11.039310184773884,11.749559808273006,6.5467514744538295,6.237121213595814,7.769730282675473,8.22384548877369
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7658551896360084,2.16900556192779,3.0736507046459627,2.5177819294828625,2.7575900375466738,2.611530879872579,3.136674478815588,4.186785300865431,4.700566549157887,4.39327765177967,4.833930783900012,4.2415609539775065,5.116859349187225,4.758875130251081,4.359880797857294,6.07807506938998,6.221721253947137,7.252271419294362,8.143015120935985,7.175694731934674,7.684701770533126,6.988963037141971,7.973178280816531,9.020121913301917,9.742971936895295,8.971668989277022,9.72269599965226,9.277493936157304,9.9975843613771,11.107793371088025,11.677404909559767,11.113224843008373,11.679084292003038,6.506219885001393,6.006626431894878,7.781904045280993,8.138149564003948
