 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,C34,H35,H36,C37,H38,H39,N40,H41,H42,H43,C44,O45,O46,H47
N1,0.0,1.620823545992783,1.9607577229712867,2.9495309268099428,0.08581673344274476,0.19459936674913694,0.008207605947044172,0.027512754437811426,0.04683772192061754,0.0007076073841141284,0.051013045741741814,0.00533403777580789,0.00021880056326373243,0.0010138923780721454,0.0007924594796095974,1.927426035530644e-05,0.00014209561263045511,0.0001530295757691813,3.2618537050277396e-06,5.569666627325276e-05,1.28430405932356e-05,0.2165084484372389,0.051229736187690375,0.033329695278831103,0.002468395455233141,0.006412645560343183,0.0005052931456018817,0.0008862687644487499,0.00019682864885384177,9.949669178677123e-05,6.217037697696381e-05,3.327288551191465e-05,4.136206177118851e-06,1.661869555266704e-05,5.302047360489226e-06,3.7299106170340934e-07,4.445043546130734e-06,3.86680317321364e-07,1.90900871110955e-07,6.106391915727816e-07,1.662341851949023e-07,2.7286011783367314e-08,9.30230504847529e-08,0.0008165535061359086,9.555734320342013e-05,0.00026774997475163126,7.960320627742323e-05
H2,0.0,0.0,0.02845291736384481,0.10657226532616626,0.008903073815375917,0.031144616698459027,0.0008916494824160459,0.0020836120936646996,0.001670581410882166,5.3969046937218934e-05,0.00038950332343690164,0.00023021545077839267,8.492686468075661e-06,8.00585855422753e-05,5.565028553122797e-05,7.736901832533505e-07,1.8904225336235925e-06,9.126982753127066e-06,2.4199286707826673e-07,1.4297980672761668e-06,1.093320930900532e-06,0.005637490515218779,0.001392132375584887,0.00036226420005414095,3.759123200253178e-05,0.00013596269696602992,2.1677680379417197e-05,1.6430738894235297e-05,3.782700728649502e-06,7.44005770103584e-07,2.769052087403523e-06,4.450532157029841e-06,1.3374014695699543e-07,1.062070374646673e-06,7.861498274586154e-08,1.2621559353220846e-08,1.8861162975891688e-07,5.036307371142357e-09,4.582882073833616e-09,6.513609918101793e-08,1.5603260905550087e-09,1.585074294041533e-09,1.2176734731639272e-08,1.0676783598562167e-05,2.2184029330185595e-06,3.934406345718067e-06,7.599850273543041e-07
H3,0.0,0.0,0.0,0.10478480979496774,0.033768726259228776,0.006968370350425079,0.0036326508263211377,0.00013405595310622687,0.0006328733900952122,8.390698136273578e-05,0.0003189962935492563,9.429600504207158e-05,1.0782768456341074e-05,3.4088415026278795e-05,6.665465836497297e-06,8.859128792781945e-07,3.035482573077175e-06,1.429649934214794e-06,3.480715429216019e-07,8.702032496810119e-07,1.8434872739447883e-07,0.024364222849511674,0.05930637340677314,0.004260907191197982,0.000737259078318786,0.0004698786520702658,4.597634841241316e-05,7.527018062936097e-05,5.998859993194827e-06,3.422296029542693e-05,9.448739944240003e-06,3.9074537787620045e-06,3.68614966905767e-06,9.777587338666294e-07,1.391241808423871e-07,2.3649729286034926e-07,2.667475298423483e-07,4.169217437954842e-08,4.645436346706333e-08,3.638008116979563e-08,1.4166090744893722e-08,2.846058722028033e-09,9.298950498504155e-10,8.575318660730691e-05,4.38755763545462e-05,1.1901050491203158e-05,3.754375582420977e-06
C4,0.0,0.0,0.0,0.0,2.100640922268445,2.50816662625568,0.08217485739103214,0.08316584626777979,0.1663473900518214,0.006388005974701905,0.014371231452230404,0.032327281525076274,0.0009470049350210896,0.0007015622870036875,0.006350743328547681,7.373528469478696e-05,6.284459668759457e-05,0.0018342118296992282,4.192614275877471e-05,4.49284539323358e-05,0.0002937636474552585,2.3319272945574774,0.27383817176489217,0.22005031592560173,0.014248604399761833,0.035409976701759105,0.0030683505255278964,0.0037224012995203115,0.0007345848626392204,0.0016101290589538575,0.00030685413608551315,0.00011157777179771067,2.5553671834988023e-05,6.139041576415372e-05,1.6140582501877887e-05,2.6322793216237983e-06,1.4915986319141705e-05,9.028509739827939e-07,5.439070227541976e-07,3.233962435678084e-06,4.188812920968843e-07,8.693975472873205e-08,3.787862333792802e-07,0.0039871354186571395,0.0004308428667467584,0.00115210514810829,0.00022695259595240103
H5,0.0,0.0,0.0,0.0,0.0,0.07922468727006349,0.0345924981281851,0.0035704400277174475,0.009229321002613533,0.003222325179998986,0.00025120286534141556,0.0008979962992727852,0.0003429011371076651,3.84207154673355e-05,0.0001265022296010887,1.6770635645757537e-05,1.0982499566214443e-05,3.6908348651554235e-05,6.673079778751756e-06,5.796992750273233e-07,3.4879499426487826e-06,0.0931464122498673,0.022218732649564754,0.01072920059393534,0.007494898807782091,0.0016964816630313795,0.000287502665246242,0.000189568281717567,2.4134004667386577e-05,8.5098972713471e-05,1.920721313941609e-05,7.422136977686122e-06,2.78787331242647e-06,1.7329858243986251e-06,1.1201178540254375e-07,1.2028624785109798e-07,5.282118711313899e-07,9.454929794650013e-08,4.919623197707779e-08,9.120256760919432e-08,1.0794522831147901e-08,7.035137583599749e-09,1.0614407131015469e-09,6.517925918370082e-05,9.917901944600516e-05,2.995450100229391e-05,9.185365627439879e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1211707364925916,1.9538701165731154,2.468360688372068,0.08226499007005916,0.08600495925142848,0.17961940299744178,0.01059907196217158,0.008081377430471326,0.03601338505497925,0.0007921313414014364,0.0008929944095136255,0.007492661329396147,0.00013937225452165247,0.00015295252249702962,0.0009136341401029258,0.19880181306505912,0.040589996076124846,0.028022231604153888,0.000999481041714212,0.00339397577426348,0.0003964400845717364,0.0008121878894307571,5.8452350176985135e-05,0.00016008603423012246,8.883497893195924e-05,5.6343979398132404e-05,4.532273321977698e-06,1.3840054767899623e-05,3.5258186266151625e-06,3.355836344365315e-07,6.154778310174525e-06,2.5233011802239247e-07,7.301074700372112e-08,1.2779343162155898e-06,5.3130769672726785e-08,1.5376378170728344e-08,1.5872684588913444e-07,0.00046779153239945304,6.447322832930924e-05,0.00016330311026446775,4.149992399760105e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023323184131864627,0.08333524612823706,0.032837405861256386,0.0034391746787287847,0.012511199207591917,0.005478195297389021,0.00020242779357415586,0.0011892907045196743,0.0003690858421012688,3.6503357649042556e-05,0.00013067373612529742,2.474256801598962e-05,1.7519386132258674e-05,3.582193843043591e-05,0.011526303322615172,0.00816599647420213,0.001511228771200357,5.4803427796512594e-05,0.00010634276414434041,1.8688056216964455e-05,4.160934720098819e-05,3.297050773731769e-06,1.2043109618220527e-05,5.355543797103124e-06,1.81245544172981e-06,1.5292364843322304e-06,7.424346136764015e-07,6.854796597011159e-08,1.0503991121346701e-07,1.3107342788920562e-07,1.1025869772751662e-08,1.5543235587500703e-08,1.5942053677164836e-08,6.363427784705777e-09,1.408531069557739e-09,2.7435904659256494e-09,1.4541375613852381e-05,5.471194480355379e-06,2.345890587673871e-06,2.720164866687469e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08214945343231439,0.006219273878966147,0.03243317990933736,0.005756112310250083,0.00015242415627136907,0.0027441860948185237,0.000810266118193903,2.43119805338754e-05,0.0003075250036912447,9.084130113601319e-05,1.2879554703859597e-05,1.5079542574847338e-05,7.231452757938683e-06,0.010041024685606192,0.0018117309600672593,0.004199253738809361,0.0006199189939843919,0.00026032686149779494,4.263168165996589e-05,0.00017315884839974593,2.0491630326802124e-05,5.621919745069093e-06,1.3190661140694004e-05,6.391709347353114e-06,8.958682278237262e-07,2.5066651239136206e-06,1.0696841914459299e-06,8.99175429669441e-08,4.953044614453006e-07,7.176923721985418e-08,8.561656716921107e-09,5.7710702883184695e-08,1.6468937991120924e-08,1.9763333192202026e-09,6.061872781515376e-09,2.7662187675359107e-05,3.983969837417778e-05,7.359904246051485e-06,8.823079089559371e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0767815417922852,2.003574941031758,2.5844187128719582,0.07893338486133672,0.079250590565622,0.19989213675116294,0.00784983091602609,0.009091839141076918,0.04042310711062089,0.0015484475940800158,0.0016074846629914319,0.003652053337251604,0.030175503204077275,0.00897053250937474,0.0044275564098498615,0.00025490614640011344,0.0007614934580594257,3.666292683046635e-05,9.186966314561618e-05,3.817448537279944e-06,1.0099121186213367e-05,1.2308875504921102e-05,6.171958560452495e-06,1.5799888437584286e-06,1.9877298820802913e-06,5.256705801759409e-07,8.302560039474827e-08,7.210412462377302e-07,2.83857719551861e-08,6.77885425570679e-09,1.7411894571994768e-07,3.2488945977959816e-09,3.238107781911026e-09,2.3057483033994686e-08,0.00014129050732683557,1.0613167853001926e-05,4.6166409825770804e-05,1.1037532599011968e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024500275151252415,0.08269028587467231,0.033665326586771016,0.004959772401270213,0.00904702218048592,0.003619291262768165,0.00016272980586284902,0.0007711147323287149,0.0006638603584725455,2.5852761485145592e-05,6.679894539085574e-05,0.0008052936603226701,0.0005019364264691184,9.193389677242259e-05,7.516321121947556e-06,1.0322958314379349e-05,3.661773128493806e-06,5.280082546188503e-06,1.8294398662632716e-08,3.867894595277477e-06,6.630901553394963e-07,5.8819035197998915e-08,1.5977846534731555e-07,1.2016333195141726e-07,2.874842364164465e-08,2.627000594834783e-08,2.97915374591895e-08,1.248725789437799e-09,2.399714649214957e-09,4.238086104280114e-09,3.631788203506403e-10,2.1886692458394919e-10,9.990952509753015e-10,1.6672959901598006e-06,7.83259080705534e-07,4.898836987177191e-07,5.170722516822934e-08
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453803290974449,0.004479907962903207,0.032645370135111484,0.010743965486154972,0.00016179096664847847,0.004070581522415795,0.0009255180931109219,2.6174577316018244e-05,0.0006620694867864874,4.620306547464814e-05,0.0031070477322421297,0.00029822294165193775,0.0004694706219148248,9.687713672423826e-05,0.00010854239443736091,9.17806297651147e-06,9.12789472484743e-06,3.937726955394183e-06,6.929228537622123e-07,1.261958170184485e-06,1.2228593044838476e-06,6.786364137312262e-09,1.9276665097489598e-07,6.180845368852772e-08,4.42376046905224e-09,3.6954982074455245e-08,5.480170317540001e-09,1.9964001563010925e-09,3.93400889642237e-09,3.559833539057422e-09,1.113731329382972e-10,2.3514434843718846e-10,1.1290056102231105e-05,1.417048444252167e-06,3.935282544054175e-06,1.2096524149018961e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080626661242884,2.004249141249975,2.5413344654369987,0.08367453971646766,0.08408494929671717,0.16791080682854506,0.012278585374466022,0.011880425897561442,0.02328159315427636,0.0060195106376247365,0.0017615091067374605,0.0010756655232564971,1.897102209802437e-05,0.00020663857304523137,1.1909457852565808e-05,2.2497424940412514e-05,5.008077426094104e-07,9.060400316673878e-07,2.965179429520459e-06,1.3387896080629957e-06,4.847018033604655e-07,6.38310880290982e-07,1.1089903617644836e-07,1.0381396409187005e-08,2.395168991198293e-07,6.865621848817227e-09,1.300974106221986e-09,6.290242075823738e-08,2.784271702083174e-10,1.107366642827401e-09,8.639109316810334e-09,3.890518153387701e-05,2.487187270583391e-06,1.3745319183119942e-05,3.4164278728265884e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022696197173656563,0.09422030923396174,0.034355646651542227,0.005186592123167522,0.008101457751713115,0.006771112201570784,0.00016137113869429953,0.0005938779016576579,0.00010658774277594318,8.12190762901066e-05,3.9109159716277375e-05,3.438317255355372e-07,5.38309819209104e-06,1.061831400805957e-06,1.1704013442859207e-06,2.1553392182127595e-08,3.094046427953856e-07,1.5741213899023165e-07,7.83598905762517e-08,1.6465226959638812e-08,2.4386537567089306e-08,7.579847416394614e-09,1.4864993680419047e-09,1.2257219461631053e-08,5.594051888380136e-10,1.1508927144632253e-10,2.4338130399925717e-09,6.154787790535465e-11,3.2722713427801864e-11,3.065243614486235e-10,6.758347965707401e-07,4.079175797144785e-08,2.8968648291272103e-07,7.644864785660843e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09286270812567055,0.005407177429633148,0.034534062435512825,0.007369097654731149,0.00015508581049572534,0.006411097879544414,0.0005105131473428504,0.00012289783554297884,2.5940199720686508e-05,3.0326334134245236e-05,2.640358136130061e-06,5.538636052238033e-06,3.2899782764772567e-07,5.097017587996078e-07,4.319732060942272e-08,1.0308154330118668e-09,1.1607030270255336e-07,8.439497833911958e-08,1.8533730994363395e-08,1.3528256959105533e-08,5.273101955083348e-09,6.570350929990809e-10,3.6967866545722927e-09,2.8545366070886757e-10,9.867728856249869e-11,9.228474651123975e-10,7.347367159127316e-11,2.0745627438145675e-11,1.0602962952077633e-10,1.153839301659687e-06,1.1591945636713064e-07,3.5840475409720796e-07,1.378401623952641e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.078510620388438,2.032062123808086,2.5169319728190698,0.07640731007431911,0.07597008301862607,0.07494363161076589,0.0018361275528559207,0.0005624526473721192,0.0003717585456339684,7.148217440300364e-06,7.759091015127617e-05,3.4373148339872373e-06,7.846996297355968e-06,1.472663626600479e-07,2.3429498541283067e-07,1.136993621170257e-06,5.393994111368983e-07,1.4222238364780537e-07,2.0579345844096153e-07,4.740679071524312e-08,2.412132715789994e-09,8.971686021874703e-08,2.5583947182994393e-09,2.6642132944232344e-10,2.2487879738908312e-08,1.640582114603717e-10,3.256230840520402e-10,2.9294267012147657e-09,1.459828818645148e-05,7.363616804784145e-07,5.1933001197074224e-06,1.3674320933354522e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0271000260260692,0.08867395048573379,0.027371132349163885,0.004679038841284955,0.004685479037764839,2.602378172533726e-05,1.4335108317387046e-05,2.845108715399114e-06,4.69268159886127e-08,6.424831392459751e-07,4.313261703359217e-08,7.56674648494382e-08,5.749201115179403e-09,3.3113110031735005e-08,1.135857063960799e-08,6.520142203925161e-10,1.922619397021208e-09,1.539060767719036e-09,2.207662941344779e-10,1.323920972851056e-10,2.4996804626198355e-10,1.202660193655447e-11,2.5852209262211545e-11,8.24076362704318e-11,8.821610109066569e-12,6.155076448521868e-12,7.070788399232697e-12,1.1354267193119938e-07,1.9604396106487343e-08,3.437534046302204e-08,1.0999994026761328e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08958558418199303,0.00468779766484162,0.0273465551230061,0.004699065614020448,2.356384498303221e-05,7.914079668380758e-06,6.094852710747389e-06,4.6906470130281264e-07,8.489162303115805e-07,9.106482967702334e-08,1.918219967311785e-07,1.5123289953677954e-08,5.555014226388266e-09,2.147797573126553e-08,1.4838291928498393e-08,3.5657554686707726e-09,3.83550557980783e-09,1.4786827318147289e-09,1.1089862361757241e-10,1.6520602663661066e-09,7.061551343667816e-11,2.1775248271183045e-11,3.107066826046889e-10,1.5776269179923474e-11,6.034062138837726e-12,5.192513086171857e-11,1.4624636590632178e-07,1.4638938394817558e-08,4.749458237807147e-08,1.1428374913080575e-08
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.938257682966365,1.8779061232888457,1.5993283383603325,0.0005944460094624293,0.00020902601124563047,0.00011641956527176645,1.8929000659140272e-06,2.4946176490875382e-05,1.1454910058272816e-06,2.4434501640496764e-06,3.6896844246570026e-08,2.9386694078148423e-08,3.5976188796083e-07,1.4352652999427562e-07,5.767845701054597e-08,7.624225961677666e-08,1.4562723582578485e-08,8.99635477225047e-10,2.8666607115868104e-08,7.729762385721983e-10,8.69445626605625e-11,7.748826053033397e-09,2.2871260441093e-11,1.3412693178338486e-10,1.0441663089721942e-09,4.894451899217778e-06,2.647784428239097e-07,1.8192423472396246e-06,4.5623094291347144e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02922754866265609,0.030030420783679013,1.2755598757574482e-05,6.583460196663005e-06,2.0402467736380103e-06,4.147299059731324e-08,4.50592586243026e-07,4.473420300854514e-08,5.413787662611469e-08,4.289494537346172e-09,1.529143212053441e-08,6.914655847900519e-09,2.104608931574603e-09,2.4087636329994666e-09,1.4405194814770539e-09,3.324940323068404e-10,9.393041899841137e-11,4.456491842219634e-10,1.4163337169748047e-11,1.0558887098000014e-11,9.120115773697535e-11,4.063860359337923e-12,3.276046101063912e-12,1.2769119095423775e-11,8.433770071203384e-08,1.189946874369241e-08,2.6218194171256926e-08,6.28285712345189e-09
