 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,C34,H35,H36,C37,H38,H39,N40,H41,H42,H43,C44,O45,O46,H47
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029985175518151053,8.54412939987892e-06,6.649347959353236e-06,1.6181395851022629e-06,2.8633201365479977e-08,3.9714026356385546e-07,4.782604312580929e-08,3.373634915870838e-08,1.6062711161168863e-09,3.256024339037822e-09,6.096740556849056e-09,8.921192673483347e-10,1.5235466221952265e-09,1.2522127779135417e-09,2.5133073400240846e-10,4.8123727225402035e-11,4.385776186666135e-10,1.2934986415302774e-11,4.985567514381728e-12,1.2407985749973705e-10,8.966161146872764e-13,3.1383784460103925e-12,1.9666934747419873e-11,6.161788834724291e-08,6.021387499721698e-09,2.3148177707987827e-08,5.518998369424821e-09
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.639159300560806e-05,3.574526565708336e-05,1.717989660199315e-05,1.9814371832183042e-07,4.022485493027084e-06,2.3371474466848952e-07,3.549415729109384e-07,1.0027475960683319e-08,8.904188719682793e-09,5.503401090400928e-08,2.033779722410145e-08,1.1879137673531659e-08,1.1389160503583184e-08,2.2294130985756055e-09,2.320355019236331e-10,4.619515436843358e-09,1.2815037919722272e-10,2.0528911903738845e-11,1.244678249356923e-09,1.5192291868970642e-12,2.773115070908716e-11,2.001463439427198e-10,7.347937204249533e-07,4.886586912888902e-08,2.5771526745987927e-07,6.799043039684705e-08
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8005188990591305,3.3651073470148667,0.13397359053305036,0.26585198305509555,0.0263059390846212,0.02740538987011798,0.0022153985325625847,0.0067844609171188175,0.002992561015624756,0.0017877457467621038,0.00019803710553634168,0.00048820390923562385,0.000125953333943718,1.8268727123071926e-05,0.00013749510422719768,9.814188695944637e-06,2.63607399753063e-06,2.6666288791388215e-05,2.4895581560713254e-06,5.879165098088279e-07,2.7251210570344853e-06,0.02727670703950255,0.007392786060832907,0.005526085459393107,0.0011567054844526803
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356224086210754,0.02650993560586179,0.06399297731858059,0.026506917153767073,0.025799941153580433,0.0008217778801938858,0.029525343281469385,0.0028321175430376794,0.0009414584205827969,0.00040682189574647865,0.0003213821127641264,7.166051627205405e-05,6.244027165602795e-05,9.052697660365261e-05,5.546470048356511e-06,9.452296917178415e-06,1.0460382143737124e-05,2.5006665160809405e-06,5.565542874341745e-07,1.4068072079487237e-06,0.00747404853173822,0.004139811838005977,0.0012061617209044029,0.0002445961888524195
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8514526027673823,2.6851347183166814,0.09852117555302176,0.1701838870409148,0.025944534676726305,0.00676397515214322,0.019578994413186987,0.013627884941125767,0.0004437437224820151,0.003201005528863571,0.0005365461094389845,7.218268887232426e-05,0.000590364618519898,4.52005467289629e-05,1.4324965206591322e-05,0.00015005451166685835,1.6738413900929672e-05,2.6315401335796906e-06,1.5635468629260352e-05,0.18294795045558285,0.06307655684789215,0.02567045425605257,0.004905960442943003
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09475900323021436,0.012459830782352022,0.012817031627580522,0.0007225351475392827,0.0002593732183981956,0.0005813672826093796,0.00024075562487024804,2.8929693252077726e-06,0.00014694107778634447,3.769620525639894e-05,4.699283277398436e-06,1.6481868220563634e-05,1.3552933497695818e-06,7.248097029233236e-07,3.265575397204401e-06,2.3676815197326562e-07,1.1369324526278035e-07,8.561830662223713e-07,0.03826659145809519,0.09647322856314922,0.006306131264261938,0.00020426319121602532
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9066673382286705,2.7784586851292543,0.09741876275685879,0.10021736762733502,0.15217329459195447,0.0069917998458901565,0.007426697320279008,0.03353305411549164,0.0008833213363210746,0.0007803227296792059,0.006668628673551474,7.719211307766205e-05,7.439687361932013e-05,0.0018954571550922061,3.568053448210762e-05,4.407720301047302e-05,0.000304625735805919,2.3794185615548757,0.27701990089493145,0.21831469638065865,0.05293192948503289
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09327943973854158,0.005526598866444354,0.0059766756540164945,0.02454761539356476,0.000982964684836718,0.0006725607863506955,0.0028189087128052126,5.3055508683730324e-05,2.574510578101652e-05,0.001204892947475944,2.021735098667321e-05,2.4806610846139776e-05,0.0003682291900480861,5.188155762780866e-06,1.032958929192418e-05,6.0913187424960213e-05,0.12101556923991685,0.033194319391770866,0.011123439370518629,0.00030104666855645945
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8796685551849999,1.656990500594913,2.69915611288561,0.08049692693098165,0.08214487549308414,0.18136528540348607,0.010664314487757731,0.00980551764087556,0.03559082828937847,0.0008101565914455655,0.0008939653438140294,0.007058717689487501,0.0001350784053236742,0.00014354080519518586,0.0008890951889516385,0.1820172472479315,0.0428130927474681,0.032380576163039874,0.0025128333863991825
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02580767549867269,0.08221940281524853,0.03362602358428979,0.004634787857070499,0.010217113310806769,0.004754682799344545,0.00020257314273841587,0.0010226687942894719,0.00033431924238835897,2.980868004764936e-05,9.793101518695835e-05,2.1356738905797812e-05,1.592832807939537e-05,2.3293255082101894e-05,0.006554754067577662,0.0010495026650186867,0.01365883694210912,0.0003760792759504028
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08553804732019854,0.0047569176508741595,0.033479391157530625,0.009443897177338068,0.00020019224668921254,0.0041526183386388915,0.0010099498955368214,2.9015363319562226e-05,0.0003592185393939129,0.00010560556505767593,1.534214030285419e-05,2.115312155415161e-05,2.0147611319742964e-05,0.02585056560512844,0.004247991940141693,0.003803131833039153,0.0002765926573495836
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9042771569781562,1.6667766983561,2.8302708823680733,0.07748698404779897,0.08175045051136387,0.19203062718996725,0.007307563249958515,0.008498917363670033,0.0396519616382902,0.0014952860591541661,0.0014866749582185257,0.003630959207462592,0.02309705043891594,0.0042462068282232285,0.006003007126515393,0.00033811358857771534
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023549023223762067,0.07992808576116683,0.0331261445923241,0.004751963584178176,0.00864251636312674,0.0032739560736894102,0.0001532401610191414,0.0007697413682777876,0.0006498776635497361,2.78967280809006e-05,6.721131026443672e-05,0.0007241356194500614,4.344672193012933e-05,0.0003543260799714343,7.987127736530653e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868578612152312,0.004620111259097115,0.032929004271952556,0.009707135656619625,0.00014215535025918768,0.003996832410743556,0.0008103107941646037,2.540009992313408e-05,0.0006425289929352651,5.264038841823471e-05,0.011200468632436511,0.0010900171978341922,0.00444523514477746,9.897635463218535e-05
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8969498917755376,1.671100277060672,2.763412884211614,0.08252831673189664,0.08205640988751339,0.16318523775554722,0.01222938209445712,0.011840769258300465,0.023173068715228062,0.0033124562130168456,0.0006936535848941217,0.0005324227788111452,3.154361207435841e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022920640817354343,0.09006500511329829,0.03423009967889845,0.005040702032933719,0.008335036309796484,0.006876256608780107,0.00016713043067384525,0.0006285539047028443,7.194169536561823e-05,1.3350027077696502e-05,3.073767588201992e-05,2.4304525865215254e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09453250625022536,0.005511501038210742,0.03440977291692304,0.007367655927606354,0.0001593119601352999,0.0062903966307663595,0.0005026237294818436,0.0008602525811811645,0.0002289203890099012,0.00013495716637379473,1.3489495618079772e-05
