,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23S,24C,25H,26H,27H,28C,29O,30O,31H
1N,0.0,1.0218123686998657,1.0197828035400482,1.453869156484398,2.0794323806668684,2.4544176989747686,3.4073709107083743,2.603079274055055,3.2816361985863267,3.7995941229054804,2.5011107486213295,2.7780527341768937,3.7468365238359604,4.037492190327201,4.945754063435378,5.04618889822383,6.185338181058036,6.142873193367527,6.419194418047864,7.487485720101433,7.804905236638831,7.5332264239292215,8.898962985431254,10.260189949897745,11.168356544940286,10.415900387393336,10.244541862773717,5.334607245419603,5.210250816970294,6.314150488500197,6.720480939344273
2H,0.0,0.0,1.616791894340319,2.015774418854003,2.9156439460035894,2.5887200195872886,3.63833512272352,2.800210661800391,2.7751143765610573,3.358064777787212,2.7794361291102527,2.881801292152506,4.034199611384136,4.33947416000661,5.105781680326499,5.262850080953426,6.438548127224416,6.5622037924273835,6.604857288871044,7.6913062377829915,7.868863664546595,7.784654540016942,9.18872196058741,10.485229041828969,11.427536527215972,10.535640633407603,10.503625300997273,5.193720895460676,4.908644337664639,6.1307024268867405,6.396033513309802
3H,0.0,0.0,0.0,2.019329278195829,2.4550942600878254,3.3271620728784903,4.183951838424715,3.583596512326188,4.101705830180081,4.401362997887855,2.5487765893126797,2.436717250487683,3.878082934254613,4.380650920932615,4.911761416202647,4.788192397948055,6.220473230424729,6.151828522069743,6.620268841681133,7.405734057985012,7.749579151123535,7.303777764142168,8.886241081516232,10.142153251850317,11.078315878083902,10.322766797135031,10.019100189396832,5.3766130412235595,5.450964514507908,6.195808483776041,6.65974071593502
4C,0.0,0.0,0.0,0.0,1.102445565861338,1.5414590493606148,2.1994750824390152,2.1433438827929088,2.8655128983683067,3.087228569300106,1.5493246947469455,2.430924985008841,2.488972125429031,2.625342265857297,3.8424192403165307,4.139160303282717,4.9166755376287785,4.837867474112306,5.073824507297066,6.310617414636531,6.688920534483844,6.471727677653274,7.607304544927582,9.063703966285505,9.926403905858301,9.254095968123162,9.13039623782465,4.412106452072816,4.323371304973037,5.54235076491904,6.037515252507768
5H,0.0,0.0,0.0,0.0,0.0,2.130257091217761,2.432057473191,2.4609461418538685,3.79244451254649,4.015937627375549,2.136174376570971,3.057637159903287,2.7458578419821515,2.7621786590774593,4.142147546858367,4.377085583483514,4.983354184631924,4.660412023090732,5.191182938919058,6.403943918367815,6.944901185930537,6.5229833654811324,7.528785016317006,9.061047992762095,9.859556529836228,9.377592394480747,9.10165498090048,5.018789020718717,5.076901850166335,6.140982351543638,6.748246623849215
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0949670767753896,1.0934044035261787,1.843615323220633,2.417865921568794,2.581909720795989,3.5872641855659513,3.0220700218961123,2.6808432723142053,4.360076479660834,4.971740713187348,5.224331330067317,5.256753812200352,5.049041316773232,6.693810509146944,6.968647116086285,7.087355610488242,7.843562196560353,9.394857788840248,10.201067369795394,9.509718347693447,9.633873397226623,4.662375769626905,4.2065336913860385,5.939200558164104,6.286784716413047
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7599482579475842,2.437531950887462,2.657310469105513,2.895640277322309,4.057713855193188,2.81807144385346,2.1406228762867205,4.119225643786037,4.880073261008365,4.679909024861058,4.656183872269956,4.357619314107614,6.189402363669775,6.518591381676352,6.696654442368158,7.145690113920555,8.781778772235066,9.517141068379,8.93574588354687,9.104570926251482,4.548095750220987,4.119044027692454,5.883849425996679,6.282039610327972
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.370755350233151,3.313357423692862,3.5005806789375353,4.434878278202492,4.035247868113337,3.654281184699698,5.415996414498792,5.9825421843096125,6.231920602625982,6.170007156997904,6.0355529469769955,7.7243079962568055,8.037308016157986,8.106601899333912,8.801119333919294,10.399370825555438,11.175053435126511,10.548880550942824,10.640344114910421,5.753092077115115,5.265007729848821,7.021518645674762,7.352143618946979
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3527475760250696,3.348706402419927,3.99419191546868,3.812663202563667,3.6075960183977425,4.780820255275471,5.460207394133774,5.785877615252664,6.144892380602269,5.4895121760589385,7.095767630175213,7.085862684062658,7.567975431207747,8.387844545758815,9.777406434221977,10.637931871637885,9.684266209473938,10.078638230773358,4.465180233120859,3.6288625952056863,5.641226471797839,5.699083238904324
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9096272437964554,3.4887803562444,3.0620049080030904,2.958729177439039,3.722734492666053,4.478366675082727,4.723981594713763,5.254038196283218,4.425714324710798,5.923608324652996,5.816622071402603,6.432646695159089,7.275999222235654,8.570411321396625,9.455229562976635,8.414866736882518,8.885319060516249,3.191419071390876,2.2820791651231627,4.365505369984135,4.4061831269848595
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.224356485467301,1.3748980995110158,2.0620536670852663,2.4470663598147118,2.6404100574014677,3.73820440919186,3.8312315894795597,4.090653996986347,4.992157146002664,5.317876015837487,5.075811136323337,6.464471828187586,7.772873914877332,8.698983519464065,7.915451379187084,7.781940790101417,3.0604556742286606,3.2719688061574366,4.086416430024159,4.672254117463126
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2674202108406454,3.1496694564166448,2.7508278618408126,2.53222566719938,4.230391298826459,4.4344049471295,4.762089731495692,5.215367379663014,5.438192999403447,5.0996470665007125,6.862236171022911,7.946928084700681,8.941604426439326,8.029351756332,7.825457579488443,3.115483386211734,3.503253362717915,3.7982157382727078,4.353209405955578
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111749009836235,1.4518498103326138,2.0689717014034428,2.4472581541978813,2.5684103030499115,2.744585689368733,3.829473015149974,4.236454382727765,4.088481697186298,5.178148299951132,6.590147949024184,7.469902990025525,6.767362773430809,6.703495145199232,2.4488975880246837,2.815558801823255,3.5961111526415657,4.2886392071496875
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.113089035232862,2.9408126269410104,2.5841189573358583,2.6150892685459834,2.505648796644542,4.096901128729083,4.522663740425842,4.559161693979159,5.176834626239621,6.7488345614046565,7.539892670903103,6.944632581649341,7.000720593365343,2.955276929132017,3.037630987749054,4.2165432034144015,4.829164202254128
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0933261475736056,1.5458746526357539,2.138660685649275,2.1715181441674636,2.5866215900172955,2.882176821170886,2.8162541280848137,4.191458736799953,5.380265624360819,6.337789620994095,5.470941363638239,5.457204023989547,1.5339503852610088,2.4431190551795123,2.3905867119274116,3.225890545730779
