 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,S23,C24,H25,H26,H27,C28,O29,O30,H31
N1,0.0,1.8720002522961647,1.8152032770329802,2.7467259811371956,0.09520486726073363,0.18362223606433642,0.02550688789069,0.017032019339517257,0.04260806225332208,0.0007417683238484241,0.2322196177267722,0.04629768311312068,0.03497911486866895,0.001962480050697213,0.007561769585922404,0.00020636523622097336,0.0014450304980864054,7.774390968529055e-05,1.2754084593114001e-05,0.00041110074199182667,4.351907554545065e-06,8.713797633341791e-06,0.00015749015907374694,3.6137115275704235e-05,8.74686409801928e-06,9.098073439073318e-07,4.0765045272728173e-07,0.0005235251784587447,0.00013499178275790114,0.00010748718798391649,2.441627290805659e-05
H2,0.0,0.0,0.028153349829771468,0.10606557893005941,0.0360579461317827,0.015809184477782456,0.0012523245149362872,0.0005197125094029698,0.05918361041450748,0.00023192800986726603,0.006623260226254812,0.005891624391162198,0.0009714052737577195,0.00019655452288569464,0.0002159587692688314,1.1753322435748004e-05,2.6904389885618052e-05,2.82598132628209e-06,2.0285903239436465e-06,4.1992660196887854e-06,6.294160392883441e-08,4.3499064283913924e-07,1.7216221829263745e-06,4.762854575179887e-07,8.088241165715715e-08,1.6763568755351343e-08,2.302397161813019e-09,3.950506328009862e-05,1.7031902737163485e-05,6.152461807129583e-06,9.840420853723941e-07
H3,0.0,0.0,0.0,0.11137004427110908,0.003322100499417724,0.03552844490304896,0.002649858220683532,0.001130954670242712,0.001750208556270838,3.6648960431096e-05,0.020059177506040027,0.04290899350736266,0.0033810642888292275,3.5656836318453955e-05,0.00044719947837623675,3.577118602926532e-05,7.114731350521541e-05,5.179120541543014e-06,7.6443212384536e-06,1.3548327624235412e-05,6.386989397366705e-07,5.630309876103468e-07,4.558673064480878e-06,1.0767787280707708e-06,2.340346305640395e-07,3.7294209498384134e-08,2.1522462922973773e-08,5.24994302946169e-05,4.0562332924265476e-05,6.234485556033675e-06,7.489218196710112e-07
C4,0.0,0.0,0.0,0.0,1.8779371310577966,2.7195304616494584,0.08765623638864972,0.09216788507382034,0.1845497689599363,0.004425528956045088,2.644346215477146,0.2797336904451904,0.20751418971552982,0.009603242555580427,0.03398415142272351,0.0025265928865000342,0.0043615182294377275,0.00020606331730532723,7.470041394719296e-05,0.0014698257029538975,2.061999780811341e-05,2.5381559758397287e-05,0.00034745241859378273,8.07294192102237e-05,2.2394714913609448e-05,2.0866652281625875e-06,1.3027241063667816e-06,0.004292424432070202,0.0010051775273934027,0.0007932473091925574,9.857942113233875e-05
H5,0.0,0.0,0.0,0.0,0.0,0.09119128754731254,0.005479903942329667,0.0044422055080681755,0.043680999724983294,9.606754080349056e-05,0.10805764960513331,0.030284405719999796,0.010864733691996364,0.0005314311910822322,0.0012443044289616179,6.964974137990687e-05,9.625708766347607e-05,1.5795207539470724e-05,1.024100839219777e-05,2.1634045473506447e-05,1.6624536196552242e-06,3.205142539597361e-06,5.725642320819624e-06,1.118673678801585e-06,3.1847689774266996e-07,4.6437184986203306e-08,7.633628218428612e-08,0.000842977393993527,7.264845538990095e-05,9.690834586706387e-05,1.9816683485940345e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.681768850997233,2.0582596102056567,2.728946090295431,0.05107207067839248,0.16273708180317878,0.03959245619308886,0.030336373606385955,0.02092786293611093,0.0035538319090537007,0.0011478057068585734,0.0003782430631398548,2.3850870710218075e-05,2.651181887303178e-05,6.826918350856526e-05,2.7640803705875072e-06,1.1140396962261434e-05,1.8190558504188603e-05,3.4181837928609626e-06,7.880192904874406e-07,7.428762183181448e-08,1.3400391329909667e-07,0.000973274286025616,0.0016279690940482067,0.0001690439913191455,2.927914044537072e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02680067775542283,0.08888978098148814,0.005010231500274909,0.003962566940221235,0.0005642321437443476,0.00725790369431345,0.018812116457881167,0.001031940405070042,0.00034374411816173733,6.068403964643032e-05,2.3755247779977395e-06,1.0715236823166663e-05,1.2338387414656538e-05,8.526527339736134e-07,3.834035120720003e-06,1.880913167662257e-06,1.5242034945295302e-07,1.342975441964711e-08,6.649865325059068e-09,1.6113832934649963e-08,4.2698208042146746e-05,8.47790534381776e-05,2.5725599753556594e-05,4.170244692902614e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08648705316129512,0.024299545214706786,0.02928459857659127,0.0043381688568526755,0.004396829169042826,0.0010948992621000464,0.0003902046051098562,0.00034929011187756487,5.3734940596461556e-05,8.135583660084933e-07,4.805820028375152e-06,1.002709374897659e-05,1.2486006379930359e-06,1.0962340690756633e-06,1.1951646522456727e-06,3.92174988039784e-07,5.826050686330575e-08,1.783446013092771e-08,2.0917102938611265e-08,0.0002364605841702616,0.0005403032086840343,2.5039631617596037e-05,3.960462847896196e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083477492102271,0.027274895009500408,0.005391136354896249,0.007375764792518336,0.0014566424948067036,0.0008952555914010507,0.00015906772801133062,0.00021985661073097018,3.633462946905919e-05,1.2468249974584289e-05,2.381138678553274e-05,1.5663849826097476e-06,3.2613324425501133e-06,1.1212439165967508e-05,2.702572900664668e-06,4.488119855761141e-07,4.822811117133341e-08,1.0493987001591876e-07,0.006602362072933299,0.033029406263624966,0.00258161124785921,0.00019083290472909908
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005826929061188313,0.0006855016873907882,0.003321896211705422,0.00014454863176927013,0.00039128001907284826,9.970666905734227e-05,0.00012722142847421125,7.992050539806783e-06,7.345026251659448e-06,9.598370189101146e-06,1.2995225588952053e-06,1.4894999891268412e-06,4.373496362841678e-06,1.0024251817508656e-06,1.0306192854692142e-07,2.2653334319500118e-08,2.1737065036830927e-08,0.00816797260732427,0.06614307263983998,0.0029397699967745883,4.5985915363866425e-05
