 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,S23,C24,H25,H26,H27,C28,O29,O30,H31
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.938121055715226,3.2752755835270166,0.13149143519259876,0.26204870640675726,0.017213606853486274,0.03206186799464564,0.0015576207745129356,0.0007603383573033806,0.005717733420267018,0.00020362218641500895,0.00019433133342161568,0.0014608304313223908,0.0003696200341235245,8.207899332046686e-05,8.53665167466211e-06,4.695107014285327e-06,0.04335889620868019,0.009485036981640563,0.006465127718031094,0.0008887759912356019
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5315614015791867,0.028392263412772345,0.07572313146424521,0.029260486953570863,0.010627772911089087,0.001017840688025906,0.0008939238245382342,0.0013970758092573393,0.00010228661456102017,0.00017054303825414507,0.00021753599579876076,4.5377635954538253e-05,8.958608891607156e-06,2.563934472177287e-06,2.092941733811138e-06,0.02799372707314693,0.005158505219844053,0.0033667841581518365,0.000585025584033172
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.865600781251227,2.8716172117573535,0.09951323390636846,0.1876299753364296,0.016531061466796615,0.006239892167955174,0.02984808787737983,0.0005996256433089542,0.00088526888590712,0.006070384573032633,0.001357953876224588,0.0002964838115026014,3.579487589799868e-05,2.5662269481196986e-05,0.19555314285411585,0.03368203823440723,0.02813466180179712,0.005054285990772289
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09665939197434303,0.026959724700953425,0.0176950012528434,0.0016422771480486542,0.005757365622117483,0.0015748985905931212,0.00017851309284133698,0.0006092039146712303,0.00017393430875911609,4.978929226140405e-05,7.507324051081454e-06,1.0430183092768885e-06,4.225906605537233e-06,0.004550284135603877,0.003818319733168263,0.0010421604449087907,0.00039496988007203804
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9534490573093124,2.3604177440124965,0.09667093952622774,0.08586234645209845,0.15999265931487475,0.005260204621735598,0.008997864304437275,0.04102999149104351,0.00696049783664579,0.0011797287740049622,0.00010348369712342986,9.934807468714446e-05,2.545397852067595,0.26864606848283223,0.21116989745059442,0.05472508917220753
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08244298091323043,0.0038077105824980695,0.033213831839177255,0.009992634199736172,0.00012200441919230087,0.0045542589486020635,0.0020140534070339777,9.499789764955135e-05,4.7007786245778505e-05,8.641297694067518e-06,3.126459870039788e-05,0.10284606723977996,0.02583882168120355,0.012595297201126843,0.0007983098768762353
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7502685993686222,2.038940643235798,2.8109487582823056,0.08473093191603986,0.08166564098774054,0.19569755964613955,0.03318156905187458,0.004218127026288876,0.0007942499968744965,0.0007911532801008203,0.1957295358686019,0.04004310081766277,0.022208299899792228,0.002091238881641422
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022709611011485276,0.08474183984697525,0.03442527078419855,0.004570418468597959,0.020494879208099337,0.001651690990132404,8.968388950303385e-05,0.0005046911074375604,1.852671052859911e-05,0.03002414758381189,0.005560267759565529,0.0027453232269299965,0.0010087772924320948
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07948563788742535,0.005216954450802946,0.03407563426400961,0.016547171347781164,0.0012097799408532506,8.246548596768655e-05,1.7014382462487987e-05,0.000419520465014811,0.011654991200599873,0.0040306769989369995,0.0011615071720537662,0.0001131066528199387
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.720492829105462,2.034255002732755,2.4127131050008304,0.1207620371605953,0.027413546323962423,0.008847166819293983,0.008547261541957507,0.014151283998096731,0.00312620936587564,0.019565617618086006,0.0008536670752482545
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023560062825739303,0.0930265180610349,0.008334244598000362,0.0004021817654811244,0.004261525583161507,0.0008579618367527964,0.00671853770722497,0.0007743392809098637,0.02194714006392584,0.000637440999871064
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09427482621700589,0.0073894129274980624,0.00029683634074118004,0.0008940880856300737,0.00394845826278134,0.0008256704273705839,0.0001923958738434539,0.0007107571509212818,3.68280697617962e-05
S23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.774083480701019,0.093092805109113,0.09686184060107572,0.0942166484915401,0.0046070295530382666,0.0012298761843327899,0.0036970277829940293,0.0003982590428897037
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705306854152532,1.8134799395829826,2.117071737086975,0.00048124727545653667,0.00016899777241341507,0.00020529865599069885,1.1417756744069862e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025375279299562292,0.025321857126941794,4.8703996872401234e-05,2.0687558117349347e-05,1.1854010144030092e-05,2.3645937210492463e-06
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023682826370291732,4.3930393857083416e-05,6.428681139758474e-06,7.806112005281918e-05,6.651111844835356e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1238296827430503e-05,5.7006579210483466e-06,6.7435426700512835e-06,1.1349279844807825e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.028735738044079,3.3877415408828426,0.17058124978207323
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121453562966343,0.06563780835555555
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6125587888289796
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
