 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,H24,C25,H26,C27,H28,C29,O30,H31,C32,O33,O34,H35
N1,0.0,1.8178755387647334,1.927387487911834,2.94873787497367,0.09902778426053005,0.19390909337203066,0.026622873827143345,0.014522417730807757,0.03539021498449137,0.0012386135241091445,0.2015489741009843,0.041293395650454576,0.04948932148557213,0.06702949131296676,0.006234659413171376,0.0014407277919634698,0.0005731921917841859,9.460232645253086e-05,0.00017215204710774312,0.00018296227426220502,3.613940613679534e-05,1.7732076666998609e-06,0.0003890356008650758,0.00020506495941152725,4.987731430049214e-05,1.265207033585014e-07,0.00011241471419734528,1.8351602826260915e-06,1.3366149494972723e-05,2.1632431063539626e-06,5.225955368448609e-08,0.001022422591777955,0.0006280555823282158,0.0002136008128502398,1.544210943471569e-05
H2,0.0,0.0,0.027877239396149722,0.10805389823514389,0.007081799654754306,0.03271025592402399,0.002072717247593614,0.0007297651684692319,0.002115464821525248,0.00011072885000973365,0.004197793153704055,0.0011254571226826382,0.008322388654065094,0.013522825705116093,0.0010825106035202703,0.00011552924793312158,0.0003645249741629497,9.051719972608119e-05,9.235218370706733e-06,1.6544767715620523e-05,6.0528733452080985e-06,2.1046707132654774e-07,5.361503991740957e-05,2.7587945092166777e-05,8.785803503608136e-07,6.196951174430865e-09,2.6572204944175226e-06,2.6337505509843595e-07,4.9093171240466305e-06,1.2967230889060488e-06,5.185215368186391e-09,0.00011502014819053663,0.0002098104735113182,3.5225933383231656e-05,3.7687752854065337e-06
H3,0.0,0.0,0.0,0.10432468801659411,0.035218482504951076,0.008405480438209434,0.0003425779058257028,0.0001808068424795639,0.03752347225770902,0.00028500252754692923,0.007519653312475616,0.0012876772670001868,0.008860415023380863,0.004020440349073118,0.0008341941112968154,0.0004967282472578827,0.00013844313915145623,6.449089775539818e-06,9.92573064029223e-06,0.00022378359733010722,6.976174703765547e-05,4.891215036550989e-06,0.001333531483958983,0.0006914074759398758,0.0001670593771910811,5.967955041263906e-08,0.00039196819726405874,1.897009098250635e-06,2.4700363569163386e-05,1.7669694487576493e-06,1.3225230688362899e-08,0.00010182506995826124,4.2909401906543465e-05,3.891578142112273e-05,6.483778260069073e-06
C4,0.0,0.0,0.0,0.0,1.957621197750961,2.6793999727029147,0.0924174260350743,0.09185138446669616,0.17642405832656988,0.0032113929115997752,2.602390296789464,0.2890477919166823,0.2234404745725382,0.013057798381763353,0.03694276776291505,0.003538321658118515,0.0032578350003747425,0.0006993548063927157,0.0009360164243825686,0.00025343115676970673,7.741238507807946e-05,8.267666800509943e-06,0.0004059889854265697,0.0004899359565517791,3.0302682946348192e-05,6.234561751305989e-07,6.208588041492491e-05,3.5489044887260235e-06,2.2990152661744867e-05,5.6782530130500275e-06,2.0199596906245176e-07,0.004468599340022694,0.00030593794121706874,0.0012972453606900358,0.0002598384953281796
H5,0.0,0.0,0.0,0.0,0.0,0.09308793478632504,0.005182857415509501,0.0046352760497456735,0.04243408672639304,6.065226762830278e-05,0.10476939428116538,0.02171900606283872,0.019078313760181653,0.0005612990129457707,0.001708874353338774,0.00014309670435097566,0.0006508628266146399,4.531100886406847e-05,0.00012700039856561318,5.009922417065216e-05,1.641858838208332e-05,1.0686790914427036e-06,0.00012838385546076747,0.00012051941131030475,1.1049767865589644e-05,7.318135852862895e-08,3.096593957918614e-05,2.632531570512242e-08,9.531229303361144e-06,2.328173363430608e-06,9.38323159171972e-08,0.00045088654106129056,2.337692602694119e-05,0.00011601516268266998,3.865224036880832e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9910107636069876,1.9496925176686815,2.7065665238178735,0.05037520948191698,0.1828493912120339,0.04969996846094117,0.031046893229210032,0.0024860295564463897,0.00477368116569063,0.00045680634614897464,0.0010572005171542165,0.00018622312956118048,8.734985749103696e-05,0.00016491163266885156,5.003917048415629e-05,7.970364894083204e-06,0.0008902574469171615,0.001340487145898961,1.4877997787821062e-05,2.9020833147708203e-07,0.00010993246832417813,1.4311165866809361e-05,2.564978359953507e-05,6.110656419047733e-06,4.0861333205910455e-07,0.0006384906076384311,9.759066515647313e-05,0.0002052455560969807,3.888457243617083e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027960870236286794,0.08656382856287426,0.008391041399715249,0.009599510628033103,0.02112453005232262,0.0018039882006002372,4.3670568202314186e-05,0.00015870535077855408,2.0411400259989776e-05,2.2789405707768218e-05,3.6311436131253316e-06,8.804627743996818e-06,1.0120596135809734e-05,3.197217695816157e-06,6.225182549446373e-07,8.611300236927022e-05,0.00019504065361064526,6.654780290160645e-07,3.9354023373405767e-08,8.282658879865679e-06,6.194783884971855e-06,1.3461816956716888e-06,3.1506418030069483e-07,4.958718502479087e-08,2.052758120063558e-05,1.8768314160588773e-05,2.2712927468804267e-06,4.829608017953291e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863768366014388,0.02167017321829623,0.02719779635670383,0.004709228288875211,0.0036958146319194807,0.00017359694894958366,0.0009971514140195703,4.858279551900324e-05,7.116933991202501e-05,2.8487296003465445e-05,3.376068758020878e-05,1.314487318127e-05,3.325505132933948e-06,6.463436474923867e-07,9.513295195340277e-05,0.00029767667571101164,6.801171203996148e-07,5.2617140644528604e-08,9.557930509385137e-06,1.2096282087092902e-06,2.4433614864705078e-06,5.168373016228855e-07,3.533115622289529e-08,0.00016105990194859032,6.441309590154987e-06,4.8387170510033606e-05,1.4700837635439612e-05
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6979770336031474,0.03223340660919724,0.015326272089793896,0.004243193849414517,0.00012473107889232615,0.0005854085143459087,8.04300619570153e-05,0.00041453435400200245,2.4764257356202357e-05,0.0003396019271146855,0.0012454452998022364,0.00039290403214834596,7.356820813797516e-05,0.010550468248816502,0.024399244558126254,7.786582180131785e-05,3.6798641318558367e-06,0.000995854914707342,0.00020161697267162548,0.0002257324689971668,5.857206472716786e-05,3.4211539244877187e-06,0.00012331882130932337,1.2864602828972088e-05,3.384431048435166e-05,8.371987055943997e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006724937528679309,0.010141563786556285,0.0015399708238597043,5.717735053867301e-06,0.0001200350627619251,2.559246861100206e-05,0.00018115684566621937,2.835688986735363e-05,0.0003147579905806719,0.0001311227987081942,4.7569790596835304e-05,4.708013661813837e-06,0.0006836952925166617,0.0009552618421100334,4.972070104747317e-06,1.4412980482436666e-06,0.00010702502109394274,1.0557369408470407e-05,3.594245666116436e-05,1.0946199580086358e-05,3.6185092278095965e-07,1.942130557974764e-05,6.529612919470296e-06,4.938159445577739e-06,1.0577692992619347e-06
