,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24H,25C,26H,27C,28H,29C,30O,31H,32C,33O,34O,35H
1N,0.0,1.016395858791825,1.0179719359481088,1.4580218954754787,2.067693033551736,2.458876983553187,3.3980869336340693,2.6339003319186105,3.2668547409904054,3.9334649310221366,2.580940244877292,3.698353829056895,2.8493478245039334,2.438458630674002,4.290376870943512,4.815650899170406,5.108505319804683,6.138225038610488,5.0445681061826235,5.190843085746569,6.267009868799555,6.9242496215920815,4.637379844091466,4.023929592773192,6.791560454228326,7.745213245862202,5.311795851436184,5.302819718256608,6.3689528578111885,7.3042846224822675,7.15752677103803,4.8785945242394675,4.53181280683328,6.212467359102647,6.666838766932366
2H,0.0,0.0,1.6591688496684507,2.075312797264961,2.345699829143074,3.3584491104527503,4.192073316299543,3.5310211254025656,4.240787079519705,4.78736489652259,2.8933679367626643,4.082123112381364,2.8118895216001034,2.159793600148034,4.1661704181865575,4.71357882706693,5.190186117502405,6.1552477282551505,5.3218780313697085,5.272651392634026,6.1979910028548595,6.7648205149150415,4.905076805230835,4.485548492248995,6.724745306208569,7.600204333858395,5.545122102100005,5.656888490102594,6.431363551284035,7.35128304361368,7.293862167006445,4.451998102345919,3.911103991967988,5.792361654783608,6.127980546782044
3H,0.0,0.0,0.0,2.059322607112387,2.935746725661911,2.757552914026366,3.7625101032220485,3.037177959804531,2.9299596690983507,3.6257490435734345,2.814326687263653,3.922966109885212,2.8562454369941626,2.39295470693361,4.21439657809443,4.910421040580005,4.760716115262273,5.83498269391316,4.710920795697782,4.589657843794125,5.647919497383325,6.415310935282655,3.8460504257897865,3.2515588117973464,6.043072856909237,7.016009025135277,4.390143367808143,4.30835061821504,5.492495831510761,6.38358731367478,6.188674069216557,4.8192724976201236,4.50065294326999,6.139086852895467,6.600607562800333
4C,0.0,0.0,0.0,0.0,1.1005825145758372,1.5358500511594952,2.1696207439816884,2.152831338594342,2.8475707278407416,3.16274627744388,1.5499604640047882,2.4286792462514284,2.4683920314798176,2.6035534318062545,3.8386290078749226,4.077440202518381,4.675112456453322,5.64161604369489,4.393311831092448,5.142626450142805,6.374941818925562,6.9281113413797515,4.770199763600748,4.008396280937776,7.139151567538267,8.139385067029759,5.740329127120755,5.843779273934719,6.863881408500329,7.956864648521582,7.87618490384695,4.769989966419959,4.753416358038757,6.002525899015826,6.615781437789519
5H,0.0,0.0,0.0,0.0,0.0,2.1218230866087,2.4258436523630156,2.453638370846952,3.7784936225033405,4.060261668851275,2.121101394396719,2.7775455415844608,3.037994280941691,3.1662922258082236,4.304796661264355,4.3398399257596525,5.3652023662755495,6.2390767366799285,5.12738396304064,5.990073411957529,7.171640115922362,7.619612887996169,5.762986814452243,5.05415741140465,8.00225532628363,8.964903402577349,6.759080333094713,6.902859722314677,7.820447683436014,8.922074138130991,8.876396242730902,5.11092941800738,5.046732751749874,6.297699155355578,6.866096667119004
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.090348072456657,1.09224108130742,1.8482023312979587,2.3989493707219767,2.518524418090064,2.857318457547104,3.6590174080366977,3.9303968768505357,4.907047550325748,5.0775994560246245,5.401924980337585,6.375076261062892,4.8408622019791645,5.829565370526565,7.166781956594173,7.811721718416108,5.230153390342641,4.258627922751974,7.871962012222726,8.927983606304041,6.147283553066611,6.054570145391663,7.426985153331545,8.47090425105224,8.260512758410783,6.048800880301997,6.153089683213506,7.220244225227487,7.916385030837839
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7824046248528391,2.423225801097012,2.503710955455453,2.724059436182398,2.586034418900176,4.039808209882509,4.52069345033108,5.105342199966517,5.051925852068023,5.580806871842359,6.4487711981762645,4.89299542683661,6.2385008200413665,7.611520468528135,8.166155760618032,5.789195067746019,4.804483040735941,8.44374539237597,9.502069450434389,6.834500665594533,6.817634487514472,8.104250153358564,9.218759472560507,9.05622741558403,6.366532529614699,6.6291844355880025,7.427734354490364,8.191734720274631
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.384707065909272,3.28087268231389,3.4638973670378674,3.891342597308185,4.519070651243776,4.617045589941313,5.851189910935928,6.052918806930732,6.41318346389088,7.409903548218923,5.899319983988479,6.7375607665417645,8.036904817735637,8.723544442768965,6.0353208147197295,5.076127745900782,8.643145008833917,9.688400451203734,6.806982059524868,6.5862416217282735,8.095565700795934,9.041215002614999,8.748399139938806,6.8784692625453925,6.837873381063588,8.10463605175317,8.740532460556306
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3501166028279026,3.2970968351557026,3.572120342516443,4.10736179015234,4.366442690967666,5.176338554410144,5.561909149752599,5.148118385177252,6.155757756841401,4.479943040748456,5.236509539171037,6.572884182791926,7.374842174590831,4.325070658580818,3.255801511768872,7.09189744903097,8.173004748457457,5.06170493092483,4.785994955157538,6.439744720063913,7.390625864119732,7.071333848725177,6.388965916220827,6.573926150785417,7.501755461625165,8.230959242413926
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9696330997008467,2.854112762253767,3.792626439172217,4.329225521196402,4.558465012390143,4.811872573513916,4.319165430275023,5.222734234214417,3.471532528472342,4.639239276493618,6.027019111181274,6.728792302475961,3.9586526090360277,2.8947535438979526,6.724733853896753,7.80682887658344,4.942017978796505,4.890276712631472,6.26587248418774,7.35496177339313,7.168213715878752,5.937024872802857,6.364963615306274,6.8917140919023465,7.714078793500961
