 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,H32,H33,C34,H35,H36,N37,H38,H39,H40,C41,O42,O43,H44
N1,0.0,1.945924808271844,1.8879059049096605,3.1012417776087626,0.08959438052169921,0.2026195963735224,0.017590993382184505,0.008819741584445318,0.03335128400427351,0.0008265397593572033,0.0036619114859051116,0.00012629164328492593,0.00039787408196567675,0.0009979311379202382,0.0050550228113027534,0.0011642533404401245,0.00011273486145779721,0.0001070577975743614,0.24085746139701028,0.04926287817165673,0.035648501298642624,0.002130452115044257,0.006292212793843399,0.0005954501641649568,0.0009990654739570753,0.00022547156444041594,0.0001018687828540088,9.90705818715576e-05,6.809741977686912e-05,4.926468178956256e-06,2.183442092081045e-05,5.898550056393503e-06,5.955126990420112e-07,5.6679431824219195e-06,7.351292723445368e-07,1.171426307067236e-07,6.871806105396283e-07,2.8195607160164116e-07,1.7438115285095535e-08,6.513792916162942e-08,0.0009177456157459241,8.455841392523977e-05,0.00026575937895914614,6.685121701188734e-05
H2,0.0,0.0,0.027065110506009127,0.1047775137178304,0.006077542394816726,0.03288282625617245,0.0010692618348457916,0.0007455723238543044,0.004998858782193194,8.605979085740678e-05,0.0002537568061455886,7.692661746050433e-06,6.357144676050197e-05,3.276669399387977e-05,0.00120225492960091,0.0002747756073531171,4.0407831809474715e-05,3.066001252416406e-05,0.009389979481953858,0.0024232176306696607,0.0007181550328546615,3.399304001039383e-05,0.00019007067266074706,3.105276802650714e-05,3.2689381037620535e-05,9.19905821095135e-06,2.485984923028539e-06,2.2078716818474398e-05,4.543225120445804e-05,1.6791208072852726e-06,5.079184549616755e-06,9.389808810489342e-07,1.0965730612433333e-07,3.806702865150058e-07,1.2330534082671818e-07,1.1360352658584816e-08,2.060523184299612e-07,1.0305896802620396e-08,2.1533601568535232e-09,2.166207591081104e-08,2.01637150163414e-05,3.0707002336427536e-06,7.850567884881698e-06,2.127342843216695e-06
H3,0.0,0.0,0.0,0.10800378390006571,0.03639261112092762,0.011607179578047022,0.0002449397400443587,0.006643771482378158,0.000833949782414356,4.674760214529172e-05,0.0010425860894432981,9.439593995574924e-06,0.0001376152204159986,0.0004388458872668366,9.022777963219042e-05,1.4745439816943318e-05,1.9982110620375693e-05,1.3846767739522647e-05,0.014773694183322306,0.033240556542124766,0.0026561188767874055,0.0006163297394292666,0.0003607297875077853,3.000725992019504e-05,4.849909565562971e-05,1.5298343019054528e-06,2.3635731701165952e-05,6.779905631026928e-06,6.704948529723254e-06,2.5745668814636247e-06,6.743553504495736e-07,4.6535330699981614e-08,1.9294336572883708e-07,1.7331006296750218e-07,1.9750342250546282e-08,3.7542291053682675e-08,2.9402628887176263e-08,1.1984278236454315e-08,5.6905589129740974e-09,3.029405171162125e-09,5.174210975444904e-05,3.0509766723918474e-05,6.023861891080173e-06,2.273336348945776e-06
C4,0.0,0.0,0.0,0.0,1.9897136464200855,2.7420540924049726,0.09591325898699266,0.08704365808776049,0.14720059151393314,0.007150973204729905,0.019382936924472766,0.0005972058404970504,0.0021150152883164797,0.0076299459385309465,0.03209899816914266,0.004602131855713232,0.000715459983761102,0.0009747300144746784,2.6745142374695585,0.270918122161407,0.22397481104995848,0.014904865608004969,0.03465052497996865,0.0030866326212626305,0.0036321891780154714,0.0006977911554022498,0.0018186636385844057,0.00034838418187491116,0.00015410196454768155,3.077416229757546e-05,6.333627830978905e-05,1.3645430809505754e-05,3.6221895998167497e-06,1.4361982236033022e-05,1.0426188075118858e-06,4.3598139398692837e-07,3.1463079889215706e-06,5.883629222713793e-07,7.414134794991867e-08,3.692682352118837e-07,0.004234414151554511,0.0004166560661570673,0.0011801920642611485,0.00024351902358388244
H5,0.0,0.0,0.0,0.0,0.0,0.07810486869456401,0.004595429032579368,0.034427918191954454,0.005449863613472328,4.28903097935418e-05,0.01032190961401036,5.471721242189531e-05,0.0007507948581457757,0.010565134207566329,0.0009282308207468892,8.128958840925016e-05,2.4856135089512676e-05,0.0001907072942644028,0.0986756533706481,0.021865930345820184,0.011969779721591634,0.009340155224250246,0.0017906255993505038,0.000268406545304245,0.00020521026607633885,1.782109112835606e-05,0.00011357415743695753,2.0945750068834812e-05,8.653043921835746e-06,3.2257953930248107e-06,2.200587592815495e-06,5.561545091126163e-08,1.494488339748301e-07,6.225435065232432e-07,1.2486942879696983e-07,6.57750727217632e-08,1.0875792777476079e-07,1.807773153394976e-08,1.692700091204813e-08,6.099274640902763e-09,8.45228056238767e-05,0.0001720422446299663,3.0116922080214437e-05,1.0747459121995817e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0046400932075303,1.9884023432395417,2.816177620695807,0.08126755600692781,0.16372595789411118,0.010079840962353481,0.030544721726730506,0.005279565320214896,0.18405680390360726,0.030550478080359378,0.009747183452437413,0.010368832305545972,0.1878635336628365,0.03832713299852225,0.028728518793943975,0.0008718699111135431,0.0039033843159428927,0.00045382989735165413,0.0008570679339433701,4.510026364568098e-05,0.00017181012343781,0.00011693497232428962,8.747191565583456e-05,5.543414034248073e-06,1.7031152929974924e-05,2.9818332438757977e-06,4.786778702303707e-07,8.226071304420768e-06,2.5585300289510116e-07,7.815859681681303e-08,1.8363689351513779e-06,7.11488066240662e-08,1.963483453604198e-08,2.0856754590070636e-07,0.0005825423866140378,7.132960597312776e-05,0.000208722578192308,6.57602446353378e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023384534151477343,0.08268794410925362,0.03630221080837659,0.009776781134489543,0.00495624421752594,0.0004820745646114677,0.0001215584403724268,0.008428121871902339,0.0004363721484166305,0.004135326892851232,0.00017998534146257406,0.030726576754396273,0.005845341030939033,0.003333972828419074,7.147251994199522e-05,0.000841937519762137,0.00010259866706352483,5.7084342786950515e-05,2.4921354309093147e-06,1.0582747764775746e-06,1.167431876869518e-05,2.78639833650729e-07,6.203212137290137e-07,2.2869737259512135e-06,1.324217731024646e-07,3.023052874695509e-08,7.239745647424911e-07,1.055378962000475e-08,4.5194123998726354e-09,2.684975466404893e-07,1.6123304025228435e-08,7.218097897165876e-09,4.987956714330721e-08,0.00015904839405522786,7.195119579472831e-06,4.73973083486845e-05,1.3123375269596949e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0864366788122568,0.0034853933313869767,0.029790153720266277,0.0005233913404230073,0.0015789967436887764,0.0003716856498285903,0.013836194818769965,0.0009699021032432142,0.00022542379736156803,0.0059170537277832835,0.011096664203261941,0.0085766415917512,0.0016656223706437157,0.0003061298439295257,0.00014487213374003716,3.1421561554667576e-05,4.231673308119355e-05,1.9201212286823477e-06,1.455284042051197e-05,7.58824408020331e-06,1.607947033743784e-06,1.5358322511538347e-06,1.1470900183052635e-06,7.004610291794222e-08,1.398224793724978e-07,1.471024970722823e-07,2.6005710251908454e-08,1.56104751347641e-08,1.9632306003103395e-08,1.1605366445621712e-08,2.060063675202173e-09,2.744853233593858e-09,2.4857196851746366e-05,6.14861659964383e-06,3.3903336393859007e-06,2.7765607546470505e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9628010711247024,2.733221347975389,0.0819161384113265,0.08711932084065577,0.08261724234505508,2.7914162418217265,0.08544663765911209,0.08219719241666978,0.08415797750602083,0.018770246039372385,0.004120257553331327,0.008908723484699357,0.0010125103909384148,0.0008855611618630022,0.00042299511364718434,0.00023660728598312586,3.271019284545318e-05,1.9518924195827125e-05,8.499309305826097e-05,6.080202315295047e-05,3.120325237970789e-06,1.5126878160298673e-05,2.714610048526467e-06,4.496781682572504e-07,1.6425374187445385e-06,2.832605164870827e-07,2.3830855067075163e-08,5.642124692589734e-07,1.696910802984064e-07,1.8744471752540903e-08,1.0083373158664699e-07,8.500449264445264e-05,6.764571906163475e-05,1.8334788028706583e-05,3.409100086448902e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08148244767072699,0.03510442425766214,0.0037993666989348807,0.004991735412089859,0.08046822537300469,0.004583455718251361,0.034461049017910916,0.004527026032964843,0.011680264096469495,0.00041317672114193904,0.007471925892664322,0.00035734043843116403,0.0006541788137999216,0.00031237220859758885,0.0001510566377393996,8.819278991323287e-06,1.1245541364113265e-05,7.423020397956392e-05,2.7315862545229663e-05,1.8319341550387946e-06,1.486719402654657e-05,2.0187713400954266e-06,2.8222773895691944e-07,1.1201144725081491e-06,1.9241825244264987e-07,1.7647758809857805e-08,4.817886010144434e-07,9.287417324088665e-08,8.662780937029879e-09,8.08077851299771e-08,0.00010031960148126906,4.615235445781796e-05,2.5107928924406053e-05,1.1311852139428424e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.061628141944924,2.1064052381346974,2.044850810002334,0.17332805542884888,0.0099278365918809,0.009098252120057104,0.03154634924151711,0.002677529159481218,0.0011489029763555036,0.004727441086497627,0.009024154251135452,0.0005120314602503895,5.0851863739431735e-05,0.0002355529663103928,3.6771666201529385e-05,4.560323963120894e-06,1.4745398140614263e-05,8.017324725440034e-06,9.86000237679363e-07,3.3598601518053384e-06,6.029120585004932e-07,1.6606470953917096e-07,9.741567723320355e-07,3.160129646850862e-08,9.000602596564988e-09,1.6306591842096818e-07,2.272507981793126e-08,2.8821934838774155e-09,3.0433122688577896e-08,0.00015980377299351645,0.0003842847106556718,4.45254330881939e-05,3.972126858986513e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023608145484599552,0.023255557555196482,0.00836332638321502,0.0001493901131217612,0.003867465530033698,0.00046710118284387647,0.0005217504641228388,0.00017959346345175486,0.00020555291788171282,0.0006645851795381574,6.344937381053128e-05,2.4913804231196934e-05,1.53454344169468e-05,3.1956875834460163e-07,1.580986808136231e-06,1.393067746047194e-06,1.1431075277457126e-06,5.978209727253159e-08,6.663173639509523e-07,2.4241311846751046e-08,3.420654159924652e-08,1.218840446348679e-07,4.17797463292402e-09,8.192648781601974e-10,4.711100798360235e-08,3.219513544649999e-09,1.1216028106275644e-09,1.294734897072658e-08,1.6621037095321256e-05,2.6558471480142565e-05,4.1707119549094784e-06,2.8086368741853107e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023991595649639486,0.011707425538900473,0.004912677608729599,0.00018141518395142775,0.0008737453602971623,0.00016597089480674398,0.0001223858797445576,0.00014274516719159358,0.0004929254006924566,1.4545650053543469e-05,1.6168079499667698e-06,5.233522893943743e-06,1.2115262295608886e-06,1.8445878093853452e-06,4.668187731926565e-07,1.9218931535114336e-07,2.8608245550287847e-08,3.630671496779314e-08,2.065686399710387e-08,2.8418907227489854e-09,1.007742156389213e-08,1.2626266698845257e-09,4.4974446389289824e-10,1.9805979079023928e-09,1.700520613212575e-09,4.7237547207146235e-11,2.285698297299632e-10,4.014841267663272e-06,3.838021149671356e-06,4.949794665254359e-07,3.358088918048452e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03149107112210281,0.0006538273733573963,0.0005003875246569756,0.002951393225374188,0.0011363318323924787,0.00040808482295684456,0.004451824443466368,0.009490010209363131,0.0005387510435093112,1.1136616514084707e-05,0.0002574383617857112,4.606320245414963e-05,6.316572851439162e-07,1.1453308231823556e-05,1.17733123359276e-05,3.190060293700725e-07,2.6037174278847885e-06,3.8711446093131485e-07,1.0938056083098502e-07,8.360356129610835e-07,1.300157981276584e-08,1.3355714756357884e-08,1.3133226928196962e-07,1.1980227476726668e-08,1.5987189350141762e-09,1.865086995955778e-08,0.000139528594439442,0.0005067760221257878,5.291003093965685e-05,4.599995396148415e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1198584841598374,1.990505510593838,1.968259782615425,0.0030154061913954255,0.0005240194272167348,0.0010405870338207057,0.00027271440538245706,0.00016509959117644302,7.67034413521328e-05,2.5577357561146208e-05,5.257235370925706e-06,3.0872634902978646e-06,1.2037711541443286e-05,1.1705969880426714e-05,5.104761717777961e-07,2.0426812882556877e-06,3.741400116386018e-07,7.759059628131837e-08,2.1713473333240252e-07,4.9622761788548075e-08,5.861274354757029e-09,5.7818374449292165e-08,2.696221446107927e-08,1.3276428845188093e-09,7.328081474966552e-09,2.387828996391894e-05,1.163881969763747e-05,6.067432687245633e-06,1.1819983005700863e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023293682513545022,0.024365774669390605,0.00021739999358127982,4.1172916237841584e-05,9.511010789875485e-05,2.3409612095459664e-06,1.3660867639098129e-05,3.3191518635788952e-06,2.078083241263684e-06,1.9465049994060735e-07,2.74873981576107e-07,6.895740978229981e-07,4.704666105581623e-07,4.3969406782196074e-08,9.405668910389409e-08,2.910033480851837e-08,3.672839365975733e-09,3.232031597910634e-08,8.778524573926916e-10,1.0776690650970977e-10,5.273102177127953e-09,1.2891778755630412e-09,4.586975244080804e-11,2.844409152658045e-10,1.7806578607171275e-06,1.1621593687394238e-07,7.220547497688301e-07,3.5585486735101313e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023373041446092868,0.0009241895364029418,0.00011984482438964772,0.00039974145305010644,0.0001459330817388249,5.110041853551017e-05,3.156426923967004e-05,1.2035938353527342e-05,3.383503824894163e-06,1.1107131403509385e-06,6.652950991448137e-06,7.1215426817872185e-06,2.1346335610239464e-07,9.304787040864682e-07,1.0771123815089823e-07,3.011854654566548e-08,8.673947515802638e-08,2.1397974503400974e-08,2.423364175996312e-09,2.7058995710760314e-08,1.749388101046634e-08,7.781775224202647e-10,4.439145273593681e-09,6.036943181575438e-06,2.742242740882972e-06,9.702632950414625e-07,2.3919715697040544e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.826166724900219e-05,1.4302433753332622e-05,6.285981092335469e-05,5.518463794262907e-05,5.103937849471052e-06,1.6271319502880743e-06,1.8973271522781943e-06,4.128293202843025e-07,3.950466176405598e-09,3.9858399114578447e-07,2.1505327030268973e-07,4.359895644512335e-08,5.586690909886727e-08,1.3815019572760434e-08,2.1684267714761063e-09,1.3487765349040615e-08,9.292524527637624e-10,7.173772686996926e-11,2.621122652257668e-09,8.069971357826944e-10,8.831269049380808e-11,2.1264234817408578e-10,1.1332097082927817e-06,1.9081205494542175e-06,3.0176684662208686e-07,6.763262661024783e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.686821561734484,3.4477791945351264,0.13477656836664642,0.2729800652624742,0.025473788563626032,0.030370011722671175,0.002652587939142803,0.007897189015693362,0.004241212433317293,0.003137474476912594,0.00019470753821648756,0.0006719339044950479,0.00015313447387210743,2.547921286533139e-05,0.00016489542760159126,1.2879794897724395e-05,2.563441565239799e-06,3.0420389451529806e-05,4.261305386887848e-06,4.5702124995550264e-07,2.164834355444789e-06,0.028204284347616737,0.006731986154672659,0.005626940742121306,0.0012299450693972203
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5355205547025871,0.02666068878064254,0.06834794192828343,0.027316828508091362,0.030300042284079162,0.000957224707876958,0.03630242626706959,0.0033196252913351987,0.0011198942046763971,0.00041482423460825757,0.00043538657377301115,8.229054330100016e-05,8.005042383307792e-05,0.0001116406945500803,7.290365086731754e-06,1.0845306722795378e-05,1.273636215698426e-05,3.885061900965603e-06,8.504285984312077e-07,1.6722010123260134e-06,0.007705425509366037,0.004144922157734703,0.0013012188148521925,0.0002901812897533329
