,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31C,32H,33H,34C,35H,36H,37N,38H,39H,40H,41C,42O,43O,44H
1N,0.0,1.019933493646423,1.0209349474395408,1.4651759942038336,2.078488823647062,2.4419780247547944,2.577398578930253,2.66217545666361,3.8685016163639783,4.197076295149638,4.465021024329651,4.551805645209959,5.5275778771513275,4.245196171405586,4.95149048107477,5.922502013623153,5.082734012217379,5.043064305777795,2.4864043897576855,2.892721975083427,3.600949105659943,3.87859992567922,4.8727074631258125,5.114551152984469,5.3287739660231175,6.358467319121232,4.837618138243679,5.5736711255505575,4.742892501361662,6.310607375864568,6.4278644574031905,7.344512355489091,6.032076278652206,7.002430434172919,6.380580889171909,7.6112331260280435,8.123516176885996,8.833585481126798,7.873234947910675,8.670909821941052,6.005122959541214,6.095128100332761,7.174305771191806,7.874179066517184
2H,0.0,0.0,1.6265726420005555,2.0513712457972177,2.3608682941765307,3.3422546057561227,3.517561061742561,3.6077963188825337,4.654943090026088,4.869708823169277,5.092964245593109,5.216662511926265,6.142011753587042,4.675156573249564,5.8580309666850265,6.781034168819619,6.030329414285407,5.98172450017549,2.7088388429317978,3.104977055852397,3.623372121063349,3.9187580117742176,4.8419368294727985,5.24824544820651,5.044950268196784,6.109143620189403,4.555108637217993,5.05239015815543,4.148787012133461,5.827605979280196,5.766374562968196,6.7472117604977715,5.357281706230531,6.200479769079444,5.505043298131564,6.844681070692974,7.272008397875909,8.034965708565474,7.010746184958878,7.768231282744605,5.977588982462878,6.057617666768922,7.156198135204416,7.857639313624144
3H,0.0,0.0,0.0,2.0266100060877936,2.916990896145355,2.6766847189611362,2.94361885557787,2.4602956104671794,4.140210526243103,4.359427721795461,5.0242085819479465,5.187368855583596,6.04057800468921,4.92635866817258,5.048014820007061,6.054287331976923,5.244536508959196,4.915328187229921,2.6148223431941147,2.564942895495237,3.9155714300583124,4.399493489534343,5.001750817613676,5.0624891794312665,5.358966046866395,6.31636391501119,4.697420176231003,5.800818156663887,5.096555949255786,6.637882632265359,6.541343355496941,7.393398973643237,6.0091892594135015,7.259506410718541,6.71309293505923,7.960535818716775,8.279745966065521,8.941591248073252,7.9307829303951385,8.89890427490392,6.286093682669107,6.555029615418774,7.343156014273254,8.120833298638956
4C,0.0,0.0,0.0,0.0,1.0974599242520688,1.5445271306558608,2.13471836295649,2.1439664391093816,2.6327638914997507,2.851834986287308,3.1916246780446738,3.5235662998235164,4.203062413227465,2.9320927730185944,3.947016160945472,4.793217152687163,4.275105404179291,4.193316528960591,1.538013945247214,2.4234899136113945,2.478789442590758,2.6304490765211357,3.833618066425831,4.06873053004945,4.644080268486234,5.637795047446529,4.38301573384992,5.03586727346995,4.297822972905861,5.610744959174507,6.168719151405598,6.993446028244488,5.970949050083939,6.868977670003185,6.390920167409419,7.325772766566501,8.153128424945617,8.765102444709509,8.053814428666286,8.755707253439358,4.805868149494795,4.839607699652854,5.9992903125126515,6.639385751430542
5H,0.0,0.0,0.0,0.0,0.0,2.17303326944286,2.4880314022151575,3.0565533046073257,2.8806727332436424,3.187430466124584,2.8658226258142383,3.1094844606269767,3.8837726416412384,2.322224339025255,4.307098423362568,5.034352723179474,4.548104685901355,4.790029491964933,2.1695835617181394,3.28099876337861,2.548876743628404,2.2940370046542586,4.000648647309147,4.460558726911069,4.85581493313507,5.879665588672785,4.801243202370734,4.977503787051571,4.132678118937761,5.391428825200128,6.193476669009468,7.061091379534567,6.155067490647131,6.7068493329912435,6.168395365174161,7.035852555403675,8.07161792624924,8.720145361010925,8.084086513143875,8.583966387487083,4.693675834883669,4.461861333530982,5.987590282510406,6.5058483600341335
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0973061219144264,1.098888635021364,1.5420815822142575,2.160875871325763,2.562458741306669,2.8057397289845873,3.513412916805919,2.874860016629651,2.5179840927687063,3.4832480085408175,2.785740373237423,2.758786893224254,2.5231695872146815,3.1334297486987093,3.4240188391105026,3.4892583152993857,4.605421075180336,4.540583963333601,5.671594904815222,6.543127896405968,5.417181669000009,6.305810007042282,5.683854721435169,6.8117541504239885,7.507249721928266,8.241490969755182,7.3051944060679554,8.31669135277165,7.897925269171624,8.741288992995154,9.610234824144815,10.16970021646211,9.50392906810453,10.25050124805604,5.449503718228801,5.483338419052964,6.5349046912588875,7.1280554779997125
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7629562417930245,2.172722027216891,3.0703899276065014,2.7941292379538907,2.5894278857730373,3.7869823391169306,3.2049308605757734,2.7920245547495086,3.7989729347523786,2.6111818180774526,3.148917566192772,3.448958747281271,4.074845464992743,4.333823846052351,4.266630616399178,5.607639493356537,5.615464680153224,6.6319662930739005,7.5499321325508735,6.363426185890727,7.129647556476247,6.401900328145451,7.627087470102782,8.299824898224603,9.10223795023269,8.08158029834243,8.984686728050193,8.460646225707809,9.409267903276088,10.268563880947239,10.89733035781159,10.145903924829854,10.841303587385108,6.39125779815883,6.294242291740091,7.529713920074986,8.076052828523434
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1662280642003955,2.5154430572156494,3.4990007997062404,3.783561434663847,4.327780218606065,3.885623571227682,2.676684893792971,3.6957309715174023,3.024876605200076,2.456719626688958,2.726818033884883,2.882069426701515,3.8486937197884865,4.16054549866479,4.833600367777739,4.560290025238352,5.78653721902004,6.586351725841218,5.365322011044543,6.601371193702461,6.07535359110927,7.217259795210731,7.69080097305128,8.371691042726965,7.361181063125853,8.623384718045104,8.254597099486952,9.143540511713626,9.825526343118305,10.34830351282829,9.625766818696572,10.528168377034406,5.857182077491521,6.094623383282723,6.814244254908263,7.497010259817497
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1012629873028423,1.5379106250223797,2.183517096802632,2.1834413085557847,2.2092731759631907,1.5374824851926534,2.1858897832880833,2.18453991521799,2.189708992308513,3.1278198266862582,3.8429665256138907,3.518685788033155,3.3623469328778,4.478627370837336,4.32280340820781,5.8312462839097705,6.565370230754739,5.813346853461796,6.56626154719008,6.0864124631494665,6.8665450958809195,7.930695412833953,8.544011415488175,7.899451029118402,8.802330501918146,8.509362069376962,9.075561299063233,10.185786714694189,10.650037026021495,10.203322532620277,10.84979872343503,4.958095203674776,4.894622942585674,5.944856792537538,6.3994066671150485
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152999837850731,3.0743467348006814,2.5156071153034274,2.509944753312443,2.141671802004465,2.4903520189891104,3.0672608235334544,2.490365195930054,2.7588296219242574,3.370250995686082,2.939529622211137,2.9305373985063525,3.6249053738377444,3.3412152712970316,5.040970946681929,5.669755536514794,5.087876873822762,5.929348703724279,5.610050738822085,6.202498816358146,7.30676292319741,7.816146843395871,7.314064284730626,8.296575955911516,8.130664148196624,8.551450235139775,9.668737371019366,10.045555666487653,9.712316287037495,10.392392157544663,4.091893757399265,4.206891874929572,4.967950873595022,5.464967662635892
