 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,O31,C32,O33,O34,H35
N1,0.0,1.9552286232401301,1.9600858412626656,2.9387155942125758,0.09563588093011921,0.18228092887961667,0.021740255921547824,0.006449372743126736,0.031701945130636414,0.004678194889445528,0.007394544890937174,3.0435378730153673e-05,0.0011004953601091993,2.1824824271154952e-05,0.0023090971476066036,0.00023059132927127912,0.22736127490385788,0.06849719627926278,0.03284990346847581,0.0009484410805400412,0.005875853583133667,0.0005529708042076864,0.0009614145695122089,2.2868240887818914e-05,0.00023844478821422044,6.249010246514586e-05,8.474687006820858e-06,4.1362013674106635e-06,4.71476942909832e-05,5.988045916594659e-05,0.0001047267863693857,0.0011603600718115836,0.00034863759595886445,0.0002145286557131837,2.4901612979522092e-05
H2,0.0,0.0,0.02722438531419802,0.10365867133157103,0.005015114152981948,0.0323999130051823,0.0013022730713632136,0.00035245036030517873,0.0044836297933115166,0.0002934431491192768,0.0013965731138582127,7.258208515326103e-06,0.00010888591286106752,5.87351443526174e-06,0.0002796921397822949,4.730158649612903e-05,0.025973069402933868,0.07602793214152415,0.004712163361821897,0.00012728456289012868,0.0005533017304770738,4.22195243019452e-05,9.107656185503021e-05,1.7627274146114758e-05,6.2555298310229546e-06,6.9455142608365605e-06,7.041510234895298e-07,1.2335789885131732e-06,1.1600935709621396e-05,1.5326602213927565e-05,3.294881530468974e-05,0.00011006815872649511,8.732486177398524e-05,1.963904007584727e-05,3.5372914322095994e-06
H3,0.0,0.0,0.0,0.10011360911105327,0.03613853652703858,0.012816782605357124,0.000625430802722482,0.005379744181742696,0.001053292153955998,0.0009228226827638908,0.0001694374079673766,9.292372645575142e-06,0.0002506332496207131,3.178202092191107e-05,4.726245259900619e-05,7.320624258122521e-06,0.008962897257411506,0.0026599626360653827,0.0009064504682110286,1.8992233819403737e-05,0.00020454532996738717,4.653525573972139e-05,2.0856588727302672e-05,5.133681743041407e-06,7.247437753932218e-06,3.6418337612253993e-06,2.636897995511589e-07,2.3610438093513153e-07,1.8809249383577864e-06,1.2947014778053045e-06,3.6980657799334793e-06,0.00015518179248441566,0.0002918162903031707,4.848816487890151e-05,1.907499300068949e-06
C4,0.0,0.0,0.0,0.0,1.9589354208685044,2.7455387474785935,0.10194642909556095,0.08018195611935619,0.18181106728056895,0.03451432786388431,0.04497041135702298,0.00031202220929849034,0.008276003782040686,0.00016554683189662356,0.010795377442093718,0.0009418468876635222,2.464293959788404,0.29176175487831846,0.19046172701289907,0.004844756450584575,0.03646082834159503,0.0022719109920055214,0.003931327626176706,0.00017012084520251491,0.001601627706733888,0.00023176155828863454,3.741320118466618e-05,9.374661919636651e-06,0.00017309664649015066,0.00027561874362057315,0.00046985121344479686,0.006797722283674229,0.0015596005558358161,0.0009331710408780752,4.458720955402562e-05
H5,0.0,0.0,0.0,0.0,0.0,0.0858421445436125,0.0050919292626230295,0.03437841637907302,0.011848157854363661,0.02541264532607701,0.0019466110081547416,0.00010393598146207772,0.002213947470179445,4.168751601962839e-05,0.0012748113476175327,0.0001227677366795188,0.11082665411649417,0.01974193605619512,0.020856483799661096,0.0003191878992352404,0.0021927281600840898,0.000411412319692106,0.00033529581272651043,2.9650988134566347e-05,4.51052802110663e-05,2.078782361125686e-05,1.5901012218044741e-06,1.7308286603956446e-07,2.6569210757054762e-05,4.7217484219319594e-05,3.197561607293231e-05,0.0008496609985644277,0.0001615182508820645,5.843003884242748e-05,7.458262074599986e-07
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6693869443648812,1.9938625773968184,2.748475467723967,0.1861352333897096,0.2600555973861111,0.005041656105444825,0.050796492305803215,0.002515919250483112,0.043940181046240256,0.0019261500384237795,0.13905121493729694,0.035394404655306036,0.012004245491617674,0.003984028367836956,0.002007091412175019,0.0004546672818879216,0.00029188421597972636,2.0734616228090808e-05,5.249001211127258e-05,6.601073752454667e-05,6.871872297864456e-06,4.4928425451118414e-06,0.00039758597440009424,0.00038557108406644947,0.0008882948715949468,0.0006143641861203475,0.00018812879525489934,0.00010396389126607342,1.0246972398264553e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022537175305912482,0.09760031505910938,0.011054892747149658,0.04206101292013931,0.0002300676814270819,0.0064543305886113345,5.285285875400447e-05,0.007078907903418363,6.708790816323251e-05,0.02930966168057436,0.004595318687153238,0.0017639292264747253,0.0002663509555849153,0.00022127778943881182,0.0001082766927482659,2.6494204670157728e-05,3.84384584162234e-06,9.942544527019592e-06,1.0558320181264236e-05,3.532346299905953e-07,1.5225199889723484e-06,9.453156182503974e-05,5.2452802414282296e-05,0.00030999284045285513,0.0001647171530863023,4.266365226524016e-05,2.5930493531944876e-05,1.1233678971489525e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10552652662600348,0.02211247107837111,0.013839864061705898,0.0025305964966912953,0.003436591271938294,0.0009613483178014803,0.0017410339891652526,0.00010183797475749046,0.00713309963612363,0.0009725875328816525,0.0033145532160179236,0.0012546778460005292,0.00036914435560708725,0.0001761809185540919,3.933729378036155e-05,8.868288488894649e-06,9.763598989298572e-06,3.0688167873549332e-06,5.455345724048044e-07,1.9441959886457028e-07,2.042723625317322e-05,2.224320808530411e-05,5.025682173309676e-05,3.548362597949328e-05,1.3117755512048745e-05,8.120722950311077e-06,5.357235945968597e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4778228257918107,4.098366803923977,0.1199907055722036,0.5613577127994753,0.03788960267441355,0.47333767556432516,0.027013192024240462,0.009661957010536598,0.002937341927101919,0.014132905575979487,0.01952719921810686,0.0016467008085926105,6.558450874782906e-05,0.00021158283702851777,3.4426187929259555e-05,1.4965158725788186e-05,0.000529601585562034,3.7235521929135373e-05,7.337549614772065e-05,0.0036503409269247333,0.004037979538632316,0.015310487063976391,0.0006099425510491252,5.465528865708502e-05,0.00012837689369120386,4.0065689409729544e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41795515783387344,0.025456959994719863,4.364662849476088,0.11082000156758887,0.5208194657128657,0.027173021809195008,0.0020420412387018305,0.0004325959460284995,0.0018591943278910977,0.0013948009379107784,0.0003181353284705257,3.158384759294197e-05,9.311965928623933e-05,3.0003857498850373e-05,8.733645898484355e-06,0.0004650147982882963,4.2684827950667525e-05,4.4886728607584914e-05,0.002794218207317095,0.004892136768945905,0.0027188272293800914,0.00012497717994727764,1.2453563466074957e-05,2.979999730914895e-05,6.303256509743171e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.954077698210046,0.604687394851211,0.03127254769977883,3.377766034154663,0.11347579693373988,0.0017734630163212528,0.0006266226115605733,0.011894511438130403,0.03229906105771485,0.0016380554038874784,5.457605226855122e-05,0.0004584287848869162,0.00013428680540328308,1.881730588548791e-05,0.0036510262719415543,0.0002286687329602355,0.0003090885713625813,0.022689007223910262,0.01407508552788353,0.07987559262844228,0.0004304632800677666,5.695102147826314e-05,0.00011532301055557082,3.5122954299748876e-05
