,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30O,31O,32C,33O,34O,35H
1N,0.0,1.0217126493813466,1.023353008423281,1.4776522539590833,2.080153312609003,2.461420627563042,2.5303224732744103,2.789925611158026,3.7993560862510343,4.378117589667328,4.909795390972149,5.268519193711165,5.570240946383469,6.415420693161601,5.90190996938806,6.656564764549126,2.468406086221441,2.7831998486885996,3.624074807058387,4.016055044320727,4.7541243307591134,5.045548359105251,6.082026200616063,6.143642078805007,6.838406401267834,6.735385527994508,7.813854638638189,6.673642889316399,6.595248292303503,7.329265056619355,6.061438892195059,4.819414565227204,4.574371947538537,5.80261764636478,6.073553767868769
2H,0.0,0.0,1.6173809904224667,2.010681928919467,2.378196064645815,3.3236794737428905,3.4930023974580453,3.666955216917121,4.524264481233565,4.947083863496749,5.617801146066353,5.991956824987813,6.102560580491953,6.864001981541048,6.512305889335765,7.2024799228466865,2.4625905315218364,2.286872438330351,3.744818869558209,4.360822369752814,4.629458903022693,4.776258778578369,6.080774180346867,6.258417865461845,6.707525602972437,6.841533150112921,7.89815368736061,6.70528698127944,6.9292719782011005,7.708548685401526,6.5001327262999125,4.5217907043166035,4.360071747977746,5.317375509497138,5.538957736564803
3H,0.0,0.0,0.0,2.0364227686733747,2.9215882069970576,2.6643581444424194,2.8232411124353547,2.5660843502670327,4.095824585653926,4.931255349241077,5.0138454780458055,5.1632411870472,6.039959647455339,6.9678332502047615,6.153486405378044,6.845792032068708,2.7171546244624696,3.112932540341559,3.6285755170984793,3.9438843635024883,4.709124446675693,5.1954286137366985,5.940092867339741,5.835960153877172,6.685205239796488,6.7376248802760195,7.781196591327513,6.837969341094807,6.5669284674804365,7.414115298724421,5.872346915247466,4.57570339844282,4.091598565161406,5.653878477147578,5.816975348818287
4C,0.0,0.0,0.0,0.0,1.0972792214643856,1.539026825984446,2.1151550063465687,2.181813705814764,2.529228687020528,3.0573070383742547,3.6386791622215906,4.128769691237854,4.169072103141174,5.020239514325995,4.511654369932972,5.241408695475541,1.55375145685243,2.3776206043163572,2.573445267100816,2.8551323503007686,3.876094154964067,4.128722743089055,5.099194308140347,5.254340427285136,5.957410262634379,5.512068267169708,6.608876988741754,5.387892969899485,5.29300123103228,5.93312044349737,4.893763376824495,4.386615202554624,4.419506070462985,5.433617894268734,5.920683891190903
5H,0.0,0.0,0.0,0.0,0.0,2.1263739364798195,2.449853331899525,3.052182520975063,2.680837529263076,2.67146593091384,3.9323723063454716,4.643684243242184,3.8579964510179052,4.543839037028245,4.523975880107709,5.3051144312972625,2.103417620870648,2.643646006322333,3.166105511505763,3.4910015260209213,4.3583394365550285,4.352063727240311,5.602990019475309,5.9243337992324205,6.428797045640842,5.824203641578988,6.917117504719665,5.497700156170953,5.649928155169308,6.112864454859313,5.461500110904504,5.0215450555148085,5.24355100258979,5.910299883144918,6.47339989107293
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0988907067437668,1.0997662071791403,1.4987523476068334,2.531882441081683,2.5681632475277616,3.0255696228142885,3.5754642631589877,4.580268043040983,3.6620703035996964,4.49792125748433,2.687896953864218,3.776386111590736,3.1079983113109235,2.8473577544541504,4.56302456269331,5.011152996100662,5.442815295578806,5.386447060368574,6.445051229085102,5.633191275395115,6.698350871503292,5.66206169930247,4.9878410102371795,5.501304720381699,4.408775603801419,5.241382932168816,5.153398155368012,6.4450482484065095,6.949522859630467
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763932168189969,2.167151093622309,2.92912276291119,3.303399822949301,3.7997795686625024,4.089231336093412,5.029606811632111,4.322245895731442,5.255385980649411,3.55058973351528,4.487299551023078,4.160398635784974,3.9453571407696235,5.604664005303669,6.00414077397845,6.535986740903249,6.464841183936682,7.527625442556187,6.716168484701221,7.779837662084818,6.706241471255268,6.020882550252512,6.445094160539189,5.428034485394863,6.189679183786781,6.020171288593288,7.3700375070681465,7.82020288870672
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13091838053363,3.4157047378006156,2.686938799439918,2.7276203846313765,4.251368203044683,5.313208345445011,3.9948957290485585,4.699059469531552,2.966804301196893,4.088922700853453,3.103410742047882,2.695838987017368,4.499896928634998,5.1629153800144625,5.231992294498178,4.962725495731839,6.236897356825058,5.5735380853650565,6.590330434278294,5.811410543228171,4.86561176975135,5.5312040927086,4.0431968822817606,5.0151343849698735,4.726042622420589,6.316404906144212,6.735225584384182
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3894326311629883,1.370228550804438,2.2426159014939664,2.143384295852491,3.19818775503295,2.2056466530130265,3.1168491374915317,3.2450967977305436,4.399268576088709,3.253824588669894,2.7298093722092855,4.624593439835632,4.970046705835759,5.219940649049366,5.257772388401616,6.277395912624422,4.996470831889306,6.011445484994756,4.94191203867472,4.1342630131502425,4.363001998345108,3.7909827479749967,5.669443783016008,5.821742557131767,6.817742348613805,7.474801791259411
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259906291361493,3.3171091081770587,1.3195068020336764,2.134208765089613,2.2405964959103506,3.1733534234315735,3.725295005345402,4.679668936311793,3.888304926215182,3.563234233405189,5.109015803493622,5.166380488355611,5.753587594704746,6.020641091237851,6.744667648667933,5.305263209408696,6.291143062708486,4.969010510345103,4.582881379549861,4.532526818071026,4.601256160697294,6.293548966743798,6.6506856545061765,7.275152996233058,8.018427423250184
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0772744097354479,2.189429521292017,3.2257963795948346,1.3790720567533836,2.0844657552275216,3.9639593652017293,5.173285611615489,3.481108424469248,2.6376286685309824,4.673069752522441,5.148920830173856,4.849569093224993,4.7494942889596565,5.9411133539388965,4.407528202453989,5.3023924947973295,4.545787205233434,3.2244381766320447,3.3537445074428476,2.825047996830175,5.828180086992476,5.995545160357907,7.0027435196865575,7.690705656063285
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2056653094575243,4.191835651773895,2.135150820411262,2.4476080049648954,4.29125422834438,5.517879089185911,3.587583552448181,2.6059550555542357,4.6698264864669445,5.3342187853088525,4.626203288746228,4.295386504072829,5.715584992389636,4.297847376285655,5.105920647785811,4.691745333628953,2.996062504457145,3.324218666599877,2.244255391258992,5.705128704149037,5.741873495753728,6.9402340411594805,7.564637022077712
