,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20O,21N,22H,23H,24C,25O,26O,27H
1N,0.0,1.019746568866928,1.0210615614104352,1.4590453924326359,2.077062298000766,2.456339393935776,2.6307614295860957,2.7770520643038963,3.4166851892241863,2.499440035252868,2.7802530322359127,3.720887998308778,4.0504016109243395,4.941131349729645,5.052712444219521,5.463436856394707,4.751154201485429,6.239728992514354,6.3208659922181285,7.535486460402349,5.818074816600633,4.853802998401762,6.5798331640579875,6.106276156637531,6.249722516794227,7.226756309770416,7.9559643768025605
2H,0.0,0.0,1.613942041404828,2.0351134262389103,2.2904464992150113,3.3353802733462943,3.5222115368079727,3.7366806282137786,4.1854333094987535,2.769110666529434,2.9011060977340937,3.9520495061150864,4.33803691378787,5.089429239418268,5.304534477231547,5.31952736205258,4.456440365085905,6.044665257088226,6.168953652811832,7.371111887429187,5.683072921111587,4.767287765876484,6.466389478404466,6.333163658308656,6.5247928011912535,7.439080996591037,8.197852810050225
3H,0.0,0.0,0.0,2.0204674728496275,2.901511048957894,2.7905688681435272,3.117616460340418,2.7063779153118883,3.787982147141539,2.564242044975885,2.432918160010136,3.898877690441469,4.415189257825479,4.928344097464349,4.8235883750320525,5.458886412506136,4.805735958081042,6.356455384025161,6.092326428841332,7.3112994665519,5.400360041573035,4.393902299564946,6.0536145684292135,6.193484415905612,6.500648575615968,7.1921920173024,7.982363700100108
4C,0.0,0.0,0.0,0.0,1.0987259314766458,1.5401114964233595,2.159892867945982,2.1820079985013816,2.20048157738532,1.5451407806777424,2.431811026882103,2.471285907653237,2.6402550394777338,3.834283545555756,4.089986649237411,4.597080693641871,4.066999215543031,5.285043499669011,5.6536399612709705,6.823430565500423,5.4126512818744175,4.534079546041707,6.267121230207614,4.818324959138123,4.845845574899519,6.013585038479871,6.668410798792583
5H,0.0,0.0,0.0,0.0,0.0,2.1579831963429075,2.5149758172514205,3.0736673089141107,2.4883812604642075,2.151381604224818,3.169699864509535,2.663238226293368,2.536714302283726,4.083153858385119,4.594119876511822,4.699516495534378,4.110388392744894,5.19220919439509,5.946891638268501,7.06667432263079,5.905810047065379,5.117841655532529,6.833509747928445,4.905834385100284,4.743501140091608,6.187010962759396,6.761138115910601
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0934167157015062,1.0968649567458977,1.0956662181359786,2.529365456509073,3.4156274789241006,3.0835791178156073,2.982100055607507,4.384253947167644,4.484069365523688,5.515317548822237,5.223190168738501,6.183369262695947,6.534036807362393,7.649760364627835,6.311264329858934,5.446931603264011,7.093699703011828,5.053062663894827,4.907834539854483,6.2213183764784175,6.756002997675161
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737449650242267,1.7814474791500394,3.473142626351678,4.3120107909575145,4.083001909952337,3.87675739151462,5.4358578495049334,5.573296485875228,6.505928053618489,6.129590915577876,7.136052814657043,7.561378266604835,8.692289856831746,7.309075971891033,6.413084025297393,8.090498006255691,6.063214612670933,5.805985368885116,7.262755861883241,7.755095911300932
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7736102924936545,2.7556659116822777,3.3249883908012716,3.423608077622658,3.5433310050000464,4.503010656381946,4.331702308355743,5.706218925306615,5.49713799381482,6.494843562519886,6.508877362059527,7.618965581852964,6.124722039853569,5.235818655683855,6.793355279086853,5.2384690156002645,5.270516762180299,6.2587895984046815,6.842250671639897
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.823597601539599,3.879941705921375,2.8646368538173146,2.4678494546058047,4.099808460707409,4.3100842757307065,5.377778918859452,5.257564142408105,5.914063175315254,6.493678123628228,7.521030996332797,6.4771743077333,5.721977882135355,7.288294958797684,4.4505422038562426,4.114084986827123,5.641363676950363,6.053037124907159
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2360628019943365,1.357472023412339,2.0815970287859096,2.444786720594745,2.6399980231226823,3.1788713707263914,2.773830841744265,3.9975956001971062,4.137145261060282,5.307832875816108,3.930811338689176,3.1115076401493185,4.80827891707237,3.6735884386460875,4.027460407808977,4.741160321848744,5.506802750941828
