 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,O20,N21,H22,H23,C24,O25,O26,H27
N1,0.0,1.9318668538666197,1.7184162724108285,2.678179470716706,0.08892093730485084,0.19668217962921003,0.016215077058495453,0.006034681604681458,0.030243812290790872,0.2302038211057087,0.04827123642995136,0.0354416814708922,0.002290231641426277,0.0076144939374573894,0.00030165607723431354,0.0005432261099964919,0.0001333877923019866,2.5498729986805913e-05,0.00011364965978735708,5.146970953266716e-05,0.0001419254413115023,0.00023328556387502974,1.1372865109438024e-05,0.0012884337708318483,0.00011437020674111287,0.0003916623282813336,0.0001284756405878218
H2,0.0,0.0,0.027071365227769206,0.10902040322219997,0.008650894943488474,0.0329973543982881,0.0009012132087973246,0.0006450897338581285,0.0027274386478242096,0.006532622512816166,0.0056431435814403574,0.0007441357563678919,2.3785541654497422e-05,0.0001887977151964204,1.6438076779756727e-05,1.2521599203174638e-05,6.776376257455752e-06,1.2447975983320703e-07,2.3315685916402984e-06,7.638880392679681e-07,8.71343509722955e-06,8.496096641996687e-06,7.821587169054567e-07,2.1332971779641774e-05,5.860336352858653e-06,5.829633548781743e-06,2.0646725926720677e-06
H3,0.0,0.0,0.0,0.10559553270942412,0.03591278095586792,0.007443781095404889,0.00014078171395492944,0.003188647198997918,0.00023163662703917787,0.01962826258757444,0.046181210931922734,0.003149060194187925,0.0005040983405235622,0.00037761953128734316,3.480800743704826e-05,7.132946663990225e-05,1.675496353414907e-05,1.1366691625047665e-05,1.3265107031257273e-05,3.6966279109984512e-06,9.345631598767223e-05,5.7191751297480664e-05,1.1067933251673878e-05,6.43444798951176e-05,2.8590448281740066e-05,1.1024624054112309e-05,2.586382043201496e-06
C4,0.0,0.0,0.0,0.0,1.7710859359672866,2.664773331999307,0.09097906986548732,0.08493673582194594,0.08648630248797118,2.735856762629475,0.27175716901901537,0.22089839300796021,0.010922994251293061,0.03466026996842056,0.0023089037682015867,0.003238627510762482,0.0007379201277020186,0.00027976665426310277,0.0005488899345604259,0.0002130681450971117,0.002138401825883207,0.0062272084027144015,0.00012283591602335608,0.004237106275368718,0.0004105031045640861,0.0012295490211447768,0.00026933066412537787
H5,0.0,0.0,0.0,0.0,0.0,0.0819157173527143,0.004293399482492077,0.03466558087998339,0.005371029458178578,0.10178079489357117,0.02640265256761598,0.01097689234157917,0.002872341398084677,0.0012978001192569533,0.00038379750524608625,0.0003247180686761775,9.457525603595585e-05,2.090991421233035e-05,3.8695285109247024e-05,1.0585068953239407e-05,0.00015871273752166015,0.00025120743845041815,1.5961522078056234e-05,5.9592638209648996e-05,2.87554087179398e-05,2.785380229897161e-05,8.51106875621177e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.170852152057035,1.7679466260597945,1.7513409300274898,0.18703493992238648,0.038785973065908294,0.03337732088970215,0.006517162569942281,0.003297740227063403,0.000330282899173695,0.0015008518232827867,0.00028476217700323936,5.116941102933925e-05,0.00017638043169523887,0.00011383515378844689,0.00014857303854619308,0.00035507137340407,7.716719583772402e-06,0.00033824691308081967,0.00011257927682017943,0.00011084220773024955,2.4466763475228248e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024954985216434356,0.02596409239348474,0.0306868148127577,0.004676751545889646,0.005941599562393929,0.000585791348371778,0.0006022742565130468,4.7471505013829685e-05,0.00026049243822190427,1.2625050163528329e-05,5.558040441666634e-06,2.948134818514525e-05,2.5869046910487192e-05,5.992507832663918e-05,0.00016408121527566877,1.0513404966605577e-06,0.00011224832375611449,6.995671134824022e-06,3.329356081993584e-05,8.18933798796273e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023717160302437312,0.011451416747080057,0.0022551657729630303,0.0008820284279034141,8.322242008618197e-05,0.000127392672760962,3.609801435766613e-06,2.8868219651645433e-05,1.107215923301652e-05,2.8724508949196093e-06,5.065552065586232e-06,2.8448370079647844e-06,2.044037118320574e-05,4.6015578673674895e-05,1.683087679227313e-06,8.936976363393967e-06,2.1554161402370653e-06,3.291102782965183e-06,9.354220797952451e-07
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005465588046519976,0.001026098745502857,0.007065832714406861,0.005646902110886698,0.0005226059698435481,5.6037770361783146e-06,0.0003731388828969173,2.4541007319633934e-05,4.298198257313146e-06,6.467865998316391e-05,3.686080113651791e-05,9.785711255538843e-06,4.805531830021081e-06,9.467455661660296e-07,5.018139163137647e-05,7.103597274737972e-05,9.849564723385384e-06,1.301119151309038e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.910293018795733,3.40350882325478,0.1367143351785518,0.2713052190366171,0.023449287483506387,0.03693461877365242,0.010396291249572975,0.0011619651380221363,0.003462697126901254,0.001596827372697951,0.005696724534768383,0.015465776104237161,0.0004359934529797327,0.028065006232776468,0.00679180888385833,0.005604749327790148,0.001249128422205037
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440972197913295,0.026044404598784654,0.06805398707279114,0.02453639773284444,0.024659844433841463,0.00982752327260683,0.0016749177814134875,0.006558535239753555,0.001957026053765465,0.03927311685265543,0.13749394753435862,0.0014412180263208008,0.007693171860824188,0.004120305714942443,0.0011197335541044684,0.0002591630788167931
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9255753138046638,2.908802200107258,0.10317806964694232,0.17616100271996787,0.018339439864919593,0.003228719382716738,0.02293406229306788,0.006878147969101578,0.0033453462127270156,0.0010577921822405578,0.00027705976863068305,0.19044105208369133,0.05942800895050589,0.027588304156582977,0.005413609475179215
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0947596349754185,0.016622636564148197,0.008547402883920752,0.0006400791680658546,0.00014858849838539356,0.0019270325568331304,0.0005649461518029142,0.0006311601347956941,0.00013711711902342216,2.450001370002397e-06,0.03446971163255064,0.08032613432406788,0.00545948009038455,0.00016626221150972675
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7422105052412837,2.458244026570443,0.08880959060189952,0.07710721323005254,0.1756659883708852,0.040108879273704365,0.035192588619501225,0.004914968679461396,0.0013918170179124667,2.5057320414188946,0.28258452369448084,0.22339857723888132,0.05458902286611178
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07167743861784093,0.002166622122134809,0.021116033679664525,0.023682853216051347,0.002884978814099992,0.01832874757832703,0.0036384791954118256,0.0002641548980930608,0.11093937045872848,0.029784923113368222,0.011056494065100675,0.0008776418884830495
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9143043409287426,2.08304149672687,2.6965460050425523,0.2969490507358385,0.23278344818881513,0.014041881466443806,0.044194910444076974,0.1948932998963639,0.0441092599614019,0.027302478692123447,0.001584591614574249
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030082452973914986,0.09959459200713594,0.031183327236418146,0.01254768414886942,0.003374799786366456,0.001371156231592785,0.016997541566537322,0.0030097630893451965,0.004650953919215106,0.00017012209964062386
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09661426839515608,0.017212910556055894,0.02134140653598915,0.0014731886097174574,0.002073967079582406,0.022864546000286312,0.0026978515477228404,0.0029707487243081365,0.00012318038638148288
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.055749131216917,3.595407944574899,0.1338637848504889,0.1414500553357818,0.00987592842106036,0.0035819593538577443,0.005810237469035001,0.0003755639643164832
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571835996092211,0.02791670410759639,0.026611588593684288,0.0025691437197691014,0.00123357691503502,0.0024336370092319787,0.00045581656918525226
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8591841146238857,1.8086149944939245,0.004937122104958502,0.0014783135499553263,0.0006770162081171371,2.503866225933571e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03977264347111609,0.0002905553716957554,0.00024783814458706477,0.00010885347238343002,5.2246262591815196e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021587763045183284,0.00011584892544846959,4.664736535719971e-05,2.497702685566594e-06
