,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
1N,0.0,1.0183293172316061,1.0223543919281162,1.469599554620549,2.0939589779566656,2.43970409907953,2.7347646325808066,2.6777218172739663,2.029360096968535,3.820494111576419,4.0907624404082625,4.579400841194936,4.2548484664925725,2.4755507462177633,2.777257493415626,3.6607909532172527,3.9527227213293403,4.91351312251499,4.8984078073170645,5.724107444568917,6.660215044293793,5.3109496260705855,4.496169453586198,6.226342427829816,5.254311485492601,6.287174114579027,7.028914588203486,5.638594412896695,6.934553382317007,5.955014657405496,6.042897626423988,7.095409679428585,7.759485804355798
2H,0.0,0.0,1.6308258089443872,2.057057288490935,2.276826886666365,3.310391422261798,3.7157388119555117,3.475227265362048,2.771614175991412,4.558449395653208,4.650127473001593,5.40098217197371,4.949615262836475,2.8568446564049323,3.1650055192854674,3.879981889711679,4.1770327172789035,5.110380123430231,5.184845178514986,5.656676850657703,6.643488050048311,5.055230188779576,4.117508075772318,5.85352920613153,5.094140678672039,6.110666478788452,6.728902728927844,5.399208973749846,6.865283701496424,6.278135475824469,6.4268749155635625,7.416036559189979,8.129550599576223
3H,0.0,0.0,0.0,2.0216974116750324,2.892548980425653,2.845377617370188,2.7410299731376977,3.288044375460064,2.6827392179440395,4.262417216700643,4.732897069888554,4.9672598426792485,4.537523040844471,2.460660713511885,2.281693232661894,3.797230904631616,4.307939340279199,4.842312059678582,4.603599444538212,5.673356596309054,6.510222023099123,5.155446790094975,4.464565983750092,6.089409150959147,4.891038851998403,6.467132254441863,7.191800499237407,5.9659994263948635,7.146838696475406,5.964846168122182,6.215369531607492,6.979120367638364,7.698175426440763
4C,0.0,0.0,0.0,0.0,1.09672674786399,1.5626250779571726,2.1621573477543197,2.4078140373684986,2.3118683436269043,2.592361516767109,2.8448997090243147,3.525690237234059,2.8928470871182554,1.5362588198462264,2.4091723626463373,2.4686285478851,2.588289943267746,3.835309806238201,4.005776787229484,4.827929864172797,5.767062020710922,4.790459301399224,4.0876602061717415,5.783381820683368,4.884869136785316,5.2874082439734025,6.159459305892938,4.65147471491431,5.780541583122193,4.675579326136665,4.6324988700664225,5.895924230263983,6.4800273644739645
5H,0.0,0.0,0.0,0.0,0.0,2.164321779783035,3.0537636918135336,2.6994223957277677,2.6664687164857472,2.754805468819146,2.5627785933724496,3.7523835227779254,3.129191953937941,2.176216204545933,3.246253239434051,2.595211921502521,2.3759517995705437,4.047299060011775,4.480618104365042,4.848464951285825,5.870202629844833,4.883064881386261,4.078217514113515,5.782988216699185,5.208115235381575,4.983243264830153,5.817579206454007,4.17479792647546,5.455016271322815,4.803068354456439,4.613001041513042,6.103451889379899,6.636477932733724
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1056543774031207,1.4129752677604008,1.9027390750595083,1.5240283088640045,2.164287422446288,2.150958667198212,2.1887910742564927,2.572090197634138,3.2869888439794175,3.3331304460580187,3.2408141419925918,4.565868222208916,4.656750428125012,5.839355644257487,6.667319664222736,6.05754086207902,5.492991952849962,7.102239982428533,6.077326899592538,6.304404637542807,7.2822647263781795,5.731068800300247,6.5839788279924365,5.003117489077831,4.709454899243738,6.196265865141687,6.608234131233198
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0763057775525535,2.410332925918793,2.15669731276587,3.0721336183003514,2.4938783534942774,2.508870131082064,2.7095907725398036,3.0286907441219952,3.6442332501312484,3.791039453479119,4.652244313264896,4.4883501135847235,6.0195189484555165,6.732819737507839,6.195125104306106,5.752584983184699,7.274785223922031,6.023802790614701,6.719834945518928,7.702385196743865,6.291784228970702,7.006862150438765,5.102140666754333,4.962733844140191,6.148065191973657,6.584985237947885
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9806265174122417,2.3774693768737007,2.641489085444991,2.606325238088047,3.347034631242257,3.774173017198612,4.4382737816192765,4.581034984086336,4.384050464012382,5.900500077945925,6.026627230264107,7.081337507650097,7.970123849400203,7.185329177626739,6.488883724494338,8.18605390481791,7.237430520075485,7.423627532696388,8.356532699798873,6.722358059514841,7.731237783640087,6.350145872317898,5.959233294805892,7.575662231247001,7.955300645945768
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.175559234003779,3.4015108370606266,3.5400302677963893,4.039643101135412,3.7474574281528006,4.275567692005699,4.732246013076374,4.673522368096849,6.078015678594458,6.146605870013288,7.139119099030579,8.064043904822997,7.032296237838183,6.257336511106161,7.996506973427509,7.04101702967238,7.5362564179884775,8.398006844439847,6.808758485340834,7.973438063601337,6.740163805921576,6.488666997358164,7.95784789685731,8.434085667416273
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969565967075845,1.0945290712552738,1.0944473931083367,3.2012541751096615,4.113785464890114,3.3637489282015487,2.919740480275045,4.4450976145384224,4.741360969012219,5.795605433017458,6.55000652325139,6.380184110588938,5.946234472230607,7.406593234045552,6.543481235407341,6.052195186185598,7.103144928867995,5.523392806682031,6.079472048651276,4.417571584499309,3.7994033841218364,5.624686451679614,5.835350267598554
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7680135752807618,1.7834277477550748,3.615796526655527,4.7013123771892324,3.557366101335975,2.8578044539722067,4.734406216838068,5.240785497327203,5.908379865885481,6.740511374708951,6.521720432439129,5.999850583660926,7.475905944084277,6.853546088563252,5.889198660240126,6.90129488814646,5.222571330951517,5.885152248265612,4.680582373850321,3.922087571956704,5.963905754105438,6.136749335326539
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773017079175488,4.173495090340778,4.953466715618463,4.389970606794764,3.9617345724863555,5.358398519423142,5.568438336017098,6.773338607453878,7.458676717140177,7.404330103376964,7.008319707507233,8.444578213292624,7.50863375407173,7.052372141402333,8.119274070596614,6.56231743198569,6.996701756050035,5.160862375103668,4.457135250312616,6.266556730714131,6.361235829399758
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9394215595995106,3.803332727977673,2.8043317161829733,2.4168323915151895,3.62548738375283,3.926155939501837,5.053630015928837,5.700856592515662,5.812248182977239,5.547949785707544,6.84033539489242,5.962784058028908,5.38782749873728,6.470815870648735,5.02419979564074,5.325289860830256,3.4080969592369246,2.806931796471524,4.566655107462185,4.755785539951832
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2288095305898548,1.3679087900355515,2.0526595748140206,2.4666463320349226,2.5020805218662145,3.5094899670607473,4.361262377827347,3.521745942565704,3.0599818545625905,4.5868249613695005,3.5115239464744015,4.278427591283525,5.160105661761095,3.9083824125795297,4.812153807075851,3.5392338866129793,3.8410817358073195,4.630447137154837,5.336624482901655
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281615430565291,3.160425731467247,2.8163390273331093,2.361358084459206,3.749223778987657,4.422163231834262,3.470696606633014,3.1824059904858895,4.523847548720161,3.0818971073056853,4.84767469776472,5.626338984761485,4.673802456620233,5.458664149794853,4.026140145192648,4.582120890565,4.857798212178018,5.656055416522244
