,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
1N,0.0,1.0219668390395649,1.019791917744308,1.4635160077208453,2.09105915158838,2.435236487467001,2.5689710358273357,2.735443306800515,4.133576920479974,4.513921008337786,2.48559730299646,2.793408211818492,3.677561764829686,3.959302480520831,4.909799819833715,4.91266357515872,6.087844059259285,6.3458752432470416,6.983877118876955,6.232226789030723,5.492164172658174,7.59886541931864,8.398054401010617,7.944819855074521,7.72664414683834,6.471736053874947,7.3320878770386155,5.69162987248985,6.894457954313098,5.545796839363934,5.472506664187388,6.631815490240848,7.140063514869738
2H,0.0,0.0,1.6196021973121033,2.01587516592864,2.8996170936342485,2.7952518711941488,3.103300885391828,2.696110903845673,4.538892244102615,4.67127100997371,2.5001459271389646,2.340903281588594,3.8460122185324166,4.327241287993724,4.870206368283421,4.717469426045154,6.200138776316559,6.566755037831457,6.986989154308753,6.46320828822071,5.860235159671437,7.913090650792544,8.617410899601577,8.317550508670827,8.125422293528866,6.547854648701997,7.308176477613382,5.664535613249623,7.048763281907088,5.359508777053807,5.324111207367719,6.318475914587247,6.781587582237197
3H,0.0,0.0,0.0,2.0384556261243914,2.2901744320754327,3.313407439469809,3.435211762695686,3.7102857789428567,4.862980197401616,5.228832689084746,2.796798054533468,3.07295667391827,3.8483372794119917,4.1838604929043335,5.041867362260068,4.929303818516779,6.0902631122896596,6.442590992641142,7.001510679465756,5.987159119337287,5.195427455015945,7.3369162832427115,8.170057082930946,7.555466943922563,7.553392146432881,6.085291230846893,7.0040285976685555,5.29640523057495,6.367395064010404,5.9139859286854595,6.021726127742306,6.941112766006514,7.555321798087465
4C,0.0,0.0,0.0,0.0,1.0961495255496831,1.5459310698542037,2.142356087113843,2.1821794362275297,2.878963778794182,3.2056883879723372,1.5427671925113522,2.4193144201526997,2.4764109826462186,2.5787843176741334,3.829571596668666,4.105710718526902,4.934329705190547,5.043210477334477,5.872545034811412,5.2470753609572185,4.531985631266533,6.5482279420607785,7.3395415096726095,7.013208945945099,6.554346407832779,5.766150315775223,6.603387703349462,5.141529069449807,6.30809581165124,4.429229486020729,4.2805735475484905,5.641688666261799,6.143099316270214
5H,0.0,0.0,0.0,0.0,0.0,2.152340254304212,2.485295862189657,3.065666695610048,2.988596621079967,3.55135228456206,2.1720962521838327,3.2399749362017727,2.5970188281876707,2.3926416008130666,4.043422069417084,4.435469258532056,4.847671356066499,4.847692732735352,5.881877633500013,4.937381381036726,4.066616701783795,6.095178846607473,6.990409909930946,6.461188175681637,6.019042243050712,5.603453045673548,6.53432389887828,5.129588689842529,6.020226454612639,4.856944419399938,4.76519715143689,6.109823240595496,6.679866127854597
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0924910723166559,1.0944935116829093,1.8432528649916287,2.423518612503585,2.5452818185819868,3.287925393147927,3.2831962708921894,3.1313347998651,4.508853193271706,4.980156978934742,5.636738368929107,5.52160343739964,6.511765975946807,6.245962089042024,5.61141017409022,7.448149818560849,8.18730805511593,8.036788626003956,7.284620062078049,6.950615581587403,7.698332753752331,6.393782589392233,7.596403669315153,4.637642784726946,4.07855850974901,5.902862232065904,6.181240937226323
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7655721162447486,2.3839535089106607,3.309263441971477,3.4674858290318045,4.181602449239459,4.234758341645971,3.9924967492142587,5.535518445968341,5.98879664671683,6.595621360092169,6.435725867072333,7.516234388643749,7.083814247761442,6.346720427541716,8.236210047298297,9.042626694107362,8.746323990080194,8.02730753951751,7.797600516612578,8.609825011206613,7.24086457660753,8.35508627737052,5.724196841527287,5.136733555884831,6.995043026403953,7.262920236334431
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.435805143205398,2.5767105811076543,2.7640733520505405,3.120367964557802,3.677064382511782,3.7425906810690543,4.67969854135075,5.035368402264795,5.980490420384207,5.954165927137525,6.734806704750367,6.741815103215008,6.233818556623548,8.022534760374256,8.66628685510887,8.676546216567116,7.927680394672096,7.3211964772808615,7.970767404313079,6.674085230838908,8.049117625085282,4.542957711672462,3.909622330378977,5.691283389631072,5.854551221174827
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3521721614080018,3.394221679865443,4.339455345845438,3.4082370949982326,2.8226887884525262,4.435684768684785,5.241054975459013,5.227427036753676,4.770031448237786,6.0640356082943025,6.0358136124035235,5.49840873098229,6.971695215576693,7.66081317835615,7.676349828788745,6.569442471130841,7.072768250024379,7.737929085715316,6.76865874330506,7.784864282468512,4.330819893468165,3.5317536620116354,5.64578938969405,5.816043082514184
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.085798972279047,3.8393689657684544,2.92960177162819,2.564833780363157,3.585362359743527,4.413878062397686,4.476764309954442,4.082121535299036,5.156043904497132,5.551339649140397,5.243327236344187,6.539200349539351,7.072412299446463,7.372444767615023,6.218992975515801,6.52778438854949,7.039704313543459,6.222155438448999,7.3750827333151605,3.1412008402996836,2.215200648093241,4.402229120262387,4.494087709809251
