,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227408126551766,1.370791918461841,2.0404980455755295,2.447245583204244,2.5954023017714536,3.7467992177336606,4.0784515838522735,4.569112356340037,4.225999696871328,3.7645439213617173,5.652648936581696,6.296892629146083,6.2290209436355255,5.812789645158791,4.604500097148203,5.313287351726517,3.924225931433939,5.310270343319832,3.125973245944527,3.286583710137539,4.230837980278156,4.825548707141488
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2781121813932677,3.1428306105816524,2.7758394824907544,2.4827412092244003,4.237276999646775,4.7772549883500925,4.85160492422399,4.75946027857486,4.484397602204529,6.266673671429155,6.778702652427964,6.845099705932281,6.5824904683026855,4.7911089767582045,5.357315755360918,3.92388099817006,5.537076223117233,3.2434492534377224,3.5491474339434963,4.0579680321199625,4.624027873458948
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0148767170122923,1.4505449695648476,2.0597813867875847,2.475032260236074,2.721402694418988,3.3980412756189367,3.069037771229745,2.698671328919887,4.409284657541358,5.045166056741067,5.085588458805713,4.498810054077332,3.7688989901921555,4.4527120492220025,3.3693675141197956,4.5531844244403645,2.459874972640593,2.8162797534064565,3.627298636722488,4.3212620091564435
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.121392964544789,2.958784639722772,2.681085929478971,2.5197216677203502,3.691801782086671,3.2479691191320157,2.7327715426313777,4.34515045544442,5.074419218483413,5.0252508183019104,4.192306820347933,4.271176710770588,4.9925570866508915,4.073792829848701,4.9749532521361175,2.9148305715916973,2.9933346669472494,4.174611423978691,4.77925782997578
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930851391698777,1.5441049757114738,2.1595548015880364,2.1529434352504966,2.603904070269052,2.797182166929616,3.92848152577605,4.274599567908494,4.765432860267399,4.17970200989954,3.1499520603322346,3.5163844123668393,2.8610540129579975,4.149988115908347,1.5322625418658244,2.45240820810486,2.3798050984003836,3.217747309360667
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179211163923693,3.071233564370398,2.5206397348788667,2.845746330709862,3.1180155661839946,4.285192297771516,4.5496244100885965,4.999433186512923,4.772583039688758,2.8130105093988793,3.106450196370998,2.229984347590725,3.813557122343019,2.1185954682500205,3.1638748189690773,2.5166098528800744,3.4289041944734038
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1003204551996715,1.0971640634308657,1.5427422481157218,2.152752284108694,2.5174672651782872,2.792567220283369,3.48219432357018,2.7573754644067376,2.557526603256042,2.814219949371032,2.850332506653853,3.508444878646262,2.5225613003070593,3.4088864188323615,3.008145243757852,3.8475570814808537
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7596044945869704,2.171057955303071,2.5198084510297227,2.6739587138381773,3.025780742747676,3.6927852633858143,2.4522409539191377,3.4981827017982394,3.7893303335823263,3.868017563488305,4.327899000060989,2.7626773077073947,3.310351925739397,3.4392459531036876,4.099446996622016
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1699771419797944,3.061342964336636,2.7912436436369643,2.6182862997022416,3.7988975739714994,3.1480834921506182,2.7842531799407326,2.5927232740171413,3.174473796683175,3.783228193966021,2.670050912496907,3.679967910401023,2.635667256573011,3.4492598664323553
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0991240206927368,1.536945260679381,2.186764639614938,2.184198476511708,2.1913329494847376,1.5364211443343416,2.1848634538590006,2.1996245398927283,2.179074109290737,3.9309529714500577,4.819220465230418,4.383073887605829,5.288720985684795
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1474562200064398,3.072746864518967,2.495368991677184,2.500464970780208,2.147690689649077,3.0717607526171125,2.4964737573027955,2.503547752864438,4.2321168709556,4.949660470286805,4.951011872938276,5.833762959772195
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0981700099857126,1.0963361276729864,1.09691952711157,2.52961984714552,2.8168797899874853,3.497853309220075,2.746679591652013,5.035854923835275,5.848374900569868,5.367166804840881,6.19367606399392
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706465035652452,1.772678609150983,2.804132979088118,2.645966953670238,3.8310968274021757,3.1104341690176014,5.183165567206928,6.075696992038664,5.245276307903836,6.029552115342173
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7721638978091405,2.7685992494767278,3.1608355294127324,3.7667420918407526,2.5312711903097376,5.99787946864357,6.821710835115617,6.346264957169316,7.208391268783308
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4938792292250223,3.8287151305313993,4.356253707470625,3.75761511149399,5.135418283109979,5.757066856929444,5.612796519176714,6.345367875297302
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982778611570332,1.0958119946537577,1.0963463372436975,4.493193568157084,5.55928749259053,4.656331663085532,5.626085909721554
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7736024988082444,1.771271556310969,4.607956379919841,5.760390908271018,4.454242959467518,5.391272266387935
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7655735881421224,4.220061309116484,5.277282756697779,4.432106376640866,5.404190713765848
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551367854809191,6.580408115291991,5.75247229964896,6.7224235034662145
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2129453814975832,1.3501482364357453,1.8788961734120593
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249592919292085,2.285031160391661
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766098521496411
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
