 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
N1,0.0,1.5943719118833088,1.9105272579625336,2.848221911955689,0.08584483599187376,0.2073874428672221,0.020438671526356922,0.005551109683357813,0.05107146329866232,0.0005482628056805439,0.22753551527701002,0.05640022890305614,0.034167894706256266,0.002597490012035908,0.007088681670156402,0.0002713101688348596,0.0015488891810966354,4.405926197703636e-05,0.00028829786234552124,8.473353597733546e-05,2.0052485633303974e-05,1.7054027065255273e-05,7.2541351495702955e-06,4.486083572063926e-06,3.6615357390523684e-07,1.0195335881660328e-05,1.1572799507586495e-06,3.105652762847022e-06,1.4430098957962656e-06,0.0005438803534400516,0.00012671902690545092,7.127344338536679e-05,1.3554479135091668e-05
H2,0.0,0.0,0.02758286750215233,0.10603331863501275,0.033571462788358986,0.006457599930195901,0.00018791413124530365,0.00282574883604525,0.0012396460069594717,4.4859971915833796e-05,0.02562154783301729,0.06579439564015888,0.004424540883850692,0.00043390310902591267,0.0005751760252640237,5.374873126129387e-05,0.00010515421807688607,2.0501630263458637e-05,1.2463676472895813e-05,6.550652247194755e-06,2.485584231770588e-06,2.2219081728946932e-06,3.3587841463678103e-07,3.869287097391094e-07,3.536521930858072e-07,1.091131527686251e-06,9.914329512916709e-08,8.529164321480209e-07,1.1508882002964071e-07,3.733657045068561e-05,1.0026107581051491e-05,2.4261775297684807e-06,2.0298539804564086e-07
H3,0.0,0.0,0.0,0.10693738647862161,0.009206752013863673,0.03101170490672489,0.0008800312401231469,0.0005457049369574918,0.006222603351381251,3.153037252867641e-05,0.0060530733185423236,0.0024183819113162697,0.00040579535536333644,3.4855254574361894e-05,0.0001397274725787323,1.4781059729518375e-06,1.2827158270112271e-05,1.950252799254315e-07,2.87061791848231e-06,2.0065010701841857e-06,7.097192444849298e-07,5.119952696253094e-07,7.092750187176478e-08,1.3744152926875586e-07,1.9518361593640066e-08,2.678303173686558e-07,1.4597439035313187e-08,4.5077155808037617e-07,8.340558910191476e-09,2.9516657722772344e-05,1.0486072969939642e-05,6.9164882839922726e-06,1.6189676224076521e-06
C4,0.0,0.0,0.0,0.0,1.7540370831756338,2.5238139946457037,0.09288431615099246,0.0841243262652005,0.1885429030697537,0.0025301504724930535,2.743660090718726,0.27877981516350175,0.21738989944531892,0.015264533017705029,0.034557426657763124,0.003649576613561911,0.004313553549773225,0.00015259778581167005,0.0013946708619771986,0.0002549497698641212,9.415543425883577e-05,4.258717603672357e-05,1.5779073067045957e-05,6.989509220067802e-06,1.3480896006168308e-06,4.6908082807564644e-05,5.99279932966823e-06,1.5568647087738086e-05,4.429311336151542e-06,0.003488582072087687,0.0008186245940314113,0.0007231161134308578,0.00012487230005842065
H5,0.0,0.0,0.0,0.0,0.0,0.08097255159865147,0.004766320164423021,0.03293764408661781,0.017037782231003273,0.0001170887484918115,0.09549944195479343,0.024947771899593962,0.011252048326326425,0.00576562358397914,0.001686114119812121,8.269313047160054e-05,5.3412303518962645e-05,4.8002700971938594e-06,1.0082530891741825e-05,2.3009988032063333e-05,3.096165863758493e-05,4.36972134165714e-06,8.029252085428595e-07,2.42540055817031e-07,2.620455969992719e-07,4.562793527562725e-06,2.541781556342215e-07,3.989574747675917e-06,1.996034673101832e-07,0.0004696648357425115,2.51916045324041e-05,9.445798679430517e-05,2.7773183823187608e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1224007722171825,1.8177166340361535,2.8067259572324534,0.05028981965025192,0.18143410459931056,0.037292572795651596,0.026661486030121223,0.00292496407449383,0.0030527460747411805,0.0004411224414452297,0.0003247649167065214,1.4946081321465243e-05,5.005733529350742e-05,6.349289849075235e-05,2.903953089905542e-05,7.492420577473458e-06,3.6083965235800264e-06,1.131199911297287e-06,1.6089704546473627e-07,8.814163905745964e-06,9.219249770264781e-07,4.520747850733642e-06,7.819508924811203e-07,0.0015425706418261964,0.0018761835531366094,0.0003258152608315995,6.741842248381147e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026648725649830673,0.09343268021722506,0.02199582006308698,0.029001042185055947,0.005173641142065422,0.003346725562150654,6.054373009045655e-05,0.0005673427396737374,7.910512156517058e-05,4.531736706891998e-05,6.955928028462566e-06,2.003733242950112e-05,7.0885515076613e-06,1.9490661906651496e-06,6.769113186644304e-07,6.641926459938219e-07,8.663016015653113e-08,5.7890070070953925e-08,8.281712817748144e-07,2.3449906683126187e-07,1.307482253576353e-07,1.9445552501551333e-08,0.00030056320954297,0.0005349308801441133,6.628908517947174e-05,9.417710138182045e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0822995788387566,0.00752010843872486,0.011348916266744391,0.004631233438785798,0.0012724809476027943,0.0008004671731347557,0.00010393340753300784,2.6375054340777027e-05,2.210650322354013e-05,2.665391425127339e-06,4.800600370113983e-06,4.013180991302434e-06,1.3798597202629992e-06,6.467768359774695e-07,4.363714078969849e-08,1.0207131362349742e-07,1.0567526853577647e-08,5.453792218945708e-07,8.197376089036368e-08,7.866714191173685e-08,1.0614689771593078e-07,7.494997560453243e-05,0.00021241605640698324,2.26495159736384e-05,1.6441004222489397e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084379628761785,0.01779003348026173,0.0038239797466539764,0.0382856186307322,0.06802050211164579,0.0032942622187621118,0.000994930180501008,0.00033493126739753826,8.981762897497525e-05,2.534425285505293e-05,6.436137740971348e-05,2.4376985275464946e-05,1.337974401750125e-05,2.37565989569255e-06,2.171177820975423e-06,3.0955254715081537e-07,2.0892932051146118e-05,1.3047086240280947e-06,2.4739030889397995e-06,1.0205860776490994e-06,0.006620090041669177,0.04429440869246774,0.0028884887219256528,0.0003209590509305471
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019026190946818122,0.00017137861182736636,0.004985058667318576,0.0022804784326100336,0.0005443311147417251,0.00012683978560823483,7.689637069385746e-05,1.0908364842521223e-05,5.919642874774311e-06,2.3436934981857505e-05,4.949614891724963e-06,3.809537695076415e-06,1.199611996405281e-06,7.837480582306711e-07,8.592459610490266e-08,3.945300114605033e-06,1.8871745255388817e-07,1.825310118164225e-06,8.101989434905477e-08,0.008970932840896895,0.08214078721444928,0.003250260833276508,8.124908654405516e-05
