,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26O,27H,28C,29O,30O,31H
1N,0.0,1.0203746745163362,1.021212569489019,1.4656206427937375,2.081805868914523,2.448000114534603,2.567972482696184,2.7187966517285065,3.8337630956796294,4.224447867290833,4.120591545713857,5.279831609439729,5.523792788911456,6.534874345161048,5.701763512135318,4.93770766343798,2.48161381279097,2.9086552219753075,3.5533914078994235,3.8054308939355947,4.831211357480645,5.077591412468456,5.2922437470203985,5.551197085358876,6.302937720204946,4.660835418881169,4.158274069899031,5.952056073731235,6.025405881388745,7.136458282832389,7.827550042336272
2H,0.0,0.0,1.625184233883881,2.047575405090525,2.3484323485777323,3.343062233578419,3.5020194256591237,3.66445143956462,4.5992574339577015,4.890443609906532,4.749148384445299,6.169532715119928,6.4102379756180845,7.447726177823964,6.482944126889997,5.851173822843139,2.7104172265663604,3.17114860069423,3.5476699759115773,3.7757755018833343,4.760438014350902,5.172625538058929,4.961758422517611,5.069505332416871,6.0139175040100605,4.26340946854824,3.9489270425752863,5.885197525215724,5.965702265529259,7.062227474585966,7.752106955948996
3H,0.0,0.0,0.0,2.024869364701611,2.916777149104833,2.70314557245371,2.954432904784569,2.546319354125408,4.145763932438845,4.4080229164967815,4.656693850080698,5.447036723588391,5.875999093307908,6.821767479445282,6.217756561155326,5.270071590067401,2.5911668010417586,2.5504501442184,3.850646271209112,4.32638573427924,4.944791441702259,5.007282251108988,5.31544718649656,5.735524154109813,6.242858336024503,4.5044748572964926,3.8642530474329764,6.220692086453022,6.473058793273453,7.297109052180211,8.068857207160061
4C,0.0,0.0,0.0,0.0,1.0988452329706715,1.543049569169136,2.1316711123695966,2.16005645480993,2.5773983478691296,2.8678665693316843,2.8160653209666195,4.245456018565621,4.7426498011176434,5.797328835816847,4.832422715248005,4.4232958292435,1.5365508547100193,2.4151496542490443,2.468408025429667,2.6240157754003475,3.8377303403106016,4.074623125491006,4.66356481423783,4.973028631024073,5.638683985420198,4.395157739880482,3.87170112263972,4.787997817365212,4.785779614797523,6.008331094482061,6.637728118736201
5H,0.0,0.0,0.0,0.0,0.0,2.166153748464272,2.4942582912572275,3.063563451978419,2.7840429795421984,3.1730913321244025,2.573892066784105,4.514291181534632,4.777359248394501,5.869053337946961,4.616153600107532,4.535951806405069,2.168626314107143,3.2874662489671795,2.53424928199617,2.2583992071265797,3.987744404989279,4.454342084197683,4.841251162412365,4.929901179435216,5.8604997518266915,4.782512338112879,4.449525093526354,4.658964649848393,4.397608104101628,5.969890088678685,6.4754361233459985
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0951081894785468,1.0966014137429168,1.5321763635518695,2.1784887001236655,2.1833298842398183,2.8394758939979035,3.3921495533281196,4.390322887888209,3.714896497624096,3.102348552002847,2.524268461754456,3.079749708761055,3.4581293097644945,3.5802654720849256,4.675710783711155,4.628441134384436,5.755799233402782,6.209814822321701,6.6086806379197975,5.564544725779691,4.88397288281935,5.491205840896977,5.4536535672630775,6.633348421424776,7.216231980144812
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7653281849797815,2.176083325203757,3.0871447142747903,2.559886813992328,3.04794826251164,2.9777556729762273,3.9697024622450376,3.3016998397893063,2.3970715729065972,3.4453456111435075,4.017265414341048,4.362973564681863,4.349764908814727,5.667781299149187,5.695556996836217,6.688871156519942,7.054684269539166,7.594222877955938,6.431550207633671,5.785388305482051,6.436355338902823,6.278248561799158,7.628469543625635,8.169755450637384
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1607174723187117,2.5002013194018806,3.0811745534878243,3.026829892663752,3.8402170651394822,4.693386732815179,4.404109054700579,3.5010388208708183,2.7233626958971087,2.809215548863117,3.8640424542585126,4.231960393940642,4.886997212823656,4.622155998350038,5.883964494675918,6.493783378761338,6.650171239109575,5.538405285943469,4.726712877537971,5.872362502269115,6.036737620674877,6.889977282795165,7.560735180025589
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958814272975117,1.098180594935842,1.83621623063098,2.8254972566826297,3.782880365671213,2.9973982928357925,3.0656130752228568,3.0925870027979485,3.770870806801589,3.5351049083098283,3.4594730462549568,4.5624282440131285,4.457913926728424,5.921007370057117,6.374776286863547,6.654348031890535,6.074647707439192,5.4485897068969775,5.002089335488525,4.822534679922301,6.077899372803092,6.517772254986204
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763876680647818,2.357967000115044,3.7523299438675677,4.603100543199165,3.9305081450521673,4.0912067894540245,2.794926250068067,3.349699503975844,3.0449998594351704,3.1282461270914235,3.795793661159408,3.548222575319995,5.2330191632369765,5.787360389447661,5.8484369861639935,5.512484162767816,4.883805141560204,4.204474314917208,4.192579945398077,5.164219882884709,5.6378563191729505
