 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,O26,H27,C28,O29,O30,H31
N1,0.0,1.9503458961674123,1.836964108371141,3.0550036081622993,0.08928352625009872,0.20474960239649478,0.01999835163288044,0.006860865560274876,0.033595201825871834,0.0009033104878519715,0.0009270248782198287,0.007512245369121193,0.00047207583456539137,7.986199882747957e-05,9.445936966834267e-06,0.0001405863280704578,0.24193750482965978,0.04952521137304275,0.038621800117166274,0.0022352405804476616,0.0061938535597666905,0.0005682151660810764,0.0014607801058534181,2.6599842131158624e-05,0.0002678716336990128,0.00038766906744007457,0.0005866642154449542,0.0006819615642787713,8.171672772780414e-05,0.00020660519634004004,4.685242834867598e-05
H2,0.0,0.0,0.0272437449958034,0.10809738004450076,0.006462825722136634,0.03252673327329825,0.001096877519648487,0.0005573756886563253,0.004681100231166524,6.871681289166709e-05,2.6610495742929174e-05,0.0019099746651778382,6.989353201758419e-05,1.2423202168765357e-05,1.8578306020256008e-06,4.194919847533285e-05,0.008727950774866322,0.0015476800792963985,0.000958640779531228,4.231605116777892e-05,0.00019992721488770737,3.944031657598934e-05,6.96885913640255e-05,1.6837103895550598e-06,2.2374839448113804e-05,0.00017083815264762325,2.1676195071096416e-05,1.960121600597109e-05,3.2826996970714006e-06,6.9318978784815855e-06,1.8618291357519468e-06
H3,0.0,0.0,0.0,0.10637521170742625,0.036396183513648594,0.009540101334771678,0.00023367553086450776,0.004863688801394428,0.0009569039077109709,4.1790369997851684e-05,0.0005080287460199617,0.00021880294404197365,1.3502613641080963e-05,3.4429436301941507e-07,1.8839609263743284e-06,5.800335560746106e-06,0.01647612109426455,0.034852862995969125,0.002793071745032072,0.0007672928882755947,0.00039268259634195335,4.03185197388467e-05,3.0440033997103377e-05,3.5873937145325385e-06,2.143831856482592e-07,0.00010985776983096773,4.033901302014087e-05,5.713242741345326e-05,3.205828282371037e-05,7.04076463753367e-06,2.251521989293792e-06
C4,0.0,0.0,0.0,0.0,1.9891126278526399,2.7310345968831387,0.09542835135393424,0.08360352450484498,0.16188953179795537,0.006190080300948253,0.008875382507149254,0.0457975692086451,0.002267966801938831,0.00033695374264941513,4.58579939734971e-05,0.0011500383099440903,2.7287806366237497,0.2625334294647267,0.2363573151066327,0.017291416057817588,0.0358669507483694,0.003203038744382436,0.003325399658014705,0.0001655606614430205,0.0006573494088246701,0.00294676956438647,0.008157640825849133,0.004076845019683528,0.0004033762737428864,0.0011448012224891252,0.00023265381885184677
H5,0.0,0.0,0.0,0.0,0.0,0.07786816883996162,0.004098126093960763,0.0346476021260822,0.009225188889897984,0.00010812949688188134,0.005065302803434424,0.001755435372505998,6.163073059817226e-05,3.0840828737499493e-06,1.9665486718611902e-05,3.5045623549834204e-06,0.09403894009472813,0.020859863363649422,0.012631202058362767,0.011828159248748138,0.0018454165515566778,0.0002929780489924205,0.0001528879492680435,1.800943631002916e-05,3.0069723820913552e-05,0.00043524527848892713,0.00035304870332830696,9.530825774617391e-05,0.0001437684424970831,3.00145572020849e-05,9.20538321813602e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1269702074236636,2.006287679674866,2.8487614088231403,0.08426216852694335,0.08294105791439388,0.1944217352926675,0.01597070030189361,0.0015685524763797698,0.0008734264979293194,0.0061100246275018755,0.18470251010623784,0.03578521075593526,0.031838192997568404,0.0012374822341582048,0.004190953289912591,0.00039106900886431983,0.0008035109281657737,3.286547552283636e-05,6.415687737182374e-05,0.0006374667240547499,0.0006917668396726473,0.0007508605051814166,7.362419578356427e-05,0.00023780003743677225,7.42326526120829e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024362681158443866,0.08355219826956106,0.03386060623080622,0.004328472969795438,0.010704968502300294,0.007236405552460523,0.0006744013843633656,3.85721583691101e-05,0.0090757310903129,0.030009447056330796,0.00521714360344383,0.0034874359864254245,8.64501625785774e-05,0.0008255322630938977,6.824722501796998e-05,5.68866677093105e-05,3.817040383324866e-06,1.6712676748964483e-05,5.662256802418941e-05,4.255731754554404e-06,0.0001618496994215679,5.9956713066577905e-06,4.7091307347479905e-05,1.247287769245986e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0840542711766421,0.005538879223553783,0.033403085192813986,0.014699178783245226,0.0006093312351690416,5.550569830470309e-05,0.00026019461237347663,0.00013097708480747094,0.012012041976048993,0.011416038091168423,0.001929746917035069,0.000652071010078803,0.00017819717705491733,3.382611642810396e-05,2.9572167026481466e-05,2.9809518387047262e-06,8.076565914727496e-06,0.00017591243396408718,6.86476790601187e-05,3.314675917054366e-05,1.0214755274406961e-05,4.82383878663839e-06,6.250241821881275e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1407147019166297,2.0157968940761766,2.8213113400727736,0.11669930579000833,0.027511996087177693,0.009578710359222198,0.006415690183612099,0.01847981054863093,0.00446128507879924,0.00862995500462288,0.0012013497302667542,0.0006931677604593567,0.00016412993808612164,0.00028973696391038084,1.3318229660885805e-05,2.9363709780128033e-05,0.00010525961132974715,7.708859079369468e-05,9.559552073198918e-05,7.57605665513833e-05,2.2392845490853963e-05,4.422975655282713e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024202958589975898,0.09334745455411608,0.02534490339576123,0.001267171885587448,0.0004112992773124269,0.0002673257972265475,0.009550191587897494,0.0006404403653638147,0.005449210310190744,0.0002422633122203255,0.0003307577373463655,9.124606471422325e-05,0.00013751279680884743,1.856399986821522e-05,8.51570987303596e-06,0.00016759826073375894,8.93526405065792e-06,8.297045069127762e-05,7.878858694454483e-05,2.133542441318248e-05,7.409894715593168e-07
