 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,C35,H36,H37,H38,C39,H40,H41,H42,C43,O44,O45,H46
N1,0.0,1.9093971552646172,1.8074432655339057,3.0652315896464315,0.08455865116804273,0.194714088892994,0.008125818303736487,0.026928757922039304,0.04999594345276713,0.0007312716740667247,0.05636967300279583,0.006096748893258466,0.00026362082446163004,0.001042236467466262,0.0009566935779079383,0.00048350406757158293,0.00010972687070145981,7.655581792282568e-05,7.539998940575554e-05,8.407177377378616e-06,3.365910779364045e-05,1.2504089014209185e-06,8.032775308919327e-06,0.2200192673999899,0.05616740050903173,0.03371417058607491,0.002934963682308167,0.006663211474601596,0.0005094031050186798,0.0013525610965766932,2.7728251230541012e-05,0.00029936379130812707,8.190236239498383e-05,2.5505170192841042e-05,1.5674609520704985e-05,7.677226634417167e-07,6.281722811696255e-06,3.122072192995873e-06,7.351099377946035e-05,9.240583405789593e-05,2.046550033774075e-06,2.4435317220738995e-06,0.00041623689039216316,0.00015820135377539457,0.00012436383056090017,3.119678005347737e-05
H2,0.0,0.0,0.028609835521533178,0.11103051844615275,0.009716432581222678,0.03051535525116178,0.0009206271744783834,0.001909017553044734,0.0016794842978959945,5.518016221817135e-05,0.0004559920313085275,0.0002694509881898677,1.1591132402344329e-05,7.546097217203673e-05,6.10386434657384e-05,2.7976735308410383e-06,1.015989281050178e-05,1.1184575249290063e-06,1.3284102073907178e-06,1.0163312480493403e-07,3.994158289666316e-06,1.20222634292233e-07,7.527823031594494e-07,0.0053033481285129636,0.0016635347922721033,0.00037476547324977183,3.260411582761691e-05,0.000151241999082119,8.558750752785116e-06,2.3821600890538974e-05,9.220735854853501e-07,6.718440441089157e-06,7.915279101711192e-06,1.1339057407910857e-05,1.3096005913038056e-06,6.703923927098288e-08,4.176645680420421e-07,5.2339863110262286e-08,9.015900958031509e-07,6.388530096046452e-07,6.883818515213136e-08,2.5410701698369564e-07,1.7656540938881804e-05,9.731617227171085e-06,4.837148984915274e-06,8.547815602000242e-07
H3,0.0,0.0,0.0,0.1074519092248879,0.03274043306544594,0.006521429932322742,0.003193826099135322,0.00011002671473447911,0.0007219644812213044,8.269583542364067e-05,0.00034796914170609483,0.00011310140565334859,1.1280591112994287e-05,4.030627353013294e-05,8.340004665763345e-06,5.949296031371176e-06,2.6603880719511253e-06,1.4082295061168537e-06,6.775754768373332e-07,2.3474960419989088e-07,8.107358927533781e-07,9.365006325978698e-09,2.0520950938518467e-08,0.028777437526380845,0.0751936171280273,0.004980383245163145,0.0007170810617624923,0.0006392498101757127,9.425346259717138e-05,7.837197667814877e-05,1.6594661487401297e-05,1.027123114827333e-05,1.0432818386862941e-05,2.3556800481383533e-06,3.1971058923607742e-06,6.079728125385486e-07,7.231926308914893e-07,1.8360432640918134e-07,6.523761394117145e-05,3.865234019650998e-05,3.718515821260482e-06,1.5589261610493566e-06,5.49575187109852e-05,3.0996417154760536e-05,9.55696635296377e-06,1.037990849495074e-06
C4,0.0,0.0,0.0,0.0,2.015150289481417,2.7062152377050706,0.0809796864993455,0.0845302147767828,0.173184529521847,0.006451953564830193,0.015201721134154855,0.033667310440081616,0.000963880903481984,0.000644000048108273,0.0063106635793539895,0.00015745445979387096,0.0013653821994284998,0.00015433676618331615,6.569232824082949e-05,3.7433203871062304e-06,0.0003796848776549955,1.0898355956467931e-05,6.851581018418873e-05,2.7020066595266066,0.28339389139453686,0.22914048246959276,0.016948967670422532,0.03586385045917259,0.005214246435882197,0.004271458086841262,0.00013874598112106895,0.001210290535166969,0.0003311086418318898,0.0001760189750226182,6.714864943230259e-05,4.950996921992967e-06,2.6996190343853144e-05,1.037151584903917e-05,0.0007841165195641431,0.0017226124826625888,1.0286610693688303e-05,1.0251945753436686e-05,0.0027037764756300264,0.0006071460243729093,0.0008274672817459722,0.00018455960037566665
H5,0.0,0.0,0.0,0.0,0.0,0.07986580905360219,0.03488314313755647,0.003630147650939497,0.009583379314591856,0.0032429353076557366,0.0002718791198297321,0.0009618663932811078,0.0003904342537013328,3.83047322400909e-05,0.00011445749773630887,2.245264176159445e-05,4.1095884441233466e-05,1.289122801761966e-05,6.2433617318280454e-06,4.966579369991564e-07,1.1410029699066015e-05,3.716841707745999e-07,6.442690914099103e-08,0.090536903946832,0.02350307151155373,0.011221832195988046,0.007271641497407888,0.0018720687342927977,0.0003253129962295098,5.622344690703329e-05,1.4970289910598567e-05,6.879744050891645e-06,2.4933359770829e-05,1.6535253142713202e-05,4.4892147459396625e-06,9.85691708255132e-07,1.8438175031221249e-06,4.327514993018866e-07,0.00011398762895042935,0.0001129745500183521,2.991640101202009e-06,1.955790456475981e-06,0.00017185984694534362,6.210478365664684e-05,5.95807412279159e-05,1.6486199898801956e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.025229216118156,2.0575599659487853,2.8493928805349884,0.08116190107351029,0.08642712403756292,0.1939818773464595,0.010443535556299066,0.006839718613371626,0.034512678094447344,0.0023214797264701215,0.006256276653048537,0.0005607902103213491,0.00019953710460773877,4.7141484171953074e-05,0.0015334506405944581,5.064575041024977e-05,0.00020680234391878827,0.20703130146148604,0.04044206074119901,0.032518327611055345,0.0022865922879473644,0.0033051949685645177,0.00020050770787183314,0.0008481845923945658,2.1599823474716118e-05,6.532060206931867e-05,0.00014291810897198998,0.000108979831288325,2.0505487285632507e-05,6.405958952182544e-07,1.2211483552126978e-05,5.0379349927354156e-06,7.274019932149156e-05,0.0001083198192308732,3.111849620873741e-06,1.6376678371177178e-06,0.0015796821320806509,0.002475292716595287,0.0005004219192654563,9.608452174025839e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02372245225218661,0.08358511720136397,0.03338300514458692,0.0035654297900613585,0.013324004683320512,0.006295821288474723,0.00022148229412133347,0.0013443845185683312,0.00033692639584637085,0.0003033937843368584,7.059024699063166e-05,2.538619441749823e-05,4.789995971865579e-06,7.942896919488351e-05,2.207211429405831e-06,1.3121573967378453e-05,0.011929448776020646,0.006487957521329579,0.0013581134205473688,4.528077681054121e-05,0.00010846585875845527,4.899998123475413e-06,2.1932167903804256e-05,1.5043970476025237e-06,5.718562583023612e-06,2.6805154775821904e-06,1.735324429930074e-06,5.926996264893347e-07,1.1589050274984913e-07,2.527984335198852e-07,5.3280531764343664e-08,1.9375026441004195e-05,1.2897081780316455e-05,7.39713757580418e-07,8.666218234143486e-07,1.3446386178062042e-05,3.574672527251188e-05,1.6741959842914156e-06,4.876655923524709e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08405198332268982,0.006109625582901845,0.03231083520600042,0.005892901381707061,0.00016605212947307102,0.002407443618282601,0.0007233378149918979,0.0007996437319683913,0.0001703930048395641,7.434485851842698e-05,1.5147109859503516e-05,3.6455962397763386e-06,4.7636678714435554e-05,1.6906008444284026e-06,9.02937253632885e-07,0.010295526893539853,0.001930572692183996,0.0067571028793769194,0.0023386563254073067,0.000613908866869739,5.067901233335448e-06,0.00037037945022877494,3.0116989524486826e-06,1.5792027220129512e-05,3.9884091812991684e-05,9.808854564363756e-06,7.666711136167237e-06,1.6520350198945266e-08,4.0955617750526585e-06,2.097275058066117e-06,4.204403055263484e-06,3.99190487554435e-06,1.2000605620343663e-07,3.058622719542825e-07,0.0018457190542733315,0.00857211118728507,0.0008111316026798709,3.2533613828489294e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9278192381949835,1.9887271549848913,2.781511352423591,0.08355065206033774,0.08445599755769528,0.188729597604049,0.026192219614289303,0.028548510925177517,0.006927061525519446,0.0036077832052091585,0.0003480172391197023,0.004866939567428272,0.00014386632049756543,0.0005347330053846466,0.030990041507396204,0.009040762254401674,0.005294796765481169,0.0004191094583506638,0.000741407532031918,7.837313480385522e-05,9.932653082234122e-05,3.747278288779299e-06,7.393401930677612e-06,2.3626745590393794e-05,1.4957971739448794e-05,3.0217486268468985e-06,1.3165088041944273e-07,1.8022570076325906e-06,7.647421642609231e-07,9.497114121376216e-06,1.4841352135919195e-05,3.2030101460023275e-07,2.656380546639525e-07,0.00028720306836027554,0.00018886108493790243,8.83449883829629e-05,2.3659960929900414e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02432481332511771,0.08937098822658451,0.034980099902056194,0.006230551557827146,0.007394456718740727,0.0016967661580402638,0.0005399525039517794,0.00044221896897000956,0.0005836115037769485,3.306336618402739e-05,0.00018157289638620622,1.2922590585828786e-05,2.204422316820498e-05,0.0008608758048627152,0.0005063065096276853,0.00011552047612917171,1.4801118555007875e-05,1.1428632742838118e-05,3.3017171821025926e-06,3.9504871900408745e-06,7.343131569470529e-08,3.751941115570645e-07,4.3076427980182075e-07,8.666441209115305e-08,1.1331463167785216e-07,1.550753903067914e-08,5.164822480807629e-08,4.186366808767161e-08,2.3789722101152933e-06,3.741206554774834e-06,4.781376095053247e-08,5.745958819858288e-08,9.166006048610953e-06,7.385079329735866e-06,2.56696711142812e-06,5.635455520014432e-07
