,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35C,36H,37H,38H,39C,40H,41H,42H,43C,44O,45O,46H
1N,0.0,1.0192462006803522,1.023101410746391,1.4617803297891119,2.0912577670783774,2.4613244455790655,2.691316922676263,3.408747507068443,2.948158823483763,3.427055266060089,2.4766626018320497,4.2821475120952375,4.352658640169502,4.971671094361526,5.138371853113839,4.8660825659273526,6.4511423376589665,7.102242084722197,6.741571188077432,8.105487492034094,7.335521911141469,7.19529976950163,8.277102678967847,2.495315897559971,2.7997309155881296,3.672986099017632,3.9254622568694906,4.954882198658646,4.9426517774504095,5.920636728696068,6.227343890212117,6.867308778532109,5.763882670163079,4.948751289404085,7.093778348447154,7.314008472468244,7.941788726936184,7.286950036730437,5.8754607125629414,5.089628198345033,6.173385165871396,6.796368325059613,5.836278515945661,5.792616335764242,7.0023202972281595,7.6057978870888245
2H,0.0,0.0,1.6229315426502329,2.0426896764847227,2.275068691054373,3.3323632609179104,3.671821598076252,4.176633436761533,3.751166421274849,4.020412769677611,3.230190437600766,5.168500655942513,5.322117104591981,5.845214935413081,5.915233116042255,5.530378042930515,7.242756686147784,7.98107483861104,7.676815855007067,8.97703359403735,8.032966839536233,7.790119766068344,8.995776776585888,2.8548036959971523,3.1637526914737664,3.8874324339526467,4.147261196800291,5.172994261974638,5.220702591352505,5.89890424385978,6.162706435629299,6.897199487618081,5.5158349095675145,4.591478911840506,6.720961863935814,6.920166141197317,7.643263954951099,6.788701357739385,5.681299103459155,5.014853527679107,5.829596394955403,6.686137706089002,6.220411443470767,6.257765706904818,7.388152166582944,8.055731873350696
3H,0.0,0.0,0.0,2.010836020387507,2.8893226148630977,2.8341440157966735,2.669449919874838,3.7626764293894457,3.5521354833873864,4.218917664366426,3.096151338899135,4.686885270001912,4.521327889791027,5.379430278682155,5.641537425321503,5.452444392343867,6.906069259183142,7.4366766857553595,6.975544011099558,8.445267530718013,7.861289896346396,7.807784440776284,8.756735502781194,2.481420532215721,2.3093727754240407,3.815800061959707,4.291838503442134,4.897761716946281,4.660420970736848,5.913102603744787,6.39102440176533,6.770613506595083,5.695140150599803,4.995716773752789,7.093760506449454,7.460897678627746,7.865527620044814,7.260701846276657,5.54152965793025,4.642822512957296,5.818132164117155,6.405314246322176,5.846767218841807,5.960424901710985,6.891194247580349,7.543541159286485
4C,0.0,0.0,0.0,0.0,1.098128195007322,1.5492315735023396,2.151552816232714,2.1804225542017135,2.5515846011382926,2.8675348050363416,2.6681756499809492,3.9091614735198825,4.1405848801488565,4.30118547060196,5.003891726393812,4.947291426037219,6.2795776351301855,6.7850028982280195,6.352350833380125,7.75445608488466,7.278589090698286,7.224603178830542,8.228253280687793,1.544184427484902,2.408550380507903,2.461861555002111,2.5546030396668917,3.8259237193744355,4.0166300530695285,4.900367041216744,5.103535216142052,5.843391258469863,5.065391757452683,4.341716143138154,6.422647748141313,6.540133124677172,7.215798487678405,6.816243316696341,5.418858648373326,4.706998879468123,5.938918282870466,6.2602242830090855,4.5277518763894085,4.375455847645543,5.765104511709935,6.304699383721982
5H,0.0,0.0,0.0,0.0,0.0,2.1689901666496985,3.0572213733926454,2.5225378783037344,2.7822306741922054,2.6578999046367087,2.970067542987111,4.244366399157451,4.719434602381503,4.546158931875654,5.177274871235575,5.036516452641385,6.450795922946549,7.063393367534097,6.743395275385919,7.996892863825662,7.339605247800283,7.17824145512962,8.323270201650164,2.178246222965976,3.2462045852300134,2.584893028187146,2.329554814735838,4.040931861683855,4.485169296222341,4.891439682542495,4.86633573147551,5.912060135143204,5.057191811350249,4.227431990439612,6.25487206951983,6.197377220268935,7.123372851169285,6.649270076424178,5.690622417195662,5.156261203458937,6.17962371687244,6.5777774671184055,4.701800434860815,4.428162570545893,6.012432940135153,6.516164987573069
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0990623154242811,1.097845988815847,1.5330085102500466,2.172792050114068,2.1361491683005807,2.5388844594134348,2.7558554044118733,2.830244176510853,3.8338721216178238,4.0367338982420184,5.014510541371916,5.356281600166665,4.855772649080286,6.3127602452921705,6.1413849597198045,6.254761504814656,7.039116683131706,2.494776015606809,3.2025412676586598,3.2071954943209473,3.107736575531849,4.367188165173591,4.522099155067953,5.694014074219364,5.870187037029991,6.507894345137918,6.177237733132203,5.607992399852563,7.57790225564218,7.667627652078614,8.264643773697005,8.098316360584057,6.496103858657699,5.711880892541054,7.150930481700452,7.191840984751597,4.590099302996653,4.154360837602395,5.783502154128267,6.123004764696044
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7657064006377812,2.167350841530209,3.076510523662591,2.5342195643822576,2.713774748731824,2.4718875781795457,3.084368339087914,4.07981775271407,4.370156780717569,5.172146806020402,5.352167174163401,4.715198726630905,6.3165432437957625,6.376526166744261,6.6037200259719,7.20179529818388,2.6902587735445525,2.976806511882219,3.6091595946061545,3.762202146050182,4.549991271799954,4.44647990727271,5.979936911897573,6.331851443814722,6.691191556359491,6.4366230472849155,5.970212098852092,7.916850038592653,8.142761783162658,8.527989675241574,8.420976178733218,6.506760069360415,5.603162728401632,7.164518843686691,7.126059450486563,4.7791786076038525,4.4983664891916515,5.821138071702483,6.178025767875818
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1819632632681687,2.490732145849693,3.0589106607689245,2.8607096191607955,3.1928802446008797,2.7153844654123387,4.218740257956679,4.589147042239725,5.258533511562441,5.42774335999809,4.87380626933371,6.306650753719435,6.429004862369887,6.613590414125207,7.293411079940964,2.682957862296644,3.5351068960614676,2.9298926473095124,2.6336365460897917,3.9262698401329037,4.234263867991157,5.284562362154599,5.363736988378103,6.025467606411536,6.0224587514997685,5.5745707775758495,7.377189782779768,7.391230449666526,7.9864706752948615,8.025585851671673,6.48151645218242,5.786588507848731,7.258424682743558,7.0764803015197435,3.8306430861095953,3.2093313291188417,5.028572460376757,5.254285404317106
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985113719725474,1.0975639540136972,1.52933333116807,2.166749630294006,2.175344049567668,2.46350647983948,2.5376668851755078,3.7382015935816044,4.356730506465066,4.103484561145593,5.325157044472802,4.740432349974511,4.763492784851583,5.683632721720113,3.8801164415514324,4.586019612368874,4.565844486868594,4.279802185992734,5.814778897742272,6.0398806943524965,7.063762023879689,7.115273743679256,7.927306461195319,7.494147178786183,6.810754315929126,8.826099999662473,8.820939140748504,9.585926600120102,9.292223876484009,7.8880553175140085,7.1229642774076884,8.465889360523148,8.645271669829475,5.9642793699939185,5.353226056882991,7.185312221279619,7.436009570409486
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7745087508243438,2.156264320643508,3.068848085008321,2.4913265532225166,2.7114777531818115,2.6654313775385234,3.914542891363876,4.656470370235737,4.564527005555676,5.54412734514452,4.743377913184509,4.623121373285555,5.725969764270672,4.239954453853715,5.145552493531877,4.679197124480295,4.180920301315027,5.987759827920806,6.394745361860822,7.100421131822957,6.984103595737436,8.010356373038722,7.5604469040559374,6.824087170760842,8.778853527896556,8.6392349421634,9.58079686346506,9.25904368699901,8.153384030144057,7.502415094282486,8.727256148794778,8.942204588272508,6.088101393450259,5.3631617801860205,7.370058583065265,7.581868863789436
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1671782488035563,2.5265947419662735,3.081096174588629,2.692267627752603,2.406623893165812,4.01515118042722,4.810243341940333,4.641951753748628,5.797414666754703,4.8598146684091414,4.755539797476075,5.80785460362727,4.1075992061390085,4.654346291734804,5.011263938189549,4.858326208149795,6.320749133529744,6.451988138223475,7.508767122553861,7.626990402234349,8.417374148792153,7.730651184246226,6.9646879691982235,9.062430772280813,9.114860161040534,9.878405464910434,9.409455133521702,8.017298915478193,7.216414930991218,8.471750379467343,8.84574590050435,6.6855817763281395,6.206620842506236,7.90650182583634,8.249429464914725
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985213694182292,1.096682918137895,1.478428330648647,2.1309597174826074,2.5020054190165806,2.881939006455622,2.5770888803961087,3.8653586809370806,3.716694226931223,4.029386164317136,4.551694068666957,5.028325511166683,5.599567470132122,5.664318782890341,5.372821709874906,6.7379459403120565,6.8902297247341995,8.107866430881183,8.182685648372102,8.865448140800193,8.695985049210545,8.114011881302046,10.069453789448474,10.080905958632577,10.749990425034856,10.605126451922144,9.018747086757779,8.197094647515325,9.669982532875371,9.676472337575621,6.617778174131756,5.891932253236898,7.7193856666505205,7.817877268398462
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7827012064652454,2.1134903131362326,2.739202751932071,2.905996401874452,3.01052367082116,2.464725252600908,3.998687205957818,4.167030622481156,4.602408932299276,4.878607173342469,5.087988418165942,5.426721633271286,5.8738587854116675,5.758044763607766,6.837815981434005,6.816846614991946,8.283592318337048,8.496705363490433,8.97868655809056,8.837814924195277,8.318319493822173,10.281384518255026,10.40515693156456,10.91278589612508,10.7993855293859,8.976907283703664,8.072002664498408,9.621681650128032,9.584394509960532,6.7536824926477195,6.156957195671296,7.755197914180719,7.881509185548448
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096951264124815,2.9209937553161622,2.7233359909146055,2.7429869585801914,2.331275507712749,3.6045062686355687,3.9760772328130454,4.403092203303317,4.730205320474991,5.241621162609764,5.904263396795104,5.64176174457077,5.242092838468549,6.58976024063897,6.826078489916236,7.966912455694858,7.970442478469383,8.65551638385341,8.733813086225622,8.237826021483281,10.072882134461953,10.027048647599452,10.690209068807937,10.704960187945323,9.148353332034215,8.380476523952936,9.891937996834375,9.729033693043696,6.229167025174562,5.370538097790976,7.278718848999682,7.252799211955288
