,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15O,16H,17C,18H,19H,20H,21C,22O,23O,24H
1N,0.0,1.019802654354559,1.020309842167427,1.4541326579282767,2.0933686593035623,2.0880409970076936,2.5183406156308736,2.8227448267643047,3.7281424044275298,4.024553750201508,4.975916381171688,5.029440028731065,5.625784610036987,5.060647890322068,6.89154209883843,6.867644039231959,6.144444878196186,6.894187089150338,6.776843186765565,5.468824309252348,6.075423490040651,6.242384091914603,7.139459646287089,7.846810025288052
2H,0.0,0.0,1.611664368210873,2.0268554514879114,2.363993870923897,2.9305682528582113,2.757410123344901,2.9033754369249998,3.937795819085437,4.313759528202533,5.105247921778184,5.216877977537828,5.4692851780324085,4.767965238061344,6.742063238961718,6.76167891341552,5.906066926017191,6.762799881703369,6.39502098273372,5.216660437645974,6.332115614422516,6.554500118349254,7.403581251671647,8.156602647128178
3H,0.0,0.0,0.0,2.0153133139255317,2.923513711712921,2.4348549465836307,2.618839055945362,2.5271753696068004,3.9507608806602135,4.421631528792882,5.019292569396815,4.848684531477522,5.729318531149865,5.114614338980324,6.874262169158761,6.706743663608567,6.477622929514333,7.239357366009424,7.106918089855715,5.94419341797292,6.180672968613843,6.505285058547824,7.106085993121973,7.865337236187219
4C,0.0,0.0,0.0,0.0,1.0976650394656926,1.0998880130486355,1.5393365354649775,2.424651787179616,2.4585848035969873,2.607311826061688,3.828407317846944,4.055754792215718,4.66221302510172,4.338406375486049,5.967175991974238,6.0403497365912715,5.104530423945119,5.7188485963819495,5.885081187632937,4.426895878041788,4.7604568562121115,4.823590942791152,5.899334832041843,6.538124511130215
5H,0.0,0.0,0.0,0.0,0.0,1.756421473434236,2.1734989071228448,3.212587336805571,2.6413304940878497,2.4735434235361775,4.077636565155398,4.562554267950213,4.740833062258621,4.497848674023957,6.1272078813243205,6.367173004710122,4.844336744223815,5.421284040411128,5.5982846349554585,3.992260726710168,4.876575159264471,4.729645476676574,6.134393242635604,6.693260220824127
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.145757348558031,3.0290120465341692,2.807121675035921,2.757823497654086,4.127187764189986,4.282561227556392,5.236062547702784,5.074257666672458,6.467893151373277,6.498020601934234,5.720970845998674,6.180334239436346,6.607477772786169,5.089210523016022,4.792953530338562,4.743062543640078,5.884532248881882,6.4283701854489586
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2278663020350449,1.365458257434303,2.0797362248684266,2.4622798802891253,2.5884668819779644,3.2931209365712504,2.976050434098644,4.515140293532926,4.518735375120671,4.041112875397446,4.695177729148124,4.8312398556049265,3.632594358277451,3.647270705103387,4.037750831273318,4.667230775177954,5.426117189544797
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2746461486112017,3.1806385324470527,2.800877967928743,2.5046052978410542,3.3927264035229867,2.8107239351175095,4.399270612037198,4.180494150302417,4.45282325020571,5.213234444567542,5.085326253212892,4.257209471499925,4.183644382181539,4.843539485343141,4.949239359556913,5.822021786603044
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135123045856438,1.4512561169215104,2.0758238899744734,2.499577342545494,2.648971809365034,3.7381829692662434,3.9360704264445445,3.075471214135352,3.5205356132903027,4.035872506075303,2.751371826734134,2.4034223050615853,2.718974347705481,3.5722357076134195,4.253363622071451
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104033237120756,2.8899012828566786,3.117463736452473,3.4426243337500964,4.344325363177896,4.676888092610373,3.2792660930860933,3.5099199073571348,4.306459137979385,2.7698159279164467,2.458177840649246,2.2844033478156662,3.76909012364403,4.25107559990025
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960207921123657,1.567423110123334,2.12996993015713,2.4649158509867775,2.6214598212058853,2.5867086413032316,2.8837800231841526,3.5228157159792115,2.8195456413904783,1.5188116405337666,2.419230188216537,2.3825961470222,3.214295846634213
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162076345592171,2.4312933418594618,2.6693718846115275,2.407970833316993,3.4964491719472854,3.8400845740334675,4.2997828264844635,3.8122938042223486,2.1484639324221395,3.2075311321705913,2.5235338131725054,3.4580916926097385
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001137633029043,1.4184390436290795,1.9570631344392821,1.5233061325053505,2.172582336235074,2.150466846230979,2.1689541566473545,2.558988307726151,3.3743048571237644,3.1424794075522198,3.946427208692552
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083278973979765,2.3157744715251782,2.156401460108719,3.0754935628386755,2.478975078932313,2.5013172793659812,3.455254328558552,4.255861069040025,4.071123094253931,4.938355790961785
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9706026535144896,2.36512460604602,2.6227659496180267,2.6116037779290893,3.3278750921686306,3.0088005364936454,3.9953400749514163,2.9686454020393604,3.7423686459764562
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.218941233041686,3.5341311481663555,3.4857675739909095,4.080845686573392,3.2975979666208097,4.427492707068965,3.05312469718974,3.919970852225726
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953941367696467,1.0942809822091497,1.0942238654952239,3.063949658091095,3.3970746126615308,3.841153703377707,4.387793167201528
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772484877846126,1.7799559090259447,2.779907607103556,2.9211573365492614,3.438219637899429,3.7704371600432953
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777330306450713,4.077069972726955,4.455275552021333,4.689068684615122,5.23418608275865
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3768839581269576,3.442528659006072,4.42252861194462,4.936608801995543
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2151546477032071,1.3444308024785294,1.8745243173389337
