 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,O15,H16,C17,H18,H19,H20,C21,O22,O23,H24
N1,0.0,1.9396454666441019,1.776080698853845,2.8144847392991537,0.09228277040752197,0.09745119153389048,0.23346726476326526,0.043522402808692316,0.03624625510010383,0.0027185019201780847,0.007611305784688369,0.000367528115931659,0.0006532366828935765,6.308409771393908e-05,0.0002899869572034197,7.1980012232852886e-06,4.8007761415412575e-05,5.275831264750508e-06,3.3711696806326685e-06,1.4456856178513e-05,0.0011926838370177467,0.0001454486700927099,0.00031971833866760446,8.255247197630489e-05
H2,0.0,0.0,0.02664384362844152,0.10414498696043795,0.007126959210085548,0.03586151057961695,0.008018014291698794,0.006716696461015359,0.0009005799005831205,0.00017947818752883649,0.00024206789157188435,1.3305747769143395e-05,2.8395413557036342e-05,1.5718495121053166e-06,2.9872583064971536e-06,2.813144608371232e-07,3.2709935585684136e-06,2.8944551466736357e-07,6.525463152051714e-07,9.409887811173689e-07,4.103606485406086e-05,9.539704939109939e-06,9.60426066132225e-06,3.14935433953778e-06
H3,0.0,0.0,0.0,0.1064412218524986,0.03627332828323726,0.004515590519748258,0.016268556069149342,0.03675414329871396,0.0028522876324300617,0.0006435213522453243,0.0003667451514927089,3.750584639439225e-05,5.2457739957989524e-05,2.0147874517650877e-05,1.4861982424174691e-05,4.801379878127676e-07,9.06167090852783e-06,4.744088919039768e-06,5.841433539099938e-07,5.924972690252162e-07,4.60089069616032e-05,2.566037095996787e-05,6.155173034261274e-06,5.296668414978001e-07
C4,0.0,0.0,0.0,0.0,1.9170666771573988,1.961943393081013,2.7455290788573907,0.28618221931613996,0.22570790715371525,0.0138865447999178,0.036006851613541196,0.003928116639605239,0.0038189085112918797,0.0009369408891275466,0.001184535518064772,4.148246362933872e-05,0.0002746168778836461,1.5256276489683529e-05,3.653646091361651e-05,4.526117068270885e-05,0.0040543103997176255,0.00046208721203601366,0.0011528679632879096,0.00022447741750364347
H5,0.0,0.0,0.0,0.0,0.0,0.026004738720185605,0.09749203702538178,0.029120480785863045,0.010826550119544143,0.004467464319360515,0.0014462120631766329,0.0003302353551901671,0.00025342029405983624,9.531838109011481e-05,3.429334976234877e-05,8.559967052512718e-06,3.6880254137727775e-05,4.150234160782418e-07,3.04796048888889e-06,2.774332844435179e-05,9.030671301157867e-05,4.515241752900412e-05,3.595679159662524e-05,1.4431750405830002e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10368884785752708,0.029186819397159947,0.014524398434515917,0.0010540569537864641,0.0014425396111845679,0.00011150506539681082,0.0008620044280878147,0.0001346565568782765,0.00012075098102060089,3.49950756683981e-06,5.7922020058387425e-05,4.184871670753765e-06,6.4009766962414005e-06,1.1787007143215789e-05,0.00023935296876342882,1.6739174443891613e-05,6.966028138621905e-05,2.8616698494854376e-05
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967228146940521,3.5006151935549,0.13382935781349525,0.26738540004647376,0.024041132457004455,0.034166221341966785,0.006889656940098021,0.006864053168162992,0.00021542054154599644,0.003521383065649697,0.00035858258266130427,0.0001271253189731869,0.0013393382518278596,0.029081881480742228,0.006705313788737732,0.005384211768130698,0.0013259545099713055
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454558641350846,0.02605491366652457,0.0682659632915886,0.03606573846973948,0.01807110041936405,0.014267710766498354,0.003004585505461982,0.00010993101476974854,0.0026710413132805116,0.0003894514418516515,0.00011853547514029117,0.0011368275941279204,0.00901502797747225,0.00410101699466181,0.001266246520021233,0.0003665855500221138
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8940213446229341,2.880339537619424,0.0973778910534473,0.1875776853934362,0.006207797659940395,0.03626935177354411,0.001404309329428477,0.02129403838161706,0.0006710073215074885,0.0016826551349404806,0.01440109514671395,0.19212578345913037,0.05578551333891141,0.027260994288631046,0.0054167551213955
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09535977035366716,0.02100779874338099,0.006583120239243234,0.00013891907214724775,0.001531957536383688,0.0005612343386454111,0.0016663033774775293,8.838048328296821e-06,0.00014376039120334028,0.0016278048960089997,0.0313651459587202,0.07093739195413273,0.005095299493039107,0.0001613675053124819
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8776174637280953,2.4369797408396736,0.09889742537319113,0.21137164273894543,0.013726219301348208,0.14835236078815525,0.008588259955489397,0.03287155462155256,0.005970062719528713,2.4168150689965024,0.277471981324228,0.21590115465372445,0.05411539640965701
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08374680837765291,0.006788324131659085,0.010180143976673217,0.00795763423730489,0.025187297501679584,0.0004132044702562787,0.001101470400916238,0.0012286987714624775,0.10681468913535497,0.026880946770838188,0.011843325690113593,0.0011833531942639919
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6611692856214917,3.1196203851887807,0.11070358604944563,2.846747379215824,0.09106205427438985,0.09846674116156096,0.09821955878652977,0.1878625698266555,0.0424005806933038,0.022442138248875074,0.002035562402819213
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10497228469712128,0.007193585156682669,0.08840380877909326,0.03656071875029632,0.005762934608563919,0.003605665852961515,0.027079120323402872,0.004683400936344229,0.0029753502008037502,0.001245426021012852
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.780221619837584,0.1980841436566425,0.010173704090820412,0.0093043606949742,0.02912219066949162,0.022304091956662775,0.004216388203881011,0.015181157089937752,0.0020858298094674765
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036805009358060525,0.0011205034408425796,0.0006734517573436793,0.00338446050337593,0.0012072010539815325,0.0002765266243002218,0.004671399421503297,0.00010932447900735554
