 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,H37,H38,N39,H40,C41,N42,H43,H44,N45,H46,H47,C48,O49,O50,H51
N1,0.0,1.8291473039711337,1.8794162986440406,2.9306692198453588,0.09631725830791804,0.20685019128235213,0.01329853673848913,0.011462550374816693,0.033219249798330686,0.006559556244057824,5.9739746963050067e-05,0.0031804401456877462,0.0019518544101815305,0.00012486070730644006,0.0006364708993898682,0.001369479940075663,0.0011294174732034978,0.00012492527964583222,1.4695160290401077e-05,0.0002922428047458375,8.152942412742448e-06,0.00013414057628624576,6.8130118779929916e-06,0.25289063703462766,0.05424964708668543,0.03390137915652107,0.0020041395094085868,0.004421771755964893,0.00034308350164125034,0.0012073194652997832,1.9709796658107237e-05,9.279841085485518e-05,0.0006059612945748527,4.426224438458526e-05,0.00044429286565206283,6.909374628200071e-05,3.0302305373819394e-06,7.014805969651761e-06,9.937530020542873e-06,1.301059024072515e-06,1.5740312041268023e-06,5.402843825386139e-07,2.5265351122349955e-07,3.4898949619055486e-08,1.7411057774419092e-06,1.9068323762194694e-06,1.1905687602453696e-07,0.0012818407901015738,0.0003996920719245428,0.00016119690241568618,1.0402886297611325e-05
H2,0.0,0.0,0.027260234080952683,0.10638789349111899,0.007097146334809956,0.032509100724816165,0.000481850924719307,0.0009737702433807449,0.004461506215478361,0.0013093712734786322,2.5000540463837595e-05,0.0003606772763581345,0.0003152790342293432,3.0657457612992545e-05,0.0001222648464637155,5.459567658983033e-05,1.9791683291581208e-05,2.8079462572438985e-05,4.1275206925650565e-06,3.8387897350333766e-05,1.91060075538374e-07,2.3850106549816452e-05,3.215074177997934e-07,0.009035502621323466,0.006860789205119455,0.0007535164513285952,1.9774963880614393e-05,6.981399262595556e-05,7.652364008459145e-06,8.719196265993823e-06,5.717974327357211e-07,2.501315593095299e-06,5.638354063508544e-05,6.815984003427644e-06,1.78112640978334e-05,1.7215371628132026e-05,1.4006691306800434e-06,2.997965965922944e-06,9.394951441255017e-07,3.249834730212342e-07,2.4949020960285395e-07,7.152283321154584e-08,6.590302881193111e-08,4.13833012302689e-09,2.3965883089172024e-07,2.9915862587159836e-07,1.006437400086213e-08,3.1872480741323983e-06,1.9106961606230044e-06,3.876114623380111e-06,1.1198513414356626e-06
H3,0.0,0.0,0.0,0.10094185609466788,0.035376006331283794,0.009398882096698702,0.00014079003721523264,0.0060443632927946744,0.0005859852443522717,0.00010708651362889565,1.1019511543031157e-05,0.00039129923511560527,2.0421716972141013e-05,4.101240798082273e-07,7.071604522668196e-05,0.0005723401774093695,0.0004921096078087661,2.5636441853937875e-05,3.672109420094216e-06,0.00010364273517493583,2.1912610237428964e-06,2.2549913877623062e-05,3.7157642756024956e-06,0.010308797982399143,0.0007120290413885622,0.007689344732039083,0.0006735228838030682,0.0006085679781040465,1.2965157592192966e-05,0.00041500506587432984,1.8668560564094605e-06,4.637178360011873e-05,5.9048165083286364e-05,2.9428929704256035e-06,1.2454962325048058e-05,9.114020522393851e-06,1.3306072754737386e-07,4.777111079601326e-06,1.5281986249782165e-06,3.0588994159863603e-07,2.3712559160671276e-07,8.207044832619914e-08,2.788915121065827e-08,6.101755323228986e-09,1.2596254539420926e-07,2.8607807234237725e-08,9.876386819485106e-09,9.987092025243172e-05,2.4649147223443357e-05,0.00018638149661709402,3.986707574288317e-06
C4,0.0,0.0,0.0,0.0,1.9713568550574316,2.6093633220028165,0.09924499940469111,0.08361040448639212,0.16353348234535042,0.042256172366869627,0.00043568238907010226,0.015682312445949836,0.009769649731736385,0.00032950623415073377,0.0031719595204542095,0.009011600179065937,0.006961613969229008,0.0006106843324039379,2.909653457749961e-05,0.0021902910621675598,4.914296188029965e-05,0.0010451416928155266,5.05304325046918e-05,2.7627119135460485,0.28449614400108547,0.208958620049418,0.009397299270382797,0.03496621952304618,0.004997766263326708,0.0026166030969163867,0.00010086265259556804,0.0006585208071192561,0.0014978884593847552,0.0007062516149971554,0.0009234462581355629,0.0002444684117987872,2.3023110990338935e-05,2.6168380971913763e-05,2.7927698878327245e-05,9.425762367509805e-06,9.390021090766032e-06,2.4817427513035284e-06,8.390884908004992e-07,1.6252695755891722e-07,6.273721784050279e-06,6.20524667871436e-06,3.3462832871311576e-07,0.004032521311621851,0.0014514547782149,0.0003279569765499424,3.185269933936308e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08489037158410495,0.00758223888000531,0.03283041423363553,0.004231587667788972,0.0006644094277781232,0.0001301420751380622,0.0010978700917569917,0.00017610596847505988,7.800825780668319e-06,0.000189415240547941,0.008562908952393755,0.012310007297372083,0.00013426169825403456,5.216961119103303e-06,0.000955197543796471,1.1065542971699927e-05,0.0004789327342689109,6.476634480745425e-05,0.11898044641693328,0.022067520012805653,0.021401186096763558,0.0017940195608805443,0.0030241710008902523,0.00014071608202192998,0.0005888775573819061,7.924852681195915e-06,0.00011350180073077532,4.738264576431561e-05,1.6009819094886524e-06,3.0943732569621574e-05,9.277064366708387e-06,2.467913218229256e-07,1.4717796974483832e-06,1.8027537628251267e-06,7.135598343310789e-07,4.1103945114251417e-07,7.418038994178033e-08,1.4159996286622345e-08,2.354379802227413e-09,4.16311230377886e-07,7.970334887641428e-07,1.7436288857197724e-08,0.0003810467135700879,9.791114754809094e-05,2.7185375825911073e-05,5.861960199471383e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0537801044156025,1.9896246853743176,2.7404074364911373,0.27118884133326965,0.0073540643349245816,0.18099845228660136,0.046961567797209475,0.0024773871016861015,0.034662822697053786,0.012424149207951068,0.001248760999190468,0.005220286916019473,0.0010841718877165896,0.0034675474788624094,0.00013040066792879834,0.002493122102393136,3.588686265576513e-05,0.1530044438548238,0.035452762202156415,0.02372259861763229,0.018360587985423504,0.003323253671546872,0.001107516137295983,0.0003988259853786036,6.044063864241167e-05,4.739325808134076e-05,0.0005190179569450615,0.00011983433117834785,0.0006149558678478773,9.578441483534816e-05,2.8215951261456595e-05,2.1308662401686718e-05,2.01862026402988e-05,2.0979735249282427e-05,7.391401746242865e-06,3.309643929264028e-06,7.665492476327529e-07,1.241739384649776e-07,1.174655437471972e-05,1.5314880980388246e-05,4.2844222136739774e-07,0.0003363727449496312,0.00013441703699827723,0.00016137055899452524,7.401706537790709e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02434303715850894,0.09797112439890654,0.04356371572501505,0.00015016158623781806,0.010872792999572223,0.00888103674518359,0.00048387467910115944,0.002376583294904755,0.0013877076898137775,9.217760205371128e-05,0.0004316191826403415,3.9760412204881135e-06,0.0010641402766247143,8.482231671269602e-06,0.0007957031276129012,1.3849442426216996e-06,0.028156803741444136,0.003808707671837386,0.004024262122220068,0.0004932938698503087,0.00034809603524843524,0.00042940085922449356,9.734702109964743e-05,3.857767507531307e-05,1.0009716065129126e-05,0.00018350970444314108,3.54877855304192e-05,0.00039417723126677906,2.7428591810485514e-05,1.0599277129541562e-05,8.042064974400631e-06,8.427822657863793e-06,9.898674217412307e-06,2.577530841429976e-06,1.1451023120834236e-06,2.888401557932241e-07,6.664167351289052e-08,3.29693247680396e-06,4.316615767052667e-06,2.967030510170332e-08,1.93029868025274e-05,7.78403642165415e-06,1.909492571450233e-05,1.7565354091253482e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11140383699843426,0.017422967347073604,0.0040261268075121315,0.02414835448765973,0.001436142783254546,0.00011626571644618444,0.0031295481399982172,0.0014487147124166988,7.363226182111049e-05,0.0006800247211562471,0.00012045316851683197,0.00022912244659556436,1.6927214499640186e-05,9.398336036969823e-05,1.0616234999982765e-06,0.005471590665847348,0.0006193162272780661,0.004755907579448326,0.013354341892391597,0.0007384643881040986,0.0002112117388961554,6.194400520298515e-05,1.1140604694981349e-05,2.0879114085881056e-05,1.148713145537883e-05,1.8832915240629688e-06,1.4309384328559105e-06,1.0903242830817561e-06,4.3808567440351e-08,2.1353864743112183e-07,2.6646062978308294e-07,7.100293661910229e-07,5.182855833396616e-08,1.3081191574393358e-08,1.661530912855369e-09,7.25355553399254e-10,5.7205649994784835e-08,1.8609888097209648e-07,8.215596869476371e-09,5.289661453744543e-05,1.2586550300341948e-05,3.260100430013679e-05,1.5450786361448365e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189731409489501,0.12006031330181433,3.1992120838109623,0.473741345350696,0.025549004947012066,0.33988176060651876,0.2302017337438706,0.007721905917283278,0.0391300661326105,0.003737002622234531,0.07134668840151986,0.0027981155036427285,0.026867075754789388,0.00035624378331244877,0.01700142254457901,0.0028308821967800712,0.013469963037173877,0.006462983064976724,0.0010091092032438187,0.00024619872432496415,0.0008050879509204356,0.0002432708565049957,0.00011067224778282814,0.0031431895301293478,0.00011019046385696285,0.006921917417773926,0.0004543128498099014,0.0002994159472340385,0.00020823684843862544,0.0002295196337229466,0.00019033222104491987,8.725873745460411e-05,3.379576107331861e-05,1.0037072355584264e-05,2.6724376825937313e-06,0.0003577458153588009,0.0007208843381611985,1.2460468780450817e-05,0.0001537383144757376,6.076420100538382e-05,4.703126113560219e-05,1.8381189134109022e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.043326680813537,0.39732544422662985,3.3267455570087434,0.11168651474499436,0.4519861983076653,0.12089870657588578,0.000742264267755921,0.07639964440610314,0.0007086053888263333,0.026869693210394563,0.000923246777039699,0.07932240224376441,0.0009186803346807881,0.0030325507065129265,0.0010247852944599428,0.006979600481317572,0.005774292832284811,0.0006737560414308286,0.00018315259311907361,0.0009914758451110561,0.0012827395705679034,2.2472503676596034e-05,0.001178302841723211,7.052043455324508e-05,0.001330891170974402,0.00027295162439691656,0.0001091474801835357,8.99759466652661e-05,0.0004214452279021619,0.0006991372821247843,0.00018895882966665778,5.7691187161784674e-05,1.6509022497057657e-05,1.1073465652211567e-05,0.0012200120325439046,0.0024161500196502317,6.129735685556081e-05,7.94956305517347e-05,3.458529109269526e-05,3.989821505011315e-05,2.0244447817008293e-06
