,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26H,27S,28C,29H,30H,31H,32C,33O,34O,35H
1N,0.0,1.0219896503584573,1.023495059928051,1.4730535779538685,2.0997076465560007,2.4604355239494304,2.6184451101244632,2.6630116093047516,3.886529970849059,4.609326461283123,4.257336704699792,4.496287329193594,4.545751441174916,5.301434748967656,2.4885700164834037,2.790246883340982,3.667388690444696,3.942769742631483,4.874990744271821,5.0265853777959935,6.0914400719931425,6.069877150023949,6.265783613117261,7.403768075616383,7.7067540215186074,7.479464219191976,8.83859608607905,10.178973848318298,10.163438398655167,11.102154814242315,10.315092675745198,5.332880260146005,5.476271425307337,6.139867552146259,6.590355845006059
2H,0.0,0.0,1.6045180180004255,2.0308101710480444,2.3074972592908285,3.333789597673654,3.495665669029397,3.632237075960912,4.636225642892062,5.457500530114642,4.946133567488332,5.025147688444996,4.840696828092026,5.856554717624043,2.7248142855338116,2.943739747212078,3.8034368262096496,4.152582264644087,4.92611817492214,4.876257418768751,6.133130537564733,5.992735133966596,6.464965511284427,7.384642859128848,7.7857934141642025,7.326160920426584,8.809828200088026,10.1112733400653,9.999470209058567,11.03006564413817,10.326991760423066,5.575012016155065,5.922548027599806,6.260233943234646,6.815819527843503
3H,0.0,0.0,0.0,2.005906184224222,2.896805861789268,2.7852919641449887,3.1423620060687147,2.5861749722571625,4.202364873871166,4.87107702150691,4.380565755877478,5.071003898517637,5.138972886747125,5.955464332500326,2.49945954264954,2.3474785890174252,3.8286843719226575,4.316868684681808,4.838160546431016,4.937124328691891,6.203163270215411,6.339512309436534,6.408385180449388,7.403874465822317,7.582603313801635,7.444898822900331,8.96756411551226,10.181572290234755,10.138381645444184,11.155327458596995,10.226904137206091,5.036785439573014,5.156584922629244,5.704355081239635,6.056308448695822
4C,0.0,0.0,0.0,0.0,1.0945209298922238,1.5472575745777284,2.131447663601858,2.157184081883318,2.633936570880949,3.5381815912613126,2.9436664444785055,3.160786932732756,3.1451261301894418,4.122087325120917,1.543453230176318,2.4367455371988673,2.4411779272968817,2.5370811189976297,3.792136559864373,4.186441047879892,4.846040396023011,4.841368911303126,4.898692768952566,6.2483853176625415,6.570785250119876,6.4723900598796105,7.582914737651827,9.014301073812454,9.104355192066302,9.898324068009876,9.15464899284785,4.35214891584638,4.433950708861957,5.374924820155017,5.868484508250065
5H,0.0,0.0,0.0,0.0,0.0,2.149224556314448,2.4365091604673537,3.0470359135569303,2.8651588268395494,3.814018144408598,3.319975945433282,2.8078155732822814,2.581582551595173,3.6796525277407888,2.1537794617950348,3.225389018827132,2.5620772398950575,2.3231696923419687,3.984547410871412,4.36125715492721,4.777100503383144,4.534734134435656,4.841154223901096,6.24181619082747,6.725368976038819,6.465802319801909,7.388385077824412,8.92892063277084,9.024794988972882,9.743070916763378,9.189902403490226,4.854412209980076,5.032856954437522,5.918445353658921,6.518978718336253
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.097260538763147,1.1015530568838994,1.5446908326326292,2.150361788652333,2.170658481766521,2.599563674426057,3.1913150713648153,3.375527669765388,2.558686704689281,3.3599162572084853,3.204993443368393,3.027240786970059,4.480601844486656,5.143210517294297,5.368539244229031,5.516227512006245,5.106553879600008,6.793452797432172,6.965120499926539,7.226224728492843,8.029470451248654,9.506189744302143,9.75369958183803,10.354655123469378,9.53676245390322,4.701467618683969,4.370593264845322,5.871924013858533,6.17383412715858
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7634768564772274,2.172934662392854,2.444100394277944,3.071534220997792,2.878368262133232,3.6475486663840284,3.2883102106587274,3.473716524226058,4.263117718196156,4.135448680210123,3.8275094327504666,5.483013014993215,6.103251199996934,6.303642101374887,6.335097744911945,6.021481711546318,7.769877194225754,7.998126860991314,8.196306096923898,8.921097198963562,10.462370935272379,10.71610733004349,11.277000043271679,10.537503146574018,5.790676349123269,5.457444798586915,6.954521245139853,7.262667844092839
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1741157643828153,2.483436270699302,2.4700699212362043,3.538701464057918,4.143676723863867,4.2940316597475565,2.817396227923617,3.235095694061045,3.671966125137669,3.743281799418842,4.752200519843295,5.381504494350681,5.801544432378784,6.118525117865505,5.551107942461594,7.11410200338082,7.133252643009187,7.5282218827214855,8.482426335892436,9.832824269083162,10.066883949598735,10.732226680658329,9.752914452874975,4.639354714948498,4.177393039975477,5.698260382954915,5.848747030799212
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962902679645543,1.0969933364492275,1.5590247330013,2.414241303763431,2.40356948420727,3.132090813590927,4.091783701214405,3.14665810700051,2.6268610364867553,4.255546917131601,5.157001290560219,4.751700894744775,4.956262434549608,4.210670630137982,6.1733292246944576,6.312632567622728,6.8087752291675345,7.180985032655058,8.727045779074173,9.128013277762191,9.492938629920618,8.734563493645357,4.4453411835509415,3.9257395410555582,5.7663579501262054,6.040483319065579
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7715034528695497,2.1655078136836337,3.281606840562225,2.50334383883851,4.131269272334089,4.9775657736822385,4.207176129085026,3.689275972533725,5.226386538585718,6.165403701754331,5.6555421272641695,5.918476651434556,4.991096983950508,7.0167067102637946,7.060803711988025,7.724891579131757,7.943636706680656,9.470526315165817,9.947407769626025,10.201546608845725,9.408818829433628,5.224286062024015,4.507270064860392,6.530121952387511,6.6780940244905
