,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22C,23H,24C,25H,26H,27C,28H,29H,30C,31H,32H,33C,34O,35O,36H
1N,0.0,1.0201822025328233,1.0221080937409188,1.4648738605569436,2.0807193274313867,2.4650227664195703,2.677075648105609,3.411039840342352,3.0430057061856903,2.6240588420862205,4.357647716120445,4.4168644770221315,5.01527152713411,5.031976041445598,3.7985266076649253,3.430211546160411,4.568471538379496,4.499313212983206,2.485352521704838,2.8061282131558913,3.679866188466705,4.8806249915622555,4.935305104102043,5.988959234680783,6.957143168947669,6.166752786318395,5.796879074756404,6.191470354287743,6.526109918408203,4.348606211911034,4.261612065814611,4.353684273901995,5.483741397058357,5.546012872035433,6.426336727039961,6.948715605595919
2H,0.0,0.0,1.6194080529158577,2.0417269641231615,2.305504970171706,3.3492546356367203,3.640016725509608,4.187244272066719,3.916174593619954,3.4713550459057303,5.309119939179473,5.424259619794186,5.946143553245862,5.934565215352115,4.419752030156135,3.826312048049234,5.167640065548893,5.111997095903979,2.7617618222185776,3.0612640501225754,3.8064617575451223,4.942338840371261,4.845014283744001,5.960915364336974,6.970793941820839,5.955615642237166,5.889278640790822,6.445900181712202,6.534306054342219,4.455299238496862,4.564585523068754,4.244047373605723,5.777892292681858,6.026176933182882,6.647449328671147,7.278647237181728
3H,0.0,0.0,0.0,2.0135414537582097,2.898021162515794,2.762615644573878,2.5572833782526785,3.6956740756580286,3.537909391228147,3.1164391840818406,4.620976292820601,4.437000200649581,5.280759578947363,5.3682533808470865,4.557837022111778,4.339807178735569,5.326703158992297,5.207690190948937,2.524242363393641,2.3755002334199293,3.8661129409897788,4.854027265826178,4.789097052758563,6.1436021918143675,7.029630659830153,6.378692725780709,6.14245605523623,6.469685964121352,6.978034063931255,4.809539036026544,4.793927825661018,4.962301568111954,5.271966916015772,5.369498385596537,6.066909788888705,6.530187274893324
4C,0.0,0.0,0.0,0.0,1.0956398496557156,1.547251375743437,2.1424575681471123,2.1774804853780534,2.605194230329298,2.7580914816658466,3.9302620040921115,4.166361792979159,4.293078029662964,4.766680905839343,3.1802432611389984,2.8929513905210396,4.173372240690204,3.565497695852595,1.5403426270917455,2.4119463953437066,2.5012150289835158,3.8473697091939782,4.180273349843391,4.834666618049017,5.792890331161369,5.156004049381778,4.457078566619967,4.775970268152612,5.212960169957752,3.0140245159435715,2.833006824604912,3.215998267071306,4.428494577958628,4.3789722103708355,5.546120497189353,6.0591266063796
5H,0.0,0.0,0.0,0.0,0.0,2.175521849652316,3.055162430377978,2.5520951248384733,2.836050545404213,3.056964581581919,4.287838012952464,4.760995348182733,4.57980173830853,4.998047948593876,2.837339533454948,2.2462509323443753,3.8276517374967476,3.167417178875065,2.1747876442974414,3.253858671831047,2.633731520535478,4.081723141822244,4.489876253149467,4.752030588224224,5.781494875271284,4.949352501726296,4.165661359480833,4.6166320965056435,4.728957746180125,2.6299282882991757,2.4169097260753856,2.531736521138354,4.897684657999777,4.880925349110035,6.081302592796879,6.665538286604261
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0989508492655733,1.1002793374444828,1.5409259773044164,2.137823308560365,2.521393015436137,2.7611593438441395,2.7983077754094476,3.486416662421129,2.557371219894797,2.8472520055703163,3.5101344379634107,2.8183138315736453,2.497351092262129,3.1854735196910893,3.2879765077639447,4.5221736024423675,5.067408724742651,5.492342742771408,6.3153432476949,6.054168181739219,4.886354272863155,4.866491609117715,5.684461227860748,3.6134169212480174,3.014948425963617,4.1058771536903835,4.643975446665884,4.186285876861688,5.829348118908121,6.117760598646413
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7537063187554818,2.1701917891316254,2.515556544746186,2.6730080486052343,2.452988675790892,3.018467678400884,3.6949855309450936,3.497045002870773,3.8676318564491927,4.32973685738558,3.7869555358383846,2.693263778669018,2.947765736449291,3.681961270482761,4.691197894899993,5.127972597645599,5.866961060467837,6.597396211415383,6.488912025483915,5.474010037884976,5.372526516377048,6.380889915266131,4.3281552747999745,3.856053041605917,4.921640700790748,4.551153096963092,4.064029619734553,5.5885397893424384,5.76706369617482
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1749551902390523,3.055057822795072,2.807604561340712,3.1656826620540444,2.637389186629536,3.8146884014969666,2.7859695130322093,3.1701810545422684,3.7886799200881938,2.597491010644039,2.6645520886331266,3.480428425385852,3.0139537374711107,4.146456170514759,4.890092300540106,4.940375251544486,5.676750225344272,5.632472474363227,4.174949242118422,3.981239447482036,4.97431134551841,3.1069534619147734,2.3581215054204177,3.8069776729956137,4.130274496557884,3.4999494699559777,5.400752225878775,5.634236950501579
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971004644071096,1.536703495867982,2.1892688640432043,2.188407977875299,2.1865515986102886,1.5367981433604603,2.197436573243817,2.182687284038553,2.187540540328877,3.9160192759906565,4.614452458137833,4.663082953455278,5.982712650799602,6.5388811667858,6.819447007405177,7.6741872818826105,7.326676649167017,6.014873206498626,5.981506228871123,6.65794700056832,4.690556843117741,3.905411218255294,4.9928851689188045,6.148680088406903,5.605781563703985,7.356258559666065,7.611246001244483
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1537717237297773,2.502946296600207,3.0780687177528443,2.5099704018641846,2.147735207721026,2.488047673409816,2.5134463045139275,3.0729722071279832,4.184131184863446,4.729945382207854,5.136208341067744,6.468910371140401,6.871803746120116,7.410214029338671,8.316493839343606,7.816277095301808,6.7386609210053345,6.821382618495807,7.387784102041856,5.318979902696459,4.672400515193608,5.483371109799786,6.72930338754832,6.3128906429681955,7.862291098462276,8.161985572852947
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096893961859699,1.098711482400337,1.0970690860403478,2.5261131993642003,3.4936782334457246,2.744692504531106,2.816371606409281,5.01016021556183,5.553264383496725,5.714553262651251,6.889057085036582,7.5184039668639535,7.744766452281719,8.475172400642801,8.395721767987245,6.895571513331973,6.635794500898181,7.573732808558671,5.758050298311572,4.871242361961691,6.233016333511389,6.742203594576429,5.975034182484691,7.9039271894616965,7.97606996324306
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716237302535953,1.7727039067076549,3.4901899859169263,4.3512838344510065,3.7552185694189184,3.8287287840951487,5.084209831878316,5.387280958769161,5.937417197173718,6.993304935323255,7.536498340178164,8.013301691425307,8.694543257078665,8.699280316283614,7.335356574562924,7.046399569555219,8.120058299351731,6.229941617821457,5.44608467519535,6.7810247375797905,6.692320732739714,5.926803609576296,7.736917151689397,7.732202860645512
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716388939332706,2.804835335580397,3.8321322565982205,3.112315973875848,2.64910542352284,5.172911640158172,5.791044672981577,5.650504364436753,6.732718175735351,7.484492612418523,7.4572647506846526,8.09847215642809,8.198357883085803,6.506055557964885,6.099468689364079,7.15619326808093,5.553188169341776,4.588181088678243,6.146391134218526,6.462796269301917,5.565218719390468,7.651956416460887,7.656656276275757
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7650750441613305,3.7622399482064974,2.528224464621865,3.159177146814577,5.976972310199774,6.544117363822225,6.684940339553258,7.913723702162547,8.537556996291784,8.717406796044436,9.473811080133755,9.329103877400891,7.7935264088061995,7.553421430669075,8.393185851334241,6.624829188295155,5.698192474471659,7.00078925581778,7.8223205283352435,7.053618444135507,8.996079719775125,9.07167163537414
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0961876733792428,1.0968546092538174,1.0993742941461762,4.524195946140445,5.48101238242539,4.941098425043224,6.343423774297397,6.991028449107592,6.867234822705605,7.766340058646309,7.281347609734221,5.821036110737454,5.863923452000311,6.231111543443157,4.51411080165581,3.6262618010985492,4.605628655212792,6.726143309940058,6.2171477267891335,8.024265608338785,8.361950497721466
