 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,C22,H23,C24,H25,H26,C27,H28,H29,C30,H31,H32,C33,O34,O35,H36
N1,0.0,1.9565344769961395,1.8606204342481243,2.9236958720033286,0.08747873173126897,0.1838879173483255,0.009214176148354847,0.028088686599911483,0.03244974324942522,0.033711007516496694,0.003936617521606005,0.00013814338668383108,0.0009282319842671694,0.00031467532718165714,0.0032945983569856035,0.0007166347105480586,0.0002287112536223379,0.0002962185628077041,0.23376412635253882,0.05571077052960163,0.032857449956698925,0.006732369248957704,0.0001956391896977827,0.0015944830032926377,0.00032270505741427424,6.777702758808957e-06,0.0008285317415327731,1.5011083273286374e-05,4.465665669850516e-05,0.004939688249232202,0.0007306211955546704,0.00037548111568508347,0.0006976175217974223,0.0001438085640949882,6.708989302219026e-05,7.0626135626472575e-06
H2,0.0,0.0,0.027485804171070383,0.10382285443664052,0.007954963163769868,0.03205080975230834,0.0009960121037320135,0.0022237823907971244,0.0016083781359188531,0.00031572636716448166,0.0002393242156600861,6.992416387685552e-06,0.00010683748660333947,4.3851651340132136e-05,0.0001460999723562617,4.2460892647921966e-05,3.0313641832258043e-06,2.5245848274790816e-05,0.007002721128988143,0.0028681941533291733,0.00037404975764265824,0.00011958941308931603,3.0734180378466647e-06,1.817915050195129e-05,4.768051662829009e-06,7.054353872160135e-07,2.7612148178368656e-05,4.79042884249381e-07,9.073640940826522e-07,0.00010126395106524466,2.3442137107920757e-05,1.7512010997311478e-05,2.8848289657879e-05,2.4338610787211223e-05,4.452516747521784e-06,8.070872121734851e-07
H3,0.0,0.0,0.0,0.10705757828239226,0.03449956874113602,0.00828275451260585,0.004935774961729589,0.00017022287326873276,0.0005993167667281973,0.00025710800998268724,9.817108685050702e-05,1.2323288113291753e-05,2.9603384274601297e-05,4.804017805781768e-07,0.0003637138797121242,0.00010562805574676482,2.9366808783182208e-05,3.0129500387054975e-05,0.023096968904361304,0.06136561512033367,0.0035060785444123166,0.00047644555343939743,4.542095329984619e-05,9.27339441324504e-05,2.632769055876949e-06,3.541182589383851e-07,0.0004026303956401467,2.0360576220568305e-06,1.2046911311403008e-05,0.0017387992641768601,0.00030613763679898653,0.00011083784903243021,7.277785068893206e-05,2.9988508832956562e-05,6.595150702115582e-06,7.234036816239353e-07
C4,0.0,0.0,0.0,0.0,1.972931099893586,2.7334451525622776,0.08832708723667548,0.08459865209510586,0.14966354177811358,0.010138976832805291,0.03194340587563557,0.000989765010557253,0.0007311919986214832,0.004509177042804069,0.02041799372461922,0.00879231418925408,0.0021017853758911187,0.0005505852048328652,2.537005421664569,0.27871778488156385,0.20328264415503428,0.03473163542099403,0.0020942502934407914,0.005156186603605228,0.0014217894086068217,3.732774367404268e-05,0.005221550840646794,0.00011097038896745737,0.0003388774471428935,0.029755604895788434,0.006768224407989631,0.002707008440990144,0.0044144775794751345,0.0012505024459421032,0.0007818784672204843,7.243419959435116e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07830821910140395,0.034649254695081844,0.003049674386334855,0.007411408448487533,0.00012041681016894401,0.0011320359055978502,0.00019868209671281,3.9079571668043656e-05,8.534274956528698e-05,0.01200386051194191,0.013666901423140976,0.0008207065471763642,3.582035445948151e-05,0.09058589428155406,0.02204985041765961,0.007132154085482512,0.001305653727657674,6.172192822440081e-05,0.0006188931064154968,8.208351121696822e-05,3.4239363424504177e-06,0.001929072087928363,0.00023843123331257488,4.316296723083646e-05,0.0188395664876837,0.0037699005615894343,0.004290839539994984,0.00031902430127805914,2.0297643248512465e-05,4.8320772862875394e-05,7.289200693927356e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.009531676918773,1.9014805773644534,2.6391175422997986,0.08653053685984047,0.18214100245837267,0.010367796660137873,0.00940511683004508,0.030578767058220047,0.16180451381637556,0.005855028990822797,0.030599577340914008,0.010075005715947993,0.202151880671859,0.04079704440920509,0.024492789383943947,0.003069208746762392,0.0005221822192149617,0.0005048339516588035,9.197431386231969e-05,1.3864028765131486e-05,0.000781211186244829,0.00010531945243830165,8.154678369276525e-05,0.009166003234171369,0.00882226812992104,0.0008872012339027346,0.0014371264329857691,0.0012993233795029202,0.0003308874714805232,5.522916699940428e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023068454696827834,0.08412920189744799,0.0033725419897721043,0.014147458567506987,0.006167469750166132,0.0002359791582760007,0.0010102913865897012,0.02961998620687134,0.0005521498056375584,0.0016632062222607935,0.0004975352771894315,0.011191836226167151,0.0064735072643010705,0.0013785861664850074,9.512152163937415e-05,5.171649343216345e-06,3.1913898878910274e-05,8.633475220731768e-06,3.203426917952612e-06,0.00010576773809001239,2.503134751408176e-05,6.266652233577474e-06,0.0008942812541965495,0.0004198587993669012,0.00020620543128191393,3.3388725795280294e-05,7.416756827649529e-05,7.99993894806672e-06,8.486087585968249e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08231777754674963,0.03445840757223384,0.007594456754271728,0.0001555843530463008,0.003819643606028933,0.000339114022980036,0.010220704557895144,0.000142655350490406,0.0005794845107360835,0.004968355354139087,0.010692878824804852,0.0017120245718622584,0.0019386020391409797,0.0002633553092687979,6.036658092867242e-05,0.0001723863919398383,2.7124985066739882e-05,4.320716660677348e-06,0.0004486689009346456,5.4863955213591e-05,3.046666122274999e-05,0.005291230435212624,0.010135591462608673,0.0001515344276274977,0.0005363516064194052,0.0026213443030078665,0.00024702283799293845,1.8402077161638886e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8193035445292784,2.7840252869067483,0.08325916855616011,0.07932192709170871,0.08431716109347143,2.812907804752153,0.0838770825271209,0.0851191947295531,0.08146984553239633,0.03038838491506643,0.008404765303667142,0.004483353509360438,0.000698560927664682,9.99231781230181e-05,7.397621505107754e-05,1.252108478289049e-05,9.81863537585781e-07,0.0001448983494090894,8.361985460725307e-06,1.4414537563789409e-05,0.0010088033781745775,0.0014006183933409355,0.00010429116749510747,0.000382256386934704,0.0001639820241931822,9.770657769199442e-05,1.5195978817383882e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07834381092925347,0.004511703050677385,0.0348726982958909,0.004529817428944538,0.08514988336666662,0.005009481793667225,0.003914306508322252,0.03464739521192706,0.0020920554835017757,0.00020436918523336622,0.00031570668353486653,5.327409512068115e-05,3.8964383186623763e-07,2.1779997544491003e-05,8.634266118745515e-06,6.976637221267623e-07,2.3978666281454508e-05,5.896121687554157e-06,1.86262544277227e-07,0.0003845898753567223,0.000550283526266071,1.576463289443275e-05,1.4137931068747278e-05,3.129080627395364e-05,2.535552530824603e-06,9.045107192129365e-07
